,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range,Voltage (V),Hazardous,Torque Rating,Position Indicator,Operating Range,Override Type,Running Time Motor,Cable Length (m),Position Feedback,Protection Class,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Number of Ports,Feature 13,Feature 14,Feature 15,Attachment 6,Weight
10,P309627,Honeywell M6410C actuator + manual override 24v 280n,Honeywell,113.5,"This compact Honeywell M6410C three position, 300N linear valve actuator provides floating control with the V5822/23, V5832/33, V5825B, and VSMF series of small linear valves. Designed for use in fan coil units, induction units, small reheaters and recoolers, this actuator is also suitable for zone control applications and electronic temperature control systems using hot and/or cold water as the controlled medium.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Honeywell M6410C actuator + manual override 24v 280n,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/27/NW-309627_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Honeywell_M6410C-M7410C_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Honeywell_M6410C-M7410C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P303548,Siemens Acvatix - SAX low torque actuator 0-10vdc,Siemens,314.7,"Suitable for 20mm stroke two and three port valves, the Siemens Acvatix SAX 800 N low torque electromotoric actuator is compatible with valve types VF21, VF22, VF31, VF32, VF40, VF41, VF42, VF52 and VF53 used as control or shut-off valves in heating, ventilation or air conditioning systems.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Siemens Acvatix - SAX low torque actuator 0-10vdc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/48/NW-303548_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Siemens_Acvatix_SA-X-Y-V-L_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_SAX-31-61-81_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_Acvatix_SAX_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/pd/Siemens_Acvatix_SAX_EPD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P304040,Drayton actuator for zone valve,Drayton,84.97,This Drayton ZA5/679/2 230V actuator with SPST switch controls the opening and closing of a two or three port valve.,Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Drayton actuator for zone valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/40/NW-304040_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/Drayton_Product_Catalogue_Issue_15.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P307266,ESBE ARA600 AC/DC actuator 24V 0-10VDC,ESBE,264.46,"Recommended for mixing applications, the ESBE ARA600 proportional actuator with 6Nm torque rating operates DN 15 - 50 rotary mixing valves and is controlled by a three point signal. It offers a 90° operating range and simple manual valve operation using the pull-and-turn knob located on the front of the actuator.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> ESBE ARA600 AC/DC actuator 24V 0-10VDC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/66/NW-307266_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Esbe_ARA600_Prop_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Esbe_ARA600_Prop_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Esbe_ARA600_Prop_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P323765,Honeywell ML7420A straight actuator 24V 0-10VDC 20mm,Honeywell,308.64,"This Honeywell ML7420A 600 N straight actuator offers modulating control alongside controllers with an analogue output of 0 - 10VDC or 2 - 10VDC. It is suitable for operating standard valves in heating, district heating, ventilation and air conditioning (HVAC) applications. Spring-return models return to a safety position in case of power failure.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Honeywell ML7420A straight actuator 24V 0-10VDC 20mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/65/NW-323765_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Honeywell_ML7420A_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Honeywell_ML7420-ML7425A-B_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P222076,Drayton ZA6/779 2 port motorised valve 28mm,Drayton,94.25,"Helping to improve servicing, this Drayton two-port 28mm motorised valve is fitted with a simple snap-on actuator, meaning that the actuator itself can be quickly and easily lifted away from the body after the simple push of a release button, allowing it to be replaced as a complete unit. This snap-on system also provides ease of access for replacement of the valve's motor.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Drayton ZA6/779 2 port motorised valve 28mm,,Motorised zone valve;Actuator,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/76/NW-222076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_Motorised_Valve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/i5/Drayton_Product_Catalogue_I5.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Motorised_Valve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P311543,Belimo SMA modulating damper actuator 20nm 150s 95 ip54,Belimo,255.0,"With an actuating torque of 20Nm, this Belimo SMA-S modulating damper actuator is suitable for adjusting dampers with a cross section of up to 4M² in technical building installations. Offering straightforward direct mounting on the damper shaft using a universal shaft clamp, this actuator is supplied with an anti-rotation device. Measuring voltage U serves the electrical display of the damper position 0.5 - 100% and acts as a slave control signal for additional actuators.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Belimo SMA modulating damper actuator 20nm 150s 95 ip54,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/43/NW-311543_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Belimo_SM-A_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belimo_SM24A-SR_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belimo_SM24A-SR_EU-Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P309605,Honeywell M7410C floating actuator 24v 180n,Honeywell,75.08,"This compact Honeywell M7410C 180 N three position linear valve actuator works alongside the V5822/23, V5832/33, V5825B, and VSMF series of small linear valves to provide floating control. This actuator is suitable for use in fan coil units, induction units, small reheaters and recoolers and is also recommended for zone control applications and for electronic temperature control systems using hot and/or cold water as the controlled medium.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Honeywell M7410C floating actuator 24v 180n,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/05/NW-309605_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Honeywell_M6410C-M7410C_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Honeywell_M6410C-M7410C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P307260,ESBE ARA600 ARA652 actuator  230v 50hz 60 sec (1),ESBE,174.32,"Operating DN 15 - 50 rotary mixing valves, the ESBE ARA600 ARA652 230V actuator with 6Nm torque rating is controlled by a three point signal. Suitable for mixing operations, this actuator has a 90° operating range with the simple pull-and-turn knob located on the front providing ease of operation.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> ESBE ARA600 ARA652 actuator  230v 50hz 60 sec (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/62/NW-307260_307262_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Esbe_ARA600_3-Point_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Esbe_ARA600_3-Point_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Esbe_ARA600_3-Point_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P309762,Honeywell Home M6063 hw home m6063l1009230v 50hz croval act,Honeywell Home,127.85,"Providing floating control in heating and air conditioning systems, the M6063 compact line rotary valve actuator with 7Nm torque rating offers excellent levels of control performance and a tough, rigid design. Providing precision heating and cooling temperatures alongside valves V5433A/V5442A, the mechanical interface between actuator and valve is highly reliable.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Honeywell Home M6063 hw home m6063l1009230v 50hz croval act,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/62/NW-309761_309762_wm.jpg,,,,,,M6063,240,N,7 Nm,Yes,0 to 60 °C,Electrical,100 s,1.5,Yes,IP44,M6063L1009,Valve Actuator,N,Control type: 3 point,Power consumption: 3VA,Protected against overload and blocking,Maintenance-free,Clear position indicator,Direct mounting on rotary valves,Manual operation,High torque,Pre-wired,Long lifetime,1.5M connection cable,IP44 rated,,,,,,
20,P309619,Honeywell M6410C actuator + manual override 24v 180n,Honeywell,83.12,"This compact Honeywell M6410C three position, 180N linear valve actuator provides floating control with the V5822/23, V5832/33, V5825B, and VSMF series of small linear valves. Designed for use in fan coil units, induction units, small reheaters and recoolers, this actuator is also suitable for zone control applications and electronic temperature control systems using hot and/or cold water as the controlled medium.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Honeywell M6410C actuator + manual override 24v 180n,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/19/NW-309619_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Honeywell_M6410C-M7410C_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Honeywell_M6410C-M7410C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P308537,Belimo NR-A 3-point open/close rotary actuator 230V,Belimo,127.4,"Designed for ball valves, this Belimo NR-A rotary actuator with 10Nm actuating torque offers simple, direct mounting using just one central screw. The assembly tool is integrated into the plug-in position indication and mounting orientation is selectable in 90° steps.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Belimo NR-A 3-point open/close rotary actuator 230V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/37/NW-308537_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Belimo_TR-LR-NR-SR-A_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belimo_NR230A_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belimo_NR230A_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
