,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Flow Rate,Fuel Type,Warranty,Weight,Energy Rating,Water Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Type,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17
10,P333081,Vaillant Ecotec Plus 2 840 horizontal flue pack,Vaillant,1667.0,Make new installation and retrofit jobs easier with this complete boiler pack featuring the Vaillant ecoTEC Plus 2 840 boiler and a compatible horizontal flue.,Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant Ecotec Plus 2 840 horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/81/333081_wm.jpg,Ecotec Plus 2,N,333081 PK,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P333091,Vaillant ecoFIT pure 825 combi boiler with horizontal flue and boiler protection kit,Vaillant,1109.0,"Supplied with a horizontal flue and boiler protection kit, the Vaillant ecoFIT pure 825 combination boiler is quick and easy to install thanks to its lighter weight and compact cupboard fit size. Built using premium quality components and offering reduced energy consumption, this reliable 25kW combi has earned an ErP A rating for efficiency, while its almost silent operation has seen it awarded the Noise Abatement Society's Quiet Mark.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant ecoFIT pure 825 combi boiler with horizontal flue and boiler protection kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/pk/333091_93 PK_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_ecoFIT_pure_825_835_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Vaillant_ecoFIT_pure_Oper_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoFIT_pure_825_835_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P333085,Vaillant ecoFIT pure 830 combi boiler with vertical flue and boiler protection kit,Vaillant,1168.0,"Supplied with a vertical flue and boiler protection kit, the Vaillant ecoFIT pure 830 combination boiler is quick and easy to install thanks to its lighter weight and compact cupboard fit size. Built using premium quality components and offering reduced energy consumption, this reliable 30kW combi has earned an ErP A rating for efficiency, while its almost silent operation has seen it awarded the Noise Abatement Society's Quiet Mark.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant ecoFIT pure 830 combi boiler with vertical flue and boiler protection kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/87/NW-333085_333087_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_ecoFIT_pure_825_835_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Vaillant_ecoFIT_pure_Oper_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoFIT_pure_825_835_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P333080,Vaillant Ecotec Plus 2 836 horizontal flue pack,Vaillant,1554.0,Make new installation and retrofit jobs easier with this complete boiler pack featuring the Vaillant ecoTEC Plus 2 836 boiler and a compatible horizontal flue.,Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant Ecotec Plus 2 836 horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/80/333080_wm.jpg,Ecotec Plus 2,N,333080 PK,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P333138,Vaillant Ecotec Plus 2 630 horizontal flue pack,Vaillant,1577.0,Make new installation and retrofit jobs easier with this complete boiler pack featuring the Vaillant ecoTEC Plus 2 630 boiler and a compatible horizontal flue.,Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant Ecotec Plus 2 630 horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/38/333138_wm.jpg,Ecotec Plus 2,N,333138 PK,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P333665,Vaillant ecoFIT pure 825 combi boiler and horizontal flue pack,Vaillant,1029.0,"Supplied with a horizontal flue, the Vaillant ecoFIT pure 825 combination boiler is quick and easy to install thanks to its lighter weight and compact cupboard fit size. Built using premium quality components, blending German engineering and British manufacturing, this reliable 25kW combi has earned an ErP A rating for efficiency thanks to its reduced energy consumption. Operating almost silently, the ecoFIT pure has been awarded the Noise Abatement Society's Quiet Mark.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant ecoFIT pure 825 combi boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/7_/pk/333665_67 PK_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Vaillant_ecoTEC_Pure_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Pure_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P334469,Vaillant ecoTEC Plus 624 system boiler pack with flue,Vaillant,1389.0,"Supplied with your choice of flue, the Vaillant ecoTEC plus 624 high efficiency system boiler provides balanced hot water across multiple outlets with no need for a loft tank, meaning no more worrying about leaks or frost damage when the temperature drops, and more storage space for all those family bits and bobs. Compact in size for easier installation, this ErP A-rated 24kW boiler offers compatibility with a range of smart controls as well as with alternative energy sources, such as solar, helping homeowners to make the move into renewables without compromising their comfort.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant ecoTEC Plus 624 system boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/1_/pk/334466_71 PK_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoTEC_plus_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_ecoTEC_plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_System_ecoTEC_plus_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
17,P333104,Vaillant Ecotec Plus 2 836 boiler only pack,Vaillant,1457.0,"Connecting to a wide variety of controls, the updated Vaillant ecoTEC Plus 836 combi boiler can be operated via app meaning you never have to worry about coming home to a chilly house. Easy to install, maintain and service, this 36kW boiler has a smart internal layout with all vital components in easy reach. And because the ecoTEC's footprint and connections haven't changed, retrofitting in the same position as an old, worn boiler is simple. Offering ease of operation and inBUS technology, the ecoTEC Plus gives the homeowner ErP A-rated efficiency and the option to switch to LPG or, at a later date, hydrogen.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant Ecotec Plus 2 836 boiler only pack,,"Boiler, Connections, Documnets ;manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/87/127377_127387_wm.jpg,Ecotec Plus 2,N,333104 PK,N,Compatible with plug-and-play myVAILLANT connect internet gateway,Connects to most Vaillant controls excluding timeSWITCH 150 and 160,Suitable for app control,,,,,14.6,Natural Gas / LPG,5 Years,40.5kg,A,A,36 kW,352,TBC,Wall Hung,Combi Boiler,Internal layout offers ease of access to major components,Easy installation and servicing,"Same dimensions, footprint, flue position and pipe connections as previous models",Simple semi-touchscreen interface,Guided commissioning and set-up wizard,Offers ease of navigation,Automatic quick conversion to LPG,No additional parts required for LPG,With IoniDETECT technology,Intelligent gas combustion monitoring for modulation range of up to 1:10,InBUS technology for accurate reading of flow rate and pressure differential via pump,Compatible with up to 20% hydrogen mix,Compatible with all Vaillant accessories and technologies,5 year warranty
18,P333121,Vaillant Ecotec Plus 2 610 horizontal flue pack,Vaillant,1112.0,Make new installation and retrofit jobs easier with this complete boiler pack featuring the Vaillant ecoTEC Plus 2 610 boiler and a compatible horizontal flue.,Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant Ecotec Plus 2 610 horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/21/333121_wm.jpg,Ecotec Plus 2,N,333121 PK,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P333087,Vaillant ecoFIT pure 835 combi boiler with vertical flue and boiler protection kit,Vaillant,1244.0,"Supplied with a vertical flue and boiler protection kit, the Vaillant ecoFIT pure 835 combination boiler is quick and easy to install thanks to its lighter weight and compact cupboard fit size. Built using premium quality components and offering reduced energy consumption, this reliable 35kW combi has earned an ErP A rating for efficiency, while its almost silent operation has seen it awarded the Noise Abatement Society's Quiet Mark.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant ecoFIT pure 835 combi boiler with vertical flue and boiler protection kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/87/NW-333085_333087_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_ecoFIT_pure_825_835_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Vaillant_ecoFIT_pure_Oper_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoFIT_pure_825_835_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P334461,Vaillant ecoTEC Plus 415 heat only boiler pack with flue,Vaillant,1020.0,"Supplied with a choice of flue to suit your installation, the Vaillant ecoTEC plus 415 high efficiency heat only boiler is an ideal solution in homes where low water pressure problems mean that an open vent system with hot water storage is the only choice. Lightweight and with a compact footprint, this 15kW output unit can be installed easily into a kitchen cupboard for faster fitting while high quality components minimise the risk of costly and inconvenient breakdowns. ErP A-rated, the ecoTec plus offers compatibility with both solar panels and smart controls, helping to create a more eco-friendly heating system.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant ecoTEC Plus 415 heat only boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/pk/334460_64 PK_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoTEC_plus_VU_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_OpenVent-ecoTECplus_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_Open_Vent-ecoTEC_plus_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
21,P334460,Vaillant ecoTEC Plus 412 heat only boiler pack with flue,Vaillant,921.0,"Ideal for homes where low water pressure is an issue, the Vaillant ecoTEC Plus 412 high efficiency heat only boiler, supplied with a choice of flue, is designed for use on an open vent system with hot water storage. Offering easy installation and fitted with high quality components, this compact and lightweight 12kW unit can be fitted into a kitchen cupboard and requires minimal maintenance. ErP A-rated, the ecoTEC Plus offers complete compatibility with peripherals such as solar panels and Wi-Fi enabled controls for a greener heating system.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant ecoTEC Plus 412 heat only boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/pk/334460_64 PK_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoTEC_plus_VU_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_OpenVent-ecoTECplus_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_Open_Vent-ecoTEC_plus_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
