,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Warranty,Weight,Hazardous,Output,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Type,Attachment 5,Area (m2),Attachment 6
37,P648495,Solis EH1 Solis 3kW Hybrid 5G Inverter,Solis,1173.59,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Solis EH1 Solis 3kW Hybrid 5G Inverter",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/95/648495_wm.jpg,,,,,1,1.7,N,3 kW,16263,N,Fan less design IP65,BMS function,,,,,,
38,P648487,"SolarEdge 10,000W Home Hub Inverter 1Ph",SolarEdge,3149.83,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> SolarEdge 10,000W Home Hub Inverter 1Ph",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/87/648487_wm.jpg,,,,,1,19.6,N,10 kW,24466,N,Built-in safety features to protect yout installation,Fault detection,Arc Fault Circuit Interrupter,Simple plug and play installation and commissioning with SetApp,,,,
39,P648480,SolarEdge Home Hub Backup Interface,SolarEdge,739.81,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> SolarEdge Home Hub Backup Interface",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/80/648480_wm.jpg,,,,,1,5,N,,22491,N,Built-in safety features to protect yout installation,Fault detection,Arc Fault Circuit Interrupter,Simple plug and play installation and commissioning with SetApp,,,,
40,P648499,Solis 3.0kW 5G RAI Energy Storage,Solis,887.99,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Solis 3.0kW 5G RAI Energy Storage",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/99/648499_wm.jpg,,,,,1,1.5,N,3 kW,24904,N,Fan less design IP65,BMS function,,,,,,
41,P648505,Solis S6 3kW 2MPPT 1Ph Inverter - with DC,Solis,572.53,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Solis S6 3kW 2MPPT 1Ph Inverter - with DC",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/05/648505_wm.jpg,,,,,1,11.2,N,3 kW,19418,N,"Grid Tied Inverter, compact and lightweight",Low dBA,Wide voltage range,,,,,
42,P122368,Grant Solar Thermal GS222076 solar fluid 20ltr,Grant,58.28,This Grant solar fluid is designed specifically to protect solar thermal systems from damage caused by freezing conditions.,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Grant Solar Thermal GS222076 solar fluid 20ltr",,20 litres solar fluid,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/68/122368_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_SolarRange_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_SolarThermal_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Grant_Tyfocor_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Solar_Thermal_Installation.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Solar_Range_Brochure.pdf,,
43,P648486,Fox ESS H1 6.0kW Hybrid Inverter G2,Fox ESS,987.3,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Fox ESS H1 6.0kW Hybrid Inverter G2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/86/648486_wm.jpg,,,,,1,23,N,6 kW,24658,N,Easy Installation with flexible configuration,Plug and play sert-up,IP65 rated,Remote monitoring via smartphone or web portal.,,,,
44,P648488,"SolarEdge 3,000W Home Hub Inverter 1Ph",SolarEdge,993.06,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> SolarEdge 3,000W Home Hub Inverter 1Ph",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/88/648488_wm.jpg,,,,,1,12,N,3 kW,22337,N,Built-in safety features to protect yout installation,Fault detection,Arc Fault Circuit Interrupter,Simple plug and play installation and commissioning with SetApp,,,,
45,P648490,"SolarEdge 4,000W Home Hub Inverter 1Ph",SolarEdge,1312.05,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> SolarEdge 4,000W Home Hub Inverter 1Ph",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/90/648490_wm.jpg,,,,,1,12,N,4 kW,22339,N,Built-in safety features to protect yout installation,Fault detection,Arc Fault Circuit Interrupter,Simple plug and play installation and commissioning with SetApp,,,,
46,P648504,Solis S6 2.5kW 2MPPT 1Ph Inverter - with DC,Solis,579.71,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Solis S6 2.5kW 2MPPT 1Ph Inverter - with DC",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/04/648504_wm.jpg,,,,,1,13.49,N,25 kW,19357,N,"Grid Tied Inverter, compact and lightweight",Low dBA,Wide voltage range,,,,,
47,P648476,Solis S6 Mini 3kW 1MPPT 1PH Inverter,Solis,522.25,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Solis S6 Mini 3kW 1MPPT 1PH Inverter",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/76/648476_wm.jpg,,,,,1,7.7,N,3 kW,19539,N,Single Phase Mini Inverter,,,,,,,
48,P648485,Fox ESS H1 5.0kW Hybrid Inverter G2,Fox ESS,971.28,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Fox ESS H1 5.0kW Hybrid Inverter G2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/85/648485_wm.jpg,,,,,1,22,N,5 kW,24657,N,Easy Installation with flexible configuration,Plug and play sert-up,IP65 rated,Remote monitoring via smartphone or web portal.,,,,
49,P117937,Worcester Bosch Greenskies Solar-Lifestyle safety discharge bottle,Worcester Bosch,113.83,This Worcester Bosch Greenskies Solar-Lifestyle solar discharge bottle acts as a discharge container to contain expelled glycol from PRV discharge.,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Worcester Bosch Greenskies Solar-Lifestyle safety discharge bottle",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/37/117937_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Worcester_Greenskies_Solartherm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,,,,,,,,,
50,P648483,Fox ESS H1 3.0kW Hybrid Inverter G2,Fox ESS,989.06,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Fox ESS H1 3.0kW Hybrid Inverter G2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/83/648483_wm.jpg,,,,,1,22,N,3 kW,24655,N,Easy Installation with flexible configuration,Plug and play sert-up,IP65 rated,Remote monitoring via smartphone or web portal.,,,,
51,P538421,Intatec Fluid Recovery safety valve discharge liquid,Intatec,124.47,"A safe receptacle for high temperature discharge, this Intatec discharge container is designed specifically for use in solar systems, which can release hot fluid when under excess pressure. The tank is fitted in a fixed position with stainless steel or copper discharge pipework leading into it. A fluid recovery valve can be used to recycle discharged system contents.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Intatec Fluid Recovery safety valve discharge liquid",,Discharge containerDrain valveWall mounted brackets,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/21/NW-538421_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intatec_Combined_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Intatec_SF_Recovery_Containers_Tech.pdf,,,,,,,,,,,,,,,,
52,P648470,"SolarEdge 8,000W Home Wave Inverter - Single Phase",SolarEdge,2021.27,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> SolarEdge 8,000W Home Wave Inverter - Single Phase",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/70/648470_wm.jpg,,,,,1,165,N,8 kW,20987,N,Built-in safety features to protect yout installation,Fault detection,Arc Fault Circuit Interrupter,Simple plug and play installation and commissioning with SetApp,,,,
53,P439018,Gledhill A-class overheat sensor,Gledhill,23.15,"This Gledhill overheat sensor is suitable for BoilerMate, ElectraMate, Gulfstream and PulsaCoil A-Class cylinders. An overheat thermostat uses this built-in sensor to monitor an appliance's temperature, ceasing operation if the maximum selected temperature is reached.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Gledhill A-class overheat sensor",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/18/NW-439018_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Gledhill_Benchmark_Parts_List.pdf,,,,,,,,,,,,,,,,,
54,P160126,Vaillant aroTHERM solar discharge vessel,Vaillant,75.11,"Compact and flexible, the Vaillant aroTHERM solar discharge vessel is suitable for vertical fitting in series should larger capacities be required. This vessel is used to collect heating system glycol should a system's PRV open. This ensures that the glycol doesn't find its way into the drainage system.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Vaillant aroTHERM solar discharge vessel",,Solar discharge vessel;2x screw;2x wall plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/26/160126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Solar_Thermal_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_aroTHERM_Hybrid_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_aroTHERM_AWHP_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_AW_HP_Technical.pdf,,,,,,,,,,,,,,
55,P633011,Worcester Bosch Solar-Lifestyle on roof rail first panel port,Worcester Bosch,100.07,"Easy, fast and safe to install, this Worcester Bosch Solar-Lifestyle portrait rail first panel is a main roof kit part for the installation of a solar thermal system.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Worcester Bosch Solar-Lifestyle on roof rail first panel port",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/11/633011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar_Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Worcester_Product_Guide_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,,,,,,,,
56,P648515,JA Solar 435W PV Bifacial Dbl Glass Traceable LB,JA Solar,101.35,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> JA Solar 435W PV Bifacial Dbl Glass Traceable LB",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/15/648515_wm.jpg,,,,,,22,N,,25478,N,JA Solar Integrated Traceable System,25 year product warranty,30 year linear power output warranty,,,,1.99,
57,P648516,JA Solar 440W PV Bifacial Dbl Glass Traceable,JA Solar,104.52,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> JA Solar 440W PV Bifacial Dbl Glass Traceable",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/16/648516_wm.jpg,,,,,,22,N,,25537,N,JA Solar Integrated Traceable System,25 year product warranty,30 year linear power output warranty,,,,1.99,
58,P648517,JA Solar 425W Mono PERC Traceable LR,JA Solar,79.9,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> JA Solar 425W Mono PERC Traceable LR",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/17/648517_wm.jpg,,,,,,20,N,,25479,N,JA Solar Integrated Traceable System,25 year product warranty,30 year linear power output warranty,,,,1.99,
59,P648513,JA Solar 440W PV Dbl Glass Bifacial Traceable,JA Solar,93.18,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> JA Solar 440W PV Dbl Glass Bifacial Traceable",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/13/648513_wm.jpg,,,,,,22,N,,25477,N,JA Solar Integrated Traceable System,25 year product warranty,30 year linear power output warranty,,,,1.99,
60,P633003,Worcester Bosch Lifestyle portrait solar panel,Worcester Bosch,865.89,"The lightweight Worcester Bosch Lifestyle portrait collector panel measures 2017 x 1175 x 87mm. Easy to install, it offers numerous installer benefits, including easy-carry handles and a variety of accessories, ranging from the green collector safety indicator located on the centre rail connections to the security angled side brackets, allowing for struggle-free insertion of tools.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Worcester Bosch Lifestyle portrait solar panel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/04/NW-633003_633004_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Solar_Lifestyle_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Solar_Lifestyle_In_Roof_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bosch_Tyfocor_SDS.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Solar_Lifestyle_Roof_Top_Install.pdf
61,P117940,Worcester Bosch Greenskies TDS100-2 ErP solar controller,Worcester Bosch,247.68,This Worcester Bosch Greenskies TDS100-2 ErP standard solar controller is designed for use with solar thermal panels.,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Worcester Bosch Greenskies TDS100-2 ErP solar controller",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/40/117940_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Worcester_Product_Guide_2015.pdf,,,,,,,,,,,,,,,,,
62,P648462,"SolarEdge 3,000W Home Wave Inverter - Single Phase",SolarEdge,847.15,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> SolarEdge 3,000W Home Wave Inverter - Single Phase",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/62/648462_wm.jpg,,,,,1,7.8,N,3 kW,20978,N,Built-in safety features to protect yout installation,Fault detection,Arc Fault Circuit Interrupter,Simple plug and play installation and commissioning with SetApp,,,,
63,P633012,Worcester Bosch Solar-Lifestyle on roof rail additional panel port,Worcester Bosch,125.09,"Easy, fast and safe to install, this Worcester Bosch Solar-Lifestyle on-roof portrait rail additional panel is a main roof kit part for the installation of a solar thermal system.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Worcester Bosch Solar-Lifestyle on roof rail additional panel port",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/12/633012_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar_Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Worcester_Product_Guide_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,,,,,,,,
64,P648500,Fox ESS 10kW K Series 1Ph Hybrid Inverter,Fox ESS,1504.26,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Fox ESS 10kW K Series 1Ph Hybrid Inverter",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/00/648500_wm.jpg,,,,,1,29,N,10 kW,24715,N,Easy Installation with flexible configuration,Plug and play sert-up,IP65 rated,Remote monitoring via smartphone or web portal.,,,,
65,P633015,Worcester Bosch Solar-Lifestyle plain tile roof hook set,Worcester Bosch,96.32,"Easy, fast and safe to install, this Worcester Bosch Solar-Lifestyle roof hook set is a main roof kit part for the installation of a solar thermal system.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Worcester Bosch Solar-Lifestyle plain tile roof hook set",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/15/633015_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar_Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Worcester_Product_Guide_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,,,,,,,,
66,P633041,Worcester Bosch Solar-Lito solar fluid 20ltr,Worcester Bosch,153.86,This 20L bottle of Worcester Bosch Solar-Lito glycol fluid is for use in the brand's solar appliances,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Worcester Bosch Solar-Lito solar fluid 20ltr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/41/633040_633041_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar_Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Worcester_Product_Guide_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,,,,,,,,
67,P648514,JA Solar 445W PV Dbl Glass Bifacial LB Traceable,JA Solar,95.4,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> JA Solar 445W PV Dbl Glass Bifacial LB Traceable",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/14/648514_wm.jpg,,,,,,22,N,,25490,N,JA Solar Integrated Traceable System,25 year product warranty,30 year linear power output warranty,,,,1.99,
68,P648511,Fox ESS EP5 5.18kWh Battery,Fox ESS,1552.06,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Fox ESS EP5 5.18kWh Battery",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/11/648511_wm.jpg,,,,,1,50.5,N,5.18 kW,24952,N,Easy Installation with flexible configuration,Plug and play sert-up,IP65 rated,Remote monitoring via smartphone or web portal.,,,,
69,P648518,JA Solar 420W Mono Traceable LR,JA Solar,86.13,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> JA Solar 420W Mono Traceable LR",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/18/648518_wm.jpg,,,,,,20,N,,25480,N,JA Solar Integrated Traceable System,25 year product warranty,30 year linear power output warranty,,,,1.99,
70,P633030,Worcester Bosch Lifestyle connection set on roof,Worcester Bosch,108.83,This Worcester Bosch Lifestyle connection set is for the installation of on-roof solar systems.,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Worcester Bosch Lifestyle connection set on roof",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/30/NW-633030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/WB_Lifestyle_Solar_Thermal_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/WB_Product_Guide_2015.pdf,,,,,,,,,,,,,,,,
