,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Range,Warranty,UK Total Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Min Air Flow (m/min),Min Sound Pressure,Fuse Size (A),Feature 6,Attachment 1,Feature 7
10,P686707,Fujitsu Eco ASYG12KPCE R32 Wall Mounted Indoor Unit 3.4KW,Fujitsu,158.67,"Ideal for larger living rooms, offices or bedrooms, this stylishly designed Fujitsu 3.4kW R32 indoor wall-mounted air conditioning unit has a slimline profile to suit a range of settings. This air con unit is suitable for smartphone control and uses heat pump inverter technology to reduce energy consumption for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu Eco ASYG12KPCE R32 Wall Mounted Indoor Unit 3.4KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/07/686707_wm.jpg,80kg,1 Phase,R-32,N,224,9.52 mm,6.35 mm,ASYG12KPCE,Air Conditioner,N,"Slimline, stylish square design",Energy saving,Smartphone control option,,,Eco,3 Years (Standard),,,,,,,,,,,,
11,P700818,Fujitsu ASEG18KLCA Eco Indoor Unit 5.2KW,Fujitsu,175.89,"Supplying both heating and cooling, the Fujitsu Eco ASEG18KLCA 5.2kW indoor air conditioning unit is a convenient choice for internal wall mounted installation in areas with changeable climates. It has a smart, compact design and offers an economy mode alongside low ambient operation for convenient, cost-effective R32-driven operation.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEG18KLCA Eco Indoor Unit 5.2KW,,"Unit, Remote controller, manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/20/700820_wm.jpg,9.5 kg,1,R-32,N,249,3/8 in,1/4 in,ASEG18KLCA,Wall mount,N,Compact design,With economy operation,With low ambient operation,Compatible with R32 refrigerant,Suitable for wall mounted installation,,3 Years,,,,,,,,,,3 year warranty,,
12,P610088,Fujitsu ASEH14KMCG 4KW Standard Wall Indoor,Fujitsu,278.6,"Allowing for the connection of up to eight indoor units, the Fujitsu Standard Multi-Split 4.2kW outdoor air conditioning unit is ideal for both commercial and domestic premises, delivering cooling to multiple rooms. This smart Wi-Fi compatible unit is easy to install and offers compatibility with R32 refrigerant for more economical, eco-friendly use.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEH14KMCG 4KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/88/610088_wm.jpg,10,1,R-32,N,222,.3/8,1/4,ASEH14KMCG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
13,P610084,Fujitsu ASEH09KMCG 2.6KW Standard Wall Indoor,Fujitsu,217.1,"Allowing for the connection of up to eight indoor units, the Fujitsu Standard Multi-Split 2.5kW outdoor air conditioning unit is ideal for both commercial and domestic premises, delivering cooling to multiple rooms. This smart Wi-Fi compatible unit is easy to install and offers compatibility with R32 refrigerant for more economical, eco-friendly use.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEH09KMCG 2.6KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/84/610084_wm.jpg,10,1,R-32,N,222,.3/8,1/4,ASEH09KMCG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
14,P681270,Fujitsu ECO ASYG24KLCA R32 Wall Mounted 7.1KW,Fujitsu,313.04,"Ideal for open plan offices of living spaces, the Fujitsu Eco indoor wall-mounted air conditioning unit provides heating and cooling to rooms of up to 50M². Featuring an economy mode, the unit's thermostat setting will change according to the ambient temperature in a room, reducing waste by stopping unnecessary heating and cooling.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ECO ASYG24KLCA R32 Wall Mounted 7.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/70/NW-681269_681270_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,
15,P610089,Fujitsu ASEH30KMTB 8KW Standard Wall Indoor,Fujitsu,656.82,"Offering ease of operation via an infrared remote control, the simple Fujitsu Standard Series High Efficiency 8kW indoor air conditioning unit makes minimising your environmental impact while keeping your cool easy. Compatible with eco-friendly R32 refrigerant, this quiet, wall-mounted air con unit with heating mode is designed to reduce energy use and could, along the way, help to reduce running costs too.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEH30KMTB 8KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/90/610089_90_wm.jpg,18.5,1,R-32,N,280,5/8,3/8,ASEH30KMTB,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
16,P610082,Fujitsu ASEH07KMCG 2KW Standard Wall Indoor,Fujitsu,191.88,"Allowing for the connection of up to eight indoor units, the Fujitsu Standard Multi-Split 2kW outdoor air conditioning unit is ideal for both commercial and domestic premises, delivering cooling to multiple rooms. This smart Wi-Fi compatible unit is easy to install and offers compatibility with R32 refrigerant for more economical, eco-friendly use.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEH07KMCG 2KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/82/610082_wm.jpg,10,1,R-32,N,222,.3/8,1/4,ASEH07KMCG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
17,P602323,Fujitsu Standard ASYG14KMCF R32 Wall Mounted Indoor Unit 4.2KW,Fujitsu,278.6,"A compact outdoor unit, the Fujitsu Standard Multi-split 4.2kW wall-mounted air conditioning unit allows for the connection of up to eight indoor units, allowing for the convenient cooling of multiple rooms in commercial or domestic premises. Easy to install, this unit is suitable for use with R-32 refrigerant for more eco-friendly operation.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu Standard ASYG14KMCF R32 Wall Mounted Indoor Unit 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/23/602323_wm.jpg,10 kg,Single,R-32,N,222,3/8 inch,1/4 inch,ASYG14KMCF,Wall Mounted,N,Compact size,For eco-friendly R-32 refrigerant,50M maximum pipe run,"Compact, lightweight build for easy installation",For wall mounting,Standard,3 Years,,,,,,,,,,Low ambient operation,,3 year warranty
18,P700010,Fujitsu Standard ASYG07KMCF R32 Wall Mounted Indoor 2.0KW,Fujitsu,191.88,"A compact outdoor unit, the Fujitsu Standard Multi-split 2.0kW wall-mounted air conditioning unit allows for the connection of up to eight indoor units, allowing for the convenient cooling of multiple rooms in commercial or domestic premises. Easy to install, this unit is suitable for use with R-32 refrigerant for more eco-friendly operation.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu Standard ASYG07KMCF R32 Wall Mounted Indoor 2.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/10/700010_wm.jpg,10 kg,Single,R-32,N,222,3/8 inch,1/4 inch,ASYG07KMCF,Wall Mounted,N,Compact size,For eco-friendly R-32 refrigerant,50M maximum pipe run,"Compact, lightweight build for easy installation",For wall mounting,Standard,,,,,,,,,,,Low ambient operation,,3 year warranty
19,P610087,Fujitsu ASEH12KMCG 3.6KW Standard Wall Indoor,Fujitsu,234.32,"Neatly designed and extremely quiet, the Fujitsu ASEH-KMCG 3.6kW indoor air conditioning unit minimises its impact on the senses with clever design while also ensuring you feel the climate comfort it's capable of delivering. Suited to any location, from server rooms to living rooms, and from offices to kids' bedrooms, this unit offers a host of helpful features, including air-cleaning filters and automatic operation functions. This air con unit uses heat pump inverter technology for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEH12KMCG 3.6KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/87/610087_wm.jpg,10,1,R-32,N,222,.3/8,1/4,ASEH12KMCG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
20,P686709,Fujitsu Standard ASYG24KMTE R32 Wall Mounted Indoor Unit 2.0KW,Fujitsu,556.58,"Ideal for larger living rooms, offices or bedrooms, this stylishly designed Fujitsu 2kW R32 indoor wall-mounted air conditioning unit has a slimline profile to suit a range of settings. This air con unit is suitable for smartphone control and uses heat pump inverter technology to reduce energy consumption for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu Standard ASYG24KMTE R32 Wall Mounted Indoor Unit 2.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/09/686709_wm.jpg,1.25 Kg,1 Phase,R-32,N,240,12.70 mm,6.35 mm,ASYG24KMTE,Air Conditioner,N,"Slimline, stylish square design",Energy saving,Smartphone control option,,,Standard,3 Years (Standard),,,,,,,,,,,,
21,P610080,Fujitsu ASEG18KMTE 5KW Standard Wall Indoor,Fujitsu,378.84,"Suitable for large living rooms, bedrooms or offices, the Fujitsu Eco 5kW wall-mounted indoor air conditioning unit provides the features you'll need for convenient whole-room comfort. A slimline design that fits effortlessly into any space, this smart air con unit is Wi-Fi connected ready for smartphone control, giving you easy access from anywhere in the building. The Eco lives up to its name too, using heat pump inverter technology to reduce energy consumption and improve overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEG18KMTE 5KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/80/610080_wm.jpg,12.5,1,R-32,N,240,1/2,1/4,ASEG18KMTE,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
22,P610090,Fujitsu ASEH36KMTB 10KW Standard Wall Indoor,Fujitsu,659.28,"Offering ease of operation via an infrared remote control, the simple Fujitsu Standard Series High Efficiency 9.4kW indoor air conditioning unit makes minimising your environmental impact while keeping your cool easy. Compatible with eco-friendly R32 refrigerant, this quiet, wall-mounted air con unit with heating mode is designed to reduce energy use and could, along the way, help to reduce running costs too.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEH36KMTB 10KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/90/610089_90_wm.jpg,18.5,1,R-32,N,280,5/8,3/8,ASEH36KMTB,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
23,P610083,Fujitsu ASEH09KLTA 2.6W Eco Wall Indoor,Fujitsu,138.99,"Suitable for large living rooms, bedrooms or offices, the Fujitsu Eco 2.6kW wall-mounted indoor air conditioning unit provides the features you'll need for convenient whole-room comfort. A slimline design that fits effortlessly into any space, this smart air con unit is Wi-Fi connected ready for smartphone control, giving you easy access from anywhere in the building. The Eco lives up to its name too, using heat pump inverter technology to reduce energy consumption and improve overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEH09KLTA 2.6W Eco Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/83/610083_wm.jpg,7,1,R-32,N,218,.3/8,1/4,ASEH09KLTA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
24,P678897,Fujitsu Standard ASYG18KMTE R32 Wall Mounted Indoor Unit 5.2KW,Fujitsu,378.84,"Ideal for larger living rooms, offices or bedrooms, this stylishly designed Fujitsu 5.2kW R32 indoor wall-mounted air conditioning unit has a slimline profile to suit a range of settings. This air con unit is suitable for smartphone control and uses heat pump inverter technology to reduce energy consumption for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu Standard ASYG18KMTE R32 Wall Mounted Indoor Unit 5.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/97/678897_wm.jpg,1.25 Kg,1 Phase,R-32,N,240,12.70 mm,6.35 mm,ASYG18KMTE,Air Conditioner,N,"Slimline, stylish square design",Energy saving,Smartphone control option,,,Standard,3 Years (Standard),,,,,,,,,,,,
25,P700033,Fujitsu ASYG09KETFB R32 Silver Wall Mounted Indoor Unit 2.5KW -,Fujitsu,246.0,"Offering a clean, modern design ideal for contemporary interiors, the Fujitsu Designer Series ASYG09KETFB 2.5kW wall mounted indoor air conditioning unit has a silver finish and a lightweight, compact look. Operating efficiently with R32 refrigerant, this indoor unit is remotely controlled for convenient ease of use.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASYG09KETFB R32 Silver Wall Mounted Indoor Unit 2.5KW -,,"Unit, Remote controller, manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/20/602320_wm.jpg,11 kg,1,R-32,N,230,3/8 in,1/4 in,ASYG09KETFB,Wall mount,N,Wi-Fi enabled,Silver finish,Compatible with R32 refrigerant,Suitable for wall mounted installation,3 year warranty,ASYG09KETFB,3 Years,,,,,,,,,,,,
26,P602320,Fujitsu ASYG14KETFB R32 Silver Wall Mounted Indoor Unit 4.2KW -,Fujitsu,324.72,"Offering a clean, modern design ideal for contemporary interiors, the Fujitsu Designer Series ASYG14KETFB 4.2kW wall mounted indoor air conditioning unit has a silver finish and a lightweight, compact look. Operating efficiently with R32 refrigerant, this indoor unit is remotely controlled for convenient ease of use.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASYG14KETFB R32 Silver Wall Mounted Indoor Unit 4.2KW -,,"Unit, Remote controller, manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/20/602320_wm.jpg,11.5 kg,1,R-32,N,230,3/8 in,1/4 in,ASYG14KETFB,Wall mount,N,Wi-Fi enabled,Silver finish,Compatible with R32 refrigerant,Suitable for wall mounted installation,3 year warranty,,3 Years,,,,,,,,,,,,
27,P700820,Fujitsu ASEG24KLCA Eco Indoor Unit 7.1KW,Fujitsu,313.04,"Supplying both heating and cooling, the Fujitsu Eco ASEG24KLCA 7.1kW indoor air conditioning unit is a convenient choice for internal wall mounted installation in areas with changeable climates. It has a smart, compact design and offers an economy mode alongside low ambient operation for convenient, cost-effective R32-driven operation.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEG24KLCA Eco Indoor Unit 7.1KW,,"Unit, Remote controller, manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/20/700820_wm.jpg,10 kg,1,R-32,N,249,1/2 in,1/4 in,ASEG24KLCA,Wall mount,N,Compact design,With economy operation,With low ambient operation,Compatible with R32 refrigerant,Suitable for wall mounted installation,,3 Years,,,,,,,,,,3 year warranty,,
