,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Pack Type,Application,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Range For Use With,Boiler Section,Boiler Range,Colour,Volume,Physical State / Form,Feature 12,Pack Quantity,Feature 13,Feature 14,Feature 15,Weight,Connection Size,Connection Type
10,P604001,Fernox F3 F3 C/Heating Cleaner 500ml,Fernox,15.49,"Universal and pH neutral, Fernox F3 cleaner is an effective, non-foaming liquid cleaner formulated to remove sludge, scale and debris from central heating systems, helping to restore efficiency and do away with boiler noise. It can also be employed when commissioning new systems to remove flux residues and other installation debris, helping to extend the life of the boiler and maintain system efficiency. Supplied in a 500ml bottle, F3 can be used during power flushing to accelerate the cleaning process. A non-hazardous product, this cleaner is safe for use with all metals used in normal heating systems, including aluminium.",Heating/Water Treatment Products/Water Treatment Products.csv -> Fernox F3 F3 C/Heating Cleaner 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/01/NW-604001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_56600_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ds/10/Alpha_SDS10.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_56600-CleanerF3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Fernox_CentralHeatingCleanerF3_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P609534,Adey MagnaClean Professional2 Magnaclean Pro2 22Mm & Chemicl Pk,Adey,110.93,"Harnessing new technology, the Adey MagnaClean Professional2 filter and chemical pack provides excellent central heating protection and ease of installation. Not only will MagnaClean Pro help to extend the lifespan of your central heating system, it will also reduce maintenance costs, reduce fuel bills and minimise your boiler's impact on the environment. With a removable spacer positioned between the valves, this in-line push-fit filter is easy to fit in the most convenient spot.",Heating/Water Treatment Products/Water Treatment Products.csv -> Adey MagnaClean Professional2 Magnaclean Pro2 22Mm & Chemicl Pk,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/34/609534_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MagnaCleanProf2_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P608072,Adey MC3+ Mc3+ Central Heatng Cleanr 500Ml,Adey,11.99,"Supplied in a 500ml bottle, Adey MC3+ cleaner is formulated to keep heating systems free of potentially damaging debris. Working fast, once administered MC3+ begins breaking down magnetite and other sludge found in central heating systems in as little as an hour.",Heating/Water Treatment Products/Water Treatment Products.csv -> Adey MC3+ Mc3+ Central Heatng Cleanr 500Ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/72/NW-608072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Adey_MC3+_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/Adey_MC3+ MSDS_V2.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P604003,Fernox F4 central heating leak sealer 500ml (1),Fernox,14.75,"Sealing small and inaccessible leaks and weeping in central heating systems, Fernox F4 Express internal leak sealer helps to reduce the risk of pressure loss and boiler breakdown. Once dispersed the product cleverly seeks out oxygen ingress, forming a polymer formulated to seal the offending pinhole. Fast and simple, F4 can show results anywhere between one and 24 hours after application, helping to prevent blockages and restrictions in boilers, pumps and other components and safety devices and saving on inconvenient and costly complete system drain downs.",Heating/Water Treatment Products/Water Treatment Products.csv -> Fernox F4 central heating leak sealer 500ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/03/NW-604003_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Fernox_EBenefits_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_56603_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ds/12/Alpha_SDS12.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_56603-LeakSealer_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P602996,Fernox F1 Express F1 Protector F1 Express 400ml,Fernox,17.85,"Preventing corrosion and limescale in central heating systems, this Fernox F1 Express protector offers high levels of protection through a unique combination of three inhibitors of organic particles. These inhibitors work by simply binding to the metal used in the heating system, protecting from debris while anodic inhibitors react with those surfaces to create a protective layer. Additionally, cathodic inhibitors combine with hard water salts to form an insoluble layer. On top of that, F1 also includes pH buffering, keeping the system water pH level between 6.5 and 8.5, the optimum range for the prevention of corrosion and limescale. It is recommended that concentration levels are checked annually during boiler or system services.",Heating/Water Treatment Products/Water Treatment Products.csv -> Fernox F1 Express F1 Protector F1 Express 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/96/NW-602996_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_62418_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/602996_Fernox_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/602996_Fernox_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62418_Protector_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P609942,Center Quick Dose inhibitor 300ml,Center,13.75,"Helping to prolong the life of your heating system, Center Quick Dose inhibitor protects from the damage caused by corrosion and limescale deposits. This 300ml supply will be enough to clean a typical 100L system, the equivalent of 10 radiators.",Heating/Water Treatment Products/Water Treatment Products.csv -> Center Quick Dose inhibitor 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/42/NW-609942_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ci/as/Center_609942_NSF_CIAS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/609942 Safety_Data_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_609942_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_609942_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P609530,Adey MagnaClean Professional O ring service kit,Adey,15.75,"Replace filter seals as required with this Adey MagnaClean Professional O-ring seal kit, suitable for MagnaClean Professional and Micro 22 or 28mm filters.",Heating/Water Treatment Products/Water Treatment Products.csv -> Adey MagnaClean Professional O ring service kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/30/NW-609530_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MCProfessional_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_MagnaCleanProf_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P608119,Sentinel X800 X800 Jetflo Ultimate Clean 1L,Sentinel,16.48,"Sentinel X800 cleaner works fast, removing corrosion deposits and scale in just an hour. This effective cleaner can help to restore the efficiency of older heating systems.",Heating/Water Treatment Products/Water Treatment Products.csv -> Sentinel X800 X800 Jetflo Ultimate Clean 1L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/19/NW-608119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X800Jetflo_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Sentinel_X800_Safetydatasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sentinel_X800_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X800_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_X800_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P608100,Sentinel X100 X100 Inhibitor 1Ltr,Sentinel,17.12,"Suitable for use in all types of indirect central heating systems, Sentinel X100 inhibitor, supplied in a 1L bottle, protects clean central heating systems from the damage that can be caused by limescale and corrosion. This inhibitor will helps to maximise efficiency while minimising fuel use and extending the life of your boiler.",Heating/Water Treatment Products/Water Treatment Products.csv -> Sentinel X100 X100 Inhibitor 1Ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_n/ew/608100_NEW_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X100Liquid_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X100_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Sentinel_X100L_Safetydatasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Sentinel_X100Inhibitor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sentinel_FastActingCleaner_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_X100_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P608246,Fernox TF1 range seal and O ring kit,Fernox,2.88,"This useful Fernox seal and O-ring kit spares pack contains all the seals required to ensure a TF1 filter remains watertight following chemical dosing, servicing and maintenance.",Heating/Water Treatment Products/Water Treatment Products.csv -> Fernox TF1 range seal and O ring kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/46/NW-608246_wm.jpg,,,,,,,,TF1,N,59288,Seal and O-Ring kit,N,Includes cap O-ring and bleed valve O-ring,With 2x valve washers,,,,,,,,,,,,,,,,,,,,,,,,,
