,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Voltage (V),Warranty,Weight,Hazardous,Depth (mm),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Feature 7,Feature 8,Attachment 5,Pack Quantity,Capacity Litre,Refrigerant Suitability
10,P635930,Grant Aerona HPID10R32 R32 smart control kit,Grant,627.48,"A clever solution for heat pump control, the Grant Aerona HPID10R32 smart controller kit puts advanced controller technology inside a stylish, easy to operate display unit. Compatible with any Aerona³ air source heat pump, this smart controller can be used to set heating schedules, domestic hot water timings and to adjust room temperatures via a single intuitive fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Grant Aerona HPID10R32 R32 smart control kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/30/635930_wm.jpg,Aerona,N/A,1 year minimum (Subject to T&C's),7.3 kg,N,254,N/A,HPIDR32SMART10,ASHP Smart Controls,N,Modern design,Compatible with all Aerona³ ASHPs,Easy to navigate interface,"1 year warranty minimum, subject to T&Cs",,,,,,,,,,,,
11,P612247,Inaba Denko ASHP External Corner Trunking 140mm Black,Inaba Denko,34.45,"Providing a professional finish along with reliable protection from impact, fire and UV damage, this Inaba Denko ASHP external corner trunking in black has a width of 140mm, ensuring that it will contain insulated flow and return pipework as well as all associated cabling.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Inaba Denko ASHP External Corner Trunking 140mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/47/612247_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/ASHP_Trunking_DataSheet.pdf,,,,,,,,
12,P506187,Intatec HPHOSE750 insulated hose 0D 750 mm 1''F x 28 mm PK2,Intatec,107.6,"Pre-insulated, this pair of Intatec 750mm ID hoses is fitted with 1"" female x 28mm connections. A flexible design for use in a heat pump, these hoses are supplied in pairs for use on flow and return and have waterproof and UV-resistant Primary Pro 19mm insulation for reduced heat loss and reliability in all conditions.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Intatec HPHOSE750 insulated hose 0D 750 mm 1''F x 28 mm PK2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/87/506187_wm.jpg,,,,,N,,,HPHOSE750,,N,Pre-insulated to reduce system heat loss,Insulation improves efficiency,Supplied in pairs to suit flow and return,Connects directly to heat pump,Available with a straight or bent heat pump connection,,,,,,,,,,,
13,P118859,Vaillant aroTHERM plus 0010038133 ball filter valve 28mm,Vaillant,33.92,This Vaillant aroTHERM Plus 28mm ball valve filter is suitable for use in air-to-water heat pumps.,Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Vaillant aroTHERM plus 0010038133 ball filter valve 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/59/NW-118859_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_plus_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/23/44/Vaillant_aroTHERM_Heat_Pump_1522344.pdf,,,,,,,
14,P131047,Joule HZK0H280.075 braided hose 28mm 0.75mtr,Joule,102.17,This Joule HZK0H280 28mm braided hose is supplied in a 0.75M length.,Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Joule HZK0H280.075 braided hose 28mm 0.75mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/47/131047_wm.jpg,,,,5 kg,N,120,,HZK0H280.075,ASHP Parts and Accessories,N,Helps to avoid vibration in pipework,Allows for a smooth bend when connecting the flow and return pipe to the air source heat pump outdoor unit,,,,,,,,,,,,,,
15,P506188,"Intatec 2 pack 750mm pre insulated hoses 1"" female swivel elbow x 28mm",Intatec,117.11,"Helping installers to meet building regs Part L, this Intatec 750mm pre-insulated hose with 1"" female swivel elbow x 28mm connection helps to reduce heat loss while maintaining the COP and SCOP of an ASHP system, maximising efficiency and minimising running costs. Thanks to a water-resistant finish, this outdoor suitable hose will not absorb moisture, an issue which can result in further heat losses.","Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Intatec 2 pack 750mm pre insulated hoses 1"" female swivel elbow x 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/88/506188_wm.jpg,,N/A,2 years,22 kg,N,780,Pipework,HPHOSE750B,Heat Pump,N,Pre-insulated to reduce system heat loss,Supplied in pairs for flow and return,Connects directly to heat pump,Additional insulation provided for connections,Water and UV-resistan for all weather use,"Must be inspected annually and retreated, with joints resealed if necessary",,,,,Joints should be bonded and sealed correctly to prevent capillary traction,2 year warranty,,,,
16,P635921,Grant Aerona 3 wiring centre,Grant,149.08,This Grant Aerona³ wiring centre is compatible with the brand's Aerona³ heat pump systems.,Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Grant Aerona 3 wiring centre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/21/635921_wm.jpg,Aerona,N/A,Subject to T&C'S,0.9,,219,N/A,,,,For use with Grant Aerona³ heat pump systems,Warranty subject to T&Cs,,,,,,,,,,,,,,
17,P612244,Pump House TR-WC-140-B ASHP trunking - wall cover 140mm Black,Pump House,25.28,"Supplying a neat professional finish, this Pump House ASHP trunking wall cover is made of fade-resistant black PVC. Suitable for both insulated flow and return pipework, this 140mm width trunking also accommodates all associated cables.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Pump House TR-WC-140-B ASHP trunking - wall cover 140mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/44/612244_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_ASHP_Trunking_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/PumpHouse_ASHP_Extnl_Trunking_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Heating_Catalogue_2016.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/ASHP_Trunking_DataSheet.pdf,,,
18,P506185,Inta BY-Pass Valves ABPS28CP straight auto bypass valve 28 mm,Inta,19.68,"Designed to stabilise circulation, flow rate and pump pressure in a heating system, this Intatec automatic differential bypass valve with compression connections ensures that circulation continues even where radiators are closed.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Inta BY-Pass Valves ABPS28CP straight auto bypass valve 28 mm,,ValveInstructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/85/506185_wm.jpg,BY-Pass Valves,N/A,2 years,367g,N,95,PipeCompression,ABPS28CP,Heat Pump Accessory,N,Clear dial,Easy adjustment,Differential pressure range of 0.1 - 0.5 bar,Available with 22mm or 28mm straight or angled connections,"Stabilises circulation, flow rate and pump pressure",2 year warranty,,,,,,,,,,
19,P131049,"Joule HZK0Y000001F Y pattern strainer HP isolation 1""",Joule,20.52,"A Joule HZK0Y000001F 1"" Y pattern HP isolation strainer.","Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Joule HZK0Y000001F Y pattern strainer HP isolation 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/49/131049_wm.jpg,,,,,N,,,HZK0Y000001F,,N,Prevents disruption and potential damage caused by debris in the system,Safeguards solenoid valves and other mechanical equipment,,,,,,,,,,,,,,
20,PT21894,Panasonic Aquarea PAW-TS1 tanks sensor with cable 6mtr,Panasonic,37.05,"This Panasonic Aquarea PAW-TS1 water tank sensor, or thermistor, is supplied complete with a connection lead and a copper sensor pocket.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Panasonic Aquarea PAW-TS1 tanks sensor with cable 6mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/94/T21894_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Panasonic_Renewables_Brochure.pdf,,,,,,,,,
21,P613592,Diversitech SpeediChannel 230-WC4 wall cover 105 mm,Diversitech,9.74,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-WC4 105mm wall penetration cover is used to provide a clean transition from the channel to a through-wall penetration. The sleeve ensures a clean hole while the cover conceals the lineset. Screws are included for ease of fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-WC4 wall cover 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/92/613592_wm.jpg,SpeediChannel,,,,N,,,230-WC4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,
22,P613556,Diversitech SpeediChannel 230-DE4 duct end 105 mm,Diversitech,4.73,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-DE4 105mm duct end terminates the run of a channel, converting it to a smaller opening large enough to allow the lineset and condensate drain line to pass through.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-DE4 duct end 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/56/613556_wm.jpg,SpeediChannel,,,,N,,,230-DE4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,
23,P613597,Diversitech SpeediChannel 230-WR4W wall rosette 105 mm White,Diversitech,3.17,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-WR4W 105mm wall rosette or escutcheon covers an unsightly opening in a wall or ceiling. With a centred hole to allow for a freestanding channel to pass through, this two-part rosette is designed to simply snap into place on the channel.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-WR4W wall rosette 105 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/97/613597_wm.jpg,SpeediChannel,,,,N,,,230-WR4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,White colour,,,,,,,,,,,,
24,P613551,Diversitech SpeediChannel 230-DC3W duct cap 70 mm White,Diversitech,2.57,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-DC3W 70mm duct cap is used to securely cap the end of a channel.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-DC3W duct cap 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/51/613551_wm.jpg,SpeediChannel,,,,N,,,230-DC3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,White colour,,,,,,,,,,,,
25,P613573,Diversitech SpeediChannel 230-FB4W flat bend 90 degree 105 mm White,Diversitech,9.68,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-FB4W 105mm 90° flat bend routes a lineset around an obstacle where required. Individually packed, this elbow is supplied with screws for ease of fixing.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-FB4W flat bend 90 degree 105 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/73/613573_wm.jpg,SpeediChannel,,,,N,,,230-FB4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,
26,P613580,Diversitech SpeediChannel 230-FR4 flat rosette 105 mm,Diversitech,2.86,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-FR4 105mm flat wall rosette or escutcheon covers an unsightly opening in a soffit, wall or ceiling. One side of the rosette is flat to allow for a channel run to pass through to an adjacent wall or ceiling.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-FR4 flat rosette 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/80/613580_wm.jpg,SpeediChannel,,,,N,,,230-FR4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Two-part construction snaps onto channel,,,,,,,,,,,,
27,P613581,Diversitech SpeediChannel 230-FR4W flat rosette 105 mm White,Diversitech,2.86,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-FR4W 105mm flat wall rosette or escutcheon covers an unsightly opening in a soffit, wall or ceiling. One side of the rosette is flat to allow for a channel run to pass through to an adjacent wall or ceiling.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Diversitech SpeediChannel 230-FR4W flat rosette 105 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/81/613581_wm.jpg,SpeediChannel,,,,N,,,230-FR4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Two-part construction snaps onto channel,White colour,,,,,,,,,,,
