,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Colour,Feature 3,Feature 4,Feature 5,Range,Length (M),Dimensions mm (H x W x D),Application,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Part Gas Council number,Model For Use With,By Model Number,Diameter,Range For Use With,Weight
11,P147202,Viessmann standard concentric flue extension pipe 60/100mm dia 1.95mtr,Viessmann,74.12,"Extend the length of a flue by 1.95M, inside or out, with this Viessmann 60/100mm balanced standard concentric flue extension pipe.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann standard concentric flue extension pipe 60/100mm dia 1.95mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/02/147202_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Gas_Boiler_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P147214,Viessmann lead roof tile 125mm dia Black,Viessmann,61.76,This Viessmann 125mm lead roof tile in black is suitable for use when fitting the Viessmann Vitodens 60/100mm flue system.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann lead roof tile 125mm dia Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/14/147214_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Gas_Boiler_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P415588,Keston exhaust terminal,Keston,20.84,"A Keston terminal for the flue of Keston C, Keston K, Qudos and Celsius units.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Keston exhaust terminal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/88/415588_wm.jpg,,,N,Flue,"Keston C, Keston K, Qudos, Celsius",B17116002,Terminal,N,"Suitable for use with Keston C, Keston K, Qudos and Celsius units",Manufacturer part number B17116002,,Exhaust terminal only,,,,,,,,,,,,,,,,,,,,,H43310,"C40, C55, K170, 28s, 25, Q37, C40 P, K130, 28hP, Q37P, C36P, C55 P, K130 P, 25P, K170 P, 28h, C36, KC25, 28sP","K130,28h,C55,25,C40 P,C36,25P,28S,k170 P,Q37,28sP,C36P,K130 P,KC25,28hP,C55 P,K170,Q37P,C40",,,
14,P127278,Vokera flue extension 1mtr,Vokera,67.97,"This Vokera 1M flue extension provides additional flexibility when siting a Compact, Easi-Heat Plus, Excel, Vision or Vision Plus boiler.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Vokera flue extension 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/78/127278_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/06/19/Vokera_Product_Guide_ED3_0619.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Easi-Heat_Plus_C_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P422127,Ariston Intake Plug,Ariston,5.89,"A genuine Ariston spare part, this intake plug is suitable for Clas, Clas One, Clas Premium, Combi A, E-Combi, Matis, Genus, Genus One, Egis, Alteas One, Cares One and E-System units.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Ariston Intake Plug,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/27/422127_wm.jpg,,,N,Flue,"Clas, Clas One, Clas Premium, Combi A, E-Combi, Matis, Genus, Genus One, Egis, Alteas One, Cares One, E-System",65104295,Intake Plug,N,Genuine Ariston spare part,,,,,,,,,,,,,,,,,,,,,,,,H74304,"28 FF (IE), HE R 24, Clas One 38, EVO SYSTEM 24, 24 FF, One 30, Matis Condens 24, 21 FF SYSTEM (IE), HE EVO 30 EU, HE SYSTEM 18, HE SYSTEM EVO 30 EU, Clas One 24, Clas One 35, EVO 24, EVO 30 FF, HE SYSTEM 30, One System 24, Matis Condens 30 EU, HE 30, HE","HE SYSTEM EVO 24,Cares One 30,Clas One 30,Clas Net One 38,HE SYSTEM EVO 18,24 FF (IE),HE EVO 38 EU,Cares One 24 LPG,28 FF SYSTEM (IE),Cares One 30 LPG,HE SYSTEM EVO 18 EU,HE EVO 24,HE 24,HE R 24,HE R 12,28 FF (IE),Clas One 38,Clas Net One 30,Clas One Sys",,,
16,P147200,Viessmann 45deg standard concentric flue elbow 60/100mm dia (Pair),Viessmann,62.38,Standard concentric 45 degree flue elbow for use with a 60/100 mm diameter pipe.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann 45deg standard concentric flue elbow 60/100mm dia (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/00/147200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Gas_Boiler_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P175621,Parts flue support bracket kit 125mm White,Parts,16.24,This Universal flue bracket kit designed for use for boilers using flue extentions.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Parts flue support bracket kit 125mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/21/175621_wm.jpg,,,N,Flue,Worcester,WOL175621,Bracket Kit,N,Suitable for use with most boiler fluing solutionsstrong clips for fastening flue pipe,,,,,,,,,,,,,,,,,,,,,,,,,Worcester Bosch Boiler,,125,,
18,P449368,Morco RSF303 horizontal flue,Morco,45.6,Horizontal Flue,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Morco RSF303 horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/68/NW-449368_wm.jpg,,,N,Flue,GB BOILERS,RSF303,,N,For horiztonal installation,Suitable for GB boilers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P479900,Vokera flue drain connection,Vokera,13.25,"This Vokera flue drain connection is suitable for use with Compact, Easi-Heat Plus, Linea, Mynute i, Procombi, Sabre, Unica, Vision, Excel, Mynute HE, Mynute VHE, Vibe, Maxim and Mynute boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Vokera flue drain connection,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/00/479900_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Unica_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P101591,"Turner and Wilson terminal for Gas only 5""",Turner and Wilson,7.73,"Measuring 5"", this Turner and Wilson GC1 flue terminal/cowl fits to the top of a flue liner. It is used to keep rain from entering a flue stack and chimney liner.","Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Turner and Wilson terminal for Gas only 5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/91/101591_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Turner_Wilson_Liner_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P468162,Biasi flue outlet gasket,Biasi,6.96,"A Biasi brand spare, this flue outlet gasket is for use in Activ A, Activ A Plus, Advance, Advance Plus, Garda HE, Garda HE Plus, Inovia, Parva, Riva Advance, Riva Compact HE and Riva Plus HE boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Biasi flue outlet gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/62/468162_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Biasi_M96_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P147205,Viessmann standard concentric flue mounting clip 100mm dia,Viessmann,8.65,"Suitable for use both inside and outside, this Viessmann metallic mounting clip in white is used for the fitting of a boiler flue.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann standard concentric flue mounting clip 100mm dia,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/05/147205_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Gas_Boiler_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P460087,Biasi flue NTC,Biasi,17.24,"A genuine Biasi part, this NTC flue thermistor is suitable for use in Activ A, Activ A Plus, Advance Plus, Garda HE Plus, Inovia and Riva Advance appliances.  The thermistor decreases circuit resistance in line with temperature increases. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Biasi flue NTC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/87/460087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Biasi_Advance_Plus_25C_30S_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P114527,Warmflow F7 45deg bend,Warmflow,71.63,"Suitable for use with the Warmflow Agentis internal oil boiler flue system, this Warmflow 45° elbow is part of the HE range of flue kit accessories. Made using high quality materials, this range helps to make flue fitting easier and more flexible while maintaining excellent levels of efficiency.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Warmflow F7 45deg bend,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/27/114527_wm.jpg,,,N,,,F7UK,Elbow,N,For use with HE flue kits,Offers greater flue siting flexibility,,Easy mounting and installation,Boiler-mounted,White finish,,,185mm x 135mm,For use with Warmflow Agentis internal oil boiler flue systems,,,,,,,,,,,,,,,,,,,,
25,P449371,Morco RSF341 flue extension 1mtr,Morco,41.79,1m Flue Extension,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Morco RSF341 flue extension 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/71/NW-449371_wm.jpg,,,N,Flue,GB BOILERS,RSF341,,N,1M length,Extends flue reach,,For use on GB boilers,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P333746,Viessmann Standard Concentric Vertical Flue Terminal 60/100mm Dia,Viessmann,95.0,"This Viessmann Vitodens 7373230 60/100mm vertical flue provides fast, stress-free fitting and reliable expulsion of steam and gases produced during boiler operation.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann Standard Concentric Vertical Flue Terminal 60/100mm Dia,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/99/147199_wm.jpg,,,N,Flue,Vitodens,333746 PK,Vertical Flue Terminal,N,Gas-tight push-fit connections for quick installation and reduced need for flue pipe cutting,No special tools required,White,Anti-corrosion finish designed to last the lifetime of the boiler,,,,,,,,,,,,,,,,,,,,,,,,,Vitodens,
27,P449369,Morco RSF345 vertical flue,Morco,91.68,Vertical Flue,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Morco RSF345 vertical flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/69/NW-449369_wm.jpg,,,N,Flue,GB BOILERS,RSF345,,N,For vertical installation,Suitable for use on GB boilers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P550019,Center CB flue brush kit 7 Piece,Center CB,12.63,Center CB flue brush kit contains 7 brushes.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Center CB flue brush kit 7 Piece,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/19/NW-550019_wm.jpg,,,N,Flue,,1019,Brush Kit,N,Each set comprises of:,1 x 305mm ( 12 inches) handle,,1 x 125mm ( 5 inches ) handle,1 x 305mm ( 12 inches) Extension rod,"1 x Brush elliptical head, nylon, 50mm dia x 305mm long",,,,,"1 x Brush head, nylon, 50mm dia x 203mm long","1 x Brush head, nylon, 50mm dia x 12",5mm long,1 x 12” Flat Cleaning Blade,,,,,,,,,,,,Domestic Purpose,,,,
