,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 6,Feature 3,Feature 4,Feature 5,Feature 6,Dimensions (L x W x D),Drainage Product Type,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Application,Feature 7,Pack Quantity,Paintable
10,PF13495,Center CB compression coupling 40mm,Center CB,2.24,"Center CB compression coupling is made of polypropylene. The Center compression waste range is the system of choice for many installers. Designed with a universal jointing system, this quick fitting system enables easy connections to new and existing plastic or copper waste pipes. Constructed from white polypropylene for exceptional strength and durability.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Center CB compression coupling 40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/95/NW-F13495_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PF47311,"McAlpine FLEXCON2 half drain flexible connector 1.1/2""",McAlpine,6.75,"Made of polypropylene, this McAlpine 1 1/2 x 1 1/2"" flexible connector incorporates universal x plain spigot connections.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> McAlpine FLEXCON2 half drain flexible connector 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/11/NW-F47310_F47311_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47311_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PF68162,Polypipe Solvent Weld Overflow Waste reducer 32 x 21.5mm White,Polypipe,3.26,"Suitable for domestic use, this Polypipe overflow system reducer is made of white plastic and incorporates 32mm to 21.5mm solvent weld connections.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Polypipe Solvent Weld Overflow Waste reducer 32 x 21.5mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/62/NW-F68162_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PF95209,Wavin HepVo tundish adaptor kit 32mm White,Wavin,46.45,"This Wavin HepvO 32mm tundish adapter kit is made of polypropylene (PP) and includes compression connections. Fittings in the HepvO range are suitable for use in sanitary appliances such as basins, kitchen sinks or showers and are also suitable for installation on discharge pipework from unvented domestic hot water systems and condensate lines from boilers and air conditioning units.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Wavin HepVo tundish adaptor kit 32mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/09/NW-F95209_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_HepVo_Plastic_Products_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_Kitemark_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Osma_Waste_Water_Drain_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Wavin_HepVo_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PF16264,Center CB ABS and pushfit pipe clip 32mm Black,Center CB,0.49,"Center CB pipe clip is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Center CB ABS and pushfit pipe clip 32mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/64/NW-F16264_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PF16258,Center CB ABS straight coupling 32mm Black,Center CB,1.78,"This Center CB 32mm straight coupling is part of the Center ABS solvent weld waste range, a collection of products ideally suited to creating connections from sanitary appliances to a soil stack or back inlet drain gully. Solvent weld connections ensure a sturdy, permanent joint with the straightforward application of solvent weld cement to the pipe spigot and fitting socket.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Center CB ABS straight coupling 32mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/58/NW-F16258_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PF16337,Center CB reducer 32-21.5mm White,Center CB,1.63,"Center CB reducer is made of plastic. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Center CB reducer 32-21.5mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/37/NW-F16337_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/CenterCB_Drainage_Prod_Guide_Feb2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P697049,"Aspen Pumps Xtra straight connector 3/4"" Black (Pack of 5)",Aspen Pumps,5.88,"Made of uPVC, this Aspen Pumps Xtra 15mm straight connector has a smooth internal finish for a lower coefficient of flow friction, helping to prevent build-up of debris, bacteria and blockages.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Aspen Pumps Xtra straight connector 3/4"" Black (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-697049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PF57781,Geberit HDPE HDPE duofix straight connector 110mm,Geberit,20.04,"Made of high density polyethylene (HDPE), this Geberit HDPE straight connector with ring seal socket for wall-hung WCs, incorporating 110 x 90mm push-fit x plain end connections, is suitable for a range of uses in building and roof drainage in industrial, commercial and laboratory settings and can be installed in-ground, in concrete or during bridge construction. This fitting is additionally suitable for conventional or siphonic roof drainage systems and in land drainage systems.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Geberit HDPE HDPE duofix straight connector 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/81/NW-F57781_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Geberit_HDPE_Silent_db20_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_DrainageSystem_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PF15304,"Center CB pipe clip 2"" White",Center CB,0.78,"Center CB pipe clip is made of ABS. The Center push-fit waste range uses a simple, highly effective ring seal jointing system that's ideally suited to installations where speed is paramount. Completely demountable, this range provides a cost-effective solution where new systems are being installed or existing systems are being modified.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Center CB pipe clip 2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/04/NW-F15304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PF00474,McAlpine wall flange 42mm Chrome,McAlpine,9.06,"Made of brass, this McAlpine 1 1/2"" wall flange is finished in chrome-plate.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> McAlpine wall flange 42mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/74/NW-F00474_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F00474_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PQ66699,Wavin Osma Overflow ABS double socket 21.5mm White,Wavin,2.95,"Made of white ABS, this Wavin Osma Overflow 21.5mm double socket connects solvent weld pipe. This fitting is part of a solvent weld system designed to remove overflow water from condensing boilers and cisterns or tanks.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Wavin Osma Overflow ABS double socket 21.5mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/99/NW-Q66699_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wavin_Osma_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_ABS_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Wavin_Plumb_&_Drain_Product_Overview.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PF14956,Center CB adjustable length straight pan connector,Center CB,50.45,"This Center CB 100mm push-fit adjustable 255 to 550mm length straight pan connector is made of polypropylene (PP). The Center CB pan connectors range offers a variety of connection types, making an often awkward job as easy as possible.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Center CB adjustable length straight pan connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/56/NW-F14956_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PF16284,Center CB pushfit ABS pipe clip 40mm Black,Center CB,0.47,"Center CB pipe clip is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Center CB pushfit ABS pipe clip 40mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/84/NW-F16284_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PF16336,Center CB reducer 40-21.5mm White,Center CB,1.99,"Center CB reducer is made of plastic. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Center CB reducer 40-21.5mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/36/NW-F16336_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/CenterCB_Drainage_Prod_Guide_Feb2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PF16286,Center CB ABS adaptor male iron 40mm,Center CB,5.12,"Center CB male iron adaptor is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Center CB ABS adaptor male iron 40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/86/NW-F16286_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PF11909,Wavin Wavin OsmaSoil waste adaptor 110 x 32/40mm Black,Wavin,14.26,"This Wavin OsmaSoil 110 x 32/40mm waste adapter is made of black PVC and has push-fit connections for easy yet secure fitting. Designed for sanitary waste removal, the PVC-u OsmaSoil system is available in a wide variety of sizes and colours with both push-fit and solvent weld options to suit your installation.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> Wavin Wavin OsmaSoil waste adaptor 110 x 32/40mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/09/F11909_wm.jpg,,,,,,Black,110mm,Push Fit,110,Wavin OsmaSoil,1 year,0.176 kg,N,Rubber,BS EN 1329-1:2000,4S298,Adaptor,N,Specialist fittings: Within the OsmaSoil range you'll find a number of specialist fitting to make installations easier,"Specialist seal technology: OsmaSoil pipe and fittings have excellent seal integrity. This is due to an innovative co-moulded seal and cap, ensuring the seals do not dislodge and retain airtight socketed pipes via a co-moulded poplypropylene ring which is retained inside the socket",,,,,,,,,,,,,,,
27,PF00473,McAlpine wall flange 35mm Chrome,McAlpine,7.01,"Made of brass with a chrome-plated finish, this McAlpine 35mm wall flange is fitted with a push-fit connection for ease of installation.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Fittings.csv -> McAlpine wall flange 35mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/73/F00473_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_AirAdmittanceValve_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_PlumbingProducts_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
