,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Range,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Finish,Feature 11,Feature 12,Feature 13
10,PT04230,Ideal Standard Tesi 2 hole dual bath filler,Ideal Standard,182.01,"The elegant Ideal Standard Tesi bath filler combines smooth geometric lines with curves for a design that looks good in any bathroom. With dual control ceramic disc operation, this deck-mounted chrome tap provides effortless usability.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Ideal Standard Tesi 2 hole dual bath filler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/30/NW-T04230_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Tesi_A6590AA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/IS_Tesi_A6590_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/IS_Tesi_A6590_SpareGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/IS_Bathrooms_Brchr_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PD10034,Bristan Orta bath filler tap Chrome Plated pack,Bristan,84.0,"Uniquely designed for a modern bathroom, the Bristan Orta bath filler offers a dynamic forward slant combined with a classic chrome finish. Suitable for all plumbing systems, this contemporary deck-mounted filler is constructed in long lasting brass.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Bristan Orta bath filler tap Chrome Plated pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/34/NW-D10034_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Collection_2011_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D10034_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Orta_Tap_Range_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PA05431,Nabis Regal deck mounted bath filler tap,Nabis,120.85,"Traditionally designed, the Nabis Regal bath filler is ideal for installation in a period bathroom. Deck-mounted and featuring durable and stylish crosshead handles, this smart mixer is made of robust brass with a neat chrome finish. It is suitable for use in all pressure systems.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Nabis Regal deck mounted bath filler tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/31/NW-A05431_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Regal_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/A05431_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT04226,Ideal Standard Tesi single lever basin mixer tap without waste,Ideal Standard,111.23,"The elegant Ideal Standard Tesi basin mixer combines smooth geometric lines with curves for a design that looks good in any bathroom. Operated via a single lever, this deck-mounted chrome tap provides effortless usability.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Ideal Standard Tesi single lever basin mixer tap without waste,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/26/NW-T04226_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Tesi_A6587AA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/IS_Bathrooms_Brchr_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PA05020,* NAB BARFORD LEVER 2 TH BATH FILLER,Nabis,84.3,"A high quality choice, the Nabis Barford bath filler with 1/2"" ceramic disc valves has a contemporary look ideal for modern bathrooms. This tap is built from tough brass with a chrome finish and is lever-operated.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> * NAB BARFORD LEVER 2 TH BATH FILLER,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/20/NW-A05020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap_Spares_Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Barford_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PA05427,Nabis Vector bath mixer tap,Nabis,143.3,"The Nabis Vector bath tap offers a smart cubic design ideal for modern bathrooms. Built in a hardwearing brass with a zinc handle and chrome finish, this deck-mounted tap is compatible with pressure systems.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Nabis Vector bath mixer tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/27/NW-A05427_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares List_May 2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05427_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Vector_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PA05493,Nabis Galene lever 2-tap hole bath filler tap Chrome,Nabis,65.17,"Nabis Galene bath filler with 3/4 inch ceramic disc valve, suits the styling of different bathroom designs depending on user requirement along with high level of quality.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Nabis Galene lever 2-tap hole bath filler tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/93/NW-A05493_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Galene_Tap_Range_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PC69082,Bristan Orta bath filler tap Chrome Plated,Bristan,139.61,"Uniquely designed for a modern bathroom, the Bristan Orta bath filler offers a dynamic forward slant combined with a classic chrome finish. Suitable for all plumbing systems, this contemporary deck-mounted filler is constructed in long lasting brass.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Bristan Orta bath filler tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/34/NW-D10034_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_OR_BF_C_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Orta_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_OR_BF_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PA05024,Nabis Ossia two tap hole bath filler tap Chrome,Nabis,71.89,"Suitable for a wide range of bathroom styles, the modern Nabis Ossia bath filler is built in a tough brass with a crowd-pleasing metallic chrome finish. A 3/4"" ceramic disc cartridge makes operation of this tap smooth and precise.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Nabis Ossia two tap hole bath filler tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/24/NW-A05024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap_Spares_Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Ossia_Corda_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT04228,Ideal Standard Tesi single lever basin mixer without waste,Ideal Standard,111.23,"The elegant Ideal Standard Tesi mini basin mixer combines smooth geometric lines with curves for a design that looks good in any bathroom. Fitted with a flow regulator and ceramic discs, this compact, deck-mounted chrome tap provides effortless usability and water economy.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Ideal Standard Tesi single lever basin mixer without waste,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/28/NW-T04228_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Tesi_A6588AA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/IS_Bathrooms_Brchr_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PA05407,Nabis Alia monobloc bath filler tap,Nabis,148.87,"Modern in design, this Nabis Alia 45mm monobloc bath filler tap has a glossy chrome finish to suit any modern interior. The Alia range is designed to make the most of smaller bathroom spaces.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Nabis Alia monobloc bath filler tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/07/NW-A05407_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/A05407_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap_Spares_Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Alia_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
