,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 3,Attachment 4,Attachment 5,Length (M),Double Sided,Diameter,Range,Weight,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Connection Type 2,Attachment 6,Attachment 7,Attachment 8,Application,Feature 9,Pack Quantity
11,PF15220,Center CB Silicone Lubricant PHCB041 Silicone Lubricant 500Grm (1),Center CB,21.5,This water-repellent Center CB silicone lubricant grease is suitable for use in hot and cold water systems up to 65°C.,Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center CB Silicone Lubricant PHCB041 Silicone Lubricant 500Grm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/20/NW-F15220_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_F15220_MSDS.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_F15220_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
12,P327730,Advance Tapes closure plate tape 50mm x 25mtr,Advance Tapes,11.25,"This Advance Tapes 50mm premier closure plate tape is made of a polythene extruded gloss cloth with a Sure-fire thermosetting, solvent-free rubber-resin adhesive.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Advance Tapes closure plate tape 50mm x 25mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/30/NW-327730_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Advance_Tapes_Cloth_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Advance_Tapes_AT293_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PN37665,Center CB Shower and Sanitaryware Silicone Clear 300ml,Center CB,4.93,"A single component sealant based on silicones, this Center CB clear shower and sanitary sealant offers an elastic finish for joints in bathrooms and kitchens, top sealing in glazing, refrigerator sealing, container construction and air-conditioning systems.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center CB Shower and Sanitaryware Silicone Clear 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ro/nt/N37665-FRONT_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT80170,JET Range anti corrosion tape 50mm x 10m roll,JET Range,10.25,This JET Range 50mm anti-corrosion tape is designed to protect steelwork pipe and metal fittings. It is made of a non-rotting synthetic fibre fabric which has been impregnated and coated with a compound based on petrolatum and inert fillers.,Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> JET Range anti corrosion tape 50mm x 10m roll,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/70/NW_T80170_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/v2/Anti Corrossion Tape V2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PS91643,Bostik Evo-Stik sticks like sh*t adhesive,Bostik,6.99,"A high performance single component adhesive, Bostik Evo-Stik Sticks Like Sh*t white moisture curing Silyl Modified Polymer (SMP) adhesive will bond most surfaces, even if both are impervious. This low odour adhesive dries hard for an elastic rubber finish with almost no shrinkage and can be applied to damp or wet surfaces. Containing no water or solvent, Sticks Like Sh*t it ideal for bonding foam polystyrene sheets.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Bostik Evo-Stik sticks like sh*t adhesive,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/43/NW-S91643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Smart_Adhesives_P_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/BostikEvoStik_SticksLikeAdhesive_SDS.pdf,,,,,,,,,,,,,,,,,,,,,
16,PN61600,Center CB waterproof duct tape 50mm x 50mtr Black,Center CB,7.75,"A must-have for general maintenance, this Center CB 50mm black waterproof duct tape is a vinyl cloth reinforced tape with adhesive backing, ideal for temporary repair work. It is suitable for a wide range of tasks, from sealing and insulating to hole closure, repairs, masking, packaging, holding and bundling, and for both interior and exterior use.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center CB waterproof duct tape 50mm x 50mtr Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/00/NW-N61600_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CB_Duct_Tape_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PN37676,Center CB hand held foam 750ml,Center CB,10.26,"A single component, self-expanding polyurethane foam, this Center CB gun-grade fixing foam B3 with CFC-free propellant is supplied ready to use and contains completely harmless propellants. It is suitable for use in the installation of window and door frames, for filling cavities, sealing all openings in roof constructions and creation of soundproof screens. It is additionally ideal for the mounting and sealing of window and door frames, connecting insulation materials, roof constructions, applying soundproofing layers on motors, improving the thermal insulation in a cooling systems and installation of air conditioners.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center CB hand held foam 750ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/76/NW-N37676_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P571984,Center CB gas PTFE tape 5mtr x 12mm x 0.2mm (1),Center CB,0.38,"Center CB gas thread-sealing PTFE tape is a full density tape designed specifically for gas applications where threaded or compression fittings are used. This versatile tape is compatible with a wide array of gases and liquids and is suitable for use on multiple types of materials including plastic, brass, copper, aluminium, steel, galvanised steel and iron. This WRAS approved tape also benefits from being non-toxic and non-flammable and will not harden or crack on joints. It is used in the applications of plumbing, heating, automotive, mechanical, hydraulic and pneumatic systems.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center CB gas PTFE tape 5mtr x 12mm x 0.2mm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/84/NW-571984_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Center_CB_Tapes_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P115259,JET Range aluminium tape 40 micron 50mm 45mtr,JET Range,7.99,"Ideal for use in HVAC applications, this JET Range 50mm aluminium tape combines performance and usability thanks to an enhanced 40 micron thick soft aluminium surface, more resistant to tearing and offering higher thermal resistance compared to the more commonly found 30 micron tapes. With an easy-release liner for stress-free application, this tape is ideal for sealing foil-faced insulation products such as pipe insulation, aluminium insulation boards and flexible air duct seams and connections.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> JET Range aluminium tape 40 micron 50mm 45mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/59/NW-115259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_115259-115260_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PN45676,CT1 miracle seal 250ml,CT1,14.16,"Providing a permanent solution to leaks, CT1 Miracle Seal sealant seals instantly and remains in the system for effective use in domestic and automotive applications. Ideal for heating systems, underfloor heating systems and solar panels, Miracle Seal is a water-based suspension of non-clogging particles, anti-corrosion and lubricating additives for quick emergency repairs which can be permanent in smaller leaks. These soft particles won't clog radiators or influence mechanical cooling system parts, making it compatible with all types of radiators and all water-based coolants.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> CT1 miracle seal 250ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/76/NW-N45676_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_Miracle_Seal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CT1_Miracle_Seal_MSDS.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_MiracleSeal_Industrial_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_MiracleSeal_Automotive_Technical.pdf,,,,,,,,,,,,,,,,,,,,
21,PT16507,Henkel Loctite pipe thread sealant 250ml,Henkel,119.9,"Suitable for straight or taper-straight connections, Loctite 577 medium strength general purpose thread sealant fills clearances between threads and seals, braking them at the same time. Providing instant low pressure sealing for metal threaded pipes and fittings and other threaded assemblies, Loctite 577 won't loosen, shrink or crack and has good chemical and thermal resistance.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Henkel Loctite pipe thread sealant 250ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/08/T16507_T16508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Loctite_577_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/T16507_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P691366,Emkarate RL RL68H Lubricant 5ltr,Emkarate,209.59,"Suitable for initial and service fill, Emkarate RL ISO VG 68 synthetic polyol ester (POE) lubricant is formulated for use in refrigeration and air-conditioning compressors using HFC refrigerants. Offering effective wear protection for steel and aluminium surfaces, this product increases system life and improves efficiency. Emkarate RL 68H is suitable for use over a wide operating temperature range, thanks to low temperature characteristics and chemical and thermal stability.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Emkarate RL RL68H Lubricant 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/66/NW-691366_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Chemical_Lubricant_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Emkarate_RL68H_Technical.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Emkarate_RL68H_SDS.pdf,,,,,,,,,,,,,,,,,,,,,
