,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Hazardous,Material,Size,Total Pack Quantity,Washer Type,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range,Feature 4,Type,Material Type,Attachment 2,Hole Depth,Operating Temperature,Size (oz),Washer-Exterior Dia,Washer-Internal Dia,Outer Diameter,Feature 5
10,P257454,"Center Washers flat tap washer 3/4"" (5)",Center,2.02,"Suitable for a variety of tap sizes, these Center 3/4"" flat tap washers are used to repair worn and leaking taps.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center Washers flat tap washer 3/4"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/54/257454_wm.jpg,,5,N,Rubber,3/4,5,Flat Washer,PPSTAP374522,N,Pack of 5,Thermoplastic rubber/evoprene 964 construction,Black colour,Washers,Fits most standard taps,,,,,,,,,,
11,P257465,"Center pillar tap poly washer 3/4"" (10)",Center,2.18,"Ensuring a watertight seal, these Center 3/4"" poly washers are for use when fitting or repairing a pillar tap.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center pillar tap poly washer 3/4"" (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/65/257465_wm.jpg,,10,N,Polyethylene,3/4,10,N/A,PPSTAN374515,N,Pack of 10,Low density polyethylene construction,,,,,,,,,,,,,
12,P439217,"Regin fibre washers 1""",Regin,2.48,"These Regin 30 x 3mm diverter valve washers, with 21.7mm inside diameter, are made of a general purpose commercial non-asbestos fibre material suitable for oils, fuels, low pressure steam and water. These washers offer excellent resistance to gas leakage.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Regin fibre washers 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/18/NW-439217_439218_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,
13,PC59029,Thomas Dudley Dudley close coupling washer to suit outlet of 2inches (1),Thomas Dudley,1.45,"This Masefield close coupling washer is suitable for a 2"" outlet.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Thomas Dudley Dudley close coupling washer to suit outlet of 2inches (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/29/NW-C59029_wm.jpg,,1,N,EPDM Foam,75x75,1,Coupling Washer,PTOCCS367494,N,Conforms to DIN 125A,Bright zinc plate (BZP) finish offers resistance to corrosion,,Dudley,,Washer,,,,,,,,,
14,P257464,"Center pillar tap poly washer 1/2"" (10)",Center,2.18,"Ensuring a watertight seal, these Center 1/2"" poly washers are for use when fitting or repairing a pillar tap.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center pillar tap poly washer 1/2"" (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/64/257464_wm.jpg,,10,N,Polyethylene,12,10,N/A,PPSTAP374516,N,Pack of 10,Low density polythene construction,,,,,,,,,,,,,
15,PT83609,JET Range zinc plated penny washer 30mm (m8) (250),JET Range,0.2,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated penny washer 30mm (m8) (250)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/09/NW-T83608_T83609_wm.jpg,,250,N,Steel,30mm,,Penny Washer,.8M30WMGOZ,N,Reliable,Easy to replace,,,,Penny,BZP Steel,,,,,,,,
16,P257458,"Center shower hose washer 1/2"" (5)",Center,1.44,"A handy spare, these Center 1/2"" shower hose washers ensure a watertight seal.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center shower hose washer 1/2"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/58/257458_wm.jpg,,5,N,Fibre,12,5,N/A,PPSSER374509,N,Pack of 5,Fibre construction,,,,,,,,,,,,,
17,P257489,Center diaphragm washer 29 mm (1),Center,5.0,This Siamp 29mm diaphragm washer is a suitable replacement part for the repair of the brand's inlet valves.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center diaphragm washer 29 mm (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/89/257489_wm.jpg,,1,N,RubberPlastic,29 mm,1,N/A,PPSWAT374534,N,Rubber and plastic construction,"For fast, easy replacement",,,,,,,,,,,,,
18,P257453,Center tap hole stopper Chrome (10),Center,2.41,"A pack of Center 1/2"" flat taphole stoppers with chrome finish.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center tap hole stopper Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/53/257453_wm.jpg,,10,N,Rubber,12,10,N/A,PPSTAP374521,N,Pack of 10,Thermoplastic rubber/evoprene 964 construction,Chrome finish,,Fits most standard taps,,,,,,,,,,
19,P257456,"Center rubber trap washer 1 1/4"" (5)",Center,1.4,"This pack of 2mm thickness Center 1 1/4"" rubber trap washers are suitable for replacing worn washers on trap inlets.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center rubber trap washer 1 1/4"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/56/257456_wm.jpg,,5,N,Rubber,1.1/4,5,N/A,PPSTAP374519,N,Pack of 5,Rubber construction,,,,,,,,,,,,,
20,PM92104,M Greenaway And Son square plate washer BZP M10 x 5mm,M Greenaway And Son,1.98,These M Greenaway And Son 41 x 41 x 5mm square plate washer with 11mm inside diameter is made of mild steel with a bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> M Greenaway And Son square plate washer BZP M10 x 5mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/04/NW-M92104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Channel_2015.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1042_6_Technical.pdf,,,,,,,
21,PC40971,"Center CB top hat washer 1/2"" (Pack of 2)",Center CB,1.58,"These Center CB 1/2"" top hat washers are made of plastic.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center CB top hat washer 1/2"" (Pack of 2)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/72/NW-C40971_C40972_wm.jpg,,Pack of 2,N,Plastic,12,2,Top Hat Washer,UDC/40/971,N,Pack of 2,White colour,Operating temperature 0 to 60°C,,5 year warranty,Top Hat,,,80,0 to 60,M6,-,-,-,
22,PC58911,Thomas Dudley Dudley fibre and rubber washer box,Thomas Dudley,13.36,This handy Masefield washer kit includes the the most commonly used washers in domestic plumbing.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Thomas Dudley Dudley fibre and rubber washer box",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/11/NW-C58911_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
23,P257455,Center delta tap washer 1/2 (5),Center,1.87,"An ideal replacement for Delta tap washers, these Center 1/2"" tap washers are supplied in a useful pack of five.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center delta tap washer 1/2 (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/55/257455_wm.jpg,,5,N,Rubber,12,5,Tap Washer,PPSTAP374524,N,Pack of 5,Thermoplastic rubber/evoprene 964 construction,Black colour,,,,,,,,,,,,
24,P257462,Center top hat washer 1/2 (2),Center,1.37,"Useful space seals, these Center 3/4"" top hat washers provide a pliable surface next to the sink on which to sit a plastic nut.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center top hat washer 1/2 (2)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/62/257462_wm.jpg,,2,N,Plastic,12,2,N/A,PPSCCS374427,N,Pack of 2,High quality HD polyethylene construction,,,,,,,,,,,,,
25,PT83586,JET Range zinc plated b-washer (m8) (1000),JET Range,0.2,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated b-washer (m8) (1000)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,1000,N,Steel,M8,,Flat Washer,.8MWFBOZ,N,Reliable,Easy to replace,,,,Form B,BZP Steel,,,,,,,,
26,PT83584,JET Range zinc plated b-washer (m24) (100),JET Range,0.62,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated b-washer (m24) (100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,100,N,Steel,M24,,Flat Washer,.24MWFBOZ,N,Reliable,Easy to replace,,,,Form B,BZP Steel,,,,,,,,
27,P257467,Center sink poly washer 1 1/4 (5),Center,3.92,"Ensuring a watertight seal, these Center 1 1/4"" sink poly washers are for use when fitting or repairing a pillar tap.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center sink poly washer 1 1/4 (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/67/257467_wm.jpg,,5,N,Polyethylene,1.1/4,5,N/A,PPSTRA374527,N,Pack of 5,Low density polyethylene construction,,,,,,,,,,,,,
28,PIN8089,Unifix mudguard washer BZP 8 x 25mm (Pack of 20),Unifix,8.72,"These Unifix 8mm inside diameter, 25mm outside diameter mudguard washers are made of steel with bright zinc plate coating. These washers are also known as repair or penny washers.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Unifix mudguard washer BZP 8 x 25mm (Pack of 20)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/89/NW-IN8089_wm.jpg,,Pack of 20,N,Steel,8 (ID) x 25 (OD) mm,20,Mudguard Washer,UB5209,N,Pack of 20,Large outside diameter for distributing load,Bright zinc-plated,,Silver colour,Mudguard Washer,,,,,,,,,
29,PT83588,JET Range zinc plated b-washer (m12) (500),JET Range,0.16,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated b-washer (m12) (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,500,N,Steel,M12,,Flat Washer,.12MWFBOZ,N,Reliable,Easy to replace,,,,Form B,BZP Steel,,,,,,,,
30,PT83590,JET Range zinc plated b-washer (m20) (250),JET Range,0.45,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated b-washer (m20) (250)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,250,N,Steel,M20,,Flat Washer,.20MWFBOZ,N,Reliable,Easy to replace,,,,Form B,BZP Steel,,,,,,,,
31,PIS5335,Owlett Jaton steel washer m6 Bright Zinc Plated (Pack of 30),Owlett Jaton,7.64,These Owlett Jaton M6 flat round washers are made of steel with a bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Owlett Jaton steel washer m6 Bright Zinc Plated (Pack of 30)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/38/NW-IS5335_IS5338_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Owlett_Jaton_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
32,PT83613,JET Range zinc plated penny washer 40mm (m10) (100),JET Range,0.37,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated penny washer 40mm (m10) (100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/14/NW-T83611_T83614_wm.jpg,,100,N,Steel,40 mm,,Penny Washer,.10M40WMGOZ,N,Reliable,Easy to replace,,,,Washers,BZP Steel,,,,,,,,
33,PT83614,JET Range zinc plated penny washer 30mm (m12) (250),JET Range,0.33,Jet penny washer is made of BZP steel.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated penny washer 30mm (m12) (250)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/14/NW-T83611_T83614_wm.jpg,,250,N,Steel,30mm,,Penny Washer,.12M30WMGOZ,N,Reliable,Easy to replace,,,,Washers,BZP Steel,,,,,,,,
34,PT83587,JET Range zinc plated b-washer (m10) (500),JET Range,0.14,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated b-washer (m10) (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,500,N,Steel,M10,,Flat Washer,.10MWFBOZ,N,Reliable,Easy to replace,,,,Form B,BZP Steel,,,,,,,,
35,PT83585,JET Range zinc plated b-washer (m6) (1000),JET Range,0.05,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated b-washer (m6) (1000)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,1000,N,Steel,M6,,Flat Washer,.6MWFBOZ,N,Reliable,Easy to replace,,,,Washers,BZP Steel,,,,,,,,
36,PT83605,JET Range zinc plated penny washer 25mm (m6) (500),JET Range,0.16,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated penny washer 25mm (m6) (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/06/NW-T83605_T83606_wm.jpg,,500,N,Steel,25 mm,,Penny Washer,.6M25WMGOZ,N,Reliable,Easy to replace,,,,Penny,BZP Steel,,,,,,,,
37,PT83611,JET Range zinc plated penny washer 25mm (m10) (500),JET Range,0.16,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> JET Range zinc plated penny washer 25mm (m10) (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/14/NW-T83611_T83614_wm.jpg,,500,N,Steel,25 mm,,Penny Washer,.10M25WMGOZ,N,Reliable,Easy to replace,,,,Penny,BZP Steel,,,,,,,,
38,P257463,"Center top hat washer 3/4"" (2)",Center,1.37,"Useful space seals, these Center 3/4"" top hat washers provide a pliable surface next to the sink on which to sit a plastic nut.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Center top hat washer 3/4"" (2)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/63/257463_wm.jpg,,2,N,Plastic,3/4,2,N/A,PPSCCS374428,N,Pack of 2,High quality HD polyethylene construction,,,,,,,,,,,,,
39,PN57128,"Owlett Jaton mudguard washer zinc plated 1/4 x 1.1/4 """,Owlett Jaton,0.19,"These Owlett Jaton 30 x 1.5mm, M6 inside diameter mudguard or penny washers are made of steel with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> Owlett Jaton mudguard washer zinc plated 1/4 x 1.1/4 """,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/28/NW-N57128_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Owlett_Jaton_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
40,PM92102,M Greenaway And Son square plate washer 5mm (m8),M Greenaway And Son,1.74,These M Greenaway And Son 41 x 41 x 5mm square plate washer with 9mm inside diameter is made of mild steel with a bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Washers/Washers.csv -> M Greenaway And Son square plate washer 5mm (m8)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/02/NW-M92102_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Channel_2015.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ0842_6_Technical.pdf,,,,,,,
