,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Anti Slip,Colour,Grip Holes,Hazardous,Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Finish,Range,Thickness,Warranty,Material,Feature 7,Feature 8
19,PA03221,Nabis Garland shower bath L-shape front panel 1500x510mm white,Nabis,72.51,Nabis Garland L shaped front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Garland shower bath L-shape front panel 1500x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/22/A03218_22_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_GarlandSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,
20,PA03233,Nabis Panel bath front panel 1800x510mm white,Nabis,63.59,Nabis front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Panel bath front panel 1800x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/33/A03230_33_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_MonroeDoubleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,
21,PA81513,Color Board HDF Bath Front Panel,Color Board,21.47,"Finished in a water-based white paint, the economical Colour Board HDF bath front panel measures 1830 x 610mm with a thickness of 3mm. Suitable for use with a variety of baths, this lightweight and durable bath panel offers easy wipe-clean maintenance and leak-free use provided all edges are well-sealed during installation.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Color Board HDF Bath Front Panel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/13/NW-A81513_wm.jpg,,,,,,White,,N,,WT HDF F,Bath Front Panel,N,Lightweight HDF construction,Denser than hardboard,Water-based white finish,,,,,HDF,3 mm,NO,High Density Fibreboard,,
22,PA03238,Nabis Super Strong bath front panel 1500mm,Nabis,51.37,Nabis super strong front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Super Strong bath front panel 1500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/40/A03238_40_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_Bath_Panel_Matrix_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_StandardBathPanel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
23,PA61920,Twyford Callisto Galerie bath front panel 1700mm White,Twyford,104.39,The Twyford Callisto Galerie 510 x 1700mm bath front panel in white has a universal design that is particularly suited to the brand's Galerie baths.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Twyford Callisto Galerie bath front panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/20/NW-A61920_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Twyford_Callisto_Panel_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Galerie_Callisto_Panel_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,
24,PA03214,Nabis Taylor shower bath P-shape front panel 1500x510mm white,Nabis,57.97,Nabis Taylor P shaped front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Taylor shower bath P-shape front panel 1500x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/1_/15/A03211_15_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_TaylorPShapeBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_TaylorPShapeBathPanel_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_TaylorPShapeBath_Installation.pdf,,,,,,,,,,,,,,,,,,,,,
25,PA03225,Nabis Campbell shower bath J-shape front panel 1700x510mm whte,Nabis,148.93,Nabis Campbell J shaped front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Campbell shower bath J-shape front panel 1700x510mm whte,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/25/A03225_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_CampbellSinglEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,
26,PB01026,Ideal Standard Unilux Plus+ front panel for Idealform Plus+ 1700mm White,Ideal Standard,144.05,"Made of acrylic, this Ideal Standard Unilux Plus+ 1700 x 510mm front bath panel is finished in gloss white to suit all bathrooms. This panel is suitable for use with Ideal Standard's range of 1700mm rectangular baths.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Ideal Standard Unilux Plus+ front panel for Idealform Plus+ 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/26/NW-B01026_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E479701_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IStandard_LiveTheIdeal_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
27,PD00616,Roca Gap super thick bath front panel 1700mm White,Roca,92.67,"Designed for acrylic baths, this Roca Gap ultra-thick 515 x 1700mm bath front panel in white provides reliable rigidity.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Roca Gap super thick bath front panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/16/NW-D00616_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00616_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
28,PA71300,Ideal Standard Uniline front bath panel 1700mm White,Ideal Standard,54.14,"The Ideal Standard Uniline 1700mm bath front panel is manufactured in a tough, high impact polystyrene with rigid honeycomb backing.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Ideal Standard Uniline front bath panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/00/NW-A71300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Bath_Book_Brchr_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,
