,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Boiler Bundles,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Range,Part Gas Council number,By Model Number,Application,Feature 3,Length (M),Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Weight,Boiler Section,Warranty,Pack Quantity,Depth (mm),Flue Type,Flue Diameter,Flue Length,Flue Size,Gender,Material,Size,Connection Type 1,Attachment 3,Boiler Range,Attachment 4
10,P333952,Glow-worm Flue Range 60/100 vertical flue 60/100 Black,Glow-worm,94.0,This Glow-worm 60/100mm vertical flue terminal is made of black polypropylene (PP). A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Glow-worm Flue Range 60/100 vertical flue 60/100 Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/52/333952_wm.jpg,,,N,,1000 x 160 x 160 mm,333952 PK,Vertical Flue Pack,N,Black vertical flue terminal,,Flue Range,,,For use with a Glow-worm boiler requiring a vertical flue installation,,,,,,,,,,,,,,,,,,,2720 kg,Flue,,,,,,,,,,,,,,
11,P497895,Broag probe set,Broag,56.76,"This Broag probe set is suitable for Remeha Commercial (Broag and Baxi) boilers, including the Quinta Pro.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Broag probe set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/95/NW-497895_wm.jpg,,,N,,x  x,S101566,Probe Set,N,Easy to Replace,High Quality,,,"Pro 115,Pro 90,Pro 45,Pro 30,Pro 65",,,,,,,,,,,,,,,,,,,,,,1 year,,,,,,,,,,,,,
12,P175619,Parts vaillant flue support bracket kit 125mm White (Pack of 5),Parts,40.6,This Vaillant 125mm flue support bracket kit in white provides secure fixing of a boiler's flue during installation.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Parts vaillant flue support bracket kit 125mm White (Pack of 5),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/19/175619_wm.jpg,,,N,,125mm,WOL175619,Flue Support Bracket Kit,N,Pack of 5,Compatible with Worcester Greenstar condensing boilers,,,,,White finish,,,,,,,,,,,,,,,,,,,,,Pack of 5,,,,,,,,,,,,
13,P477890,Broag flue gas pipe,Broag,239.64,"This Flue gas discharge pipe is suitable for Remeha Commercial (Baxi) Gas 120 Ace - 65KW, Remeha Commercial (Baxi) Gas 120 Ace - 90KW and Remeha Commercial (Baxi) Gas 120 Ace - 115KW.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Broag flue gas pipe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/90/NW-477890_wm.jpg,,,N,,,7631936,Flue Gas Discharge Pipe,N,Official broag spare,Durable,,,,,Value for money,,Quality materials,,,,,,,,,,,,,,,,,,1 year,,,,,,,,,,,,,
14,P105144,Worcester Greenstar Oilfit plume management kit,Worcester,184.17,"This Worcester Greenstar Oilfit plume management kit is suitable for oil boiler use. Plume management kits are used to solve the issue of nuisance pluming, where the plume from a condensing boiler causes an obstruction in a garden, side passage or courtyard. The kit simply redirects the plume away from the property to a more convenient location.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Worcester Greenstar Oilfit plume management kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/44/NW-105144_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P127153,Vaillant Ecomax II flue extension kit 470mm,Vaillant,46.86,A Vaillant Ecomax II 100 x 470mm flue extension kit for domestic boilers.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant Ecomax II flue extension kit 470mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/53/NW-127153_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_Flue_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P127989,Vaillant flue support clips 125mm (Pack of 5),Vaillant,48.15,"Supplied in a pack of five, these Vaillant 125mm grey support clips with satin finish are suitable for Vaillant's horizontal flue duct 80/125 SS.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant flue support clips 125mm (Pack of 5),,5x support clips,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/89/NW-127989_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_Flue_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P195785,Bosch elbow concentric DN110/160 87 degrees (1),Bosch,48.0,This Bosch 110/160mm diameter 87° concentric flue elbow is an accessory intended for the installation of a Condens boiler.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Bosch elbow concentric DN110/160 87 degrees (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/85/195785_wm.jpg,,,N,N/A,,7738113105,Elbow Concentric,N,For use with Condens 7000 WP,2 year warranty,,,"Elbow concentric Ø110/160, 87°",,,,,,,,,,,,,,,,,,,,,,2 years,1,315,N/A,N/A,N/A,N/A,,,,,,,
18,P117342,Vaillant 45 deg elbow 110/160mm (pack of 2),Vaillant,157.41,"Vaillant's 45° flue elbows help make installation of ecoTEC boilers easier and more flexible, allowing for the safe routing of steam and gases away from a property while siting a boiler in the most convenient location.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant 45 deg elbow 110/160mm (pack of 2),,2x 45° elbows,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/42/117342_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/73/42/117342.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P102732,Ideal Spares flue extension bracket 125mm,Ideal,15.0,"This Ideal brand wall bracket is designed to be located at the top of the boiler, remaining visible from the front to make installation easier.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Ideal Spares flue extension bracket 125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/32/NW-102732_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Instinct-Heat_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P123340,Ideal Spares Pack-B high efficiency standard flue,Ideal,107.51,"An Ideal 100 x 400mm horizontal flue kit, Pack B, for the Mexico HE and Classic HE. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Ideal Spares Pack-B high efficiency standard flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/40/NW-123340_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_HE-Heat_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P117792,Vaillant low loss header max 3500l/hr,Vaillant,279.15,"Designed for use with cascade systems, the Vaillant WH40 low loss header maintains a suitable flow of water through a boiler for a consistent temperature for multiple heating circuits downstream of the low loss header connection.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant low loss header max 3500l/hr,,Lowloss HeaderVR10 temperature sensorinsulation,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/92/117792_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/77/92/117792.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Vaillant_Cmmrcl_System_Boiler_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P409272,Hamworthy fan (for milborne 501/502),Hamworthy,577.83,"This Hamworthy replacement fan is suitable for use in Milborne 501/502 boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Hamworthy fan (for milborne 501/502),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/72/409272_wm.jpg,,,N,,x  x,573407092,Fan,N,Reliable,Qualified,,,,,Trustworthy,,Experienced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P411563,Vaillant 180921 adaptor,Vaillant,69.02,"This Vaillant adapter is compatible with commercial ecoTEC VU boilers.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant 180921 adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/63/411563_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vaillant_ecoTEC_SpareParts_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vaillant_ecoTEC_Plus_Parts_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P114527,Warmflow F7 45deg bend,Warmflow,71.63,"Suitable for use with the Warmflow Agentis internal oil boiler flue system, this Warmflow 45° elbow is part of the HE range of flue kit accessories. Made using high quality materials, this range helps to make flue fitting easier and more flexible while maintaining excellent levels of efficiency.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Warmflow F7 45deg bend,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/27/114527_wm.jpg,,,N,,185mm x 135mm,F7UK,Elbow,N,For use with HE flue kits,Offers greater flue siting flexibility,,,,For use with Warmflow Agentis internal oil boiler flue systems,Easy mounting and installation,,Boiler-mounted,White finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P411574,Vaillant flue pipe,Vaillant,47.64,"Complete with seal, this Vaillant flue pipe is suitable for use on VU 806/5-5 R2 boilers. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant flue pipe,,Flue pipeSeal kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/74/411574_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vaillant_ecoTECplus_Spares_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P709323,REZNOR 03-25136-02 GAS VALVE HI-LOW,Reznor,642.78,A Reznor hi/lo gas valve for use in warm air units.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> REZNOR 03-25136-02 GAS VALVE HI-LOW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/23/709323_wm.jpg,,,N,,,03-25136-02,Gas Valve,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P310436,Honeywell Home VC1000 VCZZ1000/U hw home vczz1000/u 2way cartridge,Honeywell Home,29.03,"Suitable for use in any two-way VC-series body, the Honeywell Home VC1000 replacement cartridge measures 1 1/2"" x 2 9/16"". A VC valve is used in determining the Cv(kv) rating and flow of a valve body and when the cartridge is replaced, factory specifications will be restored.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Honeywell Home VC1000 VCZZ1000/U hw home vczz1000/u 2way cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/36/310436_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Honeywell_VC_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P411636,Vaillant flue pipe,Vaillant,114.85,This Vaillant flue pipe is a genuine brand accessory with FxF push-fit ends.,Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Vaillant flue pipe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/36/411636_wm.jpg,,,N,,,20143513,,N,Polypropylene construction,Push-fit installation,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F - F,Polypropylene,858 x 114,Push-Fit,,,
29,P417611,Parts Parts 981103 sealing ring complete,Parts,9.64,"This Vaillant sealing ring is suitable for use in the repair and maintenance of a wide variety of boilers, including those in the ecoTEC Plus range.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/Commercial & Industrial Boilers/Commercial Boiler Flues & Accessories/Commercial Boiler Flues & Accessories.csv -> Parts Parts 981103 sealing ring complete,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/11/417611_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vaillant_ecoTEC_838_Spares_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Vaillant_ecoTECplus_VIH_CL_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vaillant_ecoTEC_VUW_Parts_Catalogue.pdf,,
