,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Hazardous,Approvals,Material,Size,Wall Thickness (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Weight,Connection Type 1,Connection Type 2,Diameter,Length (M),Pack Quantity,Attachment 4,Attachment 5
10,PP82467,Gps Pe Pipe Systems Excel SDR11 MDPE pipe 10bar 63mm x 6mtr Blue,Gps Pe Pipe Systems,52.42,"This GPS PE Pipe Systems Excel SDR11 6M light blue pipe coil with 63mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe 10bar 63mm x 6mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/67/NW-P82467_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
11,PP82462,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 20mm x 150mtr Blue,Gps Pe Pipe Systems,207.32,"This GPS PE Pipe Systems Excel SDR11 150M light blue pipe coil with 20mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 20mm x 150mtr Blue",,Pipe only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
12,PP82447,Gps Pe Pipe Systems BLU 80 SDR9 pipe coil 20mm x 25m MDPE,Gps Pe Pipe Systems,34.55,"This GPS PE Pipe Systems Excel SDR9 25M light blue pipe coil with 20mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems BLU 80 SDR9 pipe coil 20mm x 25m MDPE",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
13,PP42094,"Uponor Comfort Plus pipe 16 x 2"" 640mtr",Uponor,1.4,"Suitable for general plumbing and radiator connections, this Uponor Comfort Plus PE-X 16mm pipe is diffusion-resistant and has been manufactured to ISO 15875 for hot and cold water and heating use. 2mm thick, this pipe is supplied in 640M lengths.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Uponor Comfort Plus pipe 16 x 2"" 640mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/94/NW-P42094_wm.jpg,,,,White,Comfort Plus,N,EN ISO 15875,Cross-Linked Polyethylene (PE-X),16 mm,2,1062046,Plastic Pipe,N,Diffusion-resistant,Five-layer construction,Manufactured to ISO 15875 for hot and cold water and heating applications,WRAS approved,,,,,,,,
14,PP53069,Uponor Minitec comfort pipe 9.9 x 1.1mm 240mtr,Uponor,1.46,"This Uponor MiniTec comfort pipe is part of the MiniTec system, ideal for renovation projects. Offering straightforward laying on existing screed, tiles or timber, the Uponor MiniTec sheeting element, with Uponor PE-Xa pipes measuring 9.9 x 1.1mm, incorporates an adhesive layer on the back for a secure bond. With the levelling layer installed just above the studs, floor height increase is kept to a minimum while the design of the sheeting elements makes sure that levelling compounds flow well, bonding directly with the substrate.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Uponor Minitec comfort pipe 9.9 x 1.1mm 240mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/69/NW-P53069_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,
15,PP82463,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 25mm x 150mtr Blue,Gps Pe Pipe Systems,259.15,"This GPS PE Pipe Systems Excel SDR11 150M light blue pipe coil with 25mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 25mm x 150mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
16,PP82466,Gps Pe Pipe Systems Excel SDR11 coil MDPE SDR11 63mmx150m Blue,Gps Pe Pipe Systems,1643.83,"This GPS PE Pipe Systems Excel SDR11 150M light blue pipe coil with 63mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 coil MDPE SDR11 63mmx150m Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
17,PP53068,Uponor Minitec comfort pipe 9.9 x 1.1 120m,Uponor,1.46,"Manufactured in cross-linked polyethylene (PE-Xa), this 120M Uponor Minitec PEX 9.9mm pipe incorporates an EVOH oxygen diffusion barrier, making it suitable for application class 4 - underfloor heating and low-temperature radiators.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Uponor Minitec comfort pipe 9.9 x 1.1 120m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/68/NW-P53068_wm.jpg,,,,Natural,Minitec,N,WRAS,PE-Xa,9.9 mm (Dia),1.1,1063288,,N,Maximum pressure 6 bar at 70°C,Cross-linked polyethylene (PE-Xa) according to BS EN 15875,EVOH oxygen diffusion barrier per DIN 4726,WRAS approved,4.58400,Press fit,Plain End,,,,,
18,PP76844,Gps Pe Pipe Systems PE80 SDR11 50 mm x 6 m Blue,Gps Pe Pipe Systems,106.81,"Flexible and lightweight, this Aliaxis GPS PE pipe SDR11 50mm can be used for water supply and is made of polyethylene (PE80), making it suitable for the supply of potable water. Measuring 6M in length which can be joined using various methods. The pipe can be installed using traditional open-cut techniques and trenchless methods like directional drilling.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems PE80 SDR11 50 mm x 6 m Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/44/NW-P76844_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_Infrastructure_Solutions_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
19,PP80443,Gps Pe Pipe Systems PE80 MDPE pipe coil 63mm x 50mtr Yellow,Gps Pe Pipe Systems,490.88,"This GPS PE Pipe Systems PE80 63mm pipe is manufactured from medium density polyethylene (MDPE). With higher long term stress crack resistance, MDPE is a reliable alternative to traditionally used HDPE PE80. This 50M pipe is supplied in yellow, suitable for below ground gas supplies.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems PE80 MDPE pipe coil 63mm x 50mtr Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/44/NW-P80443_P80444_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Pipe_Systems_PE_Pipe_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
20,P517516,JG Speedfit barrier pipe length 28mm x 3mtr,JG Speedfit,15.7,"JG Speedfit 28mm barrier pipe is ideal for use in those short runs where a harder pipe material provides an advantage. Incorporating five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, this pipe offers excellent levels of corrosion resistance. Supplied in a 3M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit barrier pipe length 28mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/17/NW-517514_517517_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
21,PP82456,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil 63mm x 50mtr Blue,Gps Pe Pipe Systems,547.95,"This GPS PE Pipe Systems Excel SDR11 50M light blue pipe coil with 63mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil 63mm x 50mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
22,PP64504,Georg Fischer ecoFIT PE100 pipe (PN16) 5mtr x 75mm (Per Metre),Georg Fischer,21.19,"The Georg Fischer ecoFIT 75mm pipe is made of 6.8mm thick PE100 polyethylene, making it suitable for use in a wide range of applications. Highly versatile and durable, this pipe is supplied in 5M lengths.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Georg Fischer ecoFIT PE100 pipe (PN16) 5mtr x 75mm (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/04/NW-P64504_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Georg_Fischer_ecoFIT_Pipe_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
23,PP42093,UPONOR COMFORT PIPE PLUS 16X2 0 240M,Uponor,1.4,"This Uponor Comfort Plus 16mm pipe is made of cross-linked polyethylene (PE-X) and incorporates an EVOH oxygen diffusion barrier, per DIN 4726. Suitable for class 4 underfloor heating and low temperature radiators, this 2mm thick pipe is supplied in 240M lengths.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> UPONOR COMFORT PIPE PLUS 16X2 0 240M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/93/NW-P42092_P42093_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,
24,PP17001,M OF GF PE100 PIPE SDR11 NP16  5M     25,Georg Fischer,3.23,"Made of PE, or polyethylene, this Georg Fischer PE100 25mm PN16 SDR11 pipe is supplied in a 5M length.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> M OF GF PE100 PIPE SDR11 NP16  5M     25",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/01/P17001_wm.jpg,,,,Black,,N,,PE100,5000 x 25 mm,,193017157,,N,5M length,PE construction,Black colour,PN16 rated,,,,25mm x 2.3mm,5,5 metre,,
25,P517515,JG Speedfit barrier pipe length 22mm x 6mtr,JG Speedfit,22.89,"JG Speedfit 22mm barrier pipe is ideal for use in those short runs where a harder pipe material provides an advantage. Incorporating five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, this pipe offers excellent levels of corrosion resistance. Supplied in a 6M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit barrier pipe length 22mm x 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/17/NW-517514_517517_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
