,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Sector,Feature 6,Attachment 1,Attachment 2,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Weight
10,PJ23589,Armitage Shanks Contour 21+ doc M back to wall right handed rails Blue,Armitage Shanks,1278.8,"Doc M Contour 21+ back to wall right hand corner pack, rimless WC pan, water saving delay fill Conceala cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk. Water saving 4.5 or 6 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ doc M back to wall right handed rails Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6_/rh/S0686_RH_wm.jpg,Contour 21,N,S0686LI,Back to Wall Right Handed Rails,N,Delivered in one box,Further rail colour options,LABC approved,BS8300 compliant,Stainless Steel finish rails with Grey seat,,,,,,,,,,,,,,,,,
11,PJ23590,Ideal Standard Contour 21+ doc M back to wall right handed rails Grey,Ideal Standard,1278.8,"Doc M Contour 21+ back to wall right hand corner pack, rimless WC pan, water saving delay fill Conceala cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk. Water saving 4.5 or 6 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21+ doc M back to wall right handed rails Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6_/rh/S0686_RH_wm.jpg,Contour 21,N,S0686LJ,,N,Delivered in one box,Further rail colour options,LABC approved,BS8300 compliant,Stainless Steel finish rails with Grey seat,,,,,,,,,,,,,,,,,
12,PB79407,Geberit DOC M CONC Shower Pck CONC Fixings White,Geberit,1859.48,"Suitable for wheelchair users, this Geberit Doc M exposed shower bathroom pack contains a variety of bathroom fittings for domestic or public accessible bathrooms. Among those Doc M compliant items included are a concealed shower valve, shower head and grab rails as well as accessories such as shower curtains and rails.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Geberit DOC M CONC Shower Pck CONC Fixings White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/B79407_Primary_Image_wm.jpg,,N,PK7010WH,,N,Includes shower rail 1200mm,With 2x 1.8 x 2M shower curtains,With exposed shower valve,"Includes shower rail, hose and fixed head",With shower diverter,,With 3x 600mm support rails,,,With 2x hinged support rail,Concealed fixings supplied for all rails,Pressalit seat and back rest,"Mouse Grey RAL 7005, luminance value 20",Grab rails are powder-coated aluminium,"Shower operating pressure of 0.2 bar minimum, 10 bar maximum",Products and layout details in accordance with Building Regulations Approved Document M 2015,LABC certificate ref: EWS1337E,WRAS approved,TMV3 approved,,,
13,PJ23575,Armitage Shanks Contour 21+ doc M close coupled left handed rails White,Armitage Shanks,1278.8,"Doc M Contour 21+ close coupled left hand corner pack, WC pan, water saving delay fill cistern with spatula lever, basin, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Use ""specify this"" to conveniently include the additional washbasin items to the Close Coupled Doc M pack or list all the items in the illustrated column. The room set is described in Part M as ""Doc M Close Coupled Pack and additional washbasin for standing users"". This provides the unisex wheelchair toilet facility suitable for use where only one washroom exists within a building. TMV3 approved basin mixers to help prevent scalding with integral thermostat to reduce legionella risk. Water saving delay fill 4.5 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ doc M close coupled left handed rails White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/lh/S0683_LH_wm.jpg,Contour 21,N,S0683AC,Close Coupled Left Handed Rails,N,Doc M delivered in one box,BS8300 compliant,Optional colour combinations,,,,,,,,,,,,,,,,,,,
14,PC24471,Ideal Standard Concept Freedom S6406 DOC-M pack,Ideal Standard,1895.07,"This Ideal Standard luxury wheelchair accessible en suite bathroom pack includes a raised height toilet with back rest and support arm, dual flush cistern and soft close seat, a 400mm Cube basin, tap and fittings, thermostat and grab rails. Part of the Concept range, this set is ideal for creating a comfortable and accessible bathroom in hotels and care homes.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Concept Freedom S6406 DOC-M pack,,"Back to wall raised height WC Bowl;Water saving dual flush Conceala 2 cistern with Karisma flush plate;Grab rails;Back rest;Hinged support arm;Holder, seat no cover;40cm Cube h;rinse basin;Concept Blue mixer tap;Click waste;15mm TMV3 thermostatic basin v",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/71/NW-C24471_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6406AA_Technical.pdf,,,,,,,,,,,,,,
15,PJ23580,Armitage Shanks Contour 21+ doc M close coupled right handed rails Blue,Armitage Shanks,1278.8,"Doc M Contour 21+ close coupled right hand corner pack, WC pan, water saving delay fill cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Use ""specify this"" to conveniently include the additional washbasin items to the Close Coupled Doc M pack or list all the items in the illustrated column. The room set is described in Part M as ""Doc M Close Coupled Pack and additional washbasin for standing users"". This provides the unisex wheelchair toilet facility suitable for use where only one washroom exists within a building. TMV3 approved basin mixers to help prevent scalding with integral thermostat to reduce legionella risk. Water saving delay fill 4.5 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ doc M close coupled right handed rails Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/ac/S0684AC_wm.jpg,Contour 21,N,S0684LI,Close Coupled Right Handed Rails,N,Doc M delivered in one box,BS8300 compliant,Optional colour combinations,,,,,,,,,,,,,,,,,,,
16,PJ23579,Armitage Shanks Contour 21+ doc M close coupled right handed rails White,Armitage Shanks,1278.8,"Doc M Contour 21+ close coupled right hand corner pack, WC pan, water saving delay fill cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Use ""specify this"" to conveniently include the additional washbasin items to the Close Coupled Doc M pack or list all the items in the illustrated column. The room set is described in Part M as ""Doc M Close Coupled Pack and additional washbasin for standing users"". This provides the unisex wheelchair toilet facility suitable for use where only one washroom exists within a building. TMV3 approved basin mixers to help prevent scalding with integral thermostat to reduce legionella risk. Water saving delay fill 4.5 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ doc M close coupled right handed rails White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/rh/S0684_RH_wm.jpg,Contour 21,N,S0684AC,Close Coupled Right Handed Rails,N,Doc M delivered in one box,BS8300 compliant,Optional colour combinations,,,,,,,,,,,,,,,,,,,
17,PB97374,Ideal Standard Contour 21 Doc-M left hand wall hung rails Stainless Steel,Ideal Standard,2677.74,Doc M wall mounted rimless WC pack. Specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need.Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce legionella risk. Water saving delay fill 4.5/3 litre dual flush cistern.,Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21 Doc-M left hand wall hung rails Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/74/B97374_wm.jpg,Contour 21,N,S6972MY,Doc-M,N,Delivered in one box,Option for white seat & rails,Lantac approved,Bs8300 compliant,Wall mounted rimless wc,"Office/Retail/Washrooms,security,Education,Healthcare,Assisted Living,Hotels/Leisure,Sport/Fitness",Dual flush concealed cistern,,,,,,,,,,,,,,,69Kg
18,PB79437,Twyford DOC M Rimless Super PK R/H CONC FIX WH,Geberit,1179.34,"This right-handed Twyford Doc M Rimfree Super Pack is a complete set for ease of installation and complete compliance with Doc M regulations for accessible bathrooms. It is built around the hygienic Avalon Rimfree close-coupled horizontal outlet pan and spatula lever 4/6L flush cistern. Also included is the Sola 400 x 250mm square handrinse basin and hand-safe Sola thermostatic mix with fixed spout. Finally, six support rails in RAL 9016 white - four 600mm and one 450mm grab rails with concealed fixings and a single 850mm hinged support rail with loo roll holder and concealed fixings - complete the installation. Also included in this all-in-one pack are wall bolts, a grid waste and cistern cover clip.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Twyford DOC M Rimless Super PK R/H CONC FIX WH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/B79437_Primary_Image_wm.jpg,,N,PK8356WH,,N,Vitreous china WC construction,Spatula lever flush,Dual 4/6L flush cistern,With Avalon white seat ring with top fixing,Seat includes stability buffers,,"Basin with single taphole, no overflow",,,Thermostatic mixer tap includes copper tails,Powder-coated aluminium grab rails,Rimless WC for cleaner flushing,LABC certificate EWS1337B,WRAS approved,TMV3 approved,Layout detailed in paperwork is in accordance with Building Regulations Doc M,,,,,,
19,PJ23592,Ideal Standard Contour 21+ doc M back to wall right handed rails Charcoal,Ideal Standard,1278.8,"Doc M Contour 21+ back to wall right hand corner pack, rimless WC pan, water saving delay fill Conceala cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk. Water saving 4.5 or 6 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21+ doc M back to wall right handed rails Charcoal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6_/rh/S0686_RH_wm.jpg,Contour 21,N,S0686RN,Back to Wall Right Handed Rails,N,Delivered in one box,Further rail colour options,LABC approved,BS8300 compliant,Stainless Steel finish rails with Grey seat,,,,,,,,,,,,,,,,,
20,PB79435,DOC M RIMLESS SUPER PK R/H CONC FIX GREY,Geberit,1179.34,"Allowing for complete accessible use of a bathroom, this Twyford Doc M rimless right handed super pack in grey includes a rimless horizontal outlet WC pan and fixings along with a cistern with spatula lever for 4/6L flush and a seat ring, stainless steel bar hinge, top fix and stability buffers. Complementing this is a square 400mm overflow-free handrinse basin and thermostatic basin mixer with fixed spout and copper tails. For safety and security four 600mm grab rails, one 450mm grab rail and a hinged support rail and toilet roll holder, all with concealed fixings, are included. Also supplied are wall bolts, a grid waste and a cistern cover clip.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> DOC M RIMLESS SUPER PK R/H CONC FIX GREY,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/B79435_Primary_Image_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/B79435_Tech_Sheet.pdf,,,,,,,,,,,,,,
21,PB79424,Geberit DOC M Rimless Super PK L/H CONC Fixng Gr,Geberit,1179.34,"An all-in-one solution for Doc M compliant bathrooms, this left-handed Twyford Doc M Rimfree Super Pack is built around a vitreous china rimless WC designed for easy cleaning. Left hand-configured, this pack is suitable for public, commercial and private accessible bathrooms, ensuring ease of use for those with additional needs. Manufactured using high quality materials and with concealed fixings included, this bathroom set is suitable for heavy use, supporting ease of installation and easy, thorough cleaning.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Geberit DOC M Rimless Super PK L/H CONC Fixng Gr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/24/B79424_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/B79424_Tech_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/B79424_Install.pdf,,,,,,,,,,,,,
22,PJ23573,Ideal Standard Contour 21+ doc M peninsular rails Blue,Ideal Standard,1647.29,Peninsular pack together with larger washbasin to provide improved facility for personal washing. Users can transfer from the left or right side of the WC pan. Blue rails for extra contrast in healthcare to aid visually impaired. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk.,Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21+ doc M peninsular rails Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ul/ar/Contour21_Peninsular_wm.jpg,Contour 21,N,S0682LI,Peninsular Rails,N,Illustrated with Blue rails [LI],Large washbasin,Options for white seat & rails,LABC approved,BS8300 compliant,,Option Stainless Steel finish rail with grey seat,,,"Finishes: White, Blue, Charcoal",,,,,,,,,,,,
23,PC90271,Armitage Shanks Contour 21 backrest without cushion 440 x 170mm Charcoal,Armitage Shanks,46.42,"The Armitage Shanks Contour 21 back support rails are for the addition of a backrest, making a bathroom more comfortable and supportive where required. These rails measure 440 x 170mm and are supplied with clips for 35mm diameter rails.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21 backrest without cushion 440 x 170mm Charcoal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/ac/S6481AC_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_Contour21_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Standard_Commercial_Brochure.pdf,,,,,,,,,,,,,
24,PJ23598,Ideal Standard Contour 21+ doc M standard left handed rails Blue,Ideal Standard,1355.58,"Doc M Standard low level left corner pack, WC with spacer box low level cistern, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce legionella risk.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21+ doc M standard left handed rails Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/lh/S0689_LH_wm.jpg,Contour 21,N,S0689LI,Standard Left Handed Rails,N,Delivered in one box,Option for Blue rails and seat,LABC approved,BS8300 compliant,,,,,,,,,,,,,,,,,,
25,PJ23583,Armitage Shanks Contour 21+ doc M back to wall left handed rails White,Armitage Shanks,1278.8,"Doc M Contour 21+ back to wall left hand corner pack, rimless WC pan, water saving delay fill Conceala cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk. Water saving 4.5 or 6 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ doc M back to wall left handed rails White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5_/lh/S0685_LH_wm.jpg,Contour 21,N,S0685AC,Back to Wall Left Handed Rails,N,Delivered in one box,Further rail colour options,LABC approved,BS8300 compliant,Stainless Steel finish rails with Grey seat,,,,,,,,,,,,,,,,,
