,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Range,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Sector,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Depth (mm),Dimensions (L x W x D),Finish,Feature 8,Feature 9,Feature 10
10,PE70128,Ideal Standard Contour 21 hinged support arm 800mm Stainless Steel,Ideal Standard,444.96,The Ideal Standard Contour 21 hinged bathroom support arm is made from tough aluminium with a stainless steel gloss finish to provide extra confidence and support for those with disabilities and mobility issues.,Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Ideal Standard Contour 21 hinged support arm 800mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/39/NW-E70125_E70139_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_S6360_Hinged_Supp_Arm_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
11,PE70132,Ideal Standard Contour 21 hinged support arm 650mm Grey,Ideal Standard,247.17,The Ideal Standard Contour 21 hinged bathroom support arm is made from tough aluminium with a grey gloss finish to provide extra confidence and support for those with disabilities and mobility issues.,Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Ideal Standard Contour 21 hinged support arm 650mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/39/NW-E70125_E70139_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_S6361_Hinged_Supp_Arm_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
12,PE70134,CONTOUR 21 S6361 65CM HNGD SUPPT ARM CCL,Ideal Standard,247.17,The Ideal Standard Contour 21 hinged bathroom support arm is made from tough aluminium with a smooth charcoal finish to provide extra confidence and support for those with disabilities and mobility issues.,Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> CONTOUR 21 S6361 65CM HNGD SUPPT ARM CCL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/39/NW-E70125_E70139_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_S6361_Hinged_Supp_Arm_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
13,PD02625,Saracen steel grab rail 600mm White,Saracen,25.44,"The Saracen range of Grab Rails provide confidence and stability when getting in or out of the bath or shower, and are availble in stainless steel or ABS, as well as in a variety of sizes.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen steel grab rail 600mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/25/NW-D02625_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_Grab_Rail_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02625_Saracen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02620_D02627_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D02625_Saracen_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,
14,PD02627,Saracen steel grab rail 600mm Chrome,Saracen,31.6,"The Saracen range of Grab Rails provide confidence and stability when getting in or out of the bath or shower, and are availble in stainless steel or ABS, as well as in a variety of sizes.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen steel grab rail 600mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/27/NW-D02627_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_Grab_Rail_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02627_Saracen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D02627_Saracen_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02620_D02627_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
15,PD42792,Metlex Callisto drop down rail Brushed Stainless Steel,Metlex,182.09,"This reliable Metlex Callisto drop down grab rail with toilet roll holder is made of strong stainless steel with a brushed finish. Folding away neatly when not in use, this hinged grab rail provides added security when using the bathroom.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Metlex Callisto drop down rail Brushed Stainless Steel,,Drop down grab rail;Toilet roll holder,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/92/NW-D42792_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Metlex_New_Layout_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
16,PD02629,Saracen steel hinged rail 850mm Blue,Saracen,140.35,The range of Fold-up support rails provide confidence and stability when getting in or out of the bath and shower. They are available in a variety of colours.,Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen steel hinged rail 850mm Blue,,Hinged grab rail only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/29/D02629_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D02629_Saracen_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_D02628-D02630_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Accessories_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02629_Saracen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02628_D02630_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
17,PD02632,Saracen steel hinged rail with leg 850mm Chrome,Saracen,173.24,The range of Fold-up support rails with drop down leg provide confidence and stability when getting in or out of the bath and shower. They are available in a variety of colours.,Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen steel hinged rail with leg 850mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/32/NW-D02632_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_Hand_Rail&Leg_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D02632_Saracen_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02631_D02632_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02632_Saracen_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
18,PD02630,Saracen steel hinged rail 850mm Chrome,Saracen,151.94,The range of Fold-up support rails provide confidence and stability when getting in or out of the bath and shower. They are available in a variety of colours.,Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen steel hinged rail 850mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/l_/ld/Saracen_HandRail_LD_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02630_Saracen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_Hand_Rail_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
19,PD02623,Saracen steel grab rail 450mm Blue,Saracen,24.93,"The Saracen range of Grab Rails provide confidence and stability when getting in or out of the bath or shower, and are availble in stainless steel or ABS, as well as in a variety of sizes.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen steel grab rail 450mm Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/23/D02623_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_Grab_Rail_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02620_D02627_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02623_Saracen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D02623_Saracen_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,
20,PD02626,Saracen steel grab rail 600mm Blue,Saracen,26.59,"The Saracen range of Grab Rails provide confidence and stability when getting in or out of the bath or shower, and are availble in stainless steel or ABS, as well as in a variety of sizes.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen steel grab rail 600mm Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/26/D02626_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_Grab_Rail_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02626_Saracen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D02626_Saracen_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02620_D02627_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
21,PE70129,Ideal Standard Contour 21 hinged support arm 800mm Chrome Clear,Ideal Standard,247.17,The Ideal Standard Contour 21 hinged bathroom support arm is made from tough aluminium with a charcoal gloss finish to provide extra confidence and support for those with disabilities and mobility issues.,Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Ideal Standard Contour 21 hinged support arm 800mm Chrome Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/39/NW-E70125_E70139_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_S6360_Hinged_Supp_Arm_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
22,PD02624,Saracen steel grab rail 450mm Chrome,Saracen,28.18,"The Saracen range of Grab Rails provide confidence and stability when getting in or out of the bath or shower, and are availble in stainless steel or ABS, as well as in a variety of sizes.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen steel grab rail 450mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/l_/ld/Saracen_Grab Rail_LD_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_Grab_Rail_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02620_D02627_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
23,PC90142,Ideal Standard Contour 21 straight grab rail 600mm,Ideal Standard,34.84,"The Ideal Standard Contour 21 60cm white gloss aluminium straight grab rail is ideal for installation in hot, leisure and healthcare facilities, providing additional security and peace of mind for disabled or elderly bathroom users.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Ideal Standard Contour 21 straight grab rail 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/42/NW-C90142_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Contour21_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_PartM_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6454_Grab_Rail_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
24,PC39215,BATHEX HINGE RAIL SS DOUBLE 800 SATEEN,Bathex,81.01,"This Bathex 800mm double arm hinged support rail helps to make bathroom use easier for those with limited mobility. Made of stainless steel, this simple rail has a smart sateen polished finish.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> BATHEX HINGE RAIL SS DOUBLE 800 SATEEN,,Hinged Support Rail,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/15/C39215_wm.jpg,,,,,,Sateen Polish,Professional,N,Stainless Steel,34920,Hinged Support Rail,N,Stainless Steel,,,,,,,,,,,,,
