,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Pack Quantity,Range,Hazardous,Pack Type,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Colour,Volume,Physical State / Form,Feature 9,Feature 10,Feature 11,Feature 12
10,P606686,Sentinel best practice protection pack,Sentinel,75.0,"The Sentinel Best Practice protection pack is a simple, one-pack solution for the effective protection of central heating systems.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Sentinel best practice protection pack,,Eliminator Vortex300 filter with 22mm direct fit GRP T-piece;X800 fast acting cleaner 1l;X100 inhibitor 1l,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/86/NW-606686_wm.jpg,,,,,,,,,N,,606686 PK,Best Practice Protection Pack,N,Suitable for Central Heating Systems,Unique Vortex Core with powerful neodymium magnet assembly,Retains more magnetite than other filters,Ensures filter cannot block,Compact filter design,In-line installation and 360° rotating T-piece for reduced space,Unique anti-corrosion formulation with multiple heavy duty inhibitors,Intelligent formulation with pH stabilisers,Reduces circulation time to just 1 hour,,,,,,,
11,P606685,Sentinel X800 and X100 cleaner 1ltr pack,Sentinel,23.0,"Sentinel X800 Jetflo Ultimate Cleaner is a heavy duty cleaning formulation designed to remove corrosion deposits and scale from boiler heat exchangers, radiators and pipework in domestic central heating systems.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Sentinel X800 and X100 cleaner 1ltr pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/85/606685_wm.jpg,,,,,,,,X800 and X100,N,,606685 PK,,N,,Powerful removal of all major foulants and debris,For all systems,Old or new,Hot or cold,Ideal with or without power flushing,Exceptional results when powerflushing,Harmless to the environment,Completely non-toxic and biodegradable,,,,,,,
12,P603027,Fernox DS-3 limescale remover tub 2kg (1),Fernox,42.66,"Powerful yet environmentally-friendly, Fernox DS-3 limescale remover, supplied in a 2kg pack, can help to remove caked-on limescale deposits from domestic appliances and boiler heat exchangers. Completely safe and simple to use, this limescale remover helps to restore water heater efficiency. Suitable for use with steel, stainless steel, cast iron, copper, brass, PVC, ABS rubber polythene and most plastic pipework, DS-3 makes disposal to foul drain easy, changing colour when exhausted following application.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox DS-3 limescale remover tub 2kg (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/27/NW-603027_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_61027_Limescale_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ds/41/Alpha_SDS41.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P603007,Fernox F7 biocide F7 200ml,Fernox,52.84,"Fernox F7 biocide helps to prevent bacterial contamination and fungal growth in underfloor heating, low temperature heating systems and chilled systems alike. Intended for use with Fernox protector F1 or antifreeze protector Alphi-11, F7 helps to provide full system protection against corrosion and scale, maintaining good energy efficiency levels. Biocide F7 can also be employed in cleaning away and preventing the reoccurrence of the jelly-like deposits that indicate microbiological fouling in feed and expansion cisterns, while also eliminating the gas produced by fermentation.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox F7 biocide F7 200ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/07/NW-603007_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62393_Biocide_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Fernox_62393_Safetydatasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P608196,Fernox LP Sterox sterox disinfectant 1ltr (1),Fernox,72.55,"Highly effective, Fernox LP Sterox disinfectant protects against Legionella, pseudomonas, bacteria and algae, while also removing biofilm. Easy to use, it's ideal for disinfecting stored water systems in domestic or commercial properties, with no requirement to flush out or neutralise the system after disinfection. A single bottle of LP Sterox will disinfect a 300L system with normal use or 400L if the system can be left unused for 24 hours following application.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox LP Sterox sterox disinfectant 1ltr (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/96/NW-608196_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_56609_LPSterox_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/sd/s8/Alpha_SDS8.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Fernox_56609_Safetydatasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P608322,Sentinel X700 under floor heating  sanitiser and biocide 1ltr (1),Sentinel,62.48,"Sentinel X700 biocide protects underfloor central heating systems against the dangers of bacterial and fungal contamination. Causing potential blockages in the system, unpleasant smells and corrosion, this kind of contamination can interrupt the smooth running of your system, damaging its efficiency.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Sentinel X700 under floor heating  sanitiser and biocide 1ltr (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/22/NW-608322_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sentinel_X700_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X700_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_X700_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Sentinel_X700S&Biocide_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
16,P609287,Adey MC3+ central heating cleaner 500ml pack,Adey,10.0,"Supplied in a 500ml bottle, Adey MC3+ cleaner is formulated to keep heating systems free of potentially damaging debris. Working fast, once administered MC3+ begins breaking down magnetite and other sludge found in central heating systems in as little as an hour.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Adey MC3+ central heating cleaner 500ml pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/87/NW-609287_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Adey_MC3+_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/Adey_MC3+ MSDS_V2.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P609949,Center any 20 heating system cleaner or inhibitor 500ml,Center,124.87,A 500ml supply of Center heating system cleaner.,Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Center any 20 heating system cleaner or inhibitor 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/-1/609939-1_wm.jpg,,,,,,,,,N,,609949 PK,Cleaner,N,,High performance chemical cleaner,"Removes sludge, debris and scale",Restores heating efficiency of existing systems,Treats 100 litres,Suitable for all heating systems,Environmentally friendly,,,,,,,,,
18,P606689,Sentinel X800 jet flow ultimate cleaner 1ltr,Sentinel,12.0,"Sentinel X800 cleaner works fast, removing corrosion deposits and scale in just an hour. This effective cleaner can help to restore the efficiency of older heating systems.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Sentinel X800 jet flow ultimate cleaner 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/89/NW-606689_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Sentinel_X800_Safetydatasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_X800_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P609288,Adey MC5 rapid flush system cleaner 500ml,Adey,17.0,"Getting to work fast, Adey MC5 rapid flush system cleaner begins the job of removing magnetite, debris and scale in just an hour. Supplied in a 500ml bottle, this high strength cleaner makes up half of Adey's best practice MagnaCleanse process which, when employed as a complete system, is even faster and more effective.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Adey MC5 rapid flush system cleaner 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/88/NW-609288_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Adey_MC5_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Adey_MC5_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P608104,Sentinel X300 universal cleanser 1ltr,Sentinel,32.7,"Powerfully removing installation debris and grease, Sentinel X300 universal cleaner is a must for engineers fitting brand new central heating systems. Use of this cleaner prepares the system for the addition of inhibitor, ensuring it works at its best to protect from damage and maximise efficiency.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Sentinel X300 universal cleanser 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/04/NW-608104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X300Liquid_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sentinel_X300_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_X300_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X300_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Sentinel_X300_Safetydatasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,
