,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Boiler Section,Boiler Range,Feature 4,Setting Range,Dimensions mm (H x W x D),Application,Range,Feature 5,Feature 6,Warranty,Depth (mm),Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Display Type,Installation Type,Number of Channels,Pack Quantity,Voltage (V),Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5,Attachment 6,Operating Temperature Range (C),Connection,Thread Standard,Max Set Pressure,Connection Gender,Material,Thread Size,Maximum Operating Temperature,Feature 11,Feature 12,Feature 13,Feature 14,Connection Size,Torque Rating,Position Indicator,Operating Range,Override Type,Running Time Motor,Cable Length (m),Position Feedback,Protection Class,Weight,Attachment 7,Attachment 8,Connection Type,Working Pressure,Number of Ports,Operator Type,Seal Material,Size,Feature 15,Feature 16,Colour,Standards,Operating Temperature,Attachment Type,Pipe Diameter,Pressure Rating,Diameter,Range For Use With,Material Type,Min Outlet Pressure,Max Outlet Pressure
10,P310819,Honeywell Home V4043H V4043H1106 V4043H 1106 28Mm Zone Vlv 240V,Honeywell Home,99.26,"This V4043H motorised two port zone valve with 28mm compression connections is suitable for a variety of flow control applications in domestic and light commercial central heating systems. Positioned where it cannot block any vent or cold feed when closed, this valve can be plumbed at any angle but the powerhead should not be below the horizontal level of the pipework. If fitted in a confined space, ventilation must be available to keep the valve within its ambient temperature range and access should be available for removing the powerhead if required",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home V4043H V4043H1106 V4043H 1106 28Mm Zone Vlv 240V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/19/310819_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P240710,Honeywell Home St9400C Programmr 7Day 2 Chan,Honeywell Home,91.76,"Controlling heating and stored hot water in complete systems, the ST9400C two channel, seven day programmer has up to three on/off periods per day, optional 5/2 or one day programming and independent heating and hot water control for maximum efficiency. Offering the option to set as a mini programmer for older gravity circulation stored hot water systems, where there is no interlocking control valve, ST9400C is suitable for combi boilers, heating zones or any application where small electric loads are switched. The programmer's Line of Text (LoT) display gives clear instructions whenever any button or slider is used for simple, hassle-free use.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home St9400C Programmr 7Day 2 Chan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/10/240710_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P336335,Hive Active Heating &Hot Wtr T/Stat V3,Hive,128.32,"Suitable for boilers with separate hot water tanks, this Hive thermostat can be easily controlled via your smartphone or smart speaker making setting your comfort simple, whether from the comfort of your sofa or on your way home from the supermarket.",Heating/Central Heating Controls/Central Heating Controls.csv -> Hive Active Heating &Hot Wtr T/Stat V3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/35/336335_wm.jpg,,,,,N,851816,Thermostat,N,Controllable via smartphone or device,"Compatible with Alexa, Google Assistant and Siri",Controls boilers with a separate hot water tank,Control Panel,Compatible with all boilers,Professional installation required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P340075,Center CB 340075 2 port motorised valve 22mm,Center CB,51.0,Center motorised valve controls the flow of water in a domestic central heating system.,Heating/Central Heating Controls/Central Heating Controls.csv -> Center CB 340075 2 port motorised valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/75/NW-340075_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_340075_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P310713,Honeywell Home T6 Y6H920RW4026 T6R-Table Stand With Hot Water,Honeywell Home,142.5,"Providing intuitive heating time and temperature and hot water control, the T6 series wireless programmable smart thermostat includes geofencing to maximise energy efficiency. Using location-based services, the thermostat communicates with an app to adjust home temperatures when nobody's in. Three layers of automatic intelligent controls, including OpenTherm, TPI and optimum start/stop and delayed start ensure high levels of control and cost savings.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home T6 Y6H920RW4026 T6R-Table Stand With Hot Water,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/13/310713_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P310521,Honeywell Home T6360B 1028 T6360B 1028 Room Stat 240V 10A,Honeywell Home,21.0,"The T6360B room thermostat is a standard model complete with heat anticipator and RFI suppressor to protect from external electrical interference. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home T6360B 1028 T6360B 1028 Room Stat 240V 10A,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/21/310521_wm.jpg,,,,,N,T6360B1028,Thermostat,N,,,,Control Panel,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P340090,Center CB 340090 angled auto bypass valve 22mm,Center CB,19.0,"Designed to help meet Building Regs, this Center CB automatic bypass valve controls the flow of water through a bypass circuit installed between flow and return pipework, usually at or near the boiler.",Heating/Central Heating Controls/Central Heating Controls.csv -> Center CB 340090 angled auto bypass valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/90/NW-340090_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_340090_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P340006,Center CB 2-channel 5/2 day programmer,Center CB,29.0,This Center CB 5/2 day two channel electronic full programmer offers accurate time control for central heating installations with separate programmes for heating and hot water. It can be used to program individual heating schedules for weekdays and weekends.,Heating/Central Heating Controls/Central Heating Controls.csv -> Center CB 2-channel 5/2 day programmer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/06/NW-340006_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/CenterCB_340006_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_340006_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P311893,Honeywell Home DT4R Dt4R Room Thermo Wless White,Honeywell Home,63.25,"Suitable for use in houses or apartments, the Honeywell Home DT4 wireless digital thermostat supplies reliable room temperature control via heating, cooling and off modes. Slimline and modern, this thermostat blends style and functionality with operation via a large, easy to read LED display and simple wake up button. The DT4 wired thermostat is suitable for use in a range of systems, including hybrid and green energy systems.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home DT4R Dt4R Room Thermo Wless White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/96/311893_96_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P302101,Drayton MA1/679 Ma1/679 22mm Mid-Pos Valve,Drayton,64.26,"Making servicing simple, this Drayton 22mm motorised valve incorporates a snap-on actuator, which can be removed from the body by simply pressing the release button on the side. This system allows easy access for replacement of the motor or complete actuator replacement.",Heating/Central Heating Controls/Central Heating Controls.csv -> Drayton MA1/679 Ma1/679 22mm Mid-Pos Valve,,Motorised valve;Actuator,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/01/NW-302101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_MotorisedValves_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_MotorisedValves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P310700,Honeywell Home T4 Wired 7 Day Prog Stat,Honeywell Home,86.75,"A modern wired 7 day control, this T4 programmable room thermostat provides automatic time and temperature control of domestic systems in domestic or light commercial settings.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home T4 Wired 7 Day Prog Stat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/00/310700_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P310812,Honeywell Home 4000-3916-001 4000-3916-001 P/Head = V4043H,Honeywell Home,60.99,"Designed for V4043 Series three port motorised valves, this replacement powerhead is suitable for field replacement of heads in diverting and straight through valves with no need to drain the system. A head which does not require the system to be drained is identified by a small round bump on the cover and a 6 or higher OS suffix number. Only two screws and two locating pegs are used to connect heads to the body.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home 4000-3916-001 4000-3916-001 P/Head = V4043H,,Replacement head;1m lead,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/12/NW_310812_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P302103,Drayton ZA5/679 Za5/679 22mm 2-Port Mot-Valve,Drayton,42.18,"Making servicing simple, this Drayton 22mm motorised zone valve incorporates a snap-on actuator, which can be removed from the body by simply pressing the release button on the side. This system allows easy access for replacement of the motor or complete actuator replacement.",Heating/Central Heating Controls/Central Heating Controls.csv -> Drayton ZA5/679 Za5/679 22mm 2-Port Mot-Valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/03/NW-302103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_MotorisedValves_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_MotorisedValves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
