,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Range,Attachment 1,Connection Size,Connection Type,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range For Use With,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,For Use With,Weight,Dimensions mm (H x W x D),Pack Quantity,Colour,Flow Rate,Warranty,Output,Depth (mm)
162,P480843,Worcester Bosch 87180066580 burner,Worcester Bosch,321.17,"A genuine Worcester Bosch replacement part, this burner is compatible with Greenstar, RD Series, Greenstar ErP and CDi Series boilers.  The burner produces heat in a combustible heating appliance. In natural gas appliances gas is transferred to a gas valve and into the burner for ignition. The heat created is used to heat the water in the master heat exchanger.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87180066580 burner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/43/480843_wm.jpg,N,"30 CDi Classic Regular, 30 CDi Classic System, 30 HE Plus Combi, 34 CDi Classic LPG, 38 CDi, 537/i, Highflow 440 CDi, ICC2-FSN 37KW, R25 HE, RD532, RD537I, 27 CDi LPG, 28 HE System, 29 CDi, 30 CDi, 30 CDi Classic Regular LPG, 30 CDi System LPG, 35 CDi Cl",Gas Assembly,"Greenstar, RD Series, Greenstar ErP, CDi Series",E27200,"35 CDi Classic Syst,27 CDi LPG,25 CDi LPG,25 HE +,29 CDi,35 CDi,30 CDi Classic Regular LPG,30 HE Combi,35 CDi Classic System,FS 30,FS 42,34 CDi Classic,28 HE System,29 CDi Classic LPG,34 CDi,30 CDi System LPG,34 CDi LPG,30 CDi,30 CDi Conventional,FS 42 LPG",87180066580,Burner,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,P408372,Worcester Bosch condensate collector,Worcester Bosch,148.71,"This Bosch condensate collector is suitable for use with the Worcester Bosch GB162.  The condensate collector holds discharge that accumulates in the primary heating or cooling system caused by changes in pressure and temperature.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch condensate collector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/72/408372_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Worcester_Bosch_GB162_LB_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
164,P410313,Worcester Bosch badge,Worcester Bosch,9.33,"An official Bosch product, this badge is a spare casing part for Worcester Bosch CEi Series, Compact, Greenstar, Greenstar Oil and Greenstar ErP boilers.  Casings vary from model to model with designs to suit different locations, offering differing levels of robustness and a variety of finishes.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch badge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/13/410313_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/WB_Greenstar24-28I_Junior_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
165,P474357,Worcester Bosch 8748300911 printed circuit board,Worcester Bosch,105.53,"This Worcester Bosch printed circuit board is a genuine spare part for Greenstar boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 8748300911 printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/57/474357_wm.jpg,N,"30 CDi Classic Regular, 30 CDi Classic Regular LPG, 30 CDi Conventional, 30 CDi Conventional LPG, 40 CDi Classic Regular, 40 CDi Classic Regular LPG, 40 CDi Conventional, 40 CDi Conventional LPG",Control Panel,Greenstar,,,8748300911,Printed Circuit Board,N,8748300911,,,,,,,,,,,,,,,,,,"30 CDi Classic Regular, 30 CDi Classic Regular LPG, 30 CDi Conventional, 30 CDi Conventional LPG, 40 CDi Classic Regular, 40 CDi Classic Regular LPG, 40 CDi Conventional, 40 CDi Conventional LPG",,,,,,,,
166,P473864,Worcester Bosch 87110003020 shield,Worcester Bosch,18.29,"This control panel cover is the correct fit for Worcester Bosch's CDi Series, Greenstar and Greenstar ErP boilers.  A cover for the control panel or user interface, this part keeps display and controls clean and concealed. The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87110003020 shield,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/64/473864_wm.jpg,N,"FS 42, 12 i, 18 i, 24, 24 i, 24 i Junior, 25 Si LPG, 30 Si LPG, 34 CDi Classic, 40 CDi, 40 CDi Conventional LPG, 430/i LPG, 537/i, 542/i, FS 42 CDi, Highflow 440 CDi, 24 i LPG, 28 i Junior, 28 i Junior Mk5 LPG, 29 CDi Classic, 30 CDi, 30 CDi Conventional",Control Panel,"CDi Series, Greenstar, Greenstar ErP",H28963,"29 CDi Classic,28 i Junior Mk5 LPG,27 CDi LPG,30 CDi Classic Regular,27 CDi,15 i LPG,25 CDi,FS 30 LPG,25 Si,28 i Junior,30 CDi Classic System,12 i LPG,FS 30,3,30 CDi Conventional LPG,30 CDi Classic System LPG,30 CDi Conventional,30 CDi,FS 42 LPG,24 i LPG",87110003020,Cover,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,P489937,Worcester Bosch primary control sensor,Worcester Bosch,13.57,"This Worcester Bosch sensor is for use in the control panel of Greenstar and Greenstar ErP boilers.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch primary control sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/37/489937_wm.jpg,N,"12 i LPG, 15 i LPG, 24 i Junior, 25 Si, 21Ri ErP+ NG, 24i System LPG, 24Ri ErP+ NG, 9i System LPG, 12 Ri LPG, 15 i, 24 i Junior Mk5, 28 i Junior LPG, 12Ri, 12Ri ErP+ NG, 21Ri ErP+ LPG, 24i System, 30i Combi, 12i System, 12i System LPG, 12Ri LPG, 18Ri, 25",Control Panel,"Greenstar, Greenstar ErP",H26542,"24i System,12 i LPG,25i Combi LPG,15i System,12i System,15 Ri,24 i,12i System LPG,30 Si LPG,25i Combi,25 Si LPG,24 Ri,1,28 i Junior Mk5,24 i Junior Mk5,12 Ri LPG,15 i,18 i LPG,30 Si,30i Combi,18 Ri,12 i,28 i Junior LPG,24 Ri LPG,15i System LPG,12 Ri",87161066880,Sensor,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,P480824,Worcester Bosch 87161044610 air pressure switch,Worcester Bosch,43.49,"This Worcester Bosch air pressure switch is designed for use in CDi Series and i Junior Series boilers.  A vital safety device, an air pressure switch ensures the boiler fan is working correctly and prevents a build up of toxic gases with no means of venting them in case of a fan failure. The unit's PCB closely monitors the air pressure switch to ensure it's fully functional before firing the system up, keeping the appliance from starting without the presence and operation of key safety features.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87161044610 air pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/24/480824_wm.jpg,N,"35 CDi II RSF NG, 24 i Junior LPG, 35 CDi II RSF LPG, 28 i Junior, 28 i Junior LPG, 24 i Junior",Fan Combustion Chamber,"CDi Series, i Junior Series",E80454,"35 CDi II RSF NG,35 CDi II RSF LPG,28 i Junior,24 i Junior LPG,28 i Junior LPG,24 i Junior",87161044610,Pressure Switch,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,P408442,Worcester Bosch nut retaining,Worcester Bosch,3.77,"A replacement nut for the gas assembly of Worcester Bosch Greenstar, Greenstar ErP and Worcester 2000 boilers.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch nut retaining,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/42/408442_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/WB_Greenstar24-28I_Junior_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
170,P480152,Worcester Bosch natural gas junkers gas valve,Worcester Bosch,213.61,"This Worcester Bosch gas valve is suitable for Bosch, CDi Series, CDiXtra Series, Si/C1 Series and RD Series boilers.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch natural gas junkers gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/52/480152_wm.jpg,N,"RX2 RSF LPG, 24 CDi RSF LPG, 28 CDi RSF LPG, 26 CDi Xtra, 24 SI II, 28 Si II, 28 Si II LPG, RX2 RSF, 24 CDi BF, 35 CDi II RSF LPG, 24 SI II LPG, 24 CDi OF, 35 CDi II RSF NG, RD628 RSF, 24 CDi RSF NG, 28 CDi RSF NG",Gas Assembly,"Bosch, CDi Series, CDiXtra Series, Si/C1 Series, RD Series",E80450,"24 CDi RSF NG,24 SI II,28 Si II,24 SI II LPG,24 CDi OF,RX2 RSF,RD628 RSF,24 CDi RSF LPG,28 Si II LPG,28 CDi RSF NG,35 CDi II RSF NG,35 CDi II RSF LPG,28 CDi RSF LPG,26 CDi Xtra,RX2 RSF LPG,24 CDi BF",87161026730,Gas Valve,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,P480691,Worcester Bosch 87483002760 printed circuit board,Worcester Bosch,416.64,"This Worcester Bosch brand printed circuit board is compatible with CDi boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87483002760 printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/91/480691_wm.jpg,N,"28 CDi RSF LPG, 28 CDi RSF NG",Control Panel,CDi Series,E06023,"28 CDi RSF NG,28 CDi RSF LPG",87483002760,Printed Circuit Board,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,P408394,Worcester Bosch 87161138350 siphon,Worcester Bosch,12.1,"A Worcester Bosch siphon for use in Greenstar and Greenstar ErP boilers.  A siphon is designed to collect the discharge caused by pressure and temperature fluctuations in primary heating/cooling systems. A discharge pipe connected to the condensate trap sends this held water out of the property. This pipe is ordinarily made of plastic that can withstand the low levels of acid present due to CO2 from the combustion process dissolving in the water.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87161138350 siphon,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/94/408394_wm.jpg,N,"18 Ri LPG, 18Ri LPG, 24Ri, 24Ri LPG, 9Ri ErP+ LPG, 12 Ri, 15 Ri, 12Ri, 15Ri ErP+ LPG, 18Ri ErP+ LPG, 21Ri ErP+ LPG, 24Ri ErP+ LPG, 9Ri ErP+ NG, 24 Ri, 15Ri ErP+ NG, 18Ri ErP+ NG, 18 Ri, 24 Ri LPG, 12Ri LPG, 15Ri, 18Ri, 15 Ri LPG, 12Ri ErP+ LPG, 12 Ri LPG",Hydraulics,"Greenstar, Greenstar ErP",H71777,"15 Ri LPG,15 Ri,12 Ri LPG,18Ri LPG,18 Ri,24 Ri,24 Ri LPG,12 Ri",87161138350,Syphon,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,P793134,Worcester Bosch pipe return,Worcester Bosch,29.5,"A genuine Worcester Bosch replacement pipe for use in Greenstar boilers.  In a boiler pipework either allows water or gas into a heating unit, including the mains water supply and the pipework on a wall jig, or is found within an appliance and carries water between the various mechanisms that require it, including the diverter valve and heat exchanger.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch pipe return,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/34/793134_wm.jpg,N,"12 i, 18 i, 24 i, 24 i Junior Mk5 LPG, 25 Si LPG, 28 i Junior LPG, 30 Si LPG, 24 i LPG, 28 i Junior, 28 i Junior Mk5, 28 i Junior Mk5 LPG, 18 i LPG, 12 i LPG, 15 i LPG, 25 Si, 30 Si, 15 i, 24 i Junior, 24 i Junior LPG, 24 i Junior Mk5",Hydraulics,Greenstar,H08600,"28 i Junior Mk5 LPG,15 i LPG,30 Si LPG,18 i,25 Si LPG,25 Si,24 i Junior LPG,28 i Junior,12 i LPG,24 i Junior,28 i Junior Mk5,24 i Junior Mk5 LPG,24 i Junior Mk5,15 i,18 i LPG,30 Si,24 i,12 i,28 i Junior LPG,24 i LPG",87161065450,Pipe,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,P489959,Worcester Bosch diverter valve body,Worcester Bosch,113.01,"This diverter valve assembly is a genuine Worcester Bosch brand part designed for use in Heatslave boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch diverter valve body,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/59/489959_wm.jpg,N,"12/14-OSO-GB, 20/25-RSO-GB, 26/32 RSO (RS), 12/14-RSO-GB, 15/19 RSO (RS), 15/19-OSO-GB, 20/25-OSO-GB, 26/32 OSO (CF)",Diverter Valve,Heatslave,,"12/14-OSO-GB,20/25-RSO-GB,15/19 RSO (RS),26/32 OSO (CF),15/19-OSO-GB,26/32 RSO (RS),20/25-OSO-GB,12/14-RSO-GB",87161049190,Diverter Valve Body,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,P408544,Worcester Bosch 87186864950 flap assembly,Worcester Bosch,32.48,"This Worcester Bosch flap assembly is a spare part used in the casing of Compact, Greenstar and Greenstar ErP boilers.  Casings vary from model to model, designed to suit different locations, offering differing levels of robustness and a variety of finishes.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87186864950 flap assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/44/408544_wm.jpg,N,"533 ErP, 28 CDi Compact, 27i System, 32CDi Compact LPG, 535 ErP, 28 CDi Compact LPG, 36 CDi Compact LPG, 27i System LPG, 28CDi Compact LPG, 36CDi Compact, 27 i System, 32CDi Compact, 533, 535, 25Si Compact, 30Si Compact LPG, 30 i System, 30 i System LPG,",Casing,"Compact, Greenstar, Greenstar ErP",J04326,,87186864950,Flap Assembly,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,P793211,Worcester Bosch retaining kit,Worcester Bosch,10.89,"This Worcester Bosch heat exchanger retaining kit is suitable for use in Greenstar and Greenstar ErP boilers.  The kit contains parts of various sizes and shapes that can be used to replace or service a section or part of a fixture.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch retaining kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/11/793211_wm.jpg,N,"12 i LPG, 15 i, 15 Ri LPG, 24 i Junior LPG, 24 i Junior Mk5, 24 i Junior Mk5 LPG, 24 i LPG, 12Ri ErP+ LPG, 15Ri LPG, 18 Ri LPG, 12Ri ErP+ NG, 18Ri, 18Ri LPG, 24Ri ErP+ NG, 9Ri ErP+ LPG, 15 Ri, 25 Si LPG, 24Ri, 24Ri LPG, 18 i LPG, 18 Ri, 24 Ri LPG, 28 i J",Heat Exchanger,Greenstar CDiGreenstar ErPGreenstar Junior,H04631,"15 i LPG,30 Si LPG,18 i,25 Si LPG,24 i Junior LPG,24 Ri,12 i LPG,24 i Juni,24 i Junior,28 i Junior Mk5,15 Ri LPG,15 Ri,24 i Junior Mk5,12 Ri LPG,18Ri LPG,15 i,18 i LPG,18 Ri,30 Si,24 i,12 i,24 Ri LPG,28 i Junior LPG,12 Ri",87434010910,Retaining Kit,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,P408545,Worcester Bosch gauge plastic capillary,Worcester Bosch,20.67,"A Worcester Bosch pressure gauge for Compact, Greenstar and Greenstar ErP boilers.  A pressure gauge gives a visual measurement of the pressure in a system. Ordinarily a leak in your system will show as a consistent pressure drop.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch gauge plastic capillary,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/45/408545_wm.jpg,N,"533 ErP, 25 Si Compact, 27 i System LPG, 28 CDi Compact, 30 i System, 30 i System LPG, 32 CDi Compact LPG, 36 CDi Compact, 25Si Compact, 533, 535, 28 CDi Compact LPG, 28CDi Compact, 30Si Compact LPG, 36CDi Compact LPG, 27i System, 27 i System, 36 CDi Com",Control Panel,CompactGreenstar CDiGreenstar ErP,J04505,"27 i System LPG,27 i System,25 Si Compact,30 Si Compact LPG,30 i System,36 CDi Compact LPG,535 ErP,28 CDi Compact,36 CDi Compact,533,28 CDi Compact LPG,535,32 CDi Compact LPG,533 ErP,25 Si Compact LPG,30 Si Compact",87186865130,Pressure Gauge,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,P792623,Worcester Bosch 87161200690 flow switch assembly,Worcester Bosch,100.44,"This Worcester Bosch flow switch assembly is for use in the heat exchanger of Heatslave units.  The flow switch, or flow meter, has an inbuilt sensor that sits inside heating or hot water system pipework as an important safety mechanism. Designed to sense water flow, the switch feeds information to the boiler's printed circuit board (PCB) to ensure that the burner is not activated when the system is low on water or dry.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87161200690 flow switch assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/23/792623_wm.jpg,N,"20/25-OOO-(CF), 20/25-OSO-GB, 15/19-OSO-GB, 12/14-RSO-GB, 15/19 RSO (RS), 12/14-OOO-(CF), 15/19-OOO-(CF), 12/14-OSO-GB",Heat Exchanger,Heatslave,,"12/14-OSO-GB,15/19 RSO (RS),15/19-OSO-GB,15/19-OOO-(CF),20/25-OOO-(CF),12/14-OOO-(CF),12/14-RSO-GB,20/25-OSO-GB",87161200690,Flow Switch Assembly,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,P142929,Worcester Bosch 87186834990 fitting PRV (1),Worcester Bosch,27.41,"This Worcester Bosch fitting PRV is suitable for use in all Worcester Bosch boilers.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it, first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87186834990 fitting PRV (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/29/142929_wm.jpg,N,,,,,,87186834990,Fitting PRV,N,,,,,,,,,,,,,,,,,,,,,,1,,,,,
180,P491951,Worcester Bosch valve,Worcester Bosch,37.79,"A replacement Worcester Bosch isolation valve compatible with Greenstar, Greenstar 8000 Style, Greenstar ErP, Compact, Greenstar 8000 Life, Si/C1 Series, i Junior Series and RD Series boilers.  Usually situated underneath heating appliances, the isolation valve lets the user regulate the flow of gas and water into a central heating system. It also allows the user to stop the flow in case of a leak or emergency.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/51/491951_wm.jpg,N,"25 Si LPG, 28 i Junior, 30 CDi LPG, 30 Si Compact LPG, 34 CDi LPG, 40 CDi LPG, 42 CDi, 42 CDi LPG, 532/i, 30 CB LPG, 30 CB NG, 35 C LPG, 30i Combi, 533 ErP, 15 i, 24 i Junior LPG, 24 i Junior Mk5, 28 i Junior LPG, 30 CDi, 30 Si Compact, 34 CDi, 36 CDi Co",Isolation Valve,"Greenstar, Greenstar 8000 Style, Greenstar ErP, Compact, Greenstar 8000 Life, Si/C1 Series, i Junior Series, RD Series",E89864,"29 CDi Classic,28 i Junior Mk5 LPG,18 i,25 CDi,29 CDi,25 Si Compact,24 i Junior LPG,29 CDi LPG,24 i Junior,535 ErP,28 CDi Compact,24 i Junior Mk5 LPG,533 ErP,28 CDi Compact LPG,24 i Junior Mk5,15 i,18 i LPG,30 CDi Classic System LP,28 i Junior LPG,30 CDi",87161034230,Isolation Valve,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,P797312,Worcester Bosch oil line,Worcester Bosch,18.67,"This Worcester Bosch oil line is a genuine brand spare part for use in a boiler's hydraulics.  The oil line carries a supply of oil from the main supply line into the appliance. These lines come in various lengths and with male or female connections, or a combination of both, depending on requirements.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch oil line,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/12/797312_wm.jpg,N,,Hydraulics,,,,87161086840,Oil Line,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
