,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Range,Warranty,Hazardous,Depth (mm),Cistern Size,Soft Close Seat,Design Type,Material,Shape,Fittings Included,Supplier Product Code,Toilet Pack Contents,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 2,Attachment 3,Type,Finish,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles,Attachment 4,Attachment 5,Feature 9,Position,Thickness,Anti Slip Surface,Grips or Handles,Capacity Litre
21,PU94717,Geberit Delta and Selvona 118.350.21.1 back to wall floor standing pan with 12 concealed cistern and flush plate Chrome,Geberit,360.44,"This Geberit Selnova back-to-wall floor standing toilet pan is supplied with a Delta 12 6/3L flush concealed cistern and Delta 50 flush plate in chrome finish. This all-in-one toilet installation pack makes fitting simple, saving on time and minimising the need to shop around for individual fittings.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Geberit Delta and Selvona 118.350.21.1 back to wall floor standing pan with 12 concealed cistern and flush plate Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/17/U94717_wm.jpg,,White,Delta and Selvona,5 Years,N,1138,,,,Vitreous China,Oval front,Yes,118.350.21.1,,N,Floor-standing Selnova WC and cistern grab and go pack,,,,,,,,,,Toilet Set,,,N/A,N/A,,,,,Floorstanding / Horizontal outlet,n/a,N/A,N/A,6 l
22,PC24472,Ideal Standard Concept Freedom DOC-M shower pack,Ideal Standard,2855.02,"Using the wheelchair-friendly Ideal Standard Concept Freedom shower pack helps installers to build a Part M compliant shower room. Incorporating a luxury HEWI detachable shower seat, a smart chrome grab rail measuring 800mm and two 600mm hinged support rails, this accessible kit is built around a safe thermostatic shower valve and shower kit with easy to operate tactile handles.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Ideal Standard Concept Freedom DOC-M shower pack,,"Detachable Hewi shower seat ;rail;Freedom dual thermostatic shower with easy operation pin handles;Contemporary 21 hinged support rail, 80cm long;Contemporary 21 grab rail straight, 60cm long x 2",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/72/NW-C24472_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6407AA_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT26309,LILY CLOSE COUPLED WC SET (NO SEAT),Essentials,183.77,"An all-in-one solution for hassle-free fitting, the Essentials Lily toilet pack includes a close-coupled pan and cistern, all you need to add is the seat of your choice. An elegant design that will suit most bathrooms, the Lily toilet is manufactured in robust china and has a simple white gloss finish.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> LILY CLOSE COUPLED WC SET (NO SEAT),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/09/T26309_wm.jpg,,White,Lily,25 Years,N,62.5,,Yes,Close Coupled,Vitreous China,D Shaped Seat,N/A,EC1003,Yes,N,Includes pan and cistern,For close-coupled installation,Vitreous china construction,White colour,D-shaped design,25 year warranty,,,,,Toilet Pack,,,,,,,,,,,,,
24,PT26374,Essentials Ivy wall hung rimless pan + seat pack with soft close seat,Essentials,226.6,"An all-in-one pack for ease of design and fitting, the Essentials Ivy toilet pack includes a wall-hung pan, cistern and soft-close seat. A modern, practical and compact design that will suit contemporary bathroom refits, the Ivy toilet has an overall height of 400mm and a 520mm projection. It is suitable for back-to-wall installation.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Essentials Ivy wall hung rimless pan + seat pack with soft close seat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/74/T26374_wm.jpg,,White,,25 Years,N,520,,Yes,Back to Wall,Vitreous China,D Shaped Seat,N/A,EC7025,Yes,N,D-shaped pan,With soft-close seat,For back-to-wall installation,Vitreous china construction,White colour,25 year warranty,,,,,Toilet Pack,,,,,,,,,,,,,
25,PC24470,CONCEPT FREEDOM S6404AA DOC M PACK,Ideal Standard,2893.23,"Meeting Part M requirements, this Ideal Standard luxury wheelchair accessible en suite bathroom pack includes a full extended toilet with back rest and support arm, dual flush cistern and soft close seat, a 400mm Cube basin, tap and fittings, thermostat and grab rails. Part of the Concept range, this set is ideal for hotels and care homes.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> CONCEPT FREEDOM S6404AA DOC M PACK,,"Wall mounted elongated rimless WC Bowl ;support brackets;Water saving dual flush Conceala 2 cistern with Karisma flush plate;Grab rails;Back rest;Hinged support arm;Holder, seat no cover;40cm Cube basin;Concept Blue mixer tap;Click waste;15mm TMV3 thermo",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/70/NW-C24470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6404AA_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P419008,Wolseley Packs I life WC CC pack,Wolseley Packs,229.0,TBC,Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Wolseley Packs I life WC CC pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/08/419008_wm.jpg,,,,,N,,,,,,,,419008 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,
27,PT26321,Ideal Lily rimless comfort height CC WC pack,Ideal,357.56,"A smart design that will suit most bathrooms, the Ideal Lily toilet pack is made up of a rimless comfort height WC pan and cistern, all packaged up with a luxury soft-close toilet seat. Standing at 815mm in height and with a projection of 625mm, this toilet is fitted with a push button operated dual flush mechanism, helping to save water with smaller flushes.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Ideal Lily rimless comfort height CC WC pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/21/T26321_wm.jpg,,White,Lily,25 Years,N,545,,Yes,Close Coupled Dual Flush,Vitreous China,D Shaped Seat,N/A,EC1015,Yes,N,Hygienic rimless design,Comfort height WC,Close-coupled installation,With dual flush,Push button operation,Includes soft-close toilet seat,25 year warranty,,,,Toilet Pack,,,,,,,,,,,,,
28,PP11387,Geberit AquaClean Tuma comfort complete solution wall-hung WC White Alpine,Geberit,2242.07,"With the Geberit AquaClean Tuma you can choose the features you want in your shower toilet: from the simple, basic functions of the Classic model to the additional convenience functions of the Comfort version. The AquaClean Tuma is available as a complete toilet solution with a perfectly fitting Rimfree® ceramic pan and hidden connections for electricity and water, or as a toilet enhancement solution. It can also be combined with a variety of previously installed ceramic pans.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Geberit AquaClean Tuma comfort complete solution wall-hung WC White Alpine,,"WC pan;Water supply connection set;Female socket;Sound insulation set;Spray shield;Descaling agent, 125ml;Cleaning set;Connection set for WC, 90 mm;Fastening material;Compensation pad;Remote control with wall-mounted case ;battery CR2032",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/87/NW-P11387_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_146290111_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,,,,,,,,
29,PT26373,IVY BACK TO WALL WC IN SEAT PACK,Essentials,216.67,"A complete toilet pack for ease of specification and fitting, the Essentials Ivy back-to-wall pack includes a rimless pan and soft-close toilet seat. Offering a height of 425mm and a 550mm projection, this toilet has a smart contemporary design suited to modern bathrooms.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> IVY BACK TO WALL WC IN SEAT PACK,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/73/T26373_wm.jpg,,White,,25 Years,N,550,,Yes,Back to Wall,Vitreous China,D Shaped Seat,N/A,EC7024,Yes,N,Includes back-to-wall pan and seat,Soft-close seat action,Rimless pan for hygiene,D-shaped seat,Vitreous china pan construction,White finish,25 year warranty,,,,Toilet Pack,,,,,,,,,,,,,
30,PP76319,NIVA BASIN MIXER + CLICKER WASTE CHR PK,Bristan,49.0,"With its statement angular design, the Bristan Niva basin mixer tap, supplied with clicker waste, is an ideal choice for contemporary bathrooms. Robustly built and suitable for use in both high and low water pressures, this elegant modern tap is fitted with long-life ceramic cartridges for smooth operation and long-term, trouble-free use.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> NIVA BASIN MIXER + CLICKER WASTE CHR PK,,"1x Basin Mixer, 2x Flexible Tails, 1x Fixing Kit, 1x Plinth, 1x Fitting Instructions",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/_a/D80844_A_wm.jpg,,,Niva,,N,,,,,,,,P76319 PK,,N,Chrome finish,Robustly built,Long-life ceramic cartridges ensure durable use,With clicker waste,Includes flexible tails,Metal fixing nut included for secure fitting,Suitable for use in high and low pressure systems,,,,Basin Mixers,,,,,,,,,,,,,
