,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Fuel Type,Range,Hazardous,Boiler Bundles,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
10,P114770,Electric Heating Company SlimJim 10kW electric flow boiler 10kw,Electric Heating Company,720.21,"Boasting a super compact design and almost silent operation the Electric Heating Company SlimJim 10kW electric boiler is ideal for use in homes where space is limited. A single phase electric system boiler, particularly suited to wet central heating systems and underfloor heating supply, this electric boiler is packed with handy features to ensure safety and efficiency, keeping costs low and making installation and maintenance simple. At-a-glance diagnostics and an easy-fit front cover speed up servicing and repair.",Boilers/Electric Boilers/Electric Boilers.csv -> Electric Heating Company SlimJim 10kW electric flow boiler 10kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/70/114769_114770_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Electric_Heating_Company_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/EHC_SlimJim_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/EHC_SlimJim_Installation.pdf,,,
11,P114769,Electric Heating Company SlimJim 7kW electric flow boiler 7kw,Electric Heating Company,703.26,"A compact unit offering powerful operation, the Electric Heating Company SlimJim single phase 7kW electric boiler is designed to supply homes requiring larger outputs while minimising installation space. The boiler's settable temperature range of between 30°C and 80°C means it works well for both radiator-based wet central heating systems and underfloor heating, with the option to run heating, hot water, or both at once. Highly efficient, the SlimJim helps to reduce the running costs of a home heating and hot water system, and it has a range of features chosen for safety and ease of operation and maintenance, including a cut-out device, run-dry sensor and an insulated stainless steel heat exchanger.",Boilers/Electric Boilers/Electric Boilers.csv -> Electric Heating Company SlimJim 7kW electric flow boiler 7kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/70/114769_114770_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Electric_Heating_Company_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/EHC_SlimJim_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/EHC_SlimJim_Installation.pdf,,,
12,P134111,Heatrae Sadia Amptec U601 electric boiler 6kw,Heatrae Sadia,760.46,"The Amptec U601 electric flow boiler provides hot water to a wet central heating system and is designed particularly for use in underfloor heating systems. Working efficiently with pressurised or open-vented systems in a wide range of locations including conservatories, lofts, extensions and unusual conversions, the U601 is well-suited to awkward spaces thanks to a compact design and silent operation. The flueless design of this 6kW output Amptec means that no heat is lost through the chimney.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec U601 electric boiler 6kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/12/134110_134112_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Heatrae_Sadia_Amptec_Installation_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Heatrae_Sadia_Amptec_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae_Sadia_Amptec_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Heatrae_Sadia_Amptec_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Amptec_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Amptec_Installation.pdf
13,P134104,Heatrae Sadia Amptec C1100 electric boiler 11kw,Heatrae Sadia,1257.94,"Amptec electric flow boilers such as this 11kW output C1100 model are ideally suited to use in conservatories, mobile homes, extensions, conversions, lofts, garages or anywhere that space is limited. Providing hot water to a wet central heating system in pressurised or open-vented systems this boiler functions efficiently alongside standard radiators, circulating pumps, room thermostats and thermostatic valves. With no flue required, the Amptec doesn't lose heat through the chimney, meaning that it's compact and unobtrusive, operating silently wherever it's installed while matching the rating of existing domestic electrical power supplies.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec C1100 electric boiler 11kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/04/134100_134104_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Heatrae_Sadia_Amptec_Installation_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae_Sadia_Amptec_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Heatrae_Sadia_Amptec_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Heatrae_Sadia_Amptec_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Amptec_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Amptec_Installation.pdf
14,P134113,Heatrae Sadia Amptec U1101 Underfloor electric boiler 11kw,Heatrae Sadia,1257.92,"The Amptec U1101 electric flow boiler is a space-saving, waste-free alternative to gas boilers. Suitable for use in pressurised or open vented systems, this boiler provides hot water to a wet central heating system and, when installed with a cylinder can control domestic hot water too. With no flue and no fuel tank to consider and absolutely silent operation, the compact U1101 is easy to install and can be located wherever's most convenient, making it ideal for smaller spaces.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec U1101 Underfloor electric boiler 11kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/14/134113_134114_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Heatrae_Sadia_Amptec_Installation_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae_Sadia_Amptec_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Heatrae_Sadia_Amptec_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Heatrae_Sadia_Amptec_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Amptec_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Amptec_Installation.pdf
15,P134112,Heatrae Sadia Amptec U901 electric boiler 9kw,Heatrae Sadia,1059.43,"Install the Amptec U901 electric flow boiler as part of your underfloor heating system for unobtrusive, silent operation in even the smallest of spaces. Providing hot water directly to a wet central heating system, the U901 works efficiently with pressurised or open-vented systems in often awkward to heat locations such as conservatories, lofts, extensions or garages. With a flueless design, this 9kW output Amptec can be sited in the most convenient spot to suit the design of your room with no heat lost through the chimney.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec U901 electric boiler 9kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/12/134110_134112_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Heatrae_Sadia_Amptec_Installation_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Heatrae_Sadia_Amptec_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae_Sadia_Amptec_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Heatrae_Sadia_Amptec_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Amptec_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Amptec_Installation.pdf
16,P134101,Heatrae Sadia Amptec C600 electric boiler 6kw,Heatrae Sadia,760.46,"The ideal choice for awkward spots where space is at a premium, from mobile homes to lofts, conservatories to garages, small apartments and new home extensions, the Amptec C600 electric flow boiler is designed to serve hot water to a wet central heating system. This flueless 6kW output electric flow boiler works efficiently in pressurised or open-vented systems with standard radiators, circulating pumps, room thermostats and thermostatic valves. With no flue no heat is lost through the chimney, meaning that the compact, silent Amptec is pleasingly unobtrusive.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec C600 electric boiler 6kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/04/134100_134104_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Heatrae_Sadia_Amptec_Installation_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae_Sadia_Amptec_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Heatrae_Sadia_Amptec_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Heatrae_Sadia_Amptec_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Amptec_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Amptec_Installation.pdf
17,P134100,Heatrae Sadia Amptec C400 electric boiler 4kw,Heatrae Sadia,760.46,"Suitable for conservatories, mobile homes, extensions, conversions, lofts and garages, especially where space is limited, the Amptec C400 electric flow boiler provides hot water to a wet central heating system, working efficiently with pressurised or open-vented systems, alongside standard radiators, circulating pumps, room thermostats and thermostatic valves. No flue is required by the Amptec and therefore no heat is lost through the chimney, meaning that this 4kW electric flow boiler is compact and unobtrusive, fitting into even the most awkward of spaces with ease.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec C400 electric boiler 4kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/04/134100_134104_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Heatrae_Sadia_Amptec_Installation_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae_Sadia_Amptec_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Heatrae_Sadia_Amptec_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Heatrae_Sadia_Amptec_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Amptec_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Amptec_Installation.pdf
18,P134110,Heatrae Sadia Amptec U401 electric boiler 4kw,Heatrae Sadia,760.46,"Designed especially for underfloor heating systems, the Amptec U401 electric flow boiler provides hot water to a wet central heating system. Installed alone or in multiples, the U401 works efficiently with pressurised or open-vented systems in a wide range of locations including conservatories, lofts, extensions or workshops. The flueless design of the 4kW output Amptec is ideal for awkward internal spaces and looses no heat through a chimney.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec U401 electric boiler 4kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/12/134110_134112_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Heatrae_Sadia_Amptec_Installation_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae_Sadia_Amptec_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Heatrae_Sadia_Amptec_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Heatrae_Sadia_Amptec_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Amptec_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Amptec_Installation.pdf
19,P134114,Heatrae Sadia Amptec U1201 Underfloor electric boiler 12kw,Heatrae Sadia,1285.9,"Suitable for use in pressurised or open vented systems, the Amptec U1201 electric flow boiler provides hot water to a wet central heating system and, when installed with a cylinder can control domestic hot water without the need for a gas supply. Silent in operation, flueless and with no fuel tank, this compact and lightweight boiler is ideal for smaller spaces, making installation easy in the location that's most convenient for the homeowner.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec U1201 Underfloor electric boiler 12kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/14/134113_134114_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Heatrae_Sadia_Amptec_Installation_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Heatrae_Sadia_Amptec_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae_Sadia_Amptec_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Heatrae_Sadia_Amptec_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Amptec_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Amptec_Installation.pdf
