,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Dimensions mm (H x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Application,Feature 3,Feature 4,Range,Diameter,Watts,Colour Temperature,Attachment 5
10,PV13614,"AquaJet twin feed twin pedestal short pre-rinse spray unit with standard gun with lever controls and 6"" bowl filler",Aquajet,327.98,"This AquaJet AJ-PR-30LS-BF1L 690mm short version twin pedestal, dual feed pre-rinse spray unit includes easy to use lever controls and a 6"" bowl filler.","Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> AquaJet twin feed twin pedestal short pre-rinse spray unit with standard gun with lever controls and 6"" bowl filler",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/14/NW-V13614_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mechline_Aquajet_Install.pdf,,,,,,,,,,,,,,,,,,,
11,PV03092,AquaJet heavy duty wall mounted pre-rinse spray unit with standard gun,Aquajet,172.46,"Suitable for 22.5 to 75 PSI (1.5 to 5 bar) water pressure, the AquaJet AJ-PR-50 heavy duty wall-mounted pre-rinse spray unit is supplied with a standard gun for plate rinsing and food prep jobs. Thanks to its tough design, this spray withstands twisting and pulling and includes a built-in restraining device to ensure it isn't over-extended.",Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> AquaJet heavy duty wall mounted pre-rinse spray unit with standard gun,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/92/NW-V03092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V03092_Technical.pdf,,,,,,,,,,,,,,,,,,,
12,PV00027,BKI contactor C16 37H04133,BKI,140.0,"This BKI contactor is a spare part for VG14E, VG14 and VG16 rotisserie ovens.",Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> BKI contactor C16 37H04133,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/27/NW-V00027_wm.jpg,,,,,N,x  x,"VG8,VG7,VG14,VG16",CO003,Contactor,N,,,,,,,,,,
13,PU61040,"Oxford Hardware Waste kits VTE3018EUROKIT.C combined sink waste, standpipe & strainer, 300mm high",Oxford Hardware,18.86,"Made of stainless steel and polyamide, this Oxford Hardware 300mm blue top combined standpipe, waste and strainer includes a 70mm flange for use with sink bowls with a 70mm opening.","Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> Oxford Hardware Waste kits VTE3018EUROKIT.C combined sink waste, standpipe & strainer, 300mm high",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/40/NW-U61038_U61040_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Oxford_Hardware_Brochure.pdf,,,,,,,,,,,,,,,,,,,
14,PV00056,AquaJet inner/outer hose assembly,Aquajet,46.52,"Supplied with end fittings, this AquaJet complete inner and outer hose assembly is suitable for use with AquaJet 10, 15, 20, 30 and 40 pre-rinse sprays.",Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> AquaJet inner/outer hose assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/56/NW-V00056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V00056_Technical.pdf,,,,,,,,,,,,,,,,,,,
15,PV13690,Mechline Basix manual compact mixer valve,Mechline,21.81,A Mechline Basic compact mixer valve.,Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> Mechline Basix manual compact mixer valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/90/NW-V13690_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mechline_M-MX91_Technical.pdf,,,,,,,,,,,,,,,,,,,
16,PV00061,AquaJet complete spray gun assembly with standard rose hea,Aquajet,43.26,"Featuring a standard rose head, this AquaJet complete pre-rinse spray gun assembly is compatible with AquaJet 10, 15, 20, 30 and 40 pre-rinse sprays.",Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> AquaJet complete spray gun assembly with standard rose hea,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/61/NW-V00061_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V00061_Technical.pdf,,,,,,,,,,,,,,,,,,,
17,P329812,Merlin ventilation interlocking system panel only,Merlin,307.9,"Designed specifically for use in commercial kitchens, this Merlin CT1250 gas ventilation interlock system with built-in current monitoring is used where kitchen appliances have flame failure devices and gas proving is not a requirement. Acting as an interlock between the ventilation system and the gas solenoid valve, this system can work with external current monitors and air pressure differential switches for interlocking with up to two fans.",Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> Merlin ventilation interlocking system panel only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/12/NW-329812_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/gr/am/Merlin_CT1250_Wiring_Diagram.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Merlin_CT1250_Troubleshooting_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Merlin_CT1250_User_Guide.pdf,,,,,,,,,,,,,,,,,
18,PV03782,Lincat replacement filter cartridge,Lincat,67.57,A Lincat replacement filter cartridge for a range of water boilers.,Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> Lincat replacement filter cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/82/NW-V03782_wm.jpg,,,,,N,x  x,"EB3F,EB4F",FC02,Filter Cartridge,N,"Compatible with Filter Flow water boilers EB3F, EB3F/PB, EB4F, EB6F and EB6TF",Compatible with wall-mounted boilers WMB3F/B and WMB3F/W,,,,,,,,
19,PV05842,Basix swan neck swivel spout 150 x 170mm,Basix,20.87,"Suitable for commercial kitchen installation, the Machine BaSix swan neck fixed spout is made of chrome-plated brass and includes a 3LPM scale-resistant flow straightener.",Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> Basix swan neck swivel spout 150 x 170mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/42/NW-V05842_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Machnie_BaSix_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V05842_Technical.pdf,,,,,,,,,,,,,,,,,,
20,PC50866,"Dormont 1/2"" x 1000mm long standard NVPF gas connection hose BS669 part 2,  with straight restainer",Dormont,42.76,"This high quality, safe and robust Dormont 1M unbraided gas hose features NPVF, a quick-disconnect coupling, straight restrainer and a cable with mounting hardware.","Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> Dormont 1/2"" x 1000mm long standard NVPF gas connection hose BS669 part 2,  with straight restainer",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/67/NW-C50866_C50867_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C50866_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mechline_Dormont_Gas_Hose_Install.pdf,,,,,,,,,,,,,,,,,,
21,PU61038,"Oxford Hardware Waste kits VTE2018EUROKIT.C combined sink waste, standpipe & strainer, 200mm high",Oxford Hardware,18.86,"Made of stainless steel and polyamide, this Oxford Hardware 200mm blue top combined standpipe, waste and strainer includes a 70mm flange for use with sink bowls with a 70mm opening.","Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> Oxford Hardware Waste kits VTE2018EUROKIT.C combined sink waste, standpipe & strainer, 200mm high",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/40/NW-U61038_U61040_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Oxford_Hardware_Brochure.pdf,,,,,,,,,,,,,,,,,,,
22,PV00076,AquaJet spray gun valve repair,Aquajet,18.14,An AquaJet valve repair kit for spray guns.,Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> AquaJet spray gun valve repair,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/76/NW-V00076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V00076_Technical.pdf,,,,,,,,,,,,,,,,,,,
23,PU19313,Die-Pat energy regulator - variable phase power regulator with RFI,Die-Pat,49.04,"Designed to maximise thermal dissipation, this Die-Pat on/off switch variable phase power regulator has a plug-in power connector block with push-fit connections.",Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> Die-Pat energy regulator - variable phase power regulator with RFI,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/13/NW-U19313_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Die_Pat_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,
24,PV00072,"AquaJet replacement spout 12""",Aquajet,20.36,"An AquaJet 300mm replacement spout for use with AquaJet 10, 15, 20, 30 and 40 pre-rinse spray.","Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> AquaJet replacement spout 12""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/72/NW-V00072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V00072_Technical.pdf,,,,,,,,,,,,,,,,,,,
25,PV00069,AquaJet valve body fits cold only - for body decks fitted with lever controls,Aquajet,26.24,This AquaJet valve body fits to a cold-only lever head body.,Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> AquaJet valve body fits cold only - for body decks fitted with lever controls,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/69/NW-V00069_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V00069_Technical.pdf,,,,,,,,,,,,,,,,,,,
26,PV93197,Hobart drain hose,Hobart,31.04,This Hobart 2.1M length wash drain hose is suitable for use in commercial catering dishwashers and glasswashers.,Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> Hobart drain hose,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/97/NW-V93197_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Hobart_AMX_AMXX_AUXX_AUP_Spare_Parts.pdf,,,,,,,,,,,,,,,,,,,
27,PV00055,AquaJet outer support spring,Aquajet,10.16,"This AquaJet replacement machine outer support spring is suitable for use with AJ-PR-10, 15, 20, 30 and 40 pre-rinse sprays.",Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> AquaJet outer support spring,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/55/NW-V00055_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V00055_Technical.pdf,,,,,,,,,,,,,,,,,,,
28,PV05904,Houno spring for closing device,Houno,10.2,"This Houno L1 2 x L3 12mm wire gauge spring for closing devices is compatible with Model 1.06, 1.08, 1.10, 1.12, 1.16 and 1.20.",Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> Houno spring for closing device,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/04/NW-V05904_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Houno_Spare_Parts_Catalogue.pdf,,,,,,,,,,,,,,,,,,,
29,PV00059,AquaJet wall bracket,Aquajet,19.78,"This AquaJet wall bracket is 300mm in length with a 17.15mm diameter. It is suitable for use with AquaJet 10, 15, 20, 30 and 40 pre-rinse spray.",Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> AquaJet wall bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/59/NW-V00059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V00059_Technical.pdf,,,,,,,,,,,,,,,,,,,
30,PV00070,"AquaJet replacement spout 6""",Aquajet,15.61,This AquaJet 150mm replacement spout is suitable for AquaJet pre-rinse sprays.,"Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> AquaJet replacement spout 6""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/70/NW-V00070_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V00070_Technical.pdf,,,,,,,,,,,,,,,,,,,
31,PV03752,BKI frame bezel,BKI,12.0,"This BKI frame bezel is compatible with VG16 and VG8 rotisserie ovens, VEAB, E316, E422 and E532.",Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> BKI frame bezel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/52/NW-V03752_wm.jpg,,,,,N,x  x,"VG8,VG16",LI035,Bezel,N,,,,,,,,,,
32,PV57569,Lincat low level sensor,Lincat,16.78,"A Lincat 6 x 275mm low level sensor for use with EB3F, EB4F, EB6F and EB3F/PB.",Parts and Spares/sub_categories/Commercial Catering Parts/Commercial Catering Parts.csv -> Lincat low level sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/69/NW-V57569_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Lincat_Spare_Parts_Catalogue.pdf,,,,,,,,,,,,,,,,,,,
