,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Attachment 2,Range,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Battery Life,Power Supply,Application,Attachment 3,Pack Quantity,Weight,Feature 9,Attachment 4
20,PT02572,Milwaukee Christmas Toolbox,Milwaukee,81.68,"A great festive gift for any hardworker, this Milwaukee Christmas toolbox contains a ratcheting multi-bit screwdriver with bit storage, a power tool-ready bit holder and a compact hex key set complete with twist-and-lock case. In addition a Limited black folding knife and Shockwave Impact Duty carabiner bit set is included. This great gift is finished with a vacuum insulated tumbler, designed to keep drinks hot or cold all day long.",Trade Essentials/Power Tools/Power Tools.csv -> Milwaukee Christmas Toolbox,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/72/T02572_wm.jpg,N,83(L) x 325(W) x 188(D),4932492673,Hand Tool,N,Tumbler has double-wall vacuum insulation temperature retention,18/8 stainless steel construction for durability,,,,Screwdriver has in-handle bit storage for easy bit access,Bit holder offers 1/4reception,Hex key set has twist and lock case for easy access to keys,Ball end offers up to 30° access to screw,Knife is compact for pocket carrying,With re-sharpenable stainless steel blade,,,,,,,Carabiner bit set ha laser-hardened wear guard tip for improved resistance and protection,
21,PT86479,Rothenberger Romax compact twin turbo press jaw M15 x 15mm,Rothenberger,117.44,"This Rothenberger Romax 15mm twin turbo press jaw presses diameters of 12 - 35mm. Its twin cylinder design, keeping the motor and piston in parallel, reduces the tool's total length to just 340mm, while a centralised centre of gravity reduces fatigue during use.",Trade Essentials/Power Tools/Power Tools.csv -> Rothenberger Romax compact twin turbo press jaw M15 x 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/80/NW-T86479_T86480_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,
22,PM32648,Geberit Flowfit FlowFit Pressing jaw [2] 16/20/25/32/40mm,Geberit,484.28,"Suitable for diameters of 16, 20, 25, 32 and 40mm, this Geberit FlowFit pressing jaw kit is for use with compatible Geberit pressing tools. Lightweight and conveniently designed, these jaws require the placement of the jaw on only one side of a fitting, simply turning the pressing point in 45° increments until it reaches an accessible point. This system makes working overhead and in tight spaces, even when dealing with larger dimensions, easy. With colour-coded markings on pressing indicators matching jaws to pipe sizes is simple while FlowFit's clever detachable on-pipe pressing indicator makes it possible to keep track of your work with no need to slow things down.",Trade Essentials/Power Tools/Power Tools.csv -> Geberit Flowfit FlowFit Pressing jaw [2] 16/20/25/32/40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32648_Primary_Image_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/M32648_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/M32648_Tech_Sheet.pdf,,,,,,,,,,,,,,,
23,PM43352,Geberit Mapress 690.224.00.1 pressing jaw 22mm,Geberit,168.64,"Designed for use with Geberit-compatible Mapress pressing toolss, this Geberit Mapress 22mm press jaw is made of a tough metal with zinc plating. Highly robust, this jaw is suitable for industrial use. For pressing tools with Geberit compatibility [2]",Trade Essentials/Power Tools/Power Tools.csv -> Geberit Mapress 690.224.00.1 pressing jaw 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M43352_Primary_Image_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,
24,PF58015,Geberit HDPE scraper,Geberit,32.01,"Made of HDPE, this Geberit pipe scraper is for use with a pressing tool, helping to reduce fire hazards.",Trade Essentials/Power Tools/Power Tools.csv -> Geberit HDPE scraper,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/15/NW-F58015_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,
25,PM90852,Geberit Mapress pressing collar and case 42-54mm,Geberit,1742.6,This Geberit Mapress pressing collar set contains 42mm and 54mm steel pressing collars for operating pressures up to 25 bar.,Trade Essentials/Power Tools/Power Tools.csv -> Geberit Mapress pressing collar and case 42-54mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/52/NW-M90852_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,
26,PM15677,Geberit Mapress pressing jaw sets 15 22 28 35mm,Geberit,687.03,"This Geberit Mapress pressing jaw set contains 15mm, 22mm, 28mm and 35mm stainless steel pressing jaws.",Trade Essentials/Power Tools/Power Tools.csv -> Geberit Mapress pressing jaw sets 15 22 28 35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/77/NW-M15677_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,
27,PS93068,Rems Mini-Akku-Press mini-press acc lithium-ion basic pack,Rems,1448.95,"Suitable for producing joints in all common press-fitting systems, this REMS Mini-Akku-Press basic pack is fronted by a universal cordless tool with automatic circuit control. The electro-hydraulic drive has a powerful 380 W (0.52 HP) battery motor, a robust planetary gear, eccentric reciprocating pump and a safety tip switch.",Trade Essentials/Power Tools/Power Tools.csv -> Rems Mini-Akku-Press mini-press acc lithium-ion basic pack,,Basic pack;Electro-hydraulic drive unit;Battery pack;Rapid charger;Sturdy steel case,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/68/NW-S93068_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Rems_Akku_Press_ACC_Spares_List.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rems_Battery_Safety_Instructions.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Rems_Product_Catalogue_2020.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Rems_Power_Akku_Mini_Ax-Press_Manual.pdf
28,PT47999,Makita CXT combi/impact twin pack 10.8v,Makita,291.75,This Makita CXT cordless kit includes a HP333D combi drill and the TD110D impact driver.,Trade Essentials/Power Tools/Power Tools.csv -> Makita CXT combi/impact twin pack 10.8v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/99/NW-T47999_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Makita_CLX228AJ_Guide.pdf,,,,,,,,,,,,,,,,
29,PM90815,Geberit Mapress pressing jaws 15/22/28/35mm,Geberit,777.52,"This Geberit Mapress pressing jaw set contains 15mm, 22mm, 28mm and 35mm stainless steel pressing jaws.",Trade Essentials/Power Tools/Power Tools.csv -> Geberit Mapress pressing jaws 15/22/28/35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/15/NW-M90815_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,
30,PT86476,"Rothenberger 8-piece jaw set 1/4 - 1.1/8""",Rothenberger,1635.33,"Compatible with the Romax hydraulic tool, this Rothenberger eight-piece jaw set includes jaws for 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", 7/8"", 1"" and 1 1/8"" fittings.","Trade Essentials/Power Tools/Power Tools.csv -> Rothenberger 8-piece jaw set 1/4 - 1.1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/76/T86476_wm.jpg,N,,1000001989,Pressing fitting tools,N,8-piece set,For us with the Romax hydraulic tool,,,,,,,,,,,,,,,,,
