,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Type,Diameter,Operating Temperature,Warranty,Weight,Hazardous,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10
10,PL13200,TracPipe FGP outdoor silicone tape 25mm 11mtr,TracPipe,25.95,This TracPipe FGP 25mm yellow outdoor silicone tape is supplied in a 11M length.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP outdoor silicone tape 25mm 11mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/00/NW-L13200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
11,PL13441,TracPipe FGP adaptor compression fit 22 x 15mm,TracPipe,30.86,This TracPipe FGP 22 x 15mm straight adapter includes AutoFlare x copper compression connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP adaptor compression fit 22 x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/46/NW-L13440_L13446_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
12,PL13446,TracPipe FGP adaptor compression fit 32 x 35mm,TracPipe,94.94,This TracPipe FGP 32 x 35mm straight adapter includes AutoFlare x copper compression connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP adaptor compression fit 32 x 35mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/46/NW-L13440_L13446_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
13,PL13467,TracPipeCC FGP flexible gas pipe DN32 x 75mtr (Per Meter),TracPipeCC,30.42,This TracPipe FGP 32mm yellow gas pipe is supplied in 75M lengths.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipeCC FGP flexible gas pipe DN32 x 75mtr (Per Meter)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/70/NW-L13459_L13470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
14,PL13032,TracPipe FGP male BSP adaptor 15mm x 1/2'',TracPipe,12.44,"This TracPipe FGP 15mm x 1/2"" adapter includes AutoFlare compression x BSP male connections.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP male BSP adaptor 15mm x 1/2''",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/32/NW-L13032_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
15,PL13465,TracPipeCC FGP flexible gas pipe DN28 x 90mtr (Per Meter),TracPipeCC,21.56,This TracPipe FGP DN28 yellow gas pipe is supplied in 90M lengths.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipeCC FGP flexible gas pipe DN28 x 90mtr (Per Meter)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/70/NW-L13459_L13470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
16,PL13443,TracPipe FGP adaptor compression fit 28 x 22mm,TracPipe,43.57,This TracPipe FGP 28 x 22mm straight adapter includes AutoFlare x copper compression connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP adaptor compression fit 28 x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/46/NW-L13440_L13446_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
17,PL13440,TracPipe FGP adaptor compression fit 15 x 15mm,TracPipe,25.21,This TracPipe FGP 15 x 15mm straight adapter includes AutoFlare x copper compression connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP adaptor compression fit 15 x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/46/NW-L13440_L13446_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
18,PL14091,TracPipe FGP compression elbow 22 x 22mm,TracPipe,52.56,"This TracPipe FGP 22 x 22mm 90° elbow is made of brass with compression connections. This fitting is compatible with TracPipe and TracPipeCC pliable corrugated stainless steel gas pipes, an alternative to rigid copper or steel pipes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP compression elbow 22 x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/92/NW-L14091_L14092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
19,PL13036,TracPipe FGP male BSP adaptor 35mm x 1.1/4'',TracPipe,72.17,"This TracPipe FGP 35mm x 1 1/4"" adapter includes AutoFlare compression x BSP male connections.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP male BSP adaptor 35mm x 1.1/4''",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/38/NW-L13034_L13038_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
20,PL13444,TracPipe FGP adaptor compression fit 28 x 28mm,TracPipe,46.92,This TracPipe FGP 28 x 28mm straight adapter includes AutoFlare x copper compression connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP adaptor compression fit 28 x 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/46/NW-L13440_L13446_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
21,PL13442,TracPipe FGP adaptor compression fit 22 x 22mm,TracPipe,34.63,This TracPipe FGP 22 x 22mm straight adapter includes AutoFlare x copper compression connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP adaptor compression fit 22 x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/46/NW-L13440_L13446_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
22,PL14092,TracPipe FGP compression elbow 28 x 28mm,TracPipe,76.31,"This TracPipe FGP 28 x 28mm 90° elbow is made of brass with compression connections. This fitting is compatible with TracPipe and TracPipeCC pliable corrugated stainless steel gas pipes, an alternative to rigid copper or steel pipes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP compression elbow 28 x 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/92/NW-L14091_L14092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
23,PL13202,TracPipe FGP outdoor silicone tape 50mm 11mtr roll,TracPipe,48.73,This TracPipe FGP 50mm yellow outdoor silicone tape is supplied in a 11M length.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP outdoor silicone tape 50mm 11mtr roll",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/02/NW-L13202_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
24,PL13461,TracPipeCC FGP flexible gas pipe DN22 x 30mtr (Per Meter),TracPipeCC,15.6,This TracPipe FGP DN22 yellow gas pipe is supplied in 30M lengths.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipeCC FGP flexible gas pipe DN22 x 30mtr (Per Meter)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/70/NW-L13459_L13470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
25,PL13463,TracPipeCC FGP flexible gas pipe DN28 x 30mtr,TracPipeCC,21.56,This TracPipe FGP DN28 yellow gas pipe is supplied in 30M lengths.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipeCC FGP flexible gas pipe DN28 x 30mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/70/NW-L13459_L13470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
26,PL13034,TracPipe FGP male BSP adaptor 22mm x 3/4'',TracPipe,18.29,"This TracPipe FGP 22mm x 3/4"" adapter includes AutoFlare compression x BSP male connections.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP male BSP adaptor 22mm x 3/4''",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/38/NW-L13034_L13038_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
