,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Connection,Connection Size,Range,Hazardous,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Colour,Connection Type,Operating Temperature,Warranty,Connection Size (mm),Actuator Type,Ball Material,Handle Material,Handle Type,Number of Ports,Operator Type,Seal Material,Seat Material,Feature 7,Feature 8,Size,Feature 9,Feature 10,Feature 11,Feature 12,Diameter,Weight,Standards,Voltage Rating,Attachment 6
11,PK65648,JET Range BBV20 6524100000 gas lever operated ball valve (BSPP) 50mm,JET Range,175.47,"This JET Range BBV20 lever operated ball valve includes 50mm BSPP female end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Ball Valves/Ball Valves.csv -> JET Range BBV20 6524100000 gas lever operated ball valve (BSPP) 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/51/NW-K65641_K65651_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Gas_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PK65584,JET Range BBV24 lever operated (copper x copper) ball valve WRAS 22mm,JET Range,64.7,"This JET Range BBV24 manual lever operated ball valve with brass body and PTFE seat includes 22mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Ball Valves/Ball Valves.csv -> JET Range BBV24 lever operated (copper x copper) ball valve WRAS 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/88/K65583_K65588_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PK65585,JET Range BBV24 lever operated (copper x copper) ball valve WRAS 28mm,JET Range,86.04,"This JET Range BBV24 manual lever operated ball valve with brass body and PTFE seat includes 28mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Ball Valves/Ball Valves.csv -> JET Range BBV24 lever operated (copper x copper) ball valve WRAS 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/88/K65583_K65588_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PK65664,JET Range BBV21 lever operated ball valve (BSPP) WRAS 20mm,JET Range,33.94,"This JET Range BBV21 lever operated ball valve includes 20mm BSPP end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Ball Valves/Ball Valves.csv -> JET Range BBV21 lever operated ball valve (BSPP) WRAS 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/71/NW-K65661_K65671_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_BBV21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PK65587,JET Range BBV24 lever operated (copper x copper) ball valve WRAS 42mm,JET Range,218.63,"This JET Range BBV24 manual lever operated ball valve with brass body and PTFE seat includes 42mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Ball Valves/Ball Valves.csv -> JET Range BBV24 lever operated (copper x copper) ball valve WRAS 42mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/88/K65583_K65588_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PK65632,JET Range BBV24R copper x copper lever ball valve 22mm Red,JET Range,64.72,"This JET Range BBV24R lever manual ball valve with brass body and PTFE seat includes 22mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Ball Valves/Ball Valves.csv -> JET Range BBV24R copper x copper lever ball valve 22mm Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/36/NW-K65631_K65636_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P170838,Pegler Valve PB500 ball valve (BSPT) 50mm Brass and handle Yellow,Pegler,156.2,"This vandal-proof Pegler PB500 lever operated manual ball valve has a full bore valve with quarter-turn operation and blow-out-proof assembly. It has 50mm BSP female end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Ball Valves/Ball Valves.csv -> Pegler Valve PB500 ball valve (BSPT) 50mm Brass and handle Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/38/NW-170833_170838_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Pegler_Connection_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Pegler_PB300_PB500_PB700_BSI_Certi.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_Ball_Valve_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pegler_77258686_Valve_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PK30904,Pegler Valve PS550 DZR press-fit ball valve 22mm Brass,Pegler,48.44,"This Pegler PS550 full bore manual brass ball valve is lever operated and supplied with 22mm press-fit connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Ball Valves/Ball Valves.csv -> Pegler Valve PS550 DZR press-fit ball valve 22mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/08/NW-K30902_K30908_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pegler_PressFit_Conctns_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_WRAS_PS500_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/VSH_XPress_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pegler_77258686_Valve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tf/ct/Pegler_WRASNSF_PresFitAdaptor_Crtfct.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PK65644,JET Range BBV20 6524050000 gas lever operated ball valve (BSPP) 20mm,JET Range,35.56,"This JET Range BBV20 lever operated ball valve includes 20mm BSPP female end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Ball Valves/Ball Valves.csv -> JET Range BBV20 6524050000 gas lever operated ball valve (BSPP) 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/51/NW-K65641_K65651_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Gas_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PK65666,JET Range BBV21 lever operated ball valve (BSPP) WRAS 32mm,JET Range,79.83,"This JET Range BBV21 lever operated ball valve includes 32mm BSPP end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Ball Valves/Ball Valves.csv -> JET Range BBV21 lever operated ball valve (BSPP) WRAS 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/71/NW-K65661_K65671_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_BBV21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PK65635,JET Range BBV24R copper x copper lever ball valve 42mm Red,JET Range,218.68,"This JET Range BBV24R lever manual ball valve with brass body and PTFE seat includes 42mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Ball Valves/Ball Valves.csv -> JET Range BBV24R copper x copper lever ball valve 42mm Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/36/NW-K65631_K65636_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P170837,Pegler Valve ball valve (BSPT) 40mm Brass and handle Yellow,Pegler,94.42,"This vandal-proof Pegler PB500 lever operated manual ball valve has a full bore valve with quarter-turn operation and blow-out-proof assembly. It has 40mm BSP female end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Ball Valves/Ball Valves.csv -> Pegler Valve ball valve (BSPT) 40mm Brass and handle Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/38/NW-170833_170838_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Pegler_Connection_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Pegler_PB300_PB500_PB700_BSI_Certi.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_Ball_Valve_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pegler_77258686_Valve_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
