,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Fuse Size (A),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Feature 5,Feature 6,Range,Nominal Heating (kW),Max Sound Pressure,Nominal Cooling (kW),Feature 7,Warranty,Seasonal Efficiency Energy Label Heating,UK Total Cooling,Seasonal Efficiency Energy Label Cooling,UK Sensible Cooling,Max Airflow (m/min),Feature 8,Feature 9,Feature 10,Feature 11,Attachment 4,Attachment 5,Attachment 6,Attachment 7
10,P602053,Fujitsu Eco Universal AOYG14KATA R32 Outdoor Unit 4.3KW,Fujitsu,434.81,"Running on eco-friendly R32 refrigerant, the Fujitsu Eco Universal 4.3kW outdoor split has an A+ seasonal efficiency rating for heating and A++ rating for cooling, helping to minimise your environmental impact while enjoying an always comfortable indoor temperature.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Eco Universal AOYG14KATA R32 Outdoor Unit 4.3KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/53/NW-602053_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Split_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
11,P700799,"Fujitsu ""AOEG36KBTB"" standard universal outdoor unit 9.5kW - R32",Fujitsu,1257.06,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.","Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu ""AOEG36KBTB"" standard universal outdoor unit 9.5kW - R32",,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/99/700799_wm.jpg,52 kg,1,R-32,N,320,25,0.625,0.375,AOEG36KBTB,Outdoor Unit,N,Slim & Compact design,High energy saving,Easy maintenance,Low ambient operation,,,,,,,10.8,55 dB,9.5,,3 Years,A+,9.03,A++,7.5,3750 M/min,,,,,,,,
12,P610070,Fujitsu AOEH07KMCG 2KW Standard Wall Outdoor,Fujitsu,316.73,"A compact design suitable for a wide variety of settings, the Fujitsu Standard 2kW outdoor unit uses DC multi inverter technology for quieter running, reducing its impact on your surroundings. Meanwhile, this R32 compatible air con unit also reduces energy consumption, helping to improve efficiency without compromising on cooling comfort.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH07KMCG 2KW Standard Wall Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/70/610070_wm.jpg,22,1,R-32,N,290,10,.3/8,1/4,AOEH07KMCG,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
13,P700035,Fujitsu Designer Series AOYG09KGCB R32 2.5KW Outdoor Unit,Fujitsu,435.42,"Part of the popular Design range, this Fujitsu Design Series AOYG09KGCB R32 outdoor air conditioning unit is fully compatible with Design series indoor units. Highly efficient, this 2.5kW unit offers both heating and cooling using R32 refrigerant.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Designer Series AOYG09KGCB R32 2.5KW Outdoor Unit,,Outdoor Unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/35/700035_wm.jpg,30Kg,Single Phase,R-32,N,290,10,9.52 mm,6.35 mm,AOYG09KGCB,R32 Refridgerant wall mounted,N,Compact design,For wall mounted installation,Compatible with the full Design range of indoor units,Single phase,,,,Offers A+++ cooling energy efficiency,Offers A++ heating energy efficiency,Designer Series,2.8,Cooling: 46 dB(A) - HighHeating: 48 dB(A) - High,2.5,3 year warranty,3 Years (Standard),A+,,A++,,1610 m³/h,,,,,,,,
14,P650356,Fujitsu VRF AJY126GALDH Vrf 40KW Vr-Iv Outdoor,Fujitsu,8047.33,"A smart design, the Fujitsu VR-IV 45kW three-pipe, three-phase outdoor unit offers a connectable indoor capacity ratio of up to 150%.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu VRF AJY126GALDH Vrf 40KW Vr-Iv Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/55/650355_wm.jpg,286kgs,3,R410a,N,765,,22.22mm(Discharge gas);  28.58mm(Suction gas),12.7mm,AJY126GALDH,VRF OUTDOOR UNIT,N,Offers simultaneous heating and cooling,Design flexibility,Easy installation and maintenance,Compatible with R410A refrigerant,,,,,,VRF,4.0,Cooling:60; Heating: 61,40,,,,,,,,,,,,,,,
15,P700816,"Fujitsu ""AOEG12KVCA"" eco outdoor floor unit 3.5kW -R32",Fujitsu,565.8,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.","Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu ""AOEG12KVCA"" eco outdoor floor unit 3.5kW -R32",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/16/700816_wm.jpg,31 lg,1,R-32,N,290,10,3/8 in,1/4 in,AOEG12KVCA,Outdoor Unit,N,High Energy Saving,Flexible and easy installation,Flexible pipe connection enables draining and piping in 6 directions,Smart device control (optional),,,,10ºC heating operation,Low ambient operation,,4.5,51 dB,3.5,,3 Years,A+,3.36,A++,2.59,1510 M/min,,,,,,,,
16,P650351,Fujitsu AirStage VR-IV AJY072GALDH Vrf 22.4KW Vr-Iv Outdoor,Fujitsu,5148.96,"Helping to save on energy, the Fujitsu AirStage VR-IV  22.4kW three pipe, three phase outdoor unit offers boosted efficiency and intelligent refrigerant control. This effective unit is suitable for premises ranging from large domestic dwellings to generous commercial spaces.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AirStage VR-IV AJY072GALDH Vrf 22.4KW Vr-Iv Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/51/650351_wm.jpg,262 Kg,3 Phase,R410a,N,765,,15.88 mm22.22 mm,12.7mm,AJY072GALDH,Outdoor Unit,N,8 hp capacity,New intelligent refrigerant control,Energy saving technology that boosted operation efficiency,Extended connection ratio,,,,Additional installation without changing the main pipe,Efficiency in actual operation,AirStage VR-IV,22.4,Cooling: 56 dBAHeating: 58 dBA,22.4,All inverter compressor,3 Year,,,,,185 m³/min,Multiple outdoor operation control,Heat exchanger refrigerant control,Flexible piping connection,Flexible installation of RB unit,,,,
17,P700784,Fujitsu AOEG24KATA eco universal outdoor unit 6.8kW - R32,Fujitsu,650.67,"Employing earth-friendly R-32 refrigerant, the Fujitsu Eco Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Eco Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG24KATA eco universal outdoor unit 6.8kW - R32,,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/84/700784_wm.jpg,38 kg,1,R-32,N,290,20,0.5,0.25,AOEG24KATA,Outdoor Unit,N,Nom. Cooling Capacity: 6.8kW,Nom. Heating Capacity: 7.5kW,Height: 632mm,Width: 799mm,,,,Depth: 290mm,Weight: 38kg,,7.5,55 dB,6.8,"Pipe Sizes: 1/4"" & 1/2""",3 Years,A+,6.63,A++,4.86,2885 M/min,Max Pipe Run (Height Difference): 25 (20) m,,,,,,,
18,P610073,Fujitsu AOEH09KMCG 2.6KW Standard Wall Outdoor,Fujitsu,330.26,"A compact design suitable for a wide variety of settings, the Fujitsu Standard 2.6kW outdoor unit uses DC multi inverter technology for quieter running, reducing its impact on your surroundings. Meanwhile, this R32 compatible air con unit also reduces energy consumption, helping to improve efficiency without compromising on cooling comfort.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH09KMCG 2.6KW Standard Wall Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/73/610073_wm.jpg,22,1,R-32,N,290,10,.3/8,1/4,AOEH09KMCG,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
19,P697545,Fujitsu Standard AOYG30KBTB R32 Outdoor Unit 8.5KW,Fujitsu,1009.83,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal 8.5kW outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG30KBTB R32 Outdoor Unit 8.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/46/NW-697545_697546_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Fujitsu_AUXG24_Technical_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/du/ct/Fujitsu_R32_Medium_Pressure_Duct.pdf,,,,,,,,,,,,,,,,,,,,,
20,P700782,Fujitsu AOEG18KATA eco universal outdoor unit 5.2kW - R32,Fujitsu,525.21,"Employing earth-friendly R-32 refrigerant, the Fujitsu Eco Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Eco Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG18KATA eco universal outdoor unit 5.2kW - R32,,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/82/700782_wm.jpg,33 kg,1,R-32,N,290,13,0.5,0.25,AOEG18KATA,Outdoor Unit,N,Nom. Cooling Capacity: 5.2kW,Nom. Heating Capacity: 6.0kW,Height: 542mm,Width: 799mm,,,,Depth: 290mm,Weight: 33kg,,6,52 dB,5.2,"Pipe Sizes: 1/4"" & 1/2""",3 Years,A+,4.8,A++,3.54,1840 M/min,Max Pipe Run (Height Difference): 20 (15) m,,,,,,,
21,P610068,Fujitsu AOEG30KBTA4 Aoeg30Kbta4 8KW 4 Way Multi Outdoor,Fujitsu,1475.38,"Operating quietly for minimal disturbance while running, the Fujitsu 8W four-way single phase outdoor air conditioning unit is ideal for use in busy spots where comfort and quiet is important. Highly efficient, this R32 compatible unit offers an A++ seasonal efficiency rating for heating and A+++ for cooling.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG30KBTA4 Aoeg30Kbta4 8KW 4 Way Multi Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/69/610068_69_wm.jpg,55,1,R-32,N,315,25,"3/8 x2, 1/2 x2",1/4 x4,AOEG30KBTA4,Multi Split Outdoor unit,N,Multi-split,Compact design,Quiet operation,Highly efficient,,,,Compatible with R32 refirgerant,,,,,,,,,,,,,,,,,,,,
22,P616503,Fujitsu Standard AOYG14KVCA Outdoor Unit 4.2KW,Fujitsu,650.67,"Running on eco-friendly R32 refrigerant, the Fujitsu Standard Universal 4.2kW outdoor split has a seasonal efficiency rating of A+ for heating and A++ rating for cooling, helping to minimise your environmental impact while enjoying an always comfortable indoor temperature.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG14KVCA Outdoor Unit 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/03/NW-616503_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Air_Conditioning_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
23,P697541,Fujitsu Standard AOYG14KBTB R32 Outdoor Unit 4.2KW,Fujitsu,583.02,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal 4.3kW outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG14KBTB R32 Outdoor Unit 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/41/NW-697540_697541_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/du/ct/Fujitsu_R32_Medium_Pressure_Duct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Fujitsu_AUXG09_Technical_Manual.pdf,,,,,,,,,,,,,,,,,,,,,
24,P700055,Fujitsu AOEH12KNCA 3.6KW Eco Plus Wall Mounted Outdoor,Fujitsu,339.48,"A sleek design to blend effortlessly into an outdoor area, the Fujitsu Eco+ 3.6kW outdoor air conditioning unit is designed to be wall-mounted. Thanks to inbuilt DC multi-inverter technology, this silent air con unit minimises energy consumption and maximises efficiency for guilt-free cooling.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH12KNCA 3.6KW Eco Plus Wall Mounted Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/55/700055_wm.jpg,2.4,1,R-32,N,290,10,.3/8,1/4,AOEH12KNCA,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
