,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Connection,Connection Size,Hazardous,Material,Thread Size,Working Pressure,Maximum Operating Temperature,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Range,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 4,Attachment 5,Attachment 6
10,P365359,"Fantini Banico water solenoid valve 20bar 3/4""",Fantini Banico,63.66,"This Fantini Banico solenoid valve with 3/4"" female BSP connection is suitable for water, air, oil, inert gases and other non-corrosive fluids with viscosity up to 2°.","Heating/Burner Parts/Valves/Valves.csv -> Fantini Banico water solenoid valve 20bar 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/59/NW-365359_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_Solenoid_Valve_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P309326,Siemens VXG VXG44.32-16 44.32 32mm 3port valve cv=16.0,Siemens,131.13,"Suitable for closed circuits only, the Siemens VXG valve is designed for use in small and medium-sized heating, ventilation and air conditioning systems. A control valve for mixing and diverting functions, this valve with 2"" BSPP male connections can also be used for shut-off.",Heating/Burner Parts/Valves/Valves.csv -> Siemens VXG VXG44.32-16 44.32 32mm 3port valve cv=16.0,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/27/NW-309326_309327_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_VXG_VVG_VVI_VXI_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Siemens_VXG44_VVG44_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_VXG44_VVG44_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
12,P365358,"Fantini Banico 2 way solenoid valve body 1/2 "" 0-6 bar",Fantini Banico,32.86,"This Fantini Banico solenoid valve with 1/2"" female BSP connection is suitable for water, air, oil, inert gases and other non-corrosive fluids with viscosity up to 2°.","Heating/Burner Parts/Valves/Valves.csv -> Fantini Banico 2 way solenoid valve body 1/2 "" 0-6 bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/58/NW-365358_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Banico_20B-F_NC_Solenoid_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_Solenoid_Valve_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P329584,Watts Industries Black Teknigas 28 class a gas solenoid valve 1/4inch,Watts Industries,122.08,"Provided with a 1/4"" BSP connection, this Watts Industries Black Teknigas solenoid valve is used first and foremost as a gas safety shut-off valve for gas families 1 (town gas), 2 (natural gas) and 3 (LPG). Also suitable for use as a control and safety valve for automatic burners or as a pilot valve, this solenoid valve is compatible with air provided it is within the valve's pressure range.",Heating/Burner Parts/Valves/Valves.csv -> Watts Industries Black Teknigas 28 class a gas solenoid valve 1/4inch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/84/NW-329584_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Black_Tecknigas_Combustion_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P469735,"Goldseal Goldseal 15mm  ½"" 230V AC Water Solenoid Valve.  WRAS Approved",Goldseal,65.94,"WRAS approved, this high quality, normally closed Goldseal 15mm 1/2"" 230V AC water solenoid valve is suitable for use in hot and cold water. Made of brass, it has a servo-assisted 0.5 - 16 bar operating pressure and BSP connection.","Heating/Burner Parts/Valves/Valves.csv -> Goldseal Goldseal 15mm  ½"" 230V AC Water Solenoid Valve.  WRAS Approved",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/52/469735_469752_wm.jpg,,,,BSP,15mm,N,Brass,15mm,0.5-16 Bar,120,GSW13-230VAC,Water Solenoid Valve,N,Normally closed,Brass body,Two-way inlet and outlet ports,WRAS Approved,IP65,,,,,,,,,,
15,P469730,"Goldseal GSVCPI100 cpi switch, Closed position indicator switch for 100mm Goldseal Gas Solenoid valve",Goldseal,67.0,"This Goldseal closed position indicator switch, or CPI switch, is designed for use with the 100mm Goldseal gas solenoid valve.","Heating/Burner Parts/Valves/Valves.csv -> Goldseal GSVCPI100 cpi switch, Closed position indicator switch for 100mm Goldseal Gas Solenoid valve",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/34/469730_469734_wm.jpg,,,,BSP,¼ BSP,N,Stainless Steel,¼,N/A,60,GSVCPI100,Gas Valve CPI,N,Operational voltage of 250Vac 3A,With IP65 enclosure,Stainless steel construction,"1/4"" BSP connection",,,,,,,,,,,
16,P469732,"Goldseal GSVCPI32-40 cpi switch, Closed position indicator switch for 32mm-40mm Goldseal Gas Solenoid valve",Goldseal,67.0,"This Goldseal closed position indicator switch, or CPI switch, is designed for use with the 32 - 40mm Goldseal gas solenoid valve.","Heating/Burner Parts/Valves/Valves.csv -> Goldseal GSVCPI32-40 cpi switch, Closed position indicator switch for 32mm-40mm Goldseal Gas Solenoid valve",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/34/469730_469734_wm.jpg,,,,BSP,¼ BSP,N,Stainless Steel,¼,N/A,60,GSVCPI32-40,Gas Valve CPI,N,Operational voltage of 250Vac 3A,With IP65 enclosure,Stainless steel construction,"1/4"" BSP connection",,,,,,,,,,,
17,P301526,"Watts Industries Powerseat Eco screw powerseat valve 3"" 230v",Watts Industries,1278.13,"Offering extremely high flow rates, this electro-hydraulically operated Watts Industries Black Teknigas Powerseat Eco family gas safety shut-off valve is supplied with 3"" connections, removable strainer and a range of switching options. Providing on-off general and safety control of low pressure combustible gases, air and oil, this shut-off valve is suitable for use with 1st (town gas), 2nd (natural gas) and 3rd (LPG) families and offers compatibility with oil with a viscosity of up to 200 seconds Redwood.","Heating/Burner Parts/Valves/Valves.csv -> Watts Industries Powerseat Eco screw powerseat valve 3"" 230v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/26/NW-301525_301526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/WI_Black_Teknigas_Powerseat_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P309339,Siemens Mxg 461 32mm 3port valve and act kv=12,Siemens,762.63,"Fitted with a ready-installed magnetic actuator, the Siemens MXG 461 32mm three-port valve allows for position control and feedback. In addition to providing modulating control of chilled and low temperature systems, this valve is also suitable for the dosing or control of fluids containing mineral oil (SAE05/SAE50), mineral oil-based diesel and heat transfer oils in closed circuits. Installed using 2 3/4"" BSPP connections, the MXG offers high resolution and rangeability along with a short positioning time.",Heating/Burner Parts/Valves/Valves.csv -> Siemens Mxg 461 32mm 3port valve and act kv=12,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/39/309339_wm.jpg,,,,2 inch BSPP Male,2 inch,N,Cast Iron,2 inch,16,45,MXG461.32-12,Modulating Control Valve,N,Cast iron construction,5M³/h flow rate,Fast positioning time,High-resolution stroke and high rangeability,Equal percentage or linear valve characteristic,MXG,24 VAC/DC voltage,"Indicates operating state, position feedback and manual control",Wear-free inductive stroke measurement,Fail-safe feature,"Low friction, robust design",No maintenance required,,,
19,P350192,"Belimo 3-way characterised control valve internal thread rp 2"" kv=49",Belimo,247.1,"This Belimo three way changeover ball valve with 2"" internal thread is suitable for closed cold and warm water systems. It is used for switching functions and two point controls on the water side of air-handling units and heating systems.","Heating/Burner Parts/Valves/Valves.csv -> Belimo 3-way characterised control valve internal thread rp 2"" kv=49",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/92/NW-350192_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belimo_R2-S_R3-S_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belimo_R3015-50-S1-S4_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belimo_R20-R30_DN15-32_EUDeclaration.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Belimo_AHU_Brochure.pdf,,
20,P469752,"Goldseal Goldseal 50mm  2"" 24V AC Water Solenoid Valve.  WRAS Approved",Goldseal,314.11,"WRAS approved, this high quality, normally closed Goldseal 50mm 2"" 24V AC water solenoid valve is suitable for use in hot and cold water. Made of brass, it has a servo-assisted 0.5 - 16 bar operating pressure and BSP connection.","Heating/Burner Parts/Valves/Valves.csv -> Goldseal Goldseal 50mm  2"" 24V AC Water Solenoid Valve.  WRAS Approved",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/52/469735_469752_wm.jpg,,,,BSP,250mm,N,Brass,250mm,0.5-16 Bar,120,GSW50-24VAC,Water Solenoid Valve,N,Normally closed,Brass body,Two-way inlet and outlet ports,WRAS Approved,IP65,,,,,,,,,,
21,P469746,"Goldseal water solenoid valve AC WRAS 32mm 1¼"" 24V",Goldseal,209.4,"WRAS approved, this high quality, normally closed Goldseal 32mm 1 1/4"" 24V DC water solenoid valve is suitable for use in hot and cold water. Made of brass, it has a servo-assisted 0.5 - 16 bar operating pressure and BSP connection.","Heating/Burner Parts/Valves/Valves.csv -> Goldseal water solenoid valve AC WRAS 32mm 1¼"" 24V",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/52/469735_469752_wm.jpg,,,,BSP,1¼ 32mm,N,Brass,1¼ 32mm,0.5-16 Bar,120,GSW35-24VAC,Water Solenoid Valve,N,Normally closed,Brass body,Two-way inlet and outlet ports,WRAS Approved,IP65,,,,,,,,,,
22,P364435,"Fantini Banico gas solenoid valve with automatic reset 1.1/2"" 230v",Fantini Banico,105.36,"Used for safe, controlled gas feed pipe shut-off, this Fantini Banico gas solenoid valve with 1 1/2"" BSP connection is suitable for natural gas, propane and LPG. The 1/4"" inlet and outlet plugs are suitable for CPI switch and pressure gauges and for connection to proving and interlock systems.","Heating/Burner Parts/Valves/Valves.csv -> Fantini Banico gas solenoid valve with automatic reset 1.1/2"" 230v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/38/NW-364432_364438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Banico_ZEV_F_Solenoid_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_ZEV_Solenoid_Valve_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Banico_ZEV_Solenoid_Valve_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
23,P469748,"Goldseal Goldseal 20mm  1¼"" 24V DC Water Solenoid Valve.  WRAS Approved",Goldseal,209.4,"WRAS approved, this high quality, normally closed Goldseal 20mm 1 1/2"" 24V DC water solenoid valve is suitable for use in hot and cold water. Made of brass, it has a servo-assisted 0.5 - 16 bar operating pressure and BSP connection.","Heating/Burner Parts/Valves/Valves.csv -> Goldseal Goldseal 20mm  1¼"" 24V DC Water Solenoid Valve.  WRAS Approved",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/52/469735_469752_wm.jpg,,,,BSP,1½ 20mm,N,Brass,1½ 20mm,0.5-16 Bar,120,GSW40-24VDC,Water Solenoid Valve,N,Normally closed,Brass body,Two-way inlet and outlet ports,WRAS Approved,IP65,,,,,,,,,,
24,P469742,"Goldseal Goldseal 25mm  1"" 24V DC Water Solenoid Valve.  WRAS Approved",Goldseal,108.58,"WRAS approved, this high quality, normally closed Goldseal 25mm 1"" 24V DC water solenoid valve is suitable for use in hot and cold water. Made of brass, it has a servo-assisted 0.5 - 16 bar operating pressure and BSP connection.","Heating/Burner Parts/Valves/Valves.csv -> Goldseal Goldseal 25mm  1"" 24V DC Water Solenoid Valve.  WRAS Approved",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/52/469735_469752_wm.jpg,,,,BSP,125 mm,N,Brass,125mm,0.5-16 Bar,120,GSW25-24VDC,Water Solenoid Valve,N,Normally closed,Brass body,Two-way inlet and outlet ports,WRAS Approved,IP65,,,,,,,,,,
25,P469731,"Goldseal GSVCPI20-25 cpi switch, Closed position indicator switch for 20mm-25mm Goldseal Gas Solenoid valve",Goldseal,67.0,"This Goldseal closed position indicator switch, or CPI switch, is designed for use with the 20 -25mm Goldseal gas solenoid valve.","Heating/Burner Parts/Valves/Valves.csv -> Goldseal GSVCPI20-25 cpi switch, Closed position indicator switch for 20mm-25mm Goldseal Gas Solenoid valve",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/34/469730_469734_wm.jpg,,,,BSP,¼ BSP,N,Stainless Steel,¼,N/A,60,GSVCPI20-25,Gas Valve CPI,N,Operational voltage of 250Vac 3A,With IP65 enclosure,Stainless steel construction,"1/4"" BSP connection",,,,,,,,,,,
