,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Hazardous,Approvals,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Equal / Unequal,End Connection A size,End Connection B size,End Connection C size,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Gender,Length (M)
10,PR12594,"Riifo 16mm x 1/2"" F5 Male couplers",Riifo,1.98,"Offering time saving efficiency, the Riifo F5 16mm x 1/2"" male coupler is part of a press-fit system suitable for use in hot and cold or heating applications. Fast and easy to press, Rifeng-manufactured F5 fittings are highly reliable and incorporate double O-ring seals for excellent water-tightness.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Riifo 16mm x 1/2"" F5 Male couplers",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/48/598648_wm.jpg,,,,,,N,WRAS,Ni Coated Brass,16mm x 1/2,,Press fit,,1100041651,MLCP press fittings,N,Nickel-coated brass body,Press-fit connection,With double O-ring seals,For use with RIIFO PEX/AL/PEX pipe,Full WRAS approval.,,,,,,Unequal,16 mm,1/2 BSP,N/A,,,,,,,,,,,
11,PM32692,Geberit m of flowfit pipe 40mm in 3m length,Geberit,17.53,"This Geberit FlowFit 40mm pipe is supplied in a 3M length. It is part of an extensive multilayer pipe system that blends the convenience of synthetics with the robustness of metal for a flexible, hygienic and hardwearing potable water solution that's also suitable for radiator connections. Complying with hygiene standards, the complete system can be installed without prior water analysis and is supplied with protective plugs for removal during installation, providing further protection from contamination. Geberit multilayer pipes are manufactured with a protective PE-RT outer layer that resists corrosion and mechanical damage. Inside, an aluminium middle layer provides stability, flexibility and provides a barrier against diffusion, while the inner PR-RT layer is corrosion resistant and food safe.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Geberit m of flowfit pipe 40mm in 3m length",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/92/M32692_wm.jpg,,,,,,N,BS EN 806 and DIN 1988DVGW system  approval mark (DW-8801CP0060),PE-RT II / Aluminium / PE-RT IIMultilayer,3m,,Plain End,,619.014.00.1,Multilayer System Pipe,N,Compatible with Geberit FlowFit and PushFit,For cold and hot potable water,For cooling and heating water with or without antifreeze agent,Suitable for service and process water and treated water,Compatible with rainwater with a pH value of <gt/> 6.0,"Suitable for seawater, wet, wet/dry and dry extinguishing water","Compatible with chemicals, technical liquids and compressed air (oil purity class 0–3)",For negative pressure and inert gases (e.g. nitrogen),"Ideal for technical building systems, industry and shipbuilding",Inherently stable,Equal,40 mm,40mmØ,40 mm,Can be bent by hand,Forms a barrier against diffusion,Silver grey RAL 7001 exterior,With transparent protection plug,"PE-RT II, aluminium and PE-RT II construction",7µm surface roughness,Thermal expansion of 0.026 mm/(m·K),"Thermal conductivity, pipe 0.41 W/m·K/Meets BS EN 806 and DIN 1988",With DVGW system approval mark (DW-8801CP0060),,
12,PM32689,Geberit m of flowfit pipe 20mm in 3m length,Geberit,5.16,"This Geberit FlowFit 20mm pipe is supplied in a 3M length. It is part of an extensive multilayer pipe system that blends the convenience of synthetics with the robustness of metal for a flexible, hygienic and hardwearing potable water solution that's also suitable for radiator connections. Complying with hygiene standards, the complete system can be installed without prior water analysis and is supplied with protective plugs for removal during installation, providing further protection from contamination. Geberit multilayer pipes are manufactured with a protective PE-RT outer layer that resists corrosion and mechanical damage. Inside, an aluminium middle layer provides stability, flexibility and provides a barrier against diffusion, while the inner PR-RT layer is corrosion resistant and food safe.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Geberit m of flowfit pipe 20mm in 3m length",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/89/M32689_wm.jpg,,,,,,N,BS EN 806 and DIN 1988DVGW system  approval mark (DW-8801CP0060),PE-RT II / Aluminium / PE-RT IIMultilayer,3m,,Plain End,,619.011.00.1,Multilayer System Pipe,N,Compatible with Geberit FlowFit and PushFit,For cold and hot potable water,For cooling and heating water with or without antifreeze agent,Suitable for service and process water and treated water,Compatible with rainwater with a pH value of <gt/> 6.0,"Suitable for seawater, wet, wet/dry and dry extinguishing water","Compatible with chemicals, technical liquids and compressed air (oil purity class 0–3)",For negative pressure and inert gases (e.g. nitrogen),"Ideal for technical building systems, industry and shipbuilding",Inherently stable,Equal,20 mm,20 mm,20 mm,Can be bent by hand,Forms a barrier against diffusion,Silver grey RAL 7001 exterior,With transparent protection plug,"PE-RT II, aluminium and PE-RT II construction",7µm surface roughness,Thermal expansion of 0.026 mm/(m·K),"Thermal conductivity, pipe 0.41 W/m·K/Meets BS EN 806 and DIN 1988",With DVGW system approval mark (DW-8801CP0060),,
13,PM32699,Geberit m of flowfit pipe 40mm in 5m length,Geberit,16.69,"This Geberit FlowFit 40mm pipe is supplied in a 5M length. It is part of an extensive multilayer pipe system that blends the convenience of synthetics with the robustness of metal for a flexible, hygienic and hardwearing potable water solution that's also suitable for radiator connections. Complying with hygiene standards, the complete system can be installed without prior water analysis and is supplied with protective plugs for removal during installation, providing further protection from contamination. Geberit multilayer pipes are manufactured with a protective PE-RT outer layer that resists corrosion and mechanical damage. Inside, an aluminium middle layer provides stability, flexibility and provides a barrier against diffusion, while the inner PR-RT layer is corrosion resistant and food safe.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Geberit m of flowfit pipe 40mm in 5m length",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/99/M32699_wm.jpg,,,,,,N,BS EN 806 and DIN 1988DVGW system  approval mark (DW-8801CP0060),PE-RT II / Aluminium / PE-RT IIMultilayer,5 m,,Plain End,,619.024.00.1,Multilayer System Pipe,N,Compatible with Geberit FlowFit and PushFit,For cold and hot potable water,For cooling and heating water with or without antifreeze agent,Suitable for service and process water and treated water,Compatible with rainwater with a pH value of <gt/> 6.0,"Suitable for seawater, wet, wet/dry and dry extinguishing water","Compatible with chemicals, technical liquids and compressed air (oil purity class 0–3)",For negative pressure and inert gases (e.g. nitrogen),"Ideal for technical building systems, industry and shipbuilding",Inherently stable,Equal,40 mm,40mmØ,40 mm,Can be bent by hand,Forms a barrier against diffusion,Silver grey RAL 7001 exterior,With transparent protection plug,"PE-RT II, aluminium and PE-RT II construction",7µm surface roughness,Thermal expansion of 0.026 mm/(m·K),"Thermal conductivity, pipe 0.41 W/m·K/Meets BS EN 806 and DIN 1988",With DVGW system approval mark (DW-8801CP0060),,
14,PR12573,Riifo F5 - Press F5-T2025X2025X2025 Ni F5 25mm Equal Tee,Riifo,7.6,"Easy to fit, this Riifo F5 25mm equal tee is made of a corrosion-resistant nickel-plated brass. Annealed during construction, this U profile press-fit fitting offers a reduced risk of stress cracking while the included double O-ring provides a reliable seal.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Riifo F5 - Press F5-T2025X2025X2025 Ni F5 25mm Equal Tee",,tee,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/46/598646_wm.jpg,,,,,F5 - Press,N,WRAS,Nickel Plated Brass,25 x 25 x 25mm,,RIIFO F5 Press Fit,,1100044982,F5 25mm Equal Tee,N,U pressing profile,"Easy, secure installation",Brass construction,Corrosion-resistant nickel plating,Machined using horizontal machining centers,WRAS approved,,,,,Equal,25 mm,25 mm,25 mm,,,,,,,,,,,
15,PM32690,Geberit m of flowfit pipe 25mm in 3m length,Geberit,8.49,"This Geberit FlowFit 25mm pipe is supplied in a 3M length. It is part of an extensive multilayer pipe system that blends the convenience of synthetics with the robustness of metal for a flexible, hygienic and hardwearing potable water solution that's also suitable for radiator connections. Complying with hygiene standards, the complete system can be installed without prior water analysis and is supplied with protective plugs for removal during installation, providing further protection from contamination. Geberit multilayer pipes are manufactured with a protective PE-RT outer layer that resists corrosion and mechanical damage. Inside, an aluminium middle layer provides stability, flexibility and provides a barrier against diffusion, while the inner PR-RT layer is corrosion resistant and food safe.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Geberit m of flowfit pipe 25mm in 3m length",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/90/M32690_wm.jpg,,,,,,N,BS EN 806 and DIN 1988DVGW system  approval mark (DW-8801CP0060),PE-RT II / Aluminium / PE-RT IIMultilayer,3m,,Plain End,,619.012.00.1,Multilayer System Pipe,N,Compatible with Geberit FlowFit and PushFit,For cold and hot potable water,For cooling and heating water with or without antifreeze agent,Suitable for service and process water and treated water,Compatible with rainwater with a pH value of <gt/> 6.0,"Suitable for seawater, wet, wet/dry and dry extinguishing water","Compatible with chemicals, technical liquids and compressed air (oil purity class 0–3)",For negative pressure and inert gases (e.g. nitrogen),"Ideal for technical building systems, industry and shipbuilding",Inherently stable,Equal,25 mm,25 mm,25 mm,Can be bent by hand,Forms a barrier against diffusion,Silver grey RAL 7001 exterior,With transparent protection plug,"PE-RT II, aluminium and PE-RT II construction",7µm surface roughness,Thermal expansion of 0.026 mm/(m·K),"Thermal conductivity, pipe 0.41 W/m·K/Meets BS EN 806 and DIN 1988",With DVGW system approval mark (DW-8801CP0060),,
16,PM32693,Geberit m of flowfit pipe 50mm in 3m length,Geberit,24.75,"This Geberit FlowFit 50mm pipe is supplied in a 3M length. It is part of an extensive multilayer pipe system that blends the convenience of synthetics with the robustness of metal for a flexible, hygienic and hardwearing potable water solution that's also suitable for radiator connections. Complying with hygiene standards, the complete system can be installed without prior water analysis and is supplied with protective plugs for removal during installation, providing further protection from contamination. Geberit multilayer pipes are manufactured with a protective PE-RT outer layer that resists corrosion and mechanical damage. Inside, an aluminium middle layer provides stability, flexibility and provides a barrier against diffusion, while the inner PR-RT layer is corrosion resistant and food safe.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Geberit m of flowfit pipe 50mm in 3m length",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/93/M32693_wm.jpg,,,,,,N,BS EN 806 and DIN 1988DVGW system  approval mark (DW-8801CP0060),PE-RT II / Aluminium / PE-RT IIMultilayer,3m,,Plain End,,619.015.00.1,Multilayer System Pipe,N,Compatible with Geberit FlowFit and PushFit,For cold and hot potable water,For cooling and heating water with or without antifreeze agent,Suitable for service and process water and treated water,Compatible with rainwater with a pH value of <gt/> 6.0,"Suitable for seawater, wet, wet/dry and dry extinguishing water","Compatible with chemicals, technical liquids and compressed air (oil purity class 0–3)",For negative pressure and inert gases (e.g. nitrogen),"Ideal for technical building systems, industry and shipbuilding",Inherently stable,Equal,50 mm,50 mm,50 mm,Can be bent by hand,Forms a barrier against diffusion,Silver grey RAL 7001 exterior,With transparent protection plug,"PE-RT II, aluminium and PE-RT II construction",7µm surface roughness,Thermal expansion of 0.026 mm/(m·K),"Thermal conductivity, pipe 0.41 W/m·K/Meets BS EN 806 and DIN 1988",With DVGW system approval mark (DW-8801CP0060),,
17,PM32696,Geberit m of flowfit pipe 20mm in 5m length,Geberit,4.91,"This Geberit FlowFit 20mm pipe is supplied in a 5M length. It is part of an extensive multilayer pipe system that blends the convenience of synthetics with the robustness of metal for a flexible, hygienic and hardwearing potable water solution that's also suitable for radiator connections. Complying with hygiene standards, the complete system can be installed without prior water analysis and is supplied with protective plugs for removal during installation, providing further protection from contamination. Geberit multilayer pipes are manufactured with a protective PE-RT outer layer that resists corrosion and mechanical damage. Inside, an aluminium middle layer provides stability, flexibility and provides a barrier against diffusion, while the inner PR-RT layer is corrosion resistant and food safe.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Geberit m of flowfit pipe 20mm in 5m length",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/96/M32696_wm.jpg,,,,,,N,BS EN 806 and DIN 1988DVGW system  approval mark (DW-8801CP0060),PE-RT II / Aluminium / PE-RT IIMultilayer,5 m,,Plain End,,619.021.00.1,Multilayer System Pipe,N,Compatible with Geberit FlowFit and PushFit,For cold and hot potable water,For cooling and heating water with or without antifreeze agent,Suitable for service and process water and treated water,Compatible with rainwater with a pH value of <gt/> 6.0,"Suitable for seawater, wet, wet/dry and dry extinguishing water","Compatible with chemicals, technical liquids and compressed air (oil purity class 0–3)",For negative pressure and inert gases (e.g. nitrogen),"Ideal for technical building systems, industry and shipbuilding",Inherently stable,Equal,20 mm,20 mm,20 mm,Can be bent by hand,Forms a barrier against diffusion,Silver grey RAL 7001 exterior,With transparent protection plug,"PE-RT II, aluminium and PE-RT II construction",7µm surface roughness,Thermal expansion of 0.026 mm/(m·K),"Thermal conductivity, pipe 0.41 W/m·K/Meets BS EN 806 and DIN 1988",With DVGW system approval mark (DW-8801CP0060),,
18,PM32698,Geberit m of flowfit pipe 32mm in 5m length,Geberit,11.98,"This Geberit FlowFit 32mm pipe is supplied in a 5M length. It is part of an extensive multilayer pipe system that blends the convenience of synthetics with the robustness of metal for a flexible, hygienic and hardwearing potable water solution that's also suitable for radiator connections. Complying with hygiene standards, the complete system can be installed without prior water analysis and is supplied with protective plugs for removal during installation, providing further protection from contamination. Geberit multilayer pipes are manufactured with a protective PE-RT outer layer that resists corrosion and mechanical damage. Inside, an aluminium middle layer provides stability, flexibility and provides a barrier against diffusion, while the inner PR-RT layer is corrosion resistant and food safe.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Geberit m of flowfit pipe 32mm in 5m length",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/98/M32698_wm.jpg,,,,,,N,BS EN 806 and DIN 1988DVGW system  approval mark (DW-8801CP0060),PE-RT II / Aluminium / PE-RT IIMultilayer,5 m,,Plain End,,619.023.00.1,Multilayer System Pipe,N,Compatible with Geberit FlowFit and PushFit,For cold and hot potable water,For cooling and heating water with or without antifreeze agent,Suitable for service and process water and treated water,Compatible with rainwater with a pH value of <gt/> 6.0,"Suitable for seawater, wet, wet/dry and dry extinguishing water","Compatible with chemicals, technical liquids and compressed air (oil purity class 0–3)",For negative pressure and inert gases (e.g. nitrogen),"Ideal for technical building systems, industry and shipbuilding",Inherently stable,Equal,32 mm,32 mm,32 mm,Can be bent by hand,Forms a barrier against diffusion,Silver grey RAL 7001 exterior,With transparent protection plug,"PE-RT II, aluminium and PE-RT II construction",7µm surface roughness,Thermal expansion of 0.026 mm/(m·K),"Thermal conductivity, pipe 0.41 W/m·K/Meets BS EN 806 and DIN 1988",With DVGW system approval mark (DW-8801CP0060),,
19,P407726,Maincor MLCP pipe coil 25mm (min order: 50 meter),Maincor,4.25,"This Maincor 25mm pre-insulated multi-layer composite pipe (MLCP) is pressure-resistant and oxygen impermeable. Made of 2.5mm non-cross-linked polyethylene with high temperature resistance, this 50M long pipe is suitable for use in sanitary, heating and radiant heating installations.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Maincor MLCP pipe coil 25mm (min order: 50 meter)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/27/NW-407726_407727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Maincor_Multifit_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P503693,Pegler VSH Tectite MLCP tube (50mtr coil) 22mm,Pegler,7.06,"Made of MLCP, this Pegler Yorkshire Tectite 22mm tube saves on installation time and cost thanks to its uniquely fast push-fit connections. Highly reliable, this versatile tube is supplied in 50M lengths.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Pegler VSH Tectite MLCP tube (50mtr coil) 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/93/NW-503690_503693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_ETA_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PP95233,Uponor Uni Pipe PLUS universal pipe 16 x 2mm 200mtr White,Uponor,2.17,The seamless aluminium Uponor 16mm Uni Pipe PLUS prevents oxygen penetration and compensates for restoring forces and linear expansion caused by temperature changes. The pipe's 2mm thick aluminium offers compressive strength and flexibility while polyethylene applied both inside and outside provides a high level of temperature resistance. All layers are permanently joined by an intermediate bonding layer and pipe is supplied in lengths of 200M.,"Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS universal pipe 16 x 2mm 200mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/36/NW-P95232_P95236_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Uni_Pipe_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P507343,Wavin Tigris K1 straight pipe 20mm 3mtr,Wavin,9.4,"Offered in a 3M length, this Wavin Tigris K1 20mm diameter straight pipe is made of white PE-X/AL with press-fit connections.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Wavin Tigris K1 straight pipe 20mm 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/45/NW-507342_507345_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Tigris_K1_Pipe_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PP08600,Uponor Uni Pipe Plus insulated pipe 16 x 2mm x 75mtr White / Red,Uponor,7.15,This Uponor Uni Pipe Plus 16mm insulated pipe is comprised of a pipe coil with round extruded pipe insulation made of a polyethylene foam with closed-cell material structure and lined with seamless aluminium.,"Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe Plus insulated pipe 16 x 2mm x 75mtr White / Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/02/NW-P08599_P08602_wm.jpg,,,,White / Red,Uni Pipe Plus,N,WRAS,(PE-RT) Aluminium,16 mm (Dia),2,Press fit,Plain End,1093953,Pipe,N,Consists of pipe and insulating layer,Supplied in coils,Round extruded pipe insulation made of polyethylene foam with closed-cell material structure,"Sturdy, seamless foil coating",Blue/white colour,75M length,2mm wall thickness,,,,,,,,,,,,,,,,,,
24,PM32688,Geberit m of flowfit pipe 16mm in 3m length,Geberit,3.62,"This Geberit FlowFit 16mm pipe is supplied in a 3M length. It is part of an extensive multilayer pipe system that blends the convenience of synthetics with the robustness of metal for a flexible, hygienic and hardwearing potable water solution that's also suitable for radiator connections. Complying with hygiene standards, the complete system can be installed without prior water analysis and is supplied with protective plugs for removal during installation, providing further protection from contamination. Geberit multilayer pipes are manufactured with a protective PE-RT outer layer that resists corrosion and mechanical damage. Inside, an aluminium middle layer provides stability, flexibility and provides a barrier against diffusion, while the inner PR-RT layer is corrosion resistant and food safe.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Geberit m of flowfit pipe 16mm in 3m length",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/88/M32688_wm.jpg,,,,,,N,BS EN 806 and DIN 1988DVGW system  approval mark (DW-8801CP0060),PE-RT II / Aluminium / PE-RT IIMultilayer,3m,,Plain End,,619.010.00.1,Multilayer System Pipe,N,Compatible with Geberit FlowFit and PushFit,For cold and hot potable water,For cooling and heating water with or without antifreeze agent,Suitable for service and process water and treated water,Compatible with rainwater with a pH value of <gt/> 6.0,"Suitable for seawater, wet, wet/dry and dry extinguishing water","Compatible with chemicals, technical liquids and compressed air (oil purity class 0–3)",For negative pressure and inert gases (e.g. nitrogen),"Ideal for technical building systems, industry and shipbuilding",Inherently stable,Equal,16 mm,16mmØ,16 mm,Can be bent by hand,Forms a barrier against diffusion,Silver grey RAL 7001 exterior,With transparent protection plug,"PE-RT II, aluminium and PE-RT II construction",7µm surface roughness,Thermal expansion of 0.026 mm/(m·K),"Thermal conductivity, pipe 0.41 W/m·K/Meets BS EN 806 and DIN 1988",With DVGW system approval mark (DW-8801CP0060),,
25,PP91007,Uponor Uni-Pipe MLCP MLCP straight pipe (5mtr length) 40 x 4mm (Priced per metre),Uponor,15.2,"This Uponor 40mm multilayer composite pipe is diffusion-tight and made up of PE-RT and longitudinally welded aluminium layered with adhesive. It is designed for distribution conduits, rising mains and connection lines for plumbing plus radiator and fan coil connections.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni-Pipe MLCP MLCP straight pipe (5mtr length) 40 x 4mm (Priced per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/09/NW-P91006_P91009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Uponor_IS_MLC_Catalogue_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P407859,M OF MAINCOR MLCP PIPE IN 100M COIL   16,Maincor,1.85,This 100M coil of Maincor MLCP is made of welded aluminium multilayer 100% barrier composite pipe.,"Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> M OF MAINCOR MLCP PIPE IN 100M COIL   16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/59/NW-407859_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Maincor_Pipe_System_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PP08597,Uponor Uni Pipe PLUS pipe 16 x 2mm x 120mtr,Uponor,2.19,"Safe and stable, this Uponor Uni Pipe Plus 16mm multilayer composite pipe is designed for tap water and heating or cooling applications. The pipe's bend radius is up to 40% smaller than similar multilayer composite pipes with changes of direction easily achieved during installation by simply bending the pipe, reducing the amount of fittings required and saving on time.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS pipe 16 x 2mm x 120mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/98/NW-P08597_P08598_wm.jpg,,,,White,Uni Pipe Plus,N,WRAS,(PE-RT) Aluminium,16 mm (Dia),2,Press fit,Plain End,1092653,Multilayer Composite Pipe,N,Seamless or OWC technology for high level of safety,High dimensional stability,Low expansion rates,Increased flexibility,100% oxygen barrier,Lightweight design,Fire classification E according to EN 13501-1,With pipe end caps as hygienic seal according EN 806,120M length,2mm wall thickness,,,,,,,,,,,,,,,
28,PP91531,Uponor Uni-Pipe MLCP MLCP straight pipe (5mtr length) 90 x 8.5mm (Priced per metre),Uponor,84.81,"This Uponor 90mm multilayer composite pipe is diffusion-tight and made up of PE-RT and longitudinally welded aluminium layered with adhesive. It is designed for distribution conduits, rising mains and connection lines for plumbing plus radiator and fan coil connections.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni-Pipe MLCP MLCP straight pipe (5mtr length) 90 x 8.5mm (Priced per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/32/NW-P91531_P91532_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Uponor_IS_MLC_Catalogue_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PP95234,Uponor Uni Pipe PLUS universal pipe 16 x 2mm 500mtr White,Uponor,2.17,The seamless aluminium Uponor 16mm Uni Pipe PLUS prevents oxygen penetration and compensates for restoring forces and linear expansion caused by temperature changes. The pipe's 2mm thick aluminium offers compressive strength and flexibility while polyethylene applied both inside and outside provides a high level of temperature resistance. All layers are permanently joined by an intermediate bonding layer and pipe is supplied in lengths of 500M.,"Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS universal pipe 16 x 2mm 500mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/36/NW-P95232_P95236_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Uni_Pipe_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
