,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Style,Warranty,Hazardous,Depth (mm),Door Opening Orientation,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Range,Feature 5,Feature 6
10,PE03803,Atlanta Fitted countertop unit 600mm Pearl Grey,Atlanta,208.24,"This Atlanta Fitted 820 x 600mm basin unit is designed for semi-recessed basin, providing off-floor storage to create a sense of space and keep medicines and cleaning products out of reach of little hands behind two soft close doors. This unit is finished in matte Pearl Grey, a fashionable pale tone designed to create a sense of space.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Atlanta Fitted countertop unit 600mm Pearl Grey,,Basin unit;Adjustable legs;Adjustable shelf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/03/NW-E03803_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,,
11,PT86959,Roca Ona Unik 2 Drawer 550mm white matt,Roca,609.3,"Finished in simple matte white to suit most bathroom designs, the Roca Ona 550mm vanity unit is fitted with a pair of spacious soft-close drawers ideal for storing make-up and other bathroom essentials.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Roca Ona Unik 2 Drawer 550mm white matt,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/59/T86959_wm.jpg,,,,White,Vanity Drawer Unit,5,N,595,N/A,Particle Board,A851687509,Vanity Unit,N,Particle board construction,Matte white finish,With 2x soft-close drawers,5 year warranty,,,
12,PD74728,Ideal Standard i.Life S compact wall hung vanity with 1 drawer 60cm Matt White,Ideal Standard,355.73,"The Ideal Standard i.Life 600mm compact wall mounted vanity unit has a smart modern design finished in simple matte white. Ideal for rooms requiring space saving solutions, this vanity unit with single soft-close drawer is part of a bathroom furniture range available in a variety of finishes and configurations to suit all interior designs and room layouts.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Ideal Standard i.Life S compact wall hung vanity with 1 drawer 60cm Matt White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/34/D74728_D74734_wm.jpg,,,,White / Matt,Contemporary,12 Months,N,375,,Mixed Material,T5292DU,Vanity Unit,N,Designed by Palomba Serafini Associati,Space saving design,With 1x soft close drawer,Matte white finish,i.Life S,Handle available in 2 finish options,12 month warranty
13,PP14587,"Geberit Selnova Square S 550mm 1 tap hole,vanity basin, slim rim, with cabinet, one door, White",Geberit,399.6,"Designed for a washbasin, this Geberit Selnova Square S 652 x 550 x 502mm one-door vanity unit is made of a high-compressed three-layer chipboard with a smart gloss white finish.","Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Geberit Selnova Square S 550mm 1 tap hole,vanity basin, slim rim, with cabinet, one door, White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/87/NW-P14587_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Geberit_P14587_Installation.pdf,,,,,,,,,,,,,,,,,,,
14,PD21744,I.LIFE A 60CM SEMI CTOP BAS 2 DRS WHITE,Ideal Standard,201.55,"A modern design offering generous storage, the Ideal Standard i.Life 600mm semi-countertop basin unit helps homeowners to maximise the feeling of space in a bathroom. Fitted with a pair of gently closing doors (handles sold separately), this storage unit, ready for the installation of a countertop handwash basin, is finished in a clean and smart matte white.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> I.LIFE A 60CM SEMI CTOP BAS 2 DRS WHITE,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/50/D21744_D21750_wm.jpg,,,,White / Matt,Contemporary,5 Years,N,300,pull to open,MDF,T5262DU,Space saving,N,Designed by Palomba Serafini Associati,With 2x soft-close doors,Handles available in 2x finish options,Design maximises wall space,i.Life A,Matte white finish,5 year warranty
15,PC24271,Nabis tall unit 300mm Soft White,Nabis,182.78,"Finished in a clean and smart smooth white gloss, this Nabis 1780 x 300 x 280mm tall two-door carcass is easy to install. It is made using high-quality FSC certified sustainable materials.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Nabis tall unit 300mm Soft White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/71/NW-C24271_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C24271_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Tall_Unit_Installation.pdf,,,,,,,,,,,,,,,,,,
16,PD45258,Roca Victoria-N alter unik bas 600x460 1th,Roca,166.17,"Made of ceramic with a smart rectangular design, this Roca Victoria-N 160 x 605 x 460mm single taphole double washbasin in white is the ideal addition to a contemporary classic bathroom. Supplied with a single central tap hole, this spacious basin can be fitted with any in a wide range of mixer taps.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Roca Victoria-N alter unik bas 600x460 1th,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/58/NW-D45258_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A32799E000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e0/00/INS_32799E000.pdf,,,,,,,,,,,,,,,,,,
17,PD13247,Roca Debba 2 drawer unit 500mm White,Roca,410.14,"Modern and stylish, this Roca Debba Compact 720 x 500 x 360mm two drawer vanity unit with square basin is made of MDF and finished in a clean, simple white gloss. Suitable for wall-mounted installation, this unit offers all the convenience of two generously sized drawers, providing space for toiletries and cleaning products hidden away from sight but in easy reach. The Debba vanity unit is topped with a contemporary square basin with single pre-drilled tap hole to one side, allowing the homeowner to select the right mixer tap to suit their style.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Roca Debba 2 drawer unit 500mm White,,Vanity unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/47/NW-D13247_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/48/06/INS_855904806.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roca_Debba_Compact_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_855904806_Technical.pdf,,,,,,,,,,,,,,,,,
18,PD55117,Roca Victoria-N unik 2D 600mm White Gloss,Roca,464.11,"A simple, smart design to suit most bathroom decors, this Roca Victoria-N 565 x 605 x 460mm two drawer vanity unit is made of MDF with a clean white gloss finish. Designed for wall mounting, this cabinet incorporates two useful soft-close drawers, giving homeowners plentiful concealed storage for their toiletries and personal items. The Victoria-N range is made up of a wide selection of furniture pieces for a streamlined look.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Roca Victoria-N unik 2D 600mm White Gloss,,Vanity unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/17/D55117_wm.jpg,,,,White/Gloss,Simple,1 year,N,460,,MDF,A855834806,Vanity Unit,N,Wall-hung installation,With 2x drawers,Soft close design,1 year warranty,Victorian,,
19,PD74777,Ideal Standard i.Life S floor standing guest basin unit 1 door 41cm Matt White,Ideal Standard,296.44,"Part of a range of contemporary bathroom furniture pieces designed to streamline your interior, the Ideal Standard i.Life 410mm floorstanding guest basin vanity unit is ideal for smaller sized bathrooms and cloakrooms. Finished in smart matte white, this vanity unit offers handy internal storage hidden behind a single soft-close door with handles available in either silk black or brushed chrome.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Ideal Standard i.Life S floor standing guest basin unit 1 door 41cm Matt White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/83/D74777_D74783_wm.jpg,,,,White,Contemporary,5 Years,N,205,Front,Mixed Material,T5005DU,Washbasin Unit,N,Designed by Palomba Serafini Associati,Space-saving dimensions,Luxury soft-close door,Handle available in 2 finish options,i.Life S,White colour,5 year warranty
20,PA67296,Ideal Standard Concept Air s/ctop gwh and mwh unit 65x30,Ideal Standard,414.73,"With a sleek white gloss finish and integrated recessed handle, the Ideal Standard Concept Air 835 x 600 x 300mm two-door washbasin unit brings contemporary style to your bathroom. This floor standing lacquered MDF cabinet is part of a range of well-crafted bathroom furniture with a choice of matte and gloss finishes.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Ideal Standard Concept Air s/ctop gwh and mwh unit 65x30,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/96/NW-A67296_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Bathrooms_2019_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_E0837_Technical.pdf,,,,,,,,,,,,,,,,,,
21,PC22645,* NAB DEC 800MM W/H SGL DRW WHBSN NT OK,Nabis,287.1,"Designed to complement the full Deco range, this Nabis Deco 800mm wall hung single drawer washbasin unit is finished in Natural Oak. Offering generous storage in a single soft close drawer with brushed aluminium handle, this elegant bathroom unit is equally at home in a contemporary bathroom as it is in a traditional one.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> * NAB DEC 800MM W/H SGL DRW WHBSN NT OK,,Washbasin Unit;2x cab hanger wall kit;Fitting instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/45/NW-C22645_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22635-C22646_Technical.pdf,,,,,,,,,,,,,,,,,,,
22,PC22590,* NAB CLASSIC 600MM MINERALCAST MOD BSN,Nabis,124.17,"Designed for timeless appeal and ideal in period bathrooms, this Nabis Classic 610mm mineralcast basin is finished in an elegant Ivory tone.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> * NAB CLASSIC 600MM MINERALCAST MOD BSN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/90/NW-C22589_C22590_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/C22590_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,,,,,,,,,,,,,,,,,
