,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Colour,Connection Type,Style,Warranty,Hazardous,With Drain Off,Max Pressure,Flow Water Temperature,Material,Orientation,Pipe Connection Size,Radiator Connection Size,Sensor,Shape,With Lockshield,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Depth (mm),Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Display Type,Number of Channels,Application,Feature 13,Range,Feature 14,Pack Quantity,Feature 15,Feature 16,Weight
10,P205774,Center CB Angled TRV with lockshield 15mm Chrome,Center CB,10.25,"This reliable, high performance Center CB Center range angled thermostatic radiator valve (TRV) meets industry standards and is Keymark certified for installer and homeowner peace of mind. Supplied with a lockshield, this TRV incorporates a liquid sensor for ultra-precise temperature control and thanks to a bi-directional valve design offers flexible installation.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Center CB Angled TRV with lockshield 15mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/74/205774_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_205774_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_205765-205776_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P205776,Center CB Straight TRV with lockshield 15mm Chrome,Center CB,11.25,"This reliable, high performance Center CB Center range straight thermostatic radiator valve (TRV) meets industry standards and is Keymark certified for installer and homeowner peace of mind. Supplied with a lockshield, this TRV incorporates a liquid sensor for ultra-precise temperature control and thanks to a bi-directional valve design offers flexible installation.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Center CB Straight TRV with lockshield 15mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/76/205776_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_205776_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_205765-205776_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P247436,Drayton Trv4 15mm Inthead &15mm Ls Vle,Drayton,27.5,"Rigorously tested, this Drayton TRV4 15mm angled thermostatic radiator valve (commonly referred to as a TRV), combines safety and efficiency while saving on wasted resources by controlling the heat used in an individual room. Manufactured in a UK-based, quality assured factory, this TRV provides homeowners with reliability and control.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Drayton Trv4 15mm Inthead &15mm Ls Vle,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/36/NW-247436_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/ns/Drayton_TRV_Commissioning_Instrctns.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/ns/Drayton_06490029001_TRV_Instrctns.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/DraytonTRV4_Classic_WhiteChrome_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_TRV4_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_Declared_CEN_Information.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ci/ty/Drayton_EB_Valve_Flow_Capacity.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P222391,Drayton TRV 4 and lockshield 15mm with integrated head,Drayton,22.0,"Rigorously tested, this Drayton TRV4 15mm angled thermostatic radiator valve (commonly referred to as a TRV), combines safety and efficiency while saving on wasted resources by controlling the heat used in an individual room. Manufactured in a UK-based, quality assured factory, this TRV provides homeowners with reliability and control.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Drayton TRV 4 and lockshield 15mm with integrated head,,Thermostatic radiator valve;Lockshield;Integral head,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/36/NW-247436_wm.jpg,,,,,,,,White / Chrome,CompressionThreaded,Contemporary,18 Month,N,No,20,110,Brass,Angular,15 mm,1/2 in,Yes,Angular,Yes,222391 PK,Thermostatic Radiator Valve (TRV) Pack,N,15mm angled design,Modern design,Non-stick valve internals,Sensitive liquid-filled head,Half/full click stop settings,Radiators can be balanced via TRV,With frost protection position,With double gland seal,Manufactured in ISO 9001 certified factory,A-rated energy efficiency,Keymark approved to EN 125 standards,18 month warranty,,,,,,,,,,,,,,,,,,,,
14,P256557,Center CB Center Plus angled TRV with lockshield 15mm,Center CB,11.25,"Suitable for both commercial and domestic installation, the Center CB Center Plus angled thermostatic radiator valve (TRV), supplied with lockshield, is finished in chrome to suit contemporary interiors. This TRV's liquid sensor ensures the best possible temperature accuracy while industry standard approvals, including Keymark certification, guarantee reliable, efficient and safe operation.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Center CB Center Plus angled TRV with lockshield 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/57/256557_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/256557_Center_Plus_TRV_Ang_LS_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/CenterCB-Tradefix_256552-73_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_256556-256559_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P222065,Drayton ZA5/679 2 port motorised valve 22mm,Drayton,44.99,"Making servicing simple, this Drayton 22mm motorised zone valve incorporates a snap-on actuator, which can be removed from the body by simply pressing the release button on the side. This system allows easy access for replacement of the motor or complete actuator replacement.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Drayton ZA5/679 2 port motorised valve 22mm,,Motorised zone valve;Actuator,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/03/NW-302103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_Motorised_Valve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Motorised_Valve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P246134,Danfoss RAS-C2 straight TRV and lockshield pack 15mm,Danfoss,21.73,"This pack includes a Danfoss RAS-C2 sensor and the flow selectable RA-FS bi-directional valve body, suitable for mounting vertically or horizontally and in flow or return. Offering a simple to solution to a common problem, the valve's patented flow selection device can be turned to reverse water direction inside with no need to drain down the system, doing away with the noise and potential destruction of water hammer. Meanwhile, the compact RAS-C2 sensor, based on the brand's proven liquid sensor actuator, offers highly accurate temperature control, a frost setting and positive off, a handy feature when radiators need to be removed for home renovations. Requiring no tools, sensor mounting is easy, just press the sensor onto the valve body and tighten the clamping ring for a secure fit.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Danfoss RAS-C2 straight TRV and lockshield pack 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/34/NW-246134_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_RAS_C2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RAS_C2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_RAS_C2_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RAS_C2_Range_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P250080,Pegler Bulldog TRV and lockshield valve pack 15mm,Pegler,9.99,"This quality Pegler Yorkshire Bulldog 2 angled thermostatic radiator valve (TRV) has a smart chrome finish and traditional design suited to classic radiator shapes. Supplied with LS cap and lockshield, this TRV includes an inbuilt frost setting and range and temperature locking for easy control and safety.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Pegler Bulldog TRV and lockshield valve pack 15mm,,Thermostatic radiator valveLS capLockshield,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/80/250080_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/BulldogTRV_FeatureBenefit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bulldog_250080_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ec/Pegler_Yorkshire_Bulldog2_250080_Tec.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pegler_Yorkshire_Bulldog_2_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P246116,Danfoss RAS-C2 thermostatic radiator lockshield valve 10mm,Danfoss,21.73,"Suitable for both domestic and contract applications, the Danfoss RAS-C2 angled thermostatic radiator valve (TRV) incorporates the brand's cutting edge flow-selectable 'revolver' RA-FS valve body for adaptable, easy vertical or horizontal mounting, making installation easy in any location. With a compact, tried-and-tested liquid sensor actuator, the RAS-C2 provides ultra-precise temperature control while frost protection ensures peace of mind and a positive shut-off makes removal for decorating jobs simple.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Danfoss RAS-C2 thermostatic radiator lockshield valve 10mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/16/246115_246116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_DOC161486401924_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P222066,Drayton MA1/679 mid position valve 22mm,Drayton,57.99,"Making servicing simple, this Drayton 22mm motorised valve incorporates a snap-on actuator, which can be removed from the body by simply pressing the release button on the side. This system allows easy access for replacement of the motor or complete actuator replacement.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Drayton MA1/679 mid position valve 22mm,,Motorised valve;Actuator,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/01/NW-302101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_Motorised_Valve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Motorised_Valve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
