,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Diameter,Range,Warranty,Hazardous,Depth (mm),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Output
10,PP53108,Uponor Ecoflex Aqua pre insulated pipe single 25/140mm,Uponor,50.33,"A reliable choice, the Uponor Ecoflex Aqua pre-insulated pipe promises hygienic and energy-efficient distribution of warm tap water in buried installations. This single pipe version is intended for large flow capacity or where a single supply line is sufficient.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Aqua pre insulated pipe single 25/140mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/08/P53108_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
11,PP57567,Buteline BPC52G PB-1 barrier pipe (coiled) 22mm x 50mtr Grey,Buteline,273.5,"Suitable for domestic or commercial use, this Buteline BPC52G PB-1 22mm barrier pipe is supplied in a convenient 50M coil. Made of polybutene-1, this high quality corrosion-resistant pipe can be used with both hot and cold potable water and in central heating systems.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Buteline BPC52G PB-1 barrier pipe (coiled) 22mm x 50mtr Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/pi/pe/Coils of pipe_wm.jpg,,,,,970 mm,,25 Year,N,110,Polybutene-1,BPC52,Pipe,N,Flexible and tough,Lightweight and easier to install than other systems,"Corrosion resistant, no scale build-up",Virtually no water hammer,The best choice for plumbing in climates where freezing conditions are possible,25 year Guarantee,,,,,,,,,
12,PP53102,Uponor Ecoflex Thermo pre insulated pipe thermostatic single 40/175mm,Uponor,62.53,"Ideal for heating water distribution in a local heat supply network, the Uponor Ecoflex thermo single pipe is also suitable for use as a tie-in to building complexes and housing. EN certified for heating and cooling, this single pipe is compatible with projects with large flow requirements and includes long, highly flexible coil lengths for hassle-free installation and improved energy efficiency.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Thermo pre insulated pipe thermostatic single 40/175mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/02/P53102_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
13,PP84015,Rehau Rauthermex meter of uno pre insulated pipe 75/162,Rehau,135.93,"Offering quick installation, the Rehau Rauthermex 75/162mm pre-insulated pipe, supplied in a 1M length, is part of a optimised pre-insulated pipe system. Rauthermex is a cutting-edge district heating compatible pipe system promising flexibility and low energy losses for reliable efficiency in renewables.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Rehau Rauthermex meter of uno pre insulated pipe 75/162,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/15/P84015_wm.jpg,,,,,75,RAUTHERMEX,55 YEAR,N,162,PE-Xa,352211-001,Pipe,N,Flexible design,For quick installation,With secure Everloc joints,Leakproof fitting,PE-Xa construction,5 year warranty,,,,,,,,,3 kW
14,PP57569,BUTELINE PB1 COIL PIPE 28X50M     BPC58G,Buteline,416.0,"Compatible with both hot and cold potable water, the Buteline BPC58G PB-1 28mm barrier pipe is supplied in a 50M long coil. Manufactured to very high standards, this scale-resistant pipe is suitable for use in central heating systems and in domestic and commercial installations.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> BUTELINE PB1 COIL PIPE 28X50M     BPC58G,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/69/P57569_wm.jpg,,,,,150mm,,25 year guarantee,N,150,Polybutene-1. PB-1,BPC58,PB1 Pipe,N,Flexible and tough,Lightweight and easier to install than other systems,"Corrosion resistant, no scale build-up",Virtually no water hammer,The best choice for plumbing in climates where freezing conditions are possible,25 year Guarantee,,,,,,,,,
15,PP53126,Uponor Ecoflex Thermo pre insulated pipe thermostatic twin 2 x 50/200mm,Uponor,100.76,This Uponor Ecoflex Thermo twin pipe is suitable for both heating and cooling applications. It contains both supply and return pipes encased in one jacket and incorporates long coil lengths and high flexibility for improved energy efficiency and straightforward installation.,Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Thermo pre insulated pipe thermostatic twin 2 x 50/200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/27/P53123_P53127_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
16,PP84012,MTR OF RAUTHERMEX UNO 40/91,Rehau,51.57,"Offering quick installation, the Rehau Rauthermex 40/91mm pre-insulated pipe, supplied in a 1M length, is part of a optimised pre-insulated pipe system. Rauthermex is a cutting-edge district heating compatible pipe system promising flexibility and low energy losses for reliable efficiency in renewables.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> MTR OF RAUTHERMEX UNO 40/91,,n/a,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/12/P84012_wm.jpg,,,,,93,RAUTHERMEX,5 Years,N,93,PolyethyleneCFC Free flexible polyurethane Foam,352181-001,Pre Insulated Pipe,N,Flexible design,For quick installation,With secure Everloc joints,Leakproof fitting,CFC-free polyethylene construction,5 year warranty,,,,,,,,,
17,PP84018,Rehau Rauthermex meter of uno pre insulated pipe 125/182,Rehau,292.28,"Offering quick installation, the Rehau Rauthermex 125/182mm pre-insulated pipe, supplied in a 1M length, is part of a optimised pre-insulated pipe system. Rauthermex is a cutting-edge district heating compatible pipe system promising flexibility and low energy losses for reliable efficiency in renewables.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Rehau Rauthermex meter of uno pre insulated pipe 125/182,,n/a,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/18/P84018_wm.jpg,,,,,185,RAUTHERMEX,5 Years,N,185,PolyethyleneCFC Free flexible polyurethane Foam,352241-002,Pre Insulated Pipe,N,Flexible design,For quick installation,With secure Everloc joints,Leakproof fitting,CFC-free polyethylene construction,5 year warranty,,,,,,,,,
18,PP53130,Uponor Ecoflex Aqua pre insulated pipe twin 40+25/175mm,Uponor,82.77,"A reliable choice, the Uponor Ecoflex Aqua pre-insulated pipe promises hygienic and energy-efficient distribution of warm tap water in buried installations. This twin pipe version includes the supply and circulating pipes in one jacket.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Aqua pre insulated pipe twin 40+25/175mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/30/P53130_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor_Plumbing&Heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
19,PP57564,Buteline BPC106G PB-1 barrier pipe (coiled) 16mm x 100mtr Grey,Buteline,278.0,"Compatible with both hot and cold potable water, the Buteline BPC106G PB-1 16mm barrier pipe is supplied in a 100M long coil. Manufactured to very high standards, this scale-resistant pipe is suitable for use in central heating systems and in domestic and commercial installations.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Buteline BPC106G PB-1 barrier pipe (coiled) 16mm x 100mtr Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/pi/pe/Coils of pipe_wm.jpg,,,,,16 mm,,25 year guarantee,N,150,Polybutene PB-1,BPC106,Pipe,N,Flexible and tough,Lightweight and easier to install than other systems,"Corrosion resistant, no scale build-up",Virtually no water hammer,The best choice for plumbing in climates where freezing conditions are possible,25 year Guarantee,,,,,,,,,
