,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Type,Diameter,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Angle
10,PM40440,"Marla Tube 90deg short radius heavy weight welding elbow 5""",Marla Tube,58.43,"This Marla Tube short radius heavyweight 5 x 5"" 90° welding elbow is made of carbon steel and is designed for connecting pipes of different diameters.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Marla Tube 90deg short radius heavy weight welding elbow 5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/40/NW-M40440_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
11,PM40857,"Marla Tube concentric welding reducer 4 x 3""",Marla Tube,23.67,"This Marla Tube 4 x 3"" concentric welding reducer is made of carbon steel. Used to connect pipes of two different diameters, this reducer has two centred parallel ends, resembling a cone.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Marla Tube concentric welding reducer 4 x 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/57/NW-M40857_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
12,PL45350,Midland Fittings wrought iron bush 50 x 25mm Black,Midland Fittings,58.98,This Midland Fittings 50 x 25mm black bush is made of wrought iron and includes threaded connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings wrought iron bush 50 x 25mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/50/NW-L45350_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
13,PL45154,Midland Fittings heavy weight cone seat union 15mm Black,Midland Fittings,17.2,This Midland Fittings heavyweight 15 x 15mm cone seat union is made of mild steel with a threaded connection on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings heavy weight cone seat union 15mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/59/NW-L45154_L45159_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
14,PL23062,Midland Fittings galvanised heavy weight barrel nipple 8mm,Midland Fittings,9.0,This Midland Fittings heavyweight 8 x 8mm galvanised barrel nipple is made of mild steel and includes a threaded connection on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings galvanised heavy weight barrel nipple 8mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/72/NW-L23061_L23072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
15,PL33509,Midland Fittings galvanised wrought iron socket 50mm,Midland Fittings,43.29,This Midland Fittings 50 x 50mm socket is made of wrought iron and includes a threaded connection on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings galvanised wrought iron socket 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/09/NW-L33504_L33509_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
16,PM41413,"Marla Tube 90deg standard weight long radius elbow 10""",Marla Tube,577.37,"This Marla Tube standard weight 10 x 10"" 90° long radius elbow is made of ASTM A234 carbon steel. Used to change flow direction between pipes, this fitting provides less frictional resistance to a fluid compared to short elbows.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Marla Tube 90deg standard weight long radius elbow 10""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-M41403_M41414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
17,PL31510,Midland Fittings wrought iron socket 65mm Black,Midland Fittings,61.04,This Midland Fittings 65 x 65mm socket is made of wrought iron and includes a threaded connection on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings wrought iron socket 65mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/12/NW-L31503_L31512_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
18,PM41641,"Marla Tube standard weight concentric reducer 5 x 4""",Marla Tube,45.4,"This Marla Tube standard weight 5 x 4"" concentric reducer is made of carbon steel. This fitting has a wide range of uses in a variety of piping systems.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Marla Tube standard weight concentric reducer 5 x 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/41/NW-M41641_wm.jpg,,,butt weld,5 x 4,ASTM,N,ASTM A234BS3602BS1965BS6001,Unequal,5,4,Carbon Steel,5 x 4,Butt Weld,Butt Weld,03CRST050040,Reducer,N,Made of carbon steel,Standard weight reducer,Widely used in a range of piping systems,Meets ASTM A234,"Meets BS3602, BS1965 and BS6001",
19,PL31509,Midland Fittings wrought iron socket 50mm Black,Midland Fittings,37.25,This Midland Fittings 50 x 50mm socket is made of wrought iron and includes a threaded connection on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings wrought iron socket 50mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/12/NW-L31503_L31512_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
20,PM40144,"Marla Tube 45deg long radius heavy weight welding elbow 6""",Marla Tube,58.78,"This Marla Tube long radius heavyweight 6 x 6"" 45° welding elbow is made of carbon steel and is designed for connecting pipes of different diameters.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Marla Tube 45deg long radius heavy weight welding elbow 6""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/44/NW-M40144_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
21,PM40939,"Marla Tube eccentric welding reducer 2 1/2 x 2""",Marla Tube,21.68,"This Marla Tube 2 1/2 x 2"" eccentric welding reducer is designed to connect two pipes of different sizes. This eccentric reducer has a tapered, slanted shape with one side symmetrical to the source and the other side slanted.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Marla Tube eccentric welding reducer 2 1/2 x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/39/NW-M40939_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
22,PM41646,"Marla Tube standard weight concentric reducer 6 x 4""",Marla Tube,80.47,"This Marla Tube standard weight 6 x 4"" concentric reducer is made of carbon steel. This fitting has a wide range of uses in a variety of piping systems.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Marla Tube standard weight concentric reducer 6 x 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/46/NW-M41646_wm.jpg,,,butt weld,6 x 4,ASTM,N,ASTM A234BS3602BS1965BS6001,Unequal,6,4,Carbon Steel,6 x 4,Butt Weld,Butt Weld,03CRST060040,Reducer,N,Made of carbon steel,Standard weight reducer,Widely used in a range of piping systems,Meets ASTM A234,"Meets BS3602, BS1965 and BS6001",
23,PL31308,Midland Fittings WROUGHT IRON TEES wrought iron tee 40mm Black,Midland Fittings,41.15,This Midland Fittings 40 x 40 x 40mm 90° black tee is made of wrought iron with threaded connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings WROUGHT IRON TEES wrought iron tee 40mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/09/NW-L31304_L31309_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Midland_Fittings_Delcorte_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,
24,PM40124,"Marla Tube 45deg long radius heavy weight welding elbow 2 1/2""",Marla Tube,11.11,"This Marla Tube long radius heavyweight 2 1/2 x 2 1/2"" 45° welding elbow is made of carbon steel and is designed for connecting pipes of different diameters.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Marla Tube 45deg long radius heavy weight welding elbow 2 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/24/NW-M40124_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
25,PL21061,Midland Fittings heavy weight barrel nipple 6mm Black,Midland Fittings,6.93,This Midland Fittings heavyweight 6 x 6mm black barrel nipple is made of mild steel and includes threaded connections on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings heavy weight barrel nipple 6mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/72/NW-L21061_L21072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
26,PL21091,Midland Fittings heavy weight close taper nipple 80mm Black,Midland Fittings,25.99,This Midland Fittings heavyweight 80 x 80mm close taper nipple is made of mild steel and includes a threaded connection on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings heavy weight close taper nipple 80mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/91/NW-L21084_L21091_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
27,PL31628,Midland Fittings wrought iron plug 40mm Black,Midland Fittings,10.68,This Midland Fittings 40mm black plug is fitted with a threaded connection.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings wrought iron plug 40mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/29/NW-L31624_L31629_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
28,PM41409,"Marla Tube 90deg standard weight long radius elbow 4""",Marla Tube,61.06,"This Marla Tube standard weight 4 x 4"" 90° long radius elbow is made of ASTM A234 carbon steel. Used to change flow direction between pipes, this fitting provides less frictional resistance to a fluid compared to short elbows.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Marla Tube 90deg standard weight long radius elbow 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-M41403_M41414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
29,PM46213,"Geldbach forged steel hex nipple BSPT 3000lb 1/2""",Geldbach,11.22,"Made of forged steel, this Geldbach UK 1/2 x 1/2"" BSPT hex nipple has threaded connections on both ends.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Geldbach forged steel hex nipple BSPT 3000lb 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/13/M46213_wm.jpg,,,BSP Taper,1/2,,N,ISO 9001:2015ASME B16.11,Equal,12,1/2,Forged Steel,1/2 x 1/2,BSP Taper,Threaded,G0BS3HN012,hex nipple,N,BSPT connections,Stainless steel 3000lb fitting,ISO 9001:2008 accredited,Meets EN 10253-2,,
30,PM40955,"Marla Tube eccentric welding reducer 4 x 2 1/2""",Marla Tube,43.98,"This Marla Tube 4 x 2 1/2"" eccentric welding reducer is designed to connect two pipes of different sizes. This eccentric reducer has a tapered, slanted shape with one side symmetrical to the source and the other side slanted.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Marla Tube eccentric welding reducer 4 x 2 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/55/NW-M40955_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
31,PM41403,"Marla Tube 90deg standard weight long radius elbow 1""",Marla Tube,8.83,"This Marla Tube standard weight 1 x 1"" 90° long radius elbow is made of ASTM A234 carbon steel. Used to change flow direction between pipes, this fitting provides less frictional resistance to a fluid compared to short elbows.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Marla Tube 90deg standard weight long radius elbow 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-M41403_M41414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
