,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Connection Type,Diameter,Range,Hazardous,Approvals,Equal / Unequal,Angle,End Connection A size,End Connection B size,End Connection C size,Grade,Material,Size,Supplier Product Code,WEEE Compliant,Type,Feature 1,Feature 2,Feature 3,Weight,Connection Type 1,Connection Type 2,Feature 4,Feature 5
10,P701317,Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 84MM,Steelcom Fittings,28.08,This Steelcom Fittings metric 84mm 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 84MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,84mm,N/A,84mm,,316L Stainless Steel,84mm x 2.0mm,CL1EX16L0708402001,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
11,P701312,Steelcom Fittings 316/L EN10253-4 reduced tee 104X84mm,Steelcom Fittings,65.91,This Steelcom Fittings metric 104 x 84mm reducing tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 reduced tee 104X84mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/15/701311_701315_wm.jpg,,,,,butt weld,,,N,N/A,Unequal,,104mm,84mm,104mm,,316L Stainless Steel,104mm x 84mm x 2.0mm,TERSE16L001040200,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
12,P701330,Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 129MM,Steelcom Fittings,65.73,This Steelcom Fittings metric 129mm 45° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 129MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,45,129mm,N/A,129mm,,316L Stainless Steel,129mm x 2.0mm,CL2EX16L0712902001,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
13,P701339,Steelcom Fittings 316/L EN10253-4 press cap ends 154MM,Steelcom Fittings,22.98,This Steelcom Fittings metric 154mm pressed end cap has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 press cap ends 154MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,N/A,,154mm,N/A,N/A,,316L Stainless Steel,154mm x 2.0mm,FO0L016L0015402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
14,P701336,Steelcom Fittings 316/L EN10253-4 press cap ends 54MM,Steelcom Fittings,5.88,This Steelcom Fittings metric 54mm pressed end cap has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 press cap ends 54MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,N/A,,54mmØ,N/A,N/A,,316L Stainless Steel,54mm x 2.0mm,FO0L016L0005402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
15,P701325,Steelcom Fittings 316/L EN10253-4 90° D+100mm elbow welded 154MM,Steelcom Fittings,167.08,This Steelcom Fittings metric D+100 154mm 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° D+100mm elbow welded 154MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,154mm,N/A,154mm,,316L Stainless Steel,154mm x 2.0mm,CL1LX16L0715402002,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
16,P701337,Steelcom Fittings 316/L EN10253-4 press cap ends 84MM,Steelcom Fittings,10.34,This Steelcom Fittings metric 84mm pressed end cap has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 press cap ends 84MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,N/A,,84mm,N/A,N/A,,316L Stainless Steel,84mm x 2.0mm,FO0L016L0008402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
17,PR02570,A403 304 SCH10S CON. REDUCER WLD    10X8,Starfit,42.78,TBC,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> A403 304 SCH10S CON. REDUCER WLD    10X8",,n/a,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/70/R02570_wm.jpg,,,,,butt weld,10 x 8,SCH10S,N,PED,Unequal,,10,8,N/A,304 LW,304,250 x 200,R02570,N,,,,,,,,,
18,P701331,Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 154MM,Steelcom Fittings,98.33,This Steelcom Fittings metric 154mm 45° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 154MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,45,154mm,N/A,154mm,,316L Stainless Steel,154mm x 2.0mm,CL2EX16L0715402002,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
19,P701315,Steelcom Fittings 316/L EN10253-4 reduced tee 204X154mm,Steelcom Fittings,223.73,This Steelcom Fittings metric 204 x 154mm reducing tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 reduced tee 204X154mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/15/701311_701315_wm.jpg,,,,,butt weld,,,N,N/A,Unequal,,204mm,154mm,204mm,,316L Stainless Steel,204mm x 154mm x 2.0mm,TERSE16L00204020,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
20,P701308,Steelcom Fittings 316/L EN10253-4 90° D+100mm elbow welded 204MM,Steelcom Fittings,177.41,This Steelcom Fittings metric 204mm D+100 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° D+100mm elbow welded 204MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/10/701307_701310_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,204mm,N/A,204mm,,316L Stainless Steel,204mm x 2.0mm,CL1EX16L072040200,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
21,P701342,Steelcom Fittings 316/L EN10253-4 pressed collars 54mm,Steelcom Fittings,5.56,This Steelcom Fittings metric 54mm pressed collar has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 pressed collars 54mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/48/701342_701348_wm.jpg,,,,,butt weld,,,N,N/A,N/A,,54mmØ,N/A,54mmØ,,316L Stainless Steel,54mm x 2.0mm,CA0L016L0005402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
22,PR02878,A403 304 SCH40S EQUAL TEE WLD         18,Starfit,1080.73,TBC,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> A403 304 SCH40S EQUAL TEE WLD         18",,n/a,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/78/R02878_wm.jpg,,,,,butt weld,1/8,SCH40S,N,PED,Equal,,18,18,18,304 LW,304,450,R02878,N,,,,,,,,,
23,P701314,Steelcom Fittings 316/L EN10253-4 reduced tee 204X129mm,Steelcom Fittings,223.73,This Steelcom Fittings metric 204 x 129mm reducing tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 reduced tee 204X129mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/15/701311_701315_wm.jpg,,,,,butt weld,,,N,N/A,Unequal,,204mm,129mm,204mm,,316L Stainless Steel,204mm x 129mm x 2.0mm,TERSE16L002040200,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
24,P701323,Steelcom Fittings 316/L EN10253-4 90° D+100mm elbow welded 104MM,Steelcom Fittings,93.16,This Steelcom Fittings metric 104mm D+100 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° D+100mm elbow welded 104MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,104mm,N/A,104mm,,316L Stainless Steel,104mm x 2.0mm,CL1LX16L0710402002,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
25,PR02414,A403 304 SCH10S 90D LR ELBOW WLD      10,Starfit,197.43,TBC,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> A403 304 SCH10S 90D LR ELBOW WLD      10",,n/a,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/14/R02414_wm.jpg,,,,,butt weld,10,,N,PED,Equal,90,10,10,N/A,304 LW,304,250,R02414*,N,,,,,7800.00000,,,,
26,PR02395,A403 304 SCH10S STUB END TYPE A WLD    2,Starfit,7.12,"This Starfit SCH10S 2 x 2"" stub end is a seamless and welded butt fitting, manufactured in 304 stainless steel.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> A403 304 SCH10S STUB END TYPE A WLD    2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/95/NW-R02395_wm.jpg,,,,,butt weld,2,SCH10S,N,ASTM A 403 ANSI B16.9EN 10253-4EN 10204 3.1,Equal,,2,,2,304 LW,304 Stainless Steel,2 x 2,R02395*,N,Stub End,Butt welded,Stainless steel construction,DN10 - DN200,360.00000,Butt Weld,Butt Weld,American ASTM A 403 ANSI B16.9 standard or to European standard EN 10253-4,Test certificates EN 10204 3.1
27,PR02473,A403 304 SCH10S EQUAL TEE  WLD         8,Starfit,99.4,TBC,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> A403 304 SCH10S EQUAL TEE  WLD         8",,n/a,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/73/R02473_wm.jpg,,,,,butt weld,8,SCH10S,N,PED,Equal,,8,8,8,304 LW,304,200,R02473,N,,,,,,,,,
28,P701320,Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 154MM,Steelcom Fittings,105.1,This Steelcom Fittings metric 154mm 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° 1.5D elbow welded 154MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,154mm,N/A,154mm,,316L Stainless Steel,154mm x 2.0mm,CL1EX16L0715402002,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
29,P701353,Steelcom Fittings 316/L EN10253-4 pulled equal tee 154MM,Steelcom Fittings,121.48,This Steelcom Fittings metric 154mm equal tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 pulled equal tee 154MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/54/701349_701354_wm.jpg,,,,,butt weld,,,N,N/A,Equal,,154mm,154mm,154mm,,316L Stainless Steel,154mm x 154mm x 2.0mm,TESXE16L0015402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
30,P701340,Steelcom Fittings 316/L EN10253-4 press cap ends 204MM,Steelcom Fittings,36.34,This Steelcom Fittings metric 204mm pressed end cap has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 press cap ends 204MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,N/A,,204mm,N/A,N/A,,316L Stainless Steel,204mm x 2.0mm,FO0L016L0020402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
31,P701356,Steelcom Fittings 316/L EN10253-4 reduced tee 129X84mm,Steelcom Fittings,83.37,This Steelcom Fittings metric 129 x 84mm reducing tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 reduced tee 129X84mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/60/701355_701360_wm.jpg,,,,,butt weld,,,N,N/A,Unequal,,129mm,84mm,129mm,,316L Stainless Steel,129mm x 84mm x 2.0mm,TERSE16L0012902000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
32,P701358,Steelcom Fittings 316/L EN10253-4 reduced tee 154X129mm,Steelcom Fittings,206.27,This Steelcom Fittings metric 154 x 129mm reducing tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 reduced tee 154X129mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/60/701355_701360_wm.jpg,,,,,butt weld,,,N,N/A,Unequal,,154mm,129mm,154mm,,316L Stainless Steel,154mm x 129mm x 2.0mm,TERSE16L0015402001,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
