,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Drainage Product Type,Material,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Supplier Product Code,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7
10,PW76395,"Alumasc Apex Heritage circular pipe without ears 3"" x 6ft",Alumasc,99.4,"Made of cast iron, this Alumasc Apex Heritage circular 75mm diameter pipe is designed to suit traditional craft-based contracts, offering a close replica of historic pipe styles for period properties.","Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Alumasc Apex Heritage circular pipe without ears 3"" x 6ft",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/96/NW-W76395_W76396_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_Rainwater_Systems_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Harmer_Alumasc_M004RW_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_All_Guttering_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PW54040,Alutec Flushfit XRE413 flushfit 102 mm downpipe 3 m,Alutec,121.14,"Manufactured in a marine grade aluminium, the Alutec Flushfit 102mm rainwater downpipe is highly resistant to corrosion. Supplied in a 3M length, this push-fit downpipe is part of a rainwater system designed for a long, maintenance-free life reducing costs and homeowner stress.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Alutec Flushfit XRE413 flushfit 102 mm downpipe 3 m,,Downpipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/40/W54040_wm.jpg,,,,,Black,102mm,Socket push-fit,102mm,Flushfit,50 years functional life expectancy and 25 years for paint finish,47 kg,N,Rainwater Downpipe,Aluminium,N/A,Corrosion Resistant,16,n/a,Yes,Drainage design standard BS EN 12056-3:2000,XRE413,N,Rainwater,Aluminium construction,Polyester powder-coated,With socket-type push-fit connection,Meets drainage design standard BS EN 12056-3:2000,50 year functional life expectancy,Paint finished expected to last 25 years,
12,PF14034,Center CB downpipe 68mm x 5.5mtr Black,Center CB,36.39,"Center CB downpipe is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Center CB downpipe 68mm x 5.5mtr Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/34/NW-F14034_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PQ64825,"Wavin Osma RoundLine pipe 2.1/2"" x 4mtr Black",Wavin,45.3,"Ideal for domestic use, this Wavin Osma RoundLine 68mm pipe, supplied in a 4M length, is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Wavin Osma RoundLine pipe 2.1/2"" x 4mtr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/27/NW-Q64825_Q64827_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PW56141,Alumasc Flushjoint round pipe 100mm x 3m,Alumasc,170.4,"This Alumasc Flushjoint 100mm diameter circular pipe is made of aluminium with a polyester powder-coated finish and concealed spigots for a smooth, neat finish ideal for contemporary properties. Mounted on brackets to stand clear of the structure, Flushjoint is compatible with any Alumasc aluminium gutter system as long as the gutter girth is sufficient to accommodate the cross-sectioned area of the pipe.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Alumasc Flushjoint round pipe 100mm x 3m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/41/NW-W56140_W56141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Alumasc_Flushjoint_Rain_Pipe_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_All_Guttering_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_Rainwater_Technical_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Harmer_Alumasc_M001RW_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PQ64826,"Wavin Osma RoundLine pipe 2.1/2"" x 2.75m Black",Wavin,31.71,"Ideal for domestic use, this Wavin Osma RoundLine 68mm pipe, supplied in a 2.75M length, is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Wavin Osma RoundLine pipe 2.1/2"" x 2.75m Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/27/NW-Q64825_Q64827_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PW76396,"Alumasc Apex Heritage circular pipe with ears 3"" x 6ft",Alumasc,106.66,"Made of cast iron, this Alumasc Apex Heritage circular 75mm diameter pipe with ear is designed to suit traditional craft-based contracts, offering a close replica of historic pipe styles for period properties.","Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Alumasc Apex Heritage circular pipe with ears 3"" x 6ft",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/96/NW-W76395_W76396_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_Rainwater_Systems_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Harmer_Alumasc_M004RW_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_All_Guttering_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PF67250,Polypipe 68mm Round Rainwater Downpipe in Black (2.5m),Polypipe,42.04,"Made of black PVCu, this Polypipe 68mm round downpipe, supplied in a 2.5M length, is suitable for use in domestic applications.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Polypipe 68mm Round Rainwater Downpipe in Black (2.5m),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/50/NW-F67250_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PW76301,"Alumasc Apex Heritage circular pipe with ears 2.1/2"" x 6ft",Alumasc,106.66,"Made of cast iron, this Alumasc Apex Heritage circular 63mm diameter pipe with ear is designed to suit traditional craft-based contracts, offering a close replica of historic pipe styles for period properties.","Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Alumasc Apex Heritage circular pipe with ears 2.1/2"" x 6ft",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/01/NW-W76300_W76301_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_Rainwater_Systems_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Harmer_Alumasc_M004RW_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_All_Guttering_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PF27903,Blucher pipe 110mm x 3mtr,Blucher,132.75,"Manufactured in AISI 304 stainless steel, this Blucher 3M straight pipe with one socket is fitted using 110mm push fit x spigot connections.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Blucher pipe 110mm x 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/03/NW-F27903_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Blucher_Pipe_Cutting_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/F27903_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Blucher_Opertng_Maintenance_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Blucher_Pipe_Fittings_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PF67258,Polypipe 68mm Round Downpipe Rainwater Access Pipe in Black,Polypipe,60.4,"Made of PVCu, this Polypipe access pipe with 68mm connections is suitable for use in domestic applications.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Polypipe 68mm Round Downpipe Rainwater Access Pipe in Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/58/NW-F67258_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PW76300,"Alumasc Apex Heritage circular pipe without ears 2.1/2"" x 6ft",Alumasc,99.4,"Made of cast iron, this Alumasc Apex Heritage circular 63mm diameter pipe is designed to suit traditional craft-based contracts, offering a close replica of historic pipe styles for period properties.","Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Alumasc Apex Heritage circular pipe without ears 2.1/2"" x 6ft",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/01/NW-W76300_W76301_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_Rainwater_Systems_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Harmer_Alumasc_M004RW_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_All_Guttering_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PF21520,MLY 68MMX3M D/PIPE BLACK RPH253B,Marley,25.76,"This black, 3M long Marley Deepflow 68mm circular pipe with push-fit x plain end connections is part of the Deepflow range with its semi-elliptical profile designed to produce a self-cleansing flow, creating a high capacity with the option to install using a notched or notchless joint.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> MLY 68MMX3M D/PIPE BLACK RPH253B,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/20/NW-F21520_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marley_Rainwater_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Rainwater_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PQ64350,"Wavin Osma SquareLine squareline pipe 2.1/4"" x 5.5mtr Black",Wavin,64.41,"Ideal for domestic use, this Wavin Osma SquareLine 61mm pipe, supplied in a 5.5M length, is made of black PVC-U and offers a neat, modern rectilinear profile.","Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Wavin Osma SquareLine squareline pipe 2.1/4"" x 5.5mtr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/50/NW-Q64348_Q64350_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PW70501,Saint Gobain Classical A585 single socket pipe with ears 100mm x 6ft,Saint Gobain,186.18,"This 100mm Saint Gobain Classical A585 pipe with ears and push-fit x plain ends is made of cast iron and supplied with a black water-based primer finish. Manufactured using the very latest in pipe manufacturing technology, Classical pipe is designed to provide a timeless aesthetic.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Saint Gobain Classical A585 single socket pipe with ears 100mm x 6ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/01/NW-W70501_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/SG_Classical_Pipe_&_GutterSys_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/SG_Classical_&_Plus_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
