,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Connection Type,Range,Hazardous,Core Size,Core Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 3,Attachment 4,Attachment 5,Dimensions (L x W x D),Feature 2,Pack Quantity,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Model For Use With,Power Supply,Colour,Material,Feature 8,Feature 9,By Model Number,Diameter,Thickness,Warranty,Length (M),Size,Current Rating,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Depth (mm),Weight,Dimensions mm (H x W x D),Phase,For Use With
10,P616413,Daikin Madoka BRC1H52W Wired Remote White,Daikin,110.7,"Easy to use, the highly intuitive Daikin Madoka wired remote control offers an enlarged display and simple touch buttons. This handy remote provides complete control over your indoor climate.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Daikin Madoka BRC1H52W Wired Remote White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/13/NW-616413_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Daikin_BRC1H52_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_2/Daikin_BRC1H52_Installation_2.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Daikin_BRC1H52_Installation_1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P667751,Javac edc ICM.4040.0 inverter phase checker with data flow,Javac,116.47,"The Javac edc inverter phase checker module with data flow is a diagnostic instrument designed to analyse issues in air conditioners. Suitable for use in both installation and maintenance, this testing device indicates whether the inverter and serial communication are functioning correctly, allowing the technician to identify simple faults for faster fixes.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac edc ICM.4040.0 inverter phase checker with data flow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/51/NW-667751_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P685042,Aspen Pumps Xtra adaptor (for tube 6/10mm) (Pack of 3),Aspen Pumps,58.09,"Supplied in a pack of three, these Aspen Pumps Xtra 6 to 10mm (1/4 to 3/8"") self-sealing  pipe adapters connect tube-to-soil stack or hose-to-overflow or waste/soil pipe. They are recommended for use with Xtra pumps.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Aspen Pumps Xtra adaptor (for tube 6/10mm) (Pack of 3),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/42/NW-685042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Tube-Connector_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P693734,Danfoss DCR-DC 48-DC core with gasket,Danfoss,31.3,"A Danfoss 48 DN/DC 48 cu.inch core with gasket for DCR filter driers. The Eliminator DCR filter drier with interchangeable solid core is suitable for use in liquid and suction lines in refrigeration, freezing and air conditioning systems using fluorinated refrigerants. Block holders can be used in compact units where limited space makes it difficult to insert cores into a DCR filter drier designed for three or four cores. DCR housings undergo phosphate pre-treatment and offer a corrosion-resistant powder-coated finish.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Danfoss DCR-DC 48-DC core with gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/34/NW-693734_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCR_Datasheet.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P690856,Javac Heat Shield JAV-1002 heat shield putty,Javac,53.04,"Javac Heat Shield heat blocking compound is a removable, reusable putty for protecting sensitive parts from heat damage during brazing, soldering and welding.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac Heat Shield JAV-1002 heat shield putty,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/56/NW-690856_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Javac_690856_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Heat_Shield_Blocking_Cmpd_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P693976,"Danfoss DCL DCL164 filter drier flared connection 1/2""",Danfoss,24.2,"This Danfoss Eliminator DCL164 16 cu.inch hermetic filter drier with 1/2"" flare inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Danfoss DCL DCL164 filter drier flared connection 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/76/NW-693976_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P667549,Aspen Pumps Peri Spares spare peristaltic tube,Aspen Pumps,11.02,"This Aspen Pumps peristaltic spare tube kit is suitable for all peristaltic models in the Aspen range, including Universal, Universal Silent +, Standard Mk2, Mechanical, Mechanical with Alarm, MK4 and Compressor Sensor.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Aspen Pumps Peri Spares spare peristaltic tube,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/49/NW-667549_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Spare_Tube_Kit_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P688630,Fridgenius solenoid valve operating magnet,Fridgenius,13.49,"Designed for solenoid valves with a stem of up to 15mm diameter, this Fridgenius solenoid valve operating magnet converts an electrically-operated solenoid valve to hand-operated for use by a service engineer. This magnet makes installation, refrigerant recovery and commissioning and decommissioning of plants and machinery easier.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Fridgenius solenoid valve operating magnet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/30/NW-688630_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Fridgenius_SVOM_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P693973,"Danfoss DCL DCL083 filter drier flared connection 3/8""",Danfoss,18.5,"This Danfoss Eliminator DCL083 8 cu.inch hermetic filter drier with 3/8"" flare inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Danfoss DCL DCL083 filter drier flared connection 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/73/NW-693973_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P691816,Pump House Adaptors WTB11CR cable tie 250 x 7.5mm Black (Pack of 100),Pump House,29.05,"Made of robust black nylon, these handy Pump House 250 x 7.5mm cable ties are used for neatly bundling cables and wires. UV resistant, these cable ties resist rotting, rusting and corrosion, making them well-suited to outdoor applications.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Pump House Adaptors WTB11CR cable tie 250 x 7.5mm Black (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/16/NW-691816_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tu/re/Pump_House_Dvelectrical_Literature.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P695451,"Pump House Adaptors ADAP-CAC-M cassette AC adaptor 1.1/4 - 3/4"" Blue (Pack of 3)",Pump House,9.84,"This Pump House 1 1/4"" drain to 3/4"" pipe air conditioning cassette adapter connects to any air conditioning unit's drain point to standard 22mm (3/4) overflow pipe. It is compatible with Redbox 1L, 2L and 3.8L condensate pumps.","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Pump House Adaptors ADAP-CAC-M cassette AC adaptor 1.1/4 - 3/4"" Blue (Pack of 3)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/51/NW-695451_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_CondensatePump_Acsrs_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P617109,"Javac Edge tube cutter 1/8 -1.1/4""",Javac,47.22,"Making a fast, clean cut every time in any tube shape, this Javac Edge tube cutter for stainless steel up to 3mm thick offers automatic cutting with spring pressure advancing the blade so there's no need to re-tighten the cutter as you go. Featuring a titanium blade, this cutter ensures a clean cut across the tube, reducing burr and saving on time.","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac Edge tube cutter 1/8 -1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/09/NW-617109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Tube-Cutter-Range_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P654895,"Aspen Pumps Xtra pipe 3/4"" x 2.9mtr Black",Aspen Pumps,5.42,"Made of uPVC, this Aspen Pumps Xtra 15mm overflow pipe is supplied in a 2.9M length. This pipe has a smooth internal finish for a lower coefficient of flow friction, helping to prevent build-up of debris, bacteria and blockages.","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Aspen Pumps Xtra pipe 3/4"" x 2.9mtr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/95/NW-654895_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P696489,Pump House DiversiTech Pro-Foam+-GB alkaline based condensing coil cleaner,Pump House,65.1,"Suitable for condensers, Pump House DiversiTech Pro-Care alkaline-based concentrated coil cleaner with disinfectant is efficient and effective, killing MRSA, legionella and many other germs while protecting coils for up to six months.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Pump House DiversiTech Pro-Foam+-GB alkaline based condensing coil cleaner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/89/696489_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_Pro_Care_Tech.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Pro_Care_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
