,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Range,Warranty,Hazardous,Depth (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Flow Rate,Max System Pressure Cold (Bar),Min System Pressure Cold (Bar),Material,Number of Outlets,Number of Spray Patterns,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Weight,Attachment 5,Feature 10,Feature 11
10,PD05769,BARRATT MIDAS 100+FIXNG KIT CHR HP/COMBI,,70.26,"Made of stainless steel and brass with a chrome-plated finish, this Aqualisa Midas shower includes a bar valve, 110mm adjustable head, 650mm riser rail and a 1.5M shower hose. With its adjustable slider, this shower is suitable for use by the whole family while easy-fit wall brackets make installation easy.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> BARRATT MIDAS 100+FIXNG KIT CHR HP/COMBI,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/69/D05769_wm.jpg,,,,,Chrome/Gloss,,5 Year,N,93.5,BMD100FS.19,Bar mixer shower,N,Easy fix bracket,106mm adjustable head with 3 spray patterns,5-year manufacturer guarantee,12.68 lpm at 5 bar / Up to 15 lpm at 3 bar,10,0.1,Stainless steelbrasschrome platedplastic,Single,3,Easy clean nozzles,Adjustable height slider,Suitable for all approved UK high pressure water systems,,,,,,,
11,PD02634,Saracen padded wall shower seat with legs,Saracen,207.03,The padded wall shower seat with drop down legs is available in white and provides a comfortable seat that is height adjustable to match every users individual needs.,Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Saracen padded wall shower seat with legs,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/34/NW-D02634_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Saracen_Shower_Chair_LD.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D02634_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02634_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PJ02658,Grohe Euphoria 110 Mono low pressure monobloc head shower,Grohe,60.08,"The Grohe Euphoria 110 Mono showerhead delivers a soothing rain shower with DreamSpray technology to ensure a generous, balanced flow. Finished in StarLight chrome and with SpeedClean inbuilt, this showerhead maintains its limescale-free good looks for longer.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Grohe Euphoria 110 Mono low pressure monobloc head shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/58/NW-J02658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_27237000_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_27237000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PD63833,Ideal Standard thermostatic mixing valve 15mm Chrome Plated,Ideal Standard,109.91,"This 15mm Ideal Standard thermostatic mixing valve supplied pre-mixed water at a set temperature to a basin, bidet, bath or shower. It is designed for installation under a basin or bidet, immediately below the hot water inlet.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Ideal Standard thermostatic mixing valve 15mm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/34/NW-D63833_D63834_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_A5900_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PD63544,Ideal Standard CTV exposed thermostatic shower pack with extended lever Chrome Plated,Ideal Standard,477.15,"Suitable for homes and commercial use in any plumbing system, this Ideal Standard CTV built-in thermostatic shower valve provides safe, reliable temperature control and contemporary styling to suit any interior.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Ideal Standard CTV exposed thermostatic shower pack with extended lever Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/44/NW-D63544_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/IS_Bathrooms_Brchr_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PD77422,Bristan Cobalt dual control shower pack,Bristan,410.76,"Uniquely designed for boldly modern bathrooms, the Bristan Cobalt shower pack with fixed head and wall outlet handset incorporates square shapes for a clean, eye-catching look. Built for easy fitting in UK homes, the Cobalt requires a wall cavity depth of just 35mm making it a perfect choice for smaller bathrooms and challenging installation jobs.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Bristan Cobalt dual control shower pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/22/D77422_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_Cobalt_COB_SHCDIV_C_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_Cobalt_C_WOSQ02_C_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Bristan_Cobalt_COBALT_SHWR_PK_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PD78005,Aqualisa Aquavalve high pressure cartridge,Aqualisa,164.61,An Aqualisa Aquavalve green cartridge for control of high pressure systems.,Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Aqualisa Aquavalve high pressure cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/05/NW-D78005_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Aqualisa_Cartridgereplacement_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PD12163,Rada Rada SH fixed head assembly only,Rada,34.32,"This Rada SH fixed showerhead assembly has been designed with healthcare guidelines firmly in mind, helping management of hospitals and other clinical settings to comply with global requirements for healthier, more hygienic showering.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Rada Rada SH fixed head assembly only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/63/D12163_wm.jpg,,,,,Black/Chrome,Rada SH,2 Year,N,197,24842-CP,Showerhead,N,Chrome and black colourway,Single mode spray plate,Spray plate is detachable,,,,,,,With nozzle mat,Includes clamp bracket,Includes right-angled connector (RAC),With hose,Helps to meet WRAS approval,2 year warranty,,,,
18,PD51387,Aqualisa Midas 100 bath shower mixer and kit,Aqualisa,283.86,"Smartly modern, the Aqualisa Midas 100 thermostatic bath/shower mixer shower offers high levels of performance and control, ideal for family bathrooms. With its slimline bar valve, the sleek Midas 100 includes both integrated flow and temperature controls and a temperature override button to ensure safety for the smallest showerers.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Aqualisa Midas 100 bath shower mixer and kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/87/NW-D51387_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_Midas_100_MD100BSM_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Midas_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Aqualisa_Product_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PD50640,Aqualisa Aquavalve thermostatic cartridge kit Grey,Aqualisa,164.61,"An Aqualisa Aquavalve grey shower cartridge for control of gravity, gravity pumped and balanced high-pressure systems. The Aquavalve can also be used for unbalanced (combination boiler) systems where a flow regulator is fitted into the cold inlet.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Aqualisa Aquavalve thermostatic cartridge kit Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/40/NW-D50640_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Aqualisa_Cartridgereplacement_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PA05059,Center CB N/A single function fixed head and arm 70mm,Center CB,11.54,"Finished in chrome, this Center CB single function showerhead has a 70mm faceplate and an angled arm and incorporates a swivel joint for personalised adjustment. The shower's rubber nozzles are easy to clean with a quick wipe of a damp cloth.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Center CB N/A single function fixed head and arm 70mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/59/NW-A05059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Shower_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/A05059_Fitting_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PD63834,Ideal Standard thermostatic mixing valve 22mm Chrome Plated,Ideal Standard,138.81,"This Ideal Standard 22mm thermostatic mixing valve supplies pre-mixed water at a set temperature. Designed to be installed under a basin, bidet or bath, immediately below the hot water inlet, the mixer should be commissioned to temperature during installation.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Ideal Standard thermostatic mixing valve 22mm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/34/NW-D63833_D63834_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_A5901_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PD08165,Bristan Evo KIT01 2M C evc shower kit Chrome,Bristan,55.81,"This Bristan Evo shower kit includes a large single function, easy-clean handset and 2M long shower hose.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Bristan Evo KIT01 2M C evc shower kit Chrome,,1x riser rail;2x wall brackets;1x slider;4/4x fixings;1x hose;1x Single function handset,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/65/NW-D08164_D08165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_EVCKIT012MC_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_EVCKIT01_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_EV_KIT01_C_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PD61490,Mira Response hose plastic 1.25m Chrome Plated,Mira,25.56,"The 1.25M Mira Response shower hose is reliable, free flowing and easy to clean, providing a fast, smart upgrade to your shower.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Mira Response hose plastic 1.25m Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/91/NW-D61490_D61491_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_ResponseSF_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PC43264,Deva Spares-tapware universal conversion kit Chrome Plated,Deva,16.61,"This Deva universal chrome-plated tap conversion kit includes two replacement tap heads and connections designed for compatibility with most basin, sink or bath taps.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Deva Spares-tapware universal conversion kit Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/64/NW-C43264_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Methven_Shower-Tap_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_MCK001_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PC43144,"Deva Spares-tapware ceramic disc valves 1/2"" (Pair)",Deva,21.32,"A pair of Deva 1/2"" ceramic disc valves for hot and cold taps.","Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Deva Spares-tapware ceramic disc valves 1/2"" (Pair)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/44/NW-C43144_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Methven_Shower-Tap_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_CDV001_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PD59226,Mira Logic clamp bracket assembly White,Mira,15.73,"This durable, white Mira clamp bracket is made from high quality materials and is designed for use with the Mira Logic 22mm slide bar.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Mira Logic clamp bracket assembly White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/26/NW-D59226_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PN42408,Multipanel high grab adhesive 290ml,Multipanel,7.92,Multipanel high grab panel adhesive provides secure fixing of Multipanel bathroom wall and ceiling panels.,Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Multipanel high grab adhesive 290ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/08/UP-N42408_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/GrantWestfield_Grab_Pnl_Adhesiv_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Multipanel_NeutralsCllctn_Brcr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PQ97158,Hansgrohe Ecomax selector,Hansgrohe,61.36,A Hansgrohe Ecomax selector.,Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Hansgrohe Ecomax selector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/58/NW-Q97158_wm.jpg,,,,,Black,Ecomax,5 Years,N,,97164000,Selector,N,5 year warranty,,,,,,,,,,,,,,,0.1Kg,,,
