,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Evaporator Fans,Hazardous,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 1,Amps,Connection Type,Voltage Rating,Display Type,Sensor,Application,Electric Supply,Defrost,Feature 13,Feature 14,Feature 15
10,P761375,Danfoss Dgs 080Z2801 c02/r744 5m sensor,Danfoss,1440.93,"Suitable for use in standalone or integrated systems, this Danfoss DGS 5M CO2/R744 5M sensor is designed for use with the Danfoss ADAP-KOOL® Refrigeration Control and Monitoring System and/or Building Management System and is intended for continuous realtime automatic monitoring. This sensor helps business owners to comply with F-Gas and health and safety regulations.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss Dgs 080Z2801 c02/r744 5m sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/75/761375_wm.jpg,Dgs,,N,,080Z2801,Sensor,N,Suitable for new or existing systems,Suitable for use in supermarkets and process refrigeration plants,Suitable for refrigerated storage and warehousing applications,Can be used in special application areas or zones,"Compatible with halocarbons including HFCs, HCFCs and CFCs",Compatible with carbon dioxide (CO2/R744) and hydrocarbons (including R290),With analogue output and digital input,,,,,,,0.25,"Power supply, MODBUS, Analogue output, Digital input",24 VDC,n/a,Yes,Commercial,,,,,
11,P761376,Danfoss Dgs 080Z2802 c02 2x5m sensor,Danfoss,2071.77,"Suitable for use in standalone or integrated systems, this Danfoss DGS 2 x 5M CO2 sensor is designed for use with the Danfoss ADAP-KOOL® Refrigeration Control and Monitoring System and/or Building Management System and is intended for continuous realtime automatic monitoring. This sensor helps business owners to comply with F-Gas and health and safety regulations.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss Dgs 080Z2802 c02 2x5m sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/76/761376_wm.jpg,Dgs,,N,,080Z2802,Sensor,N,Suitable for new or existing systems,Suitable for use in supermarkets and process refrigeration plants,Suitable for refrigerated storage and warehousing applications,Can be used in special application areas or zones,"Compatible with halocarbons including HFCs, HCFCs and CFCs",Compatible with carbon dioxide (CO2/R744) and hydrocarbons (including R290),With analogue output and digital input,,,,,,,0.25,"Power supply, MODBUS, Analogue output, Digital input",24 VDC,n/a,Yes,Commercial,,,,,
12,P640003,Alco FSM42S fan control (no EMC cable),Alco,153.0,Integrated varistor to protect against voltage spikes;Controls fan motors from 0.2 to 4.0 amps;All FS modules require an EMC filter cable;The FSX and FSM models will be replaced by the FSY range,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Alco FSM42S fan control (no EMC cable),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/03/640003_wm.jpg,,,N,,0715521,Speed Fan Controller,N,Integrated varistor to protect against voltage spikes,Controls fan motors from 0.2 to 4.0 amps,All FS modules require an EMC filter cable,The FSX and FSM models will be replaced by the FSY range,,,,,,,,,,,,,,,,,,,,
13,P623374,Danfoss Superheat EKE1C controller,Danfoss,353.0,"A Danfoss Superheat EKE 1C controller. Danfoss is committed to energy efficient solutions for better, more comfortable indoors environments.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss Superheat EKE1C controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/s_/94/Danfoss_94_wm.jpg,Superheat,,N,,080G5400,EKE 1C,N,"Valve output type: ETS 100, ETS 25, ETS 50, ETS 6",Alarm management,Defrost Sequence,"Ext. reference, SH control",Limitation functions,Manual operation,Preset OD,Reversible system with 1 EXV,Service mode,Start up,Superheat reference,Valve driver: Reference of OD,,,,,,,,,,,,
14,P668374,Carel PZD0C0P001 easyfreeze 230v,Carel,87.42,"Easy freeze is an electronic microprocessor controllers with LED display developed for the management of refrigerating units, display cabinets and showcases.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Carel PZD0C0P001 easyfreeze 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/74/668374_wm.jpg,,,N,,PZD0C0P001,Temperature Control,N,For low temperature ventilated refrigeration units,Pre-configured to reduce the start-up times,"Limited number of parameter, only 27",Power supply 230Vac,Ambient probe 2x NTC,Compressor relay 16A,Defrost relay 8A,Evaporator fan relay 8A,IP65 protection on the front,,,,,,,,,,,,,,,
15,P673656,Eliwell IDNEXT 902 P NTC 10A 230Vac air -hc,Eliwell,44.95,Controllers in the IDNext range are new-generation devices suitable for static and ventilated units at normal and low temperatures.,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Eliwell IDNEXT 902 P NTC 10A 230Vac air -hc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/56/673656_wm.jpg,IDNEXT,,N,,IDN902P6D107000,Thermostat,N,,,,,,,,,,,,,,,,,,,,,,,,
16,P600024,Danfoss Optyma 080Z3202 3 phase controller 7-10a,Danfoss,566.03,The controller will control standard or pump down three phase refrigeration plant with off cycle or electric defrosting.,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss Optyma 080Z3202 3 phase controller 7-10a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/24/600024_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_c/at/Danfoss_Optyma_Pack_Cond_Unit_Cat.pdf,,,,,,,,,,,
17,P670065,Danfoss XGE-4M fan speed controller,Danfoss,123.67,Speed controller.,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss XGE-4M fan speed controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/65/670065_wm.jpg,,,N,,061H3240,Speed Fan Controller,N,Controls fan motors from 0.2 to 3.0 amps,,,,,,,,,,,,,,,,,,,,,,,
18,P668373,Carel PZD0SNP0E1 easycool 230v,Carel,62.81,"Easy cool electronic controller is an electronic microprocessor controllers with LED display developed for the management of refrigerating units, display cabinets and showcases; are designed for the management of static refrigerating units (no fan on the evaporator) operating at temperatures above 0°C.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Carel PZD0SNP0E1 easycool 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/73/668373_wm.jpg,,,N,,PZD0SNP0E1,Temperature Control,N,For normal temperature static refrigeration units,Pre-configured to reduce the start-up times,"Limited number of parameter, only 19",Power supply 230Vac,Ambient probe NTC,Compressor relay 16A,IP65 protection on the front,,,,,,,,,,,,,,,,,
19,P695924,GB Controls universal evaporator 1 phase fans 4.5A 1 phase ED 4.1KW,GB Controls,493.2,This GB Controls universal evaporator control panel is part of a cost-effective range of compact refrigeration control panels with a customer-friendly selection of digital controllers to choose from.,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> GB Controls universal evaporator 1 phase fans 4.5A 1 phase ED 4.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/24/NW-695924_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GB_Controls_GBUE-EEW-01E_Technical.pdf,,,,,,,,,,,
20,P600023,Danfoss Optyma 080Z3201 3 phase controller 4.5-6.3a,Danfoss,566.03,The controller will control standard or pump down three phase refrigeration plant with off cycle or electric defrosting.,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss Optyma 080Z3201 3 phase controller 4.5-6.3a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/23/600023_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_c/at/Danfoss_Optyma_Pack_Cond_Unit_Cat.pdf,,,,,,,,,,,
21,P696025,GB Controls evaporator 1 phase fans 4.5A 3 phase ED 12.4KW,GB Controls,639.18,"This GB Controls digital evaporator control panel is part of a range of premium, high specification evaporator control panels with a wide choice of digital controller options.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> GB Controls evaporator 1 phase fans 4.5A 3 phase ED 12.4KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/25/NW-696024_696025_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GB_Controls_GBSE-EEW-02E_Technical.pdf,,,,,,,,,,,
22,P697970,GB Controls EW+ auto changeover evaporator panel with 1 phase fans (4.5A) and 1 phase ED 4.1kW,GB Controls,1138.95,"This GB Controls digital auto change-over evaporator panel is part of a range of premium quality, high specification automatic changeover control panels with a wide variety of digital controllers to choose from.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> GB Controls EW+ auto changeover evaporator panel with 1 phase fans (4.5A) and 1 phase ED 4.1kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/70/NW-697970_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GB_Controls_GBAC-EEW-01E_Technical.pdf,,,,,,,,,,,
23,P668342,Carel PJ-Easy PJEZY00000 controller,Carel,83.13,"This innovative range of controllers offer a product designed specifically for refrigeration control for bars, catering, display cabinets and refirgerated showcase applications. With an elegant and modern design this controller offers a 27% larger display and unique patented front mounted system or traditional side mounting available on all models. Can be connected to supervisory systems via R2485 external connection module. Comes with four predefined parameter sets built in and a removable face plate. Parameter programming keys are available.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Carel PJ-Easy PJEZY00000 controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/42/668342_wm.jpg,PJ-Easy,-,N,230V,PJEZY00000,Controller,N,Easy to set and program with four predefined parameters,Easy to install with front mounting system and side mounting,Easy to customise via the software,Easy to clean due to flat keypad and ip65 rated,Easy to wire due to built in transformer,Easy to read with 27% larger high efficiency display,On/off function either from digital input or directly from keypad,Buzzer,Removable terminal,,,,,,,,,,,230V,8 Amps,,,
24,P600098,Danfoss Optyma Plus 118U3465 controller,Danfoss,503.52,Optyma Plus controller,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss Optyma Plus 118U3465 controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/98/600098_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_c/at/Danfoss_Optyma_Pack_Cond_Unit_Cat.pdf,,,,,,,,,,,
25,P690645,Alco FSF-N15 Plug and Filter Cable 1.5m for FSM/FSY/FSX,Alco,37.28,Integrated varistor to protect against voltage spikes;Controls fan motors from 0.2 to 4.0 amps;All FS modules require an EMC filter cable;The FSX and FSM models will be replaced by the FSY range,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Alco FSF-N15 Plug and Filter Cable 1.5m for FSM/FSY/FSX,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/45/690645_wm.jpg,,,N,,804640,Cable,N,Integrated varistor to protect against voltage spikes,Controls fan motors from 0.2 to 4.0 amps,All FS modules require an EMC filter cable,The FSX and FSM models will be replaced by the FSY range,,,,,,,,,,,,,,,,,,,,
26,P696024,GB Controls evaporator 1 phase fans 4.5A 1 phase ED 4.1KW,GB Controls,608.93,"This GB Controls digital evaporator control panel is part of a range of premium, high specification evaporator control panels with a wide choice of digital controller options.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> GB Controls evaporator 1 phase fans 4.5A 1 phase ED 4.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/25/NW-696024_696025_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GB_Controls_GBSE-EEW-01E_Technical.pdf,,,,,,,,,,,
27,P684992,Danfoss ERC 211  ERC211-Kit controller kit 230v,Danfoss,46.33,ERC211 controller.,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss ERC 211  ERC211-Kit controller kit 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/92/684992_wm.jpg,ERC 211,,N,230V,080G3453,ELECTRONIC CONTROLLER C/W 1 PROBE KIT,N,230V,,,,,,,,,,,,,,,,,,,,,,,
28,P668343,Carel PJ-Easy PJEZCOP000 controller,Carel,89.35,"This innovative range of controllers offer a product designed specifically for refrigeration control for bars, catering, display cabinets and refirgerated showcase applications. With an elegant and modern design this controller offers a 27% larger display and unique patented front mounted system or traditional side mounting available on all models. Can be connected to supervisory systems via R2485 external connection module. Comes with four predefined parameter sets built in and a removable face plate. Parameter programming keys are available.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Carel PJ-Easy PJEZCOP000 controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/43/668343_wm.jpg,PJ-Easy,8 Amps,N,230V,PJEZC0P000,Controller,N,Easy to set and program with four predefined parameters,Easy to install with front mounting system and side mounting,Easy to customise via the software,Easy to clean due to flat keypad and ip65 rated,Easy to wire due to built in transformer,Easy to read with 27% larger high efficiency display,On/off function either from digital input or directly from keypad,Buzzer,Removable terminal,,,,,,,,,,,230V,8 Amps,,,
29,P673960,Eliwell EWTCM33VA transformer 220/12v,Eliwell,5.28,Transformer 220/12V,Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Eliwell EWTCM33VA transformer 220/12v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/60/673960_wm.jpg,,,N,,TF111111,Transformer,N,Suitability: 1 instrument,Rating 3va,,,,,,,,,,,,,,,,,,,,,,
30,P673271,Danfoss RGE-X3R4-7DS fan speed control,Danfoss,832.3,"Fan speed control is becoming increasingly widespread in different refrigeration and air conditioning units, with the benefits of reduced noise and stable condensing pressures under different climatic conditions. Danfoss Saginomiya offers two series of Fan Speed Controllers: RGE and XGE. RGE is available in single and three phase versions. RGE is a simple and efficient all-in-one pressure sensor and fan speed control, featuring a reliable sensing mechanism using bellows. For compact units, the XGE provides the ideal solution for reliable fan control. It can be mounted directly onto the refrigeration line, adjustment is made by the turn of a setting screw, and electrical connection is very versatile. It can also be panel mounted where space is insufficient on the refrigeration line. RGE and XGE can be used for all commonly used refrigerants, including R410A.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Danfoss RGE-X3R4-7DS fan speed control,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/71/673271_wm.jpg,,,N,,061H3006,Speed Fan Controller,N,"RGE, Variable Speed Control, is used for fan speed control, and is available in single and three phase versions RGE is a simple and efficient all-in-one pressure sensor and fan speed control, featuring a reliable sensing mechanism using bellows RGE is easy to install and set up RGE is CE/EMC approved","RGE can be used for all the commonly used refrigerants: R 22, R 407C, R 404A, R 134a and R 410A",,,,,,,,,,,,,,,,,,,,,,
31,P668346,Carel Mastercella MD33D5FB00 controller,Carel,323.14,"An integrated and complete solution for single-phase, static or ventilated cold rooms. The device directly manages single-phase units up to 2Hp. Mastercella manages smart defrosts. In the models fitted with real time clock HACCP management is standard. Cable inlet from below or above. Electrical wiring is made easy by the front access cover and the considerable space inside to house the main switch or other auxiliary devices. Isolator switch available on some models can be connected to supervisory systems via RS485 external serial board, IR remote control and Parameter programming keys are available.",Refrigeration/Controls/Refrigeration Controllers/Refrigeration Controllers.csv -> Carel Mastercella MD33D5FB00 controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/46/668346_wm.jpg,Mastercella,8A,N,,MD33D5FB00,Controller,N,For cold rooms,Compliant with haccp 93/43/eu,Models available and/or wall installation,Ip65 rated panel for demanding environments,Complete cold room control,Manage the end defrost completely and independently,Manage the condenser fans using the auxiliary output,Signal the high temperature alarms and the need for maintenance on the unit,Additional: programming keys,Remote control and rs485 serial board,Temperature sensor not included,Main isolator,,,,,,,,,16A,Rtc,Ir,Buzzer
