,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Warranty,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Depth (mm)
10,PA05068,"Nabis CD valve 3/4""",Nabis,3.07,"This Nabis 3/4"" CD valve is suitable for A05033.","Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis CD valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/68/A05068_wm.jpg,,,,Brass,n/a,N,WUK137,Valve,N,Compatible with A05033,Brass construction,,,,,,
11,PC68096,Deva shower rose comes with swivel joint 2'' Brass,Deva,19.0,"Designed with a swivel joint, this Deva 2"" brass showerhead adjusts effortlessly for personalised showering comfort whatever your height. It is finished in chrome to match effortlessly into an existing bathroom design.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Deva shower rose comes with swivel joint 2'' Brass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/96/NW-C68096_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Methven_Shower-Tap_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_HEAH01_Technical.pdf,,,,,,,,,,,,,,,
12,PD78280,Mira thermal trip assembly,Mira,14.25,"A genuine replacement part, this Mira thermal cutout is suitable for use in several Mira shower ranges, including Go, Play and Zest.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira thermal trip assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/80/NW-D78280_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
13,PC15685,Grohe Tempesta 100 hand shower,Grohe,18.84,"The Grohe Tempesta 100 handheld shower ensures a consistent, balanced delivery via DreamSpray technology, whether you opt for the refreshing Rain spray or the reinvigorating targeted Jet spray. Built to last, this scratch-resistant StarLight chrome finished shower incorporates a ShockProof silicone bumper to prevent damage if it's dropped and resists limescale at a simple wipe for a longer, cleaner life.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Grohe Tempesta 100 hand shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/85/NW-C15685_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_27597001_Technical.pdf,,,,,,,,,,,,,,,,
14,PD80105,Aqualisa Midas outlet flow regulator 9ltr/per min,Aqualisa,7.47,"Helping to reduce water waste, this Aqualisa Midas flow regulator with housing reduces consumption by setting water flow to 9LPM.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Aqualisa Midas outlet flow regulator 9ltr/per min,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/05/NW-D80105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Aqualisa_Product_Guide_2019.pdf,,,,,,,,,,,,,,,,
15,PD00510,Triton pressure release device for T70SI/80SI,Triton,11.67,"A safety device for electric showers, the Triton Alicante pressure relief device ensures water escapes in the event of a build-up due to blockage such as a kinked hose or limescale-blocked showerhead, preventing damage to the heating tank.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Triton pressure release device for T70SI/80SI,,Pressure relief device;Burst disc,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/10/NW-D00510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Triton_Alicante_Elctrc_Shower_Instal.pdf,,,,,,,,,,,,,,,,
16,PA05072,Nabis On/Off control handle assembly A05040,Nabis,3.13,This Nabis replacement on/off control handle assembly is suitable for A05040.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis On/Off control handle assembly A05040,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/72/A05072_wm.jpg,,,,Chrome,n/a,N,WUK141,Handle Assembly,N,Compatible with A05040,Chrome finish,,,,,,
17,PA05074,Nabis Temperature Control Handle Assembly,Nabis,3.74,This Nabis temperature control handle assembly is designed for use with A05040.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis Temperature Control Handle Assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/74/A05074_wm.jpg,,,,Chrome,n/a,N,WUK143,Handle Assembly,N,Compatible with A05040,Chrome finish,,,,,,
18,PA05078,Nabis round handle assembly,Nabis,8.13,This Nabis RD round handle assembly designed is a replacement part for A05042.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis round handle assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/78/A05078_wm.jpg,,,,Chrome,n/a,N,WUK146,Handle Assembly,N,Compatible with A05042,Chrome finish,Round shape,,,,,
19,PD78360,Mira Excel temPErature knob and flow lever assembly Chrome,Mira,58.28,"This Mira knob/lever pack contains a temperature knob and flow lever assembly for the surface-mounted Mira Excel, manufactured from 2002 onwards.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira Excel temPErature knob and flow lever assembly Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/60/NW-D78360_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
20,PA05061,Nabis handle assembly for A05043,Nabis,3.49,This Nabis replacement handle assembly is for use with A05043.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis handle assembly for A05043,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/61/A05061_wm.jpg,,,,Chrome,n/a,N,WUK129,Handle Assembly,N,Compatible with A05043,Chrome finish,,,,,,
21,PQ52960,Hansgrohe wall shower support Chrome Plated,Hansgrohe,62.63,"Made of plastic, this Hansgrohe shower holder has a neat chrome-plated finish.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Hansgrohe wall shower support Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/60/NW-Q52960_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Q52960_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Q52960_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hansgrohe_Brochure.pdf,,,,,,,,,,,,,,
22,PA05069,Nabis thermostatic valve,Nabis,19.22,This Nabis thermostatic valve can be used with A05033 and A05042.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis thermostatic valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/69/A05069_wm.jpg,,,,Brass,n/a,N,WUK138,Thermo Valve,N,Compatible with A05042 and A05042,Brass construction,Brass finish,,,,,
23,PA05079,Nabis square handle assembly,Nabis,7.11,This Nabis square handle assembly designed is a replacement part for A05042.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis square handle assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/79/A05079_wm.jpg,,,,Chrome,n/a,N,WUK147,Handle Assembly,N,Compatible with A05042,Chrome finish,Square shape,,,,,
24,PA05071,Nabis temperature control handle assembly for A05033,Nabis,2.17,This Nabis temperature control handle assembly is suitable for use with A05033.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis temperature control handle assembly for A05033,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/71/A05071_wm.jpg,,,,Chrome,n/a,N,WUK140,Handle Assembly,N,Compatible with A05033,Chrome finish,,,,,,
25,PA05461,Nabis Regal A05461 Spare Round Shower Handset,Nabis,6.89,This Nabis replacement shower handset with chrome finish is compatible with the A05416 and A05419 bath/shower mixers.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis Regal A05461 Spare Round Shower Handset,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/46/597546_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,
26,PD59982,Mira knob pack,Mira,19.37,This handy Mira spare knob pack contains replacement flow and temperature knobs for the Mira 88 Shower.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira knob pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/82/NW-D59982_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
27,PC63221,Bristan Eco shower outlet 10ltr p/m,Bristan,13.04,This Bristan Eco shower outlet is suitable for use with a flow limiter with a 10LPM flow rate.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Bristan Eco shower outlet 10ltr p/m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/21/NW-C63221_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Bristan_Eco_Flow_Regulators_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,
28,PD51007,Aqualisa Midas flow regulator and housing 6ltr/per min,Aqualisa,5.42,"Helping to reduce water waste, this Aqualisa Midas flow regulator with housing reduces consumption by setting water flow to 6LPM.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Aqualisa Midas flow regulator and housing 6ltr/per min,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/07/NW-D51007_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Aqualisa_Product_Guide_2019.pdf,,,,,,,,,,,,,,,,
29,PA05070,Nabis spline adaptor,Nabis,0.37,This Nabis spline adapter is suitable for A05033 and A05042.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis spline adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/70/A05070_wm.jpg,,,,Black,n/a,N,WUK139,Spline Adapter,N,Compatible with A05042 and A05042,Black colour,,,,,,
30,PA05065,Nabis plate assembly.,Nabis,8.1,This Nabis replacement plate assembly is suitable for A05041.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis plate assembly.,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/65/A05065_wm.jpg,,,,Chrome,n/a,N,WUK134,Plate Assembly,N,Compatible with A05041,Chrome finish,,,,,,
31,PA05066,Nabis On/Off control handle assembly A05041,Nabis,3.31,This Nabis replacement on/off control handle assembly for A05041 is finished in chrome.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis On/Off control handle assembly A05041,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/66/A05066_wm.jpg,,,,Chrome,n/a,N,WUK135,Handle Assembly,N,Compatible with A05041,Chrome finish,,,,,,
32,PA05064,Nabis temperature control handle assembly for A05041,Nabis,7.17,This Nabis temperature control handle assembly is suitable for the A05041.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis temperature control handle assembly for A05041,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/64/A05064_wm.jpg,,,,Chrome,n/a,N,WUK132,Handle Assembly,N,Compatible with A05041,Chrome finish,,,,,,
33,PD78208,Mira Rada cartridge assembly radatherm,Mira,328.49,"Supplied with silicone grease for fitting, this Mira Radatherm brass thermostatic temperature cartridge is compatible with the Mira 915 thermostatic mixer shower.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira Rada cartridge assembly radatherm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/08/NW-D78208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
34,PD77169,Bristan lever handles Chrome (Pair),Bristan,15.2,A Bristan replacement chrome handle for basin taps.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Bristan lever handles Chrome (Pair),,2x handle,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/69/NW-D77169_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,
35,PD59910,Mira washer pack,Mira,21.94,"Helping to make maintenance easy, this Mira service pack contains all of the seals and washers needed for servicing the Mira 88 manual mixer shower.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira washer pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/10/NW-D59910_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
36,PD78531,Mira 902.65 cartridge assembly,Mira,253.61,"Suitable for use with Mira's own 722 mixer showers installed on gravity systems, this Mira thermostatic mixer cartridge helps to improve shower performance and longevity by reducing limescale and decreasing the chemicals present in shower water.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira 902.65 cartridge assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/31/NW-D78531_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
37,PA05076,Nabis spare aerator for A05076,Nabis,0.94,This Nabis flow straightener improves water delivery in A05040.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis spare aerator for A05076,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/76/A05076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,,,,,,,,,,,,,,,,
38,PC90010,Ideal Standard shower flow regulator 9LPM,Ideal Standard,6.83,"Designed to save on water, this Ideal Standard 9LPM shower outlet flow regulator provides simple installation into new or existing shower valves.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Ideal Standard shower flow regulator 9LPM,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/10/NW-C90010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_L6749_Technical.pdf,,,,,,,,,,,,,,,,
