,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Diameter,Pack Quantity,Range,Material,Dimensions (L x W x D),Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Colour,Feature 15,Feature 16,Feature 17,Feature 18
10,PN38587,Fischer recessed corner basin fixing set (Pack of 2),Fischer,6.3,"Suitable for corner basins or small hand wash basins without large holes in the back strap, this Fischer Sanitary Fixings basin bracket fixing set includes slotted brackets for vertical adjustment. These brackets simply clamp on to the basin back strap and the supplied screws and nylon plugs attach the basin to a solid wall. The screws are compatible with timber using a small pilot hole.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer recessed corner basin fixing set (Pack of 2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/87/NW-N38587_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PS18861,Fischer DuoLine FixTainer DuoPower universal wall plugs 6/8/10mm (210),Fischer,31.6,"Self-activating, these Fischer DuoLine FixTainer DuoPower 6/8/10mm x 30/40/50mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of 210, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer DuoLine FixTainer DuoPower universal wall plugs 6/8/10mm (210),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/61/S18861_wm.jpg,,,,,N,536161,,N,,,6/8/10mm,210,DuoLine,Nylon,,,,,,,,,,,,,,,,,,
12,PS18848,Fischer DuoTec 537260 nylon toggle cavity fix 10mm (20),Fischer,19.89,"Suitable for use on high tensile and transverse loads, the Fischer DuoTec 10mm nylon toggle cavity fix and panhead screw is strong enough for radiator and TV bracket fixing. Easy to use, even in narrow or insulated cavities, these plugs and screws offer small 10mm drill hole diameters and a short toggle element. With no cutting required for easier, safer fitting into gypsum, DuoTec plugs won't fall into the drill hole, even without a screw, making pre-install straightforward. Automatically folding behind the panel for added strength, the plug's toggle element works alongside a flexible stainless steel screw seat for reliable use with wood and chipboard screws or metric hooks and threaded rods with lock nuts.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer DuoTec 537260 nylon toggle cavity fix 10mm (20),,20 fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/48/S18848_wm.jpg,,,,,N,537260,Cavity Wall Fixing,N,Pack of 20,Installation-friendly solution,,20,DuoTec,,10 x 39mm,Ideal for high loads in board material,Small drill-hole diameter for installation with 10mm drill bit,Short toggle element simplifies installation in narrow cavities  40mm,Short toggle element simplifies installation in mineral wool insulated cavities  50mm,Works as expansion plug in drill holes with wood substructure,Toggle element made of hard/soft glass fibre-reinforced plastic,Higher load perfomance and distribution of loads in board material than conventional plastic,Increases load-bearing capacity without damaging gypsum plasterboard,White fibreglass reinforced plastic collar sleeve increases shear load-bearing capacity,Flexible stainless steel screw entry,"Compatible with wood, chipboard and metric screws",Functions as expansion plug in solid materials where something is hit,,,,,
13,PN57087,Owlett Jaton JCP Drop-in Anchor drop in anchor 30mm (M8) ZYP (100),Owlett Jaton,0.21,These JCP deformation controlled drop-in anchors have a minimum 5µm and are suitable for use in concrete over C20/25.,Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Owlett Jaton JCP Drop-in Anchor drop in anchor 30mm (M8) ZYP (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/87/N57087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/JCP_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PN57228,Owlett Jaton JCP Shieldbolt anchor shield and loose bolt 10 x 25mm (50),Owlett Jaton,1.83,"Made of steel with an internal thread, these Owlett Jaton heavy duty loose bolt expansion shield anchors expand in substrate, offering a stronger grip.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Owlett Jaton JCP Shieldbolt anchor shield and loose bolt 10 x 25mm (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/28/NW-N57228_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/JCP_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PIS5604,Owlett Jaton hollow wall anchor 6-13mm 45mm (M5 x 45) (Pack of 100),Owlett Jaton,38.49,"These Owlett Jaton metal hollow wall anchors create a strong, permanent anchorage to plasterboard. These expanding cavity fixings are suitable for use in plasterboard and other cavity applications.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Owlett Jaton hollow wall anchor 6-13mm 45mm (M5 x 45) (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/05/NW-IS5604_IS5605_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/JCP_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JCP_Hollow_Wall_Anchors_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PN51736,Fischer self drill nylon plasterboard fixing 35mm (25),Fischer,4.73,"Made of nylon with rims and screws, these Fischer PDN universal self drill plugs are compatible with all building materials. The sharp, self-tapping threads allow for a fast, safe fixing mechanical interlock using a battery operated or electric screwdriver. No preliminary drilling is needed for boards up to 15mm thick and thanks to a short fixing length minimal space is required in and behind the board.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer self drill nylon plasterboard fixing 35mm (25),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/36/NW-N51736_wm.jpg,,,,,N,503074,Drill Plug,N,Pack of 25,Easy installation,45 mm,25,,Nylon,,Nylon self-drilling 35mm plug,Supplied with screws,For use in plasterboard or fibreboard,,,,,,,,,,,,,,
17,PS00289,Fischer metal spring toggle 5 x 50mm (20),Fischer,4.56,"Ideal for double thickness plasterboard, these Fischer spring toggle cavity fixings with metric screws are made of a heavy gauge material for superior loads and a nut to prevent stripping under load.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer metal spring toggle 5 x 50mm (20),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/89/NW-S00289_wm.jpg,,,,,N,42872,Toggle Fixing,N,Pack of 20,Cavity fixing with long metric screw for different board thicknesses,14 mm,20,,Metal,,"Pushed through drill hole, toggle expands by force behind the board","Suitable for gypsum plasterboard, fibreboards, chipboard, plywood and cavity slabs","Spring-loaded, pre-assembled head for easy installation",Suitable for overhead applications,,,,,,,,,,,,,
18,PIS5605,Owlett Jaton hollow wall anchor 5-13mm 60mm (M5 x 60) (Pack of 50),Owlett Jaton,22.87,"These Owlett Jaton metal hollow wall anchors create a strong, permanent anchorage to plasterboard. These expanding cavity fixings are suitable for use in plasterboard and other cavity applications.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Owlett Jaton hollow wall anchor 5-13mm 60mm (M5 x 60) (Pack of 50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/05/NW-IS5604_IS5605_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/JCP_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JCP_Hollow_Wall_Anchors_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PB17021,Ideal Standard basin fixing set,Ideal Standard,13.79,This Ideal Standard Portman 21 basin fixing set is suitable for IPS panels or block walls.,Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Ideal Standard basin fixing set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/21/NW-B17021_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Standard_Portman_21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Standard_Commercial_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PS01065,Fischer solid wall radiator fixing kit 6 x 50mm,Fischer,1.0,"Made of steel with a zinc-plated finish, this Fischer Power-Fast BP radiator fixing set fixes radiators to the wall fast and with minimal effort.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer solid wall radiator fixing kit 6 x 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/65/NW-S01065_wm.jpg,,,,,N,530737,Fixing Set,N,For use in solid walls,Heavy duty design,,,,Steel,,Zinc-plated,,,,,,,,,,,,,,,,
21,PB17020,Ideal Standard basin fixing set,Ideal Standard,13.17,This Ideal Standard Portman 21 wall fixing set is suitable for block walls.,Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Ideal Standard basin fixing set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/20/NW-B17020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Standard_Portman_21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Standard_Commercial_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PS18858,Fischer DuoPower 538241 universal wall plug 8x65mm (50),Fischer,5.34,"With self-activating functions, these Fischer DuoPower 8 x 65mm universal wall plugs can expand, fold and even knot, depending on the substrate they're used in, making them suitable for a variety of applications. Offering reliably clear feedback, the installer should be able to feel exactly when a plug is installed correctly. Smooth running, these rotation-free plugs ensure safe and easy installation into a screw channel.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer DuoPower 538241 universal wall plug 8x65mm (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/58/S18858_wm.jpg,,,,,N,538251,Wall Plug,N,Pack of 50,Long versions offer additional bite in problematic substrates,,50,DuoPower,,8 x 65mm,"Function zone I, tip spreads in 2x directions for high load bearing in difficult materials","Function zone II, expanding element spreads at 90° angle to zone I and III",Function Zone II provides optimal screw guidance,"Function zone III, back part of plug expands/folds depending on building material",Combines soft and hard materials for optimal screw-in and tightening torque,Red expansion wings for safe expansion,"Depending on building material, main body automatically activates best function","For permanent, safe hold",Narrow plug rim prevents slipping in drill hole,,,,,,,,
23,PS18871,Fischer DuoLine DuoPower universal wall plug and screw 10 x 80mm (10),Fischer,9.36,"Self-activating, these Fischer DuoLine DuoPower 10 x 80mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of ten, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer DuoLine DuoPower universal wall plug and screw 10 x 80mm (10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/71/S18871_wm.jpg,,,,,N,538257,,N,,,10 mm,10,DuoLine,Nylon/Steel,,,,,,,,,,,,,,,,,,
24,PS18852,Fischer DuoPower 555008 universal wall plug 8x40mm (100),Fischer,5.55,"With self-activating functions, these Fischer DuoPower 8 x 40mm universal wall plugs can expand, fold and even knot, depending on the substrate they're used in, making them suitable for a variety of applications. Offering reliably clear feedback, the installer should be able to feel exactly when a plug is installed correctly. Smooth running, these rotation-free plugs ensure safe and easy installation into a screw channel.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer DuoPower 555008 universal wall plug 8x40mm (100),,100 fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/52/S18852_wm.jpg,,,,,N,535455,Wall Plug,N,Pack of 25,Short plug length for quick fixing,,100,DuoPower,,8 x 40mm,Short length means less drilling and shorter screws,Combines soft and hard materials for optimal screw-in and tightening torque,Red expansion wings for safe expansion,"Depending on building material, main body automatically activates best function","For permanent, safe hold",Narrow plug rim prevents slipping in drill hole,,,,,,,,,,,
25,PS18851,Fischer DuoPower 555006 universal wall plug 6x30mm (100),Fischer,3.65,"With self-activating functions, these Fischer DuoPower 6 x 30mm universal wall plugs can expand, fold and even knot, depending on the substrate they're used in, making them suitable for a variety of applications. Offering reliably clear feedback, the installer should be able to feel exactly when a plug is installed correctly. Smooth running, these rotation-free plugs ensure safe and easy installation into a screw channel.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer DuoPower 555006 universal wall plug 6x30mm (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/51/S18851_wm.jpg,,,,,N,535453,Wall Plug,N,Pack of 25,Short plug length for quick fixing,,100,DuoPower,,6 x 30mm,Short length means less drilling and shorter screws,Combines soft and hard materials for optimal screw-in and tightening torque,Red expansion wings for safe expansion,"Depending on building material, main body automatically activates best function","For permanent, safe hold",Narrow plug rim prevents slipping in drill hole,,,,,,,,,,,
