,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Range,Weight,Hazardous,Depth (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Dimensions (L x W x D),Feature 3,Feature 4,Feature 5,Feature 6,Feature 7
10,P206210,Beneath Heat 15mm slimboard 1200 x 600 x 15mm,Beneath Heat,27.38,This Beneath Heat 1200 x 600 x 15mm slimboard is a retrofit panel suitable for use with 10mm pipe.,Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> Beneath Heat 15mm slimboard 1200 x 600 x 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/10/206210_wm.jpg,,,,,,,,,N,,15MMSLIM-T,Retro-Fit Panel,N,Low profile of just 15mm,With inbuilt returns,,For retrofit applications,,,,
11,P517879,JG Underfloor Speedfit under floor heating pipe staple 40mm,JG Underfloor,0.16,These 40mm JG Underfloor Speedfit pipe staples are barbed for secure and reliable fixing of pipes to insulation in underfloor heating installations.,Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor Speedfit under floor heating pipe staple 40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/80/517879_517880_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JG_Speedfit_Aura_UFH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,
12,P261929,Myson Floortec clip rail 17mm x 1mtr Black,Myson,5.55,"Helping to make the installation of underfloor heating easier, the Myson Floortec 17mm cliprail, supplied in a 1M length, is used to affix Floortec underfloor heating pipework to a wide range of floor insulations using a simple adhesive and cliprail pins, both of which are supplied. Designed with a U-shaped channel, the Floortec cliprail has pre-installed fixing positions every 50mm for ease of use with no need to measure.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> Myson Floortec clip rail 17mm x 1mtr Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/29/261929_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_25085Underfloor_Brochure.pdf,,,,,,,,,,,,,,,,,,,
13,P516952,Polypipe Overlay PB08571 overlay filler panel 800 x 600 x 18mm,Polypipe,23.34,"Suitable for use with heavy flooring like tiles or ceramics, this Polypipe underfloor heating overlay floor panel is comprised pre-grooved gypsum fibre designed to hold pipework between a room's structural floor and its covering.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> Polypipe Overlay PB08571 overlay filler panel 800 x 600 x 18mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/52/516952_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Polypipe_Plumbing_Heating_Install.pdf,,,,,,,,,,,,,,,,,,,,
14,P581328,JG Underfloor Speedfit UFH conduit elbow,JG Underfloor,2.36,"Fast to fit, this JG Underfloor Speedfit conduit elbow helps make the installation of pipework on an underfloor heating manifold easier and neater.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor Speedfit UFH conduit elbow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/28/581328_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,
15,P518003,JG Underfloor Speedfit UFH screw clip,JG Underfloor,0.31,These JG Underfloor Speedfit floor clips screw easily into insulation to retain 15mm pipe in underfloor heating installations.,Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor Speedfit UFH screw clip,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/03/518003_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,
16,P213864,Beta blending valve for use with DS15,Beta,128.25,"Suitable for use with the DS15, this Beta mixing valve provides mixed temperature water to an underfloor heating manifold. It offers a mixing range of 35 to 65°C.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> Beta blending valve for use with DS15,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/64/213864_wm.jpg,,,,,,,,,N,,ZL-2536,Mixing Valve,N,Includes return elbow,With temperature and pressure gauge,,For use with DS15,,,,
17,P517881,JG Underfloor Speedfit staple gun,JG Underfloor,249.78,"This JG Underfloor Speedfit staple gun is used to apply staples during the installation of underfloor heating, making joining insulation and pipework simple.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor Speedfit staple gun,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/81/517881_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JG_Speedfit_Aura_UFH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,
18,P581329,JG Underfloor Speedfit floor tile 1400 x 800mm,JG Underfloor,15.16,"Designed for use in underfloor heating installations, these JG Underfloor Speedfit floor tiles include a layer of insulation for support and improved thermal performance.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor Speedfit floor tile 1400 x 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/29/581329_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JG_Speedfit_Aura_UFH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,
19,P581497,JG Underfloor Lowfit edge strip 100mm x 25m,JG Underfloor,19.66,"Supplied in a length of 25M, this 100mm JG Underfloor Lowfit edge strip is designed for use around the perimeter of a room, creating an expansion gap for floors that can expand and contract in reaction to changes in temperature. Part of the Speedfit Underfloor Heating System, this edge strip is suitable for use in solid screed floors.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor Lowfit edge strip 100mm x 25m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/97/NW-581497_wm.jpg,,,,,,,Lowfit,,N,,JGUFHEDGE12,Edge Strip,N,25M length,Allows for expansion,25 m (L) x 100 mm (W),Plastic skirt prevents screed leak at corners,Speedfit components are designed and manufactured to ISO9001 and DIN4726,,,
20,P581516,JG Underfloor JGWAY1 gateway for battery RF stats,JG Underfloor,59.47,"A compact unit, the mains powered JG Underfloor gateway is used to connect RF thermostats to the internet using your home's Wi-Fi signal. With no need for hard-wiring into a router, this gateway can be installed anywhere on the UFH system and allows for complete remote control via a smartphone app or voice-activated digital assistant.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor JGWAY1 gateway for battery RF stats,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/16/581516_wm.jpg,,,,,,,,,N,,JGWAY1,Internet gateway for remote underfloor heating control (RF thermostats only),N,Compatible with other JG Underfloor products,For internet control of thermostats,,Compact mains-powered unit,Includes cable,Indicator lights show status of device,Install anywhere in the system,No hard-wired router connection needed
21,P581500,JG Underfloor Lowfit support elbow 12mm,JG Underfloor,1.1,"This JG Underfloor Lowfit 12mm support elbow is a cold forming bend that can help to create a tighter, more rigid bend than the minimum allowed in unsupported pipes.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor Lowfit support elbow 12mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/00/581500_wm.jpg,,,,,,,Lowfit,,N,12,JGUFHSBEND12,Support Bend,N,For underfloor heating use,"Creates tighter, more rigid bends",,,,,,
