,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Supplier Product Code,WEEE Compliant,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Fuel Type,Seasonal Space Heating Energy Efficiency %,Type,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Boiler Bundles,Boiler Range
10,P333714,Ideal Logic Max Combi C24 boiler and horizontal flue pack,Ideal,1065.0,"Provided with a horizontal flue, the Ideal Logic Max Combi C24 boiler offers easy installation through its compact, cupboard-fit design and its reduced lift weight. Offering all the finest features of the award-winning Logic+, this 24kW domestic combi boiler also offers an easy to read digital display and a service countdown timer. Robustly designed to minimise maintenance, the Logic Max has an ErP A rating for its efficient operation, which can be improved by intelligent use of compatible controls.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Logic Max Combi C24 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/_a/333714_A_wm.jpg,Logic Max Combi,N,333714 PK,N,,,,,,,White/Gloss,Natural Gas,A,Condensing Combi Boiler and Horizontal Flue Pack,Includes boiler and horizontal flue,Compact cupboard fit,Hardwearing and scratch-resistant,"Easy installation, commissioning and service",Full sequence automatic ignition,Fan-assisted combustion,Easy to reach pressure gauge on front panel,Large digital display,Service timer with telephone number display/service display,Compatible with Ideal controls,DHW flow rate 9.9LPM at 35°C,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,
11,P111706,Ideal Logic Max Combi2 C35 boiler with flue promo pack,Ideal,1297.0,TBC,Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Logic Max Combi2 C35 boiler with flue promo pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/06/111706_wm.jpg,Logic Max Combi2,N,111706 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P333718,Ideal Vogue Max Combi 32 boiler and horizontal flue pack,Ideal,1378.0,"Stylishly designed, the wall-mounted Ideal Vogue Max 32 combi boiler is built using high quality components for the perfect blend of looks and practicality. A lightweight, single-piece unit, this 32kW combi has a smart composite casing with a bright, backlit LCD display, providing all the details both homeowner and engineer will need for daily use, commissioning and fault identification at a glance. Supplied with a horizontal flue for ease of installation, the Vogue Max delivers fast, reliable hot water as well as heating, all with extremely high levels of efficiency for an ErP A rating.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Vogue Max Combi 32 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/pk/333717_19 PK_wm.jpg,Vogue Max Combi,N,333718 PK,N,,,,,,,White/Gloss,Natural Gas,A,Combi Boiler and Horizontal Flue Pack,Includes boiler and horizontal flue,Single piece unit for fast installation,Low lift weight,Premium product featuring best components available,Stylish composite design,Damped opening control cover,"User-friendly backlit 3.5"" full colour LCD display with plain text and graphics",Large rotary control dials,Full text support for fault modes,Easy to read pressure gauge,Service timer with telephone number display/service display,DHW flow rate 13.1LPM at 35°C,Compatible with Ideal controls,Full sequence automatic spark ignition,Fan-assisted combustion,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,12 year warranty,,
13,P333717,Ideal Vogue Max Combi 26 boiler and horizontal flue pack,Ideal,1261.0,"Stylishly designed, the wall-mounted Ideal Vogue Max 26 combi boiler is built using high quality components for the perfect blend of looks and practicality. A lightweight, single-piece unit, this 26kW combi has a smart composite casing with a bright, backlit LCD display, providing all the details both homeowner and engineer will need for daily use, commissioning and fault identification at a glance. Supplied with a horizontal flue for ease of installation, the Vogue Max delivers fast, reliable hot water as well as heating, all with extremely high levels of efficiency for an ErP A rating.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Vogue Max Combi 26 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/pk/333717_19 PK_wm.jpg,Vogue Max Combi,N,333717 PK,N,,,,,,,White/Gloss,Natural Gas,A,Combi Boiler and Horizontal Flue Pack,Includes boiler and horizontal flue,Single piece unit for fast installation,Low lift weight,Premium product featuring best components available,Stylish composite design,Damped opening control cover,"User-friendly backlit 3.5"" full colour LCD display with plain text and graphics",Large rotary control dials,Full text support for fault modes,Easy to read pressure gauge,Service timer with telephone number display/service display,DHW flow rate 10.6LPM at 35°C,Compatible with Ideal controls,Full sequence automatic spark ignition,Fan-assisted combustion,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,12 year warranty,,
14,P334443,Ideal Heating Max H18 heat only boiler pack with flue,Ideal Heating,1155.0,"A compact and lightweight boiler for ease of installation in any location, the Ideal Logic Max Heat H18 heat only boiler is supplied with a Multifit 2 standard horizontal flue. Suitable for use with a cylinder for a reliable supply of hot water, this 18kW heat only boiler has earned itself an ErP A rating for its extremely efficient operation. Robustly made and simple to service, the Logic Max is compatible with a variety of controls for even better efficiency and comfort.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Heating Max H18 heat only boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/55/124851_124855_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Logic_Max_Heat_Spec_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Logic_Max_Heat_Product_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Max_Heat_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Logic_Max_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Logic_Max_Warranty.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
15,P333719,Ideal Vogue Max Combi 40 boiler and horizontal flue pack,Ideal,1547.0,"Stylishly designed, the wall-mounted Ideal Vogue Max 40 combi boiler is built using high quality components for the perfect blend of looks and practicality. A lightweight, single-piece unit, this 40kW combi has a smart composite casing with a bright, backlit LCD display, providing all the details both homeowner and engineer will need for daily use, commissioning and fault identification at a glance. Supplied with a horizontal flue for ease of installation, the Vogue Max delivers fast, reliable hot water as well as heating, all with extremely high levels of efficiency for an ErP A rating.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Vogue Max Combi 40 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/pk/333717_19 PK_wm.jpg,Vogue Max Combi,N,333719 PK,N,,,,,,,White/Gloss,Natural Gas,A,Combi Boiler and Horizontal Flue Pack,Includes boiler and horizontal flue,Single piece unit for fast installation,Low lift weight,Premium product featuring best components available,Stylish composite design,Damped opening control cover,"User-friendly backlit 3.5"" full colour LCD display with plain text and graphics",Large rotary control dials,Full text support for fault modes,Easy to read pressure gauge,Service timer with telephone number display/service display,DHW flow rate 16.4LPM at 35°C,Compatible with Ideal controls,Full sequence automatic spark ignition,Fan-assisted combustion,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,12 year warranty,,
16,P124839,Ideal Vogue Max Combi C40 combi boiler 40kW,Ideal,1378.97,"The single piece composite Ideal Vogue Max Combi C40 is designed to look great in contemporary homes. Highly efficient, with ErP heating and water compliance plus an ErP A rating, this well-designed combi minimises maintenance and fuel bill costs with a range of great features. A lower lift weight and full text fault modes ensure that installation, servicing and repair of the Vogue Max is simple while a full colour LCD screen displaying both text and graphics makes consumer operation straightforward, putting the homeowner in control of their comfort. This 40kW combi also features a service timer and an excellent warranty package.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Vogue Max Combi C40 combi boiler 40kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/39/124837_124839_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Max_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/124839_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Vogue_Max_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Vogue_Max_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Vogue_Max_Combi_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
17,P334448,Ideal Heating Max S24 system boiler pack with flue,Ideal Heating,1255.0,"An installer-friendly unit, the Ideal Logic Max S24 system boiler, supplied with a compatible flue and filter, has a back-saving low lift weight and offers easy installation, making frustrating fitting jobs a thing of the past. Simple to operate using its large size digital display, the robustly built 24kW Logic Max is as popular with users as it is with engineers and, thanks to the included system filter, both will appreciate its long lasting hassle-free reliability.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Heating Max S24 system boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/49/NW-334448_334449_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Logic_Max_System_Spec_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Logic_Max_System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Ideal_Logic_Max_System_S24_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Max_System_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Standard_Warranty.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
18,P124838,Ideal Vogue Max Combi C32 combi boiler 32kW,Ideal,1259.36,"A sleekly designed single piece composite unit, the Ideal Vogue Max Combi C32 doesn't just look good in even the most modern of homes but it's highly efficient too, with an ErP A rating. A low lift weight and full text fault modes make installation, servicing and repair of the Vogue Max simple while a full colour LCD screen displaying text and graphics makes day-to-day operation effortless, putting the homeowner in control of their comfort. This 32kW combi features a service timer and an excellent warranty package provides real peace of mind.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Vogue Max Combi C32 combi boiler 32kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/39/124837_124839_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Max_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/124838_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Vogue_Max_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Vogue_Max_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Vogue_Max_Combi_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
19,P334444,Ideal Heating Max H24 heat only boiler pack with flue,Ideal Heating,1192.0,"An installer-friendly unit, the ErP compliant Ideal Logic Max Heat H24 heat only boiler, supplied with a compatible flue and filter, has a back-saving low lift weight and offers easy installation, making frustrating fitting jobs a thing of the past. Simple to operate using its large size digital display, the robustly built 24kW Logic Max is as popular with users as it is with engineers and, thanks to the included system filter, both will appreciate its long lasting hassle-free reliability.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Heating Max H24 heat only boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/45/NW-334444_334445_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Max_Heat_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Logic_Max_Heat_Spec_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Ideal_Logic_Max_Heat_H24_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Logic_Max_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Standard_Warranty.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
20,P124841,Ideal Vogue Max 18 system boiler 18kW,Ideal,1202.28,"The installer-friendly Ideal Vogue Max 18 condensing system boiler is built in a single piece with a lower than average lift weight for a less stressful fitting job. Attractively designed, with a modern composite casing and concealed controls, this 18kW room-sealed boiler looks great in any space and is easy to use too thanks to a large backlit LCD display. Highly efficient, the Vogue Max is fitted with high quality components for reduced maintenance and a bill-busting ErP A rating.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Vogue Max 18 system boiler 18kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/43/124840_124843_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Vogue_Max_System_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Consumer_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/124841_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Logic_Max_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Vogue_Max_System_Spec_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Vogue_Max_System_Product_Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,
21,P124842,Ideal Vogue Max 26 system boiler 26kW,Ideal,1348.86,"The installer-friendly Ideal Vogue Max 26 condensing system boiler is built in a single piece with a lower than average lift weight for a less stressful fitting job. Attractively designed, with a modern composite casing and concealed controls, this 26kW room-sealed boiler looks great in any space and is easy to use too thanks to a large backlit LCD display. Highly efficient, the Vogue Max is fitted with high quality components for reduced maintenance and a bill-busting ErP A rating.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Vogue Max 26 system boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/43/124840_124843_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Consumer_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Vogue_Max_System_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Logic_Max_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/124842_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Vogue_Max_System_Spec_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Vogue_Max_System_Product_Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,
