,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Pack Quantity,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Depth (mm),Colour,Warranty,Design Type,Material,Shape,Fittings Included
10,PB92115,Thomas Dudley Hydroflo 324301 telescopic delay bottom inlet valve,Thomas Dudley,21.99,This Thomas Dudley Hydroflo telescopic delay fill bottom inlet valve with brass tail is suitable for low and high pressure water supplies and has been pressure tested from 0.1 - 20 bar.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Thomas Dudley Hydroflo 324301 telescopic delay bottom inlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/15/B92115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PB12973,Dudley Turbo Edge compact syphon,Dudley,21.75,"Extremely compact, the Dudley Turbo Edge adjustable siphon fits into just about any siphon flush ceramic or plastic WC cistern with no loss of flush performance. This versatile siphon is easy to fit, even in challenging locations, and offers hassle-free servicing.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Dudley Turbo Edge compact syphon,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/73/NW-B12973_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dudley_Turbo_Edge_Syphon_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Thomas Dudley_B12973_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Dudley_TurboEdge_Syphon_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PB90530,Thomas Dudley Dudley wall duct lever kit A for up to 390mm Chrome,Thomas Dudley,21.0,This Thomas Dudley lever assembly with lift arm kit is suitable for walls and ducts up to 390mm.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Thomas Dudley Dudley wall duct lever kit A for up to 390mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/30/NW-B90530_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Thomas Dudley_B90530_User Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Thomas Dudley_B90530_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PB92116,Thomas Dudley Hydroflo 324298 delay bottom side inlet valve,Thomas Dudley,16.99,This Thomas Dudley Hydroflo side inlet valve with delay fill tail is suitable for low and high pressure water supplies and has been pressure tested from 0.1 - 20 bar.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Thomas Dudley Hydroflo 324298 delay bottom side inlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/16/B92116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P103681,"Fluidmaster Pro Series dual flush split adjustable syphon 7.1/12 -9.1/2""",Fluidmaster,19.25,"The Fluidmaster Pro Series universal dual split flush siphon is a fit for nearly all 1 1/2"" lever operated toilet cisterns.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Fluidmaster Pro Series dual flush split adjustable syphon 7.1/12 -9.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/81/NW-103681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fluidmaster_Pro_Ultra_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P171192,Fluidmaster Pro Series compact syphon-8,Fluidmaster,7.99,"The Fluidmaster Pro Series 8"" dual flush compact siphon is robust, easy to use and provides simple installation and servicing with high fault tolerance.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Fluidmaster Pro Series compact syphon-8,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/92/NW-171192_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PB92913,Thomas Dudley Unviersal Flush Valve Repair Kit,Thomas Dudley,35.75,"Containing a Victoria dual flush valve and compact telescopic float valve, this Dudley Thomas flush valve repair kit also contains fixings and a close coupling kit.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Thomas Dudley Unviersal Flush Valve Repair Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/14/2 - B92914_wm.jpg,,,,,,,,N,372686,Repair Kit,N,Victoria Cable operation allows button to be located on front or top of cistern,Attractive chrome plated pushbutton,Water saving full and reduced flush,Bayonet fixing enables valve body to be simply serviced in under five minutes,290mm 11 ½”) cable length,"Supplied with adaptor for 51mm (2"") outlet",38mm (1 ½”) outlet,"Hydroflo Compact Float will not catch on tight cistern installations where the inlet valve is close to the syphon or outlet valve, ensuring perfect operation",Telescopic height adjustment 203 (8”) – 292mm (11.5”),"Professional ½"" brass tail",Water saving delay fill action,Patented integrated quiet fill action,"The Cistern to Pan Bolt Sets includes all the nuts, bolts and washers required for connecting your cistern to the pan","Our Close Coupling Kits includes 1.1/2 cranked plate, nuts, bolts and 1.1/2” rubber doughnut washer",,,,,,,,
17,PB92109,Thomas Dudley Pinto single flush valve comes with air tube,Thomas Dudley,35.34,The Thomas Dudley Pinto pneumatic single flush valve with air tube is designed for Pushflo concealed cisterns.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Thomas Dudley Pinto single flush valve comes with air tube,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/09/NW-B92109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PB97906,"Masefield Epson standard low level flushpipe 18 x 18"" White",Masefield,2.48,A Masefield standard white PVC low-level single piece flush pipe.,"Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Masefield Epson standard low level flushpipe 18 x 18"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/08/NW-B97906_B97908_wm.jpg,,,,,,,Epson,N,PTOBEN363700,Flush Pipe,N,High quality white PVC,"18 x 18"" size",38mm outside diameter,,,,,,,,,,,,,,,,,,,
19,PC93128,Ideal Standard inlet valve servicing kit - uni/quiet,Ideal Standard,9.25,This Ideal Standard uni//quiet inlet float valve service kit is for use in the maintenance of bayonet fitting inlet valves.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Ideal Standard inlet valve servicing kit - uni/quiet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/28/NW-C93128_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P103501,"Fluidmaster Torbeck side entry brass fill valve 1/2""",Fluidmaster,13.65,"The Fluidmaster Torbeck side entry fill valve with 1/2"" brass shank connection offers excellent performance, even at low pressures.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Fluidmaster Torbeck side entry brass fill valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/01/NW-103501_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fluidmaster_UK_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fluidmaster_B610-1_2B_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PC92769,Ideal Standard flushvalve diaphragm pneumatic,Ideal Standard,1.3,An Ideal Standard pneumatic flush valve diaphragm bellows washer for use in cisterns.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Ideal Standard flushvalve diaphragm pneumatic,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/69/NW-C92769_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PP76429,"Fluidmaster Pro Series Pro45B Brass Be 1/2"" Fill Valve Twinpack",Fluidmaster,24.0,"Professional-grade, the Fluidmaster Pro Series fill valve twin pack includes two valves with bottom entries and 1/2"" heavy duty brass shanks. Easy to install and requiring minimal maintenance, these valves combine high standards of quality with reliably excellent performance.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Fluidmaster Pro Series Pro45B Brass Be 1/2"" Fill Valve Twinpack",,2x bottom entry fill valves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/07/NW-171207_wm.jpg,,,,,,,Pro Series,N,P76429 PK,Fill Valve Twin Pack,N,Heavy-duty brass shank,Height adjustable between 230 - 355mm,Ultra quiet operation,Minimal water hammer,Long-life performance,Offers fast refill,Anti-siphon design prevents contamination of water supply,,,,,,,,,,,,,,,
23,P171076,Fluidmaster replacement adjustable flush flapper,Fluidmaster,9.62,"Offering simple installation, this Fluidmaster adjustable flush flapper includes a kink-free chain. To fit, it simply snaps onto an overflow pipe's mounting ears.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Fluidmaster replacement adjustable flush flapper,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/76/NW-171076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Fluidmaster_Flapper_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PD41789,Roca dual push button,Roca,16.11,This Roca dual flush push button for cisterns fits multiple types of flush valves.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Roca dual push button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/89/NW-D41789_wm.jpg,,,,,,,D2_D,N,AH0001800R,push button,N,Chrome finish,Dual flush,Fits a variety of Roca flush valves,,,,,,,,,,,,,,,,,,,
25,P171119,Fluidmaster Pro Series cable dual flush valve 550mm,Fluidmaster,24.2,"A favourite of professional plumbers, the Fluidmaster Pro Series button operated dual flush valve with 550mm cable fits 1 1/2"" flush outlets.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Fluidmaster Pro Series cable dual flush valve 550mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/19/NW-171119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PB98369,Thomas Dudley Flush Buttons square single flush with pneumatic push button,Thomas Dudley,28.79,"Designed for installation away from the cistern, the Thomas Dudley Piazza dual flush button is suitable for built-in furniture, tiles, partitioning and walls.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Thomas Dudley Flush Buttons square single flush with pneumatic push button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/69/NW-B98369_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
