,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Connection Size,Evaporator Fans,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 2,Attachment 3,Material Type,Warranty,Material
10,P672319,"Henry Technologies 5231 pressure relief valve 14bar 1/2x5/8"" (ce ped)",Henry Technologies,69.3,"Protecting refrigeration systems against over-pressure, this Henry Technologies 5231 pressure relief valve (PRV) has 1/2"" NPTF x 5/8"" SAE flare connections. This PRV discharges vapour only and therefore should not be used to vent liquid refrigerant. Back-pressure dependent, the valves are used to discharge to atmosphere.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Henry Technologies 5231 pressure relief valve 14bar 1/2x5/8"" (ce ped)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/20/NW-672317_672320_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Technologies_Product_Catalogue.pdf,,,,,,,,,,,,,,,
11,P672320,"Henry Technologies 5231 pressure relief valve 16.2bar 1/2x5/8"" (ce ped)",Henry Technologies,69.3,"Protecting refrigeration systems against over-pressure, this Henry Technologies 5231 pressure relief valve (PRV) has 1/2"" NPTF x 5/8"" SAE flare connections. This PRV discharges vapour only and therefore should not be used to vent liquid refrigerant. Back-pressure dependent, the valves are used to discharge to atmosphere.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Henry Technologies 5231 pressure relief valve 16.2bar 1/2x5/8"" (ce ped)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/20/NW-672317_672320_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Technologies_Product_Catalogue.pdf,,,,,,,,,,,,,,,
12,P672357,"Henry Technologies 5231 straigh through pressure relief valve 24.8bar 3/8x1/2""",Henry Technologies,65.92,"Protecting refrigeration systems against over-pressure, this Henry Technologies 5231 pressure relief valve (PRV) has 3/8"" NPTF x 1/2"" SAE flare connections. This PRV discharges vapour only and therefore should not be used to vent liquid refrigerant. Back-pressure dependent, the valves are used to discharge to atmosphere.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Henry Technologies 5231 straigh through pressure relief valve 24.8bar 3/8x1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/57/NW-672357_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Technologies_Product_Catalogue.pdf,,,,,,,,,,,,,,,
13,P693787,"Danfoss WVFX15 direct actuated valve 1/2"" 3.5-16bar",Danfoss,157.5,"Regulating the flow of water in a refrigeration plant with water-cooled condensers, the Danfoss WVFX15 pressure operated water valve provides modulating regulation of condensing pressure within set limits. Suitable for use with flammable refrigerants, this valve shuts off the flow of cooling water when a refrigeration plant is stopped. With 1/2"" threaded x 1/4"" SAE flare connections, this valve ensures a double seal between refrigerant and water line, ensuring that should bellows be damaged, refrigerant won't leak into the water. This ensures that the valve can be used with a double walled heat exchanger and that the water circuit does not need to be considered part of the installation for flammable refrigerants per EN378-1:2008, clause 4.4.2.2.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Danfoss WVFX15 direct actuated valve 1/2"" 3.5-16bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/88/NW-693786_693788_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_WVFX_Brochure.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_WVFX_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_WVFX_Installation.pdf,,,
14,P693729,"Danfoss CPCE12 solder capacity regulator 1/2""",Danfoss,288.9,"Designed for installation in a bypass line between high and low pressure sides of a refrigeration system, this Danfoss CPCE12 bypass regulator changes the compressor capacity to actual evaporator load. Intended for hot gas injection between the evaporator and thermostatic expansion valve, it requires injection to take place via an LG liquid gas mixer. This bypass regulator includes a 1/2"" solder ODF connection.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Danfoss CPCE12 solder capacity regulator 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/29/NW-693729_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_CPCE_Brochure.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_CPCE_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_CPCE_Declaration.pdf,,,
15,P672398,"Henry Technologies 5232A straight through pressure relief valve 24.1bar 1/2x3/4""",Henry Technologies,95.32,"The Henry Technologies 5232A 24.1 bar 1/2 x 3/4"" straight through pressure relief valve protects against overpressure in a refrigeration system. This PRV is compatible with HCFC, HFC, HFO, HC and CO2 refrigerants.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Henry Technologies 5232A straight through pressure relief valve 24.1bar 1/2x3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_p/rv/PRV_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/es/Henry_81-82_Brochures.pdf,,,,,,,,,,,,,,,
16,P693712,"Danfoss KVL28 solder crank case pressure regulator 1.1/8""",Danfoss,266.4,"Installed into the suction line of refrigeration systems, this Danfoss KVL28 crankcase pressure regulator protects a compressor motor against the overload that can occur during start-up after long off periods or just after a defrost. It incorporates 1 1/8"" solder ODF connections.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Danfoss KVL28 solder crank case pressure regulator 1.1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/12/NW-693712_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_KVP_KVL_Installation.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_KVP_KVL_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_KVP_Brochure.pdf,,,
17,P672329,"Henry Technologies 5231 pressure relief valve 20.7bar 1/2x5/8"" (ce ped)",Henry Technologies,69.3,"Protecting refrigeration systems against over-pressure, this Henry Technologies 5231 pressure relief valve (PRV) has 1/2"" NPTF x 5/8"" SAE flare connections. This PRV discharges vapour only and therefore should not be used to vent liquid refrigerant. Back-pressure dependent, the valves are used to discharge to atmosphere.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Henry Technologies 5231 pressure relief valve 20.7bar 1/2x5/8"" (ce ped)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/32/NW-672329_672332_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Technologies_Product_Catalogue.pdf,,,,,,,,,,,,,,,
18,P672346,"Henry Technologies 5231 pressure relief valve 31bar 1/2x5/8"" (ce ped)",Henry Technologies,69.3,"Protecting refrigeration systems against over-pressure, this Henry Technologies 5231 pressure relief valve (PRV) has 1/2"" NPTF x 5/8"" SAE flare connections. This PRV discharges vapour only and therefore should not be used to vent liquid refrigerant. Back-pressure dependent, the valves are used to discharge to atmosphere.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Henry Technologies 5231 pressure relief valve 31bar 1/2x5/8"" (ce ped)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/46/NW-672346_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Technologies_Product_Catalogue.pdf,,,,,,,,,,,,,,,
19,P675036,"Danfoss NRV22S solder check valve 7/8""",Danfoss,77.98,"NRV and NRVH can be used in liquid, suction and hot gas lines in refrigeration and air conditioning plants with fluorinated refrigerants. NRV and NRVH can be supplied with flare and solder connections. They are also available with oversize solder connections providing flexibility in the use of check valves.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Danfoss NRV22S solder check valve 7/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/23/693823_wm.jpg,,7/8,-,N,020-1020,Check Valve,N,NRV,copper solder connections,angleway,Max working pressure = 46 bar Max test pressure = 60 bar Temperature of the medium: -50 - +140°C,,,Ductile Iron,1 year,Ductile Iron
20,P672310,"Henry Technologies 5230 pressure relief valve 27.6bar 1/4x1/2"" (ce ped)",Henry Technologies,61.36,"Protecting refrigeration systems against over-pressure, this Henry Technologies 5230 pressure relief valve (PRV) has 1/4"" NPTF x 1/2"" SAE flare connections. This PRV discharges vapour only and therefore should not be used to vent liquid refrigerant. Back-pressure dependent, the valves are used to discharge to atmosphere.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Henry Technologies 5230 pressure relief valve 27.6bar 1/4x1/2"" (ce ped)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/10/NW-672310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Technologies_Product_Catalogue.pdf,,,,,,,,,,,,,,,
21,P672317,"Henry Technologies 5231 pressure relief valve 27.6bar 3/8x1/2"" (ce ped)",Henry Technologies,65.92,"Protecting refrigeration systems against over-pressure, this Henry Technologies 5231 pressure relief valve (PRV) has 3/8"" NPTF x 1/2"" SAE flare connections. This PRV discharges vapour only and therefore should not be used to vent liquid refrigerant. Back-pressure dependent, the valves are used to discharge to atmosphere.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Pressure Regulating Valve/Refrigeration Pressure Regulating Valve.csv -> Henry Technologies 5231 pressure relief valve 27.6bar 3/8x1/2"" (ce ped)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/20/NW-672317_672320_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Henry_Technologies_Product_Catalogue.pdf,,,,,,,,,,,,,,,
