,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Fuel Type,Operating Temperature,Range,Warranty,Weight,Hazardous,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Mugs (250ml) per Tank,Antimicrobial Protection,Body Material,Controls,Eco Setting,Frequency,IP Rating,Material,Min Bar Pressure,Min Pressure (Psi),Water Connection,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 3,Attachment 4,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5,Attachment 6,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Connection Type,Water Heating Declared Load Profile,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,ErP Rating,Max Pressure (Psi),Mounting Type
10,PV06051,Instanta SureFlow wall mounted boiler 7ltr White,Instanta,907.41,"Enjoy the convenience of an instant cuppa with the Instanta SureFlow water boiler. Designed to be easily fitted with a simple connection to a potable cold water supply, this 7L capacity water boiler is constructed from impact-resistant stainless steel and contains a range of useful features including an ECO mode, a programmable timer and a filter change indicator as well as a handy diagnostics indicator for easy issue detection.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Instanta SureFlow wall mounted boiler 7ltr White,,Main boiler unit;Boiler case;Paper mounting template;Fitting kit;Instruction booklet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/51/NW_V06051_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Instanta_wmsp_spare_parts_drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Instanta_wmsp7w_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Instanta_sureflow_premium_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,
11,P112182,Hyco wall mounted boiling water heater 5 litre,Hyco,533.83,"Stylishly designed to look great while saving space in a kitchen, the Hyco 5L capacity wall-mounted boiling water dispenser does away with the need for a kettle, serving up boiling water on demand for those workplace teas and coffees with no annoying waiting. A durable unit offering fast heat up and recovery times, the ABS-built Hyco water heater is easy to use and offers a range of useful features, including an LED ring for a clear indication of readiness.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Hyco wall mounted boiling water heater 5 litre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/50/596350_wm.jpg,,,White,,96-98 degrees,,1 year on-site warranty as standard3 year on-site warranty available at additional cost,7 kg(Empty)12 kg(Full),N,N/A,2.84 kW,255,11 mins,20,N/A,,Manual,No,,IPX0,Easy Clean High Impact Polycarbonate/ ABS,1,14.5,Inlet/ Outlet 2 x 15mm compression. 1 x Tundish Recommended,OMEG5,Mall Mounted Boiling Water Heater,N,5 l,UK designed and assembled,Fast heat up time and high recovery rate,23W standing losses for improved efficiency,Green/red LED ring on base of control valve indicates ready/heating,With heavy duty ceramic control valve,Cool touch control valve and water outlet,,,Easy installation,Simple operation,Durable white ABS case is easy to clean,"Constant supply, even when unit is automatically refilling",,,Autocalibration ensures optimised temperature,A filter system is recommended to protect against scale build up,May require regular descaling,Scale damage is not covered by warranty,IPX20 protection,1 year on-site warranty,3 year warranty upgrade available at extra cost,,,,,,,,,,
12,PV34019,Lincat Filterflow FX Counter-Top Boiler single tap automatic water boiler 6kw 60ltr p/h,Lincat,925.17,"Perfect for busy staff rooms, the 18L capacity Lincat Filterflow FX Counter-Top water boiler saves valuable minutes usually spent waiting for kettles to boil. Delivering instaneous and generous hot water, the 6kW Filterflow FX incorporates inbuilt filtration for higher quality water, a user-friendly, full colour touchscreen display and an ECO mode which learns usage patterns and switches to 50% volume to save on power when not in use.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Lincat Filterflow FX Counter-Top Boiler single tap automatic water boiler 6kw 60ltr p/h,,Water Boiler;Warranty card;Instructions manual;Drip tray;Drip tray insert;Connection hose;Silicone drain hose assembly,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/19/V34019_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Lincat_IS590_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Lincat_EB6FX_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PD70805,Heatrae Sadia Supreme 150 water boiler 150ltr White,Heatrae Sadia,1066.45,"Providing instant boiling water on demand, the 2.5L capacity Heatrae Sadia Supreme 150 water heater pack requires only a mains electrical connection and plumbing directly to the cold water supply for easy installation. Featuring Heatrae Sadia's smart Intelliboil Plus technology for energy efficient management of the boiling cycle and with an integrated water conditioner to decrease scaling, the 2.5kW, wall-mounted Supreme promises high levels of efficiency and convenience as well as clean and hygienic use thanks to a long-term antimicrobial surface.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Heatrae Sadia Supreme 150 water boiler 150ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/07/D70805_D70807_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae Sadia_Supreme_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Supreme_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/HS_SmartDrinkigWaterSltn_PrdRng_2018.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HeatraeSadia_Supreme_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Supreme_150_165_180_Install.pdf,,,,,,,,,,,,,,,,,
14,PV06058,Instanta SureFlow wall mounted boiler,Instanta,715.05,"A cost-effective choice for on-demand boiling water, the 5L Instanta SureFlow water boiler offers Instanta's trademark quality and reliability on a budget. Designed for direct connection to a potable cold water, this simple to install, wall-mounted 3kW water boiler comes equipped with a large, robust tap for water delivery and a smart, mirrored stainless steel case.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Instanta SureFlow wall mounted boiler,,Boiler unit;Tap Kit;Paper mounting template;Fitting kit;Instruction booklet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/58/V06058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Instanta_wms_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Instanta_wms5_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PD70842,Heatrae Sadia Supreme 180SS boiling water unit 7.5ltr Stainless Steel,Heatrae Sadia,1440.01,"The clean, hygienic Heatrae Sadia Supreme 180SS 7.5L capacity water boiling unit pack has antimicrobial, fingerprint-resistant stainless steel outer casing, making it ideal to deliver on-demand hot water in hospital, clinical and kitchen settings. Straightforward to install and easy to use, the 2.5kW, wall-mounted Supreme is an efficient, safe alternative to kettles, ensuring heat-up steam is condensed and retained, guarding against scalds.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Heatrae Sadia Supreme 180SS boiling water unit 7.5ltr Stainless Steel,,Water boiling unit;Wall mounting bracket;2x No.12 x 2 inch screw;No.8 x 1 inch screw;2x No.12 x 2 inch wall plug;No.8 x 1 inch wall plug;15mm x 15mm straight push-fit connector;15mm x 15mm 90° elbow push fit connector,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/46/D70840_D70846_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Supreme_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae Sadia_Supreme_SS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/HS_SmartDrinkigWaterSltn_PrdRng_2018.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Supreme_150SS_165SS_180SS_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HeatraeSadia_Supreme_Installation.pdf,,,,,,,,,,,,,,,,,
16,PD70841,Heatrae Sadia Supreme 165SS boiling water unit 165ltr Stainless Steel,Heatrae Sadia,1302.15,"The clean, hygienic Heatrae Sadia Supreme 165SS 5L capacity water boiling unit pack has antimicrobial, fingerprint-resistant stainless steel outer casing, making it ideal to deliver on-demand hot water in hospital, clinical and kitchen settings. Straightforward to install and easy to use, the 2.5kW, wall-mounted Supreme is an efficient, safe alternative to kettles, ensuring heat-up steam is condensed and retained, guarding against scalds.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Heatrae Sadia Supreme 165SS boiling water unit 165ltr Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/46/D70840_D70846_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Supreme_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae Sadia_Supreme_SS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/HS_SmartDrinkigWaterSltn_PrdRng_2018.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Supreme_150SS_165SS_180SS_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HeatraeSadia_Supreme_Installation.pdf,,,,,,,,,,,,,,,,,
17,PD70843,Heatrae Sadia Catering Supreme 220SS boiling water unit 220ltr Stainless Steel,Heatrae Sadia,1800.23,"Designed for catering kitchen use, the 10L Heatrae Sadia Catering Supreme 220SS water boiling unit delivers on demand for larger quantities of boiling water at point-of-use. This wall-mounted unit is easy to install, requiring only a cold water supply and mains electrical connection and operation is simple, whether installed with one or the maximum of three taps. Featuring a range of innovative features, including an integral electronic water conditioner and lifetime antimicrobial casing treatment for hygienic every day use with no cross-contamination risk, the stainless steel 3kW Supreme SS is a smart, efficient addition to a food prep setting.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Heatrae Sadia Catering Supreme 220SS boiling water unit 220ltr Stainless Steel,,Water boiling unit;2x Wall mounting bracket;2 x M10 x 20mm set screw;3x No.12 x 1-1/2 inch screw;2x No.8 x 1/2 inch screw;3x No.12 x 2 inch wall plug;Template - to aid in positioning the heater;15mm x 15mm straight push-fit connector;15mm x 15mm 90° elb,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/46/D70840_D70846_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Supreme_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Supreme_220SS_310SS_560SS_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae Sadia_Supreme_SS_Technical.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/HS_SmartDrinkigWaterSltn_PrdRng_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HeatraeSadia_Supreme_Installation.pdf,,,,,,,,,,,,,,,,,
18,PD68151,Santon Speediboil SP5.0 water boiler 5.0kw,Santon,846.87,"Ideal for use in canteens, offices, workshops and salons, the commercial grade Santon Speediboil SP 5L boiling water heater provides instantaneous hot water direct from the wall. Supplying over 150 cups of boiling water an hour on a 2.5kW output, this efficient unit is ideal for busy breakrooms, saving wasted time, electricity and water.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Santon Speediboil SP5.0 water boiler 5.0kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/52/D68150_D68952_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Santon_Speediboil_Issue_4_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/rd/Santon_Warranty_Card.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Speediboil_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
19,PD70806,Heatrae Sadia Supreme 165 water boiler 165ltr White,Heatrae Sadia,1270.0,"Providing instant boiling water on demand, the 5L capacity Heatrae Sadia Supreme 165 water heater pack requires only a mains electrical connection and plumbing directly to the cold water supply for easy installation. Featuring Heatrae Sadia's smart Intelliboil Plus technology for energy efficient management of the boiling cycle and with an integrated water conditioner to decrease scaling, the 2.5kW, wall-mounted Supreme promises high levels of efficiency and convenience as well as clean and hygienic use thanks to a long-term antimicrobial surface.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Heatrae Sadia Supreme 165 water boiler 165ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/07/D70805_D70807_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae Sadia_Supreme_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Supreme_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/HS_SmartDrinkigWaterSltn_PrdRng_2018.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HeatraeSadia_Supreme_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Supreme_150_165_180_Install.pdf,,,,,,,,,,,,,,,,,
20,PD69069,Zip Tudor 5 underbasin vented water heater 5 litre,Zip,161.58,"Providing water to a single sink, the Zip Tudor 5 5L underbasin open outlet vented water heater is a convenient choice for adjustable temperature water delivery where mains water isn't available. Non-pressurised, this unit offers a range of useful features, including frost protection and a pressure and temperature relief valve.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Zip Tudor 5 underbasin vented water heater 5 litre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/69/D69069_wm.jpg,,,White,,9 - 75,,1 year,35 kg,N,N/A,2 kW,213,10 Minutes,,,,Manual,No,,,,,1.4,3/8” BSP,T5UB5,,N,5 l,For single point of use,Externally adjustable temperature control,Manually resettable cut out,Vented non-pressurised system,Pressure and temperature relief valve supplied,Heater protected against freezing while power is on,,,Manually resettable over temperature safety cut-out,1 year warranty,,,,,,,,,,,,,3/8” BSP,XXS,No,3.5,41,Single,A,50,Wall Mounted
21,PV34024,LINCAT M5F 5L WALL MOUNTED WATER BOILER,Lincat,555.25,"The Lincat M5F 5L wall-mounted water boiler supplies 24/7 high quality, filtered boiling tap water for ease of hot drink prep and pan filling. Ready fitted with a FilterFlow cartridge and fully temperature adjustable, this compact unit is easy to install, using the supplied plug and screws. For intuitive use and simplified maintenance, the M5F is fitted with an LCD information panel complete with full diagnostics.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> LINCAT M5F 5L WALL MOUNTED WATER BOILER,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/24/V34024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/le/rs/MF_Automatic_Water_Boilers.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PD68152,Santon Speediboil SP7.5 water boiler 7.5kw,Santon,948.85,"Ideal for use in canteens, offices, workshops and salons, the commercial grade Santon Speediboil SP 7.5L boiling water heater provides instantaneous hot water direct from the wall. Supplying over 150 cups of boiling water an hour on a 2.5kW output, this efficient unit is ideal for busy breakrooms, saving wasted time, electricity and water.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Santon Speediboil SP7.5 water boiler 7.5kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/52/D68150_D68952_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Santon_Speediboil_Issue_4_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/rd/Santon_Warranty_Card.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Speediboil_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
23,PD68951,Santon Speediboil SP5.0 water heater 5.0kW,Santon,773.99,"Ideal for use in canteens, offices, workshops and salons, the commercial grade Santon Speediboil SP 5L boiling water heater provides instantaneous hot water direct from the wall. Supplying over 150 cups of boiling water an hour on a 2.5kW output, this efficient unit is ideal for busy breakrooms, saving wasted time, electricity and water.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Santon Speediboil SP5.0 water heater 5.0kW,,Boiling water heater;Wall mounting bracket;2x No. 12 x 2 inch screw;No. 8 x 1 inch screw;2x No. 12 x 2 inch wall plug;No. 8 x 1 inch wall plug;straight push-fit connector;90 ° elbow push fit connector,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/52/D68150_D68952_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Santon_Speediboil_Issue_4_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/rd/Santon_Warranty_Card.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Speediboil_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
