,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Weight,Hazardous,Equal / Unequal,End Connection A size,End Connection C size,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 3,Range,Approvals,Material,Feature 4,Feature 5,Diameter,Warranty,Depth (mm),Feature 6,Attachment 4
10,PP92485,Uponor Q&E PEX PEX pipe ring 25mm Blue,Uponor,0.51,"This Uponor Q&E 25mm evolution ring is made of cross-linked polyethylene (PE-X). Suitable for PEX pipes, this fitting has a conical liner shape and stop edge and includes shrink-fit connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX pipe ring 25mm Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/87/NW-P92483_P92487_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PP92487,Uponor Q&E PEX PEX pipe ring 16mm Blue,Uponor,0.38,"This Uponor Q&E 16mm evolution ring is made of cross-linked polyethylene (PE-X). Suitable for PEX pipes, this fitting has a conical liner shape and stop edge and includes shrink-fit connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX pipe ring 16mm Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/87/NW-P92483_P92487_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PP58970,Uponor Q&E PEX PEX one end and branch reduced tee 20 x 16 x 16mm,Uponor,3.56,This Uponor Q&E 20 x 16 x 16mm 90° reducer tee is made of polyphenylsulfone (PPSU) with shrink-fit connections. It is suitable for use in hot and cold systems as well as in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX one end and branch reduced tee 20 x 16 x 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/70/NW-P58970_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P591539,JG Speedfit TSM TSM pipe insert 15mm (Pack of 50),JG Speedfit,14.49,"This JG Speedfit TSM 15mm pipe insert is to be used when connecting a 15mm Speedfit pipe to a Speedfit fitting or a compression fitting. Two types of pipe inserts are available, Standard and Superseal, both suitable for Speedfit hot and cold water and heating systems but wherever an installation requires the use of a compression fitting, a Standard insert should be used.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> JG Speedfit TSM TSM pipe insert 15mm (Pack of 50)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/40/NW-591538_591540_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Push-Fit_Brochure.pdf,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,,,,,,,,,,
14,PP92502,Uponor Q&E PEX PEX pipe ring 16mm White,Uponor,0.38,"This Uponor Q&E 16mm evolution ring is made of cross-linked polyethylene (PE-X). Suitable for PEX pipes, this fitting has a conical liner shape and stop edge and includes shrink-fit connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX pipe ring 16mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/04/NW-P92502_P92504_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PP92503,Uponor Q&E PEX PEX pipe ring 20mm White,Uponor,0.45,"This Uponor Q&E 20mm evolution ring is made of cross-linked polyethylene (PE-X). Suitable for PEX pipes, this fitting has a conical liner shape and stop edge and includes shrink-fit connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX pipe ring 20mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/04/NW-P92502_P92504_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PP58965,Uponor Q&E PEX 1008689 PEX reduced branch tee 20 x 16 x 20 mm,Uponor,3.56,This Uponor Q&E 20 x 16 x 20mm 90° reducer tee is made of polyphenylsulfone (PPSU) with shrink-fit connections. It is suitable for use in hot and cold systems as well as in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX 1008689 PEX reduced branch tee 20 x 16 x 20 mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/67/NW-P58965_P58967_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PP58968,Uponor Q&E PEX 1008697 PEX one end reduced tee 20 x 20 x 16 mm,Uponor,3.56,"Fitted with shrink-fit connections, this Uponor Q&E PEX 20 x 20 x 16mm one end reduced tee is manufactured in polyphenylsulfone, otherwise known as PPSU.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX 1008697 PEX one end reduced tee 20 x 20 x 16 mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/68/NW-P58968_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/le/QE_Shrink_Fit_Article.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PP92488,Uponor Q&E PEX PEX pipe ring 16mm Red,Uponor,0.38,"This Uponor Q&E 16mm evolution ring is made of cross-linked polyethylene (PE-X). Suitable for PEX pipes, this fitting has a conical liner shape and stop edge and includes shrink-fit connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX pipe ring 16mm Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/88/NW-P92488_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PP58959,Uponor Q&E PEX 90deg PEX elbow 16mm,Uponor,1.5,This Uponor Q&E 16 x 16mm 90° elbow is made of polyphenylsulfone (PPSU) and includes shrink-fit connections. It is suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX 90deg PEX elbow 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/61/NW-P58959_P58961_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
20,PP89809,Uponor Q&E reduced coupling,Uponor,5.1,"Fitted with shrink-fit connections, this Uponor Q&E PEX 32 x 25mm reduced coupling is manufactured in polyphenylsulfone, otherwise known as PPSU.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E reduced coupling",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/09/NW-P89809_wm.jpg,,,,N,Unequal,32 mm,25 mm,32 x 25mm,Shrink Fit,,1001240,Reducer,N,Suitable for hot and cold and heating systems,6 bar at 80°C for heating,Suitable for recirculation hot water systems,,Q&E,WRAS,Polyphenylsulfone (PPSU),PPSU construction,WRAS approved,,,,,
21,PP51570,Buteline BE22 equal elbows 22 x 22mm,Buteline,4.72,"Compatible with Buteline's Polybutene-1 pipe, these Buteline BE22 22mm equal elbows are strongly constructed for quality and performance. With an annealed protective metal sleeve for precise attachment, Polybutene pipes and BE22 fittings result in a unique metal reinforced joint for faster, more economical creation of a reliable pipe system.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Buteline BE22 equal elbows 22 x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/lb/ow/Equal Elbow_wm.jpg,,,,N,,,,,,,BE22,Fitting,N,Minimum working stress applied (approx.0.5 ton per sq. in.) allowing pipe material to “flow” into insert tail grooves,"No stress from clamping transmitted to insert tail or pipe at end of fitting. End of metal sleeve cannot impinge into pipe, even in bending",Minimise resistance to water flow,,,,Polybutene-1,Guarantees no stress break in this critical area,Provides additional rigidity and resistance to pull-off. Seals against dirt and moisture,70 mm,25 Years,25,"Narrow lands with wide grooves, ensure clamp stress is transferred into the pipe joint efficiently",
22,PP91054,Uponor S-Press 90deg MLCP compression elbow 50mm,Uponor,41.25,These Uponor S-Press 50 x 50mm 90° elbows are made of polyphenylsulfone (PPSU) and offer speedy bevel installation with no need to calibrate. These fittings are suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor S-Press 90deg MLCP compression elbow 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/54/NW-P91053_P91054_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PP56486,Buteline BT22 equal tee 22 x 22 x 22mm,Buteline,6.72,"Manufactured in robust brass, this Buteline BT22 22 x 22 x 22mm equal tee is part of an extensive range designed for compatibility with Buteline Polybutene-1 pipe. With an annealed protective metal sleeve attached to the fitting during production, the fittings in this range enjoy the benefits of a unique metal reinforced joint, providing installers with improved economy, better resistance and faster installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Buteline BT22 equal tee 22 x 22 x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/e1/12/Equal Tee112_wm.jpg,,,,N,,,,,,,BT22,Equeal Tee,N,Minimum working stress applied (approx.0.5 ton per sq. in.) allowing pipe material to “flow” into insert tail grooves,"No stress from clamping transmitted to insert tail or pipe at end of fitting. End of metal sleeve cannot impinge into pipe, even in bending",Minimise resistance to water flow,,,,Polymer,Guarantees no stress break in this critical area,Provides additional rigidity and resistance to pull-off. Seals against dirt and moisture,22 mm,25 year guarantee,50,"Narrow lands with wide grooves, ensure clamp stress is transferred into the pipe joint efficiently",
24,PP58949,"Uponor Q&E PEX PEX male adaptor 16mm x 1/2""",Uponor,3.91,"This Uponor Q&E 16mm x 1/2"" male thread adapter is made of polyphenylsulfone (PPSU) and is suitable for use in hot and cold systems as well as heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX male adaptor 16mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/49/NW-P58949_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
25,PP98177,Uponor S-Press 45deg MLCP composite elbow 40 x 40mm,Uponor,36.67,This Uponor S-Press 40 x 40mm 45° elbow is made of polyphenylsulfone (PPSU) and offers speedy three step press without bevel installation. It is suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor S-Press 45deg MLCP composite elbow 40 x 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/78/NW-P98177_P98178_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Uponor_Product_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PP98195,Uponor S-Press MLCP composite coupling reducer 50 x 40mm,Uponor,25.24,These Uponor S-Press 50 x 40mm press-fit composite reducers are made of polyphenylsulfone (PPSU). These fittings are fixed with a stainless steel press sleeve and stop ring with test safety.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor S-Press MLCP composite coupling reducer 50 x 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/95/NW-P98195_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Uponor_Product_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PP58957,Uponor Q&E PEX PEX reducer 25 x 16mm,Uponor,3.28,This Uponor Q&E 25 x 16mm reducer is made of polyphenylsulfone (PPSU) with shrink-fit connections. It is suitable for use in hot and cold systems as well as in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX reducer 25 x 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/58/NW-P58956_P58958_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
28,PP89871,Uponor Q&E PEX evolution ring 32mm White,Uponor,1.08,"This Uponor Q&E 32mm evolution ring is made of cross-linked polyethylene (PE-X). Suitable for PEX pipes, this fitting has a conical liner shape and stop edge and includes shrink-fit connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX evolution ring 32mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/71/NW-P89871_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
