,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Model For Use With,Boiler Section,Supplier Product Code,Type,WEEE Compliant,Boiler Range,Part Gas Council number,By Model Number,Feature 1,Feature 2,Feature 3,Operating Temperature,Range,Warranty,Pack Quantity,Depth (mm),Fuel Type,Weight,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,For Use With,Body Material,Dimensions mm (H x W x D),Application,Feature 9,Voltage (V),Material,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Colour,Connection Type,Thickness,Size,Operating Temperature Range (C)
10,P440787,Saunier Duval system pressure sensor,Saunier Duval,25.76,"This Saunier Duval system pressure sensor is compatible with boilers in the C-CI, SI, Ultracom2, Xtrafast, Thema, Themaclassic, Themaplus, British Gas, SXI, Isofast, Eden, CXI, Xtramax, Enviroplus, Energy, Isotwin, Ultimate and Isomax ranges. It is supplied with a clip and O-ring for fitting.  A safety device, this sensor monitors the pressure of system water, turning the boiler off if pressure falls below 0.5 bar or above 2.75 bar.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Saunier Duval system pressure sensor,,Sensor;Clip;O-ring,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/87/440787_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saunier_Duval_Isofast_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P490830,Anglo Nordic 100 universal thermocouple 900mm,Anglo Nordic,7.99,"Designed for a long, reliable life, this Anglo Nordic 900mm universal boiler thermocouple includes five universal adapter fittings for compatibility with screw-in, push-in or clamp-type pilot burners. Easy to use, this thermocouple is intended to perform to at least the same standard as the original it replaces.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Anglo Nordic 100 universal thermocouple 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/30/490830_wm.jpg,,,N,,Pilot Light Burner,0140110,,N,Most Natural Gas Boilers,,,Suitable for use with most gas boilers with thermocouple pilots,For UK domestic heating and commercial catering,With 5x fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P310303,"Honeywell Home @ hw home q309a 2788 36""tl t/couple",Honeywell Home,14.32,"This thermocouple is for use with the Catalogue and Diplomat boiler ranges. The thermocouple is designed to sense the pilot flame on gas-fired central heating systems as the tip is heated by the flame, producing a temperature differential between itself and base to generate 30mV. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.","Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Honeywell Home @ hw home q309a 2788 36""tl t/couple",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/03/310303_wm.jpg,,,N,"Valves, Diplomat 1, Diplomat 2",Control Panel,Q309A 2788,Thermocouple,N,"Catalogue, Diplomat",390038,"Valves,Diplomat 2,Diplomat 1",,,,415750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P440794,Saunier Duval domestic thermistor,Saunier Duval,36.73,"This Saunier Duval NTC temperature sensor is compatible with C-CI, MicraCom, Ultracom, Ultracom2, Themaclassic, Betacom, Flexicom, Ultimate, Ultrapower, Xtrafast, Enviroplus, Thema, Miscellaneous, Isofast, Easicom, Energy, SI, Themaplus, British Gas, Xtramax and Isomax boilers.  The sensor is employed to increase circuit resistance in line with temperature drops. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Saunier Duval domestic thermistor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/94/440794_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saunier_Duval_Isofast_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P107135,Center 5 piece boiler install pack,Center,104.99,TBC,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Center 5 piece boiler install pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/35/107135_wm.jpg,,,N,,,107135 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P158104,Neomitis wired 7 day programmable thermostat,Neomitis,65.11,"Combining a traditional dial with a modern, large scale LCD, the Neomitis wired 7-day programmable room thermostat ensures easy operation by every user. This thermostat displays ambient temperatures in illuminated digits that can be easily read from across the room, letting you know just when to make changes to maintain indoor comfort. Programming is simplified too, while a slide control offers a familiar temperature setting action. This 7-day room thermostat offers an adaptable heating schedule to suit every day of the week, but when priorities chance its dual optimisation feature allows homeowners to choose between added warmth or handy cost savings.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Neomitis wired 7 day programmable thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/04/158104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Neomitis_RT7_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Neomitis_RT7_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P419892,Parts 0020059717 pressure sensor,Parts,20.24,"This Parts replacement pressure sensor is suitable for use in domestic boilers.  Pressure sensors control internal water, gas and air pressure inside a boiler or closed system.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it, first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Parts 0020059717 pressure sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/92/419892_wm.jpg,,,N,,Control Panel,40623,,N,"Appliances ONLY for Guernsey/Jersey (condensing), ecoTEC VU (condensing), ecoTEC VUI (condensing), ecoTEC VUW (condensing), Home (condensing), VWF (Heat Pump), VWL (Heat Pump), VWS (Heat Pump), VWL (Heat Pump Accessory), VWS (Heat Pump Hybrid)",H71229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P171293,Center CB filling loop with gauge 15mm,Center CB,21.39,"This Center CB filling loop is designed to make a temporary connection between the mains water supply and a sealed heating system for the manual top-up of a sealed heating circuit. Used when pressure in the system drops following installation or servicing, this DZR brass filling loop provides a simple, flexible and fast solution and incorporates a system pressure gauge, a useful tool when the filling loop is installed remotely from the boiler or when the boiler or HIU doesn't include an integral pressure gauge.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Center CB filling loop with gauge 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/93/171293_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_171293_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/171293_TDS_Center_F_Loop_wGauge_15mm.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P796478,Worcester Bosch gas valve and bracket assembly,Worcester Bosch,330.57,"This Worcester Bosch replacement gas valve and bracket assembly is suitable for Compact, Greenstar and Greenstar ErP boilers.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Worcester Bosch gas valve and bracket assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/78/796478_wm.jpg,,,N,"533, 535, 25 Si Compact, 30 i System LPG, 30 Si Compact, 30Si Compact LPG, 533 ErP, 27 Ri Compact LPG, 28 CDi Compact, 30 Ri Compact, 30i System LPG, 30Si Compact, 32CDi Compact LPG, 36CDi Compact, 25 Si Compact LPG, 27 Ri Compact, 27 i System LPG, 30 i",Gas Assembly,8716117868,Valve and Bracket Assembly,N,"Compact, Greenstar, Greenstar ErP",,"27 Ri Compact,30 Ri Compact,27 i System LPG,32 CDi Compact,27 i System,30 i System LPG,25 Si Compact,30 Si Compact LPG,30 i System,535 ErP,533,535,28 CDi Com,533 ErP,32 CDi Compact LPG,25 Si Compact LPG,30 Si Compact,27 Ri Compact LPG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P474105,Worcester Bosch control box uba3,Worcester Bosch,418.37,"An official Worcester Bosch spare, this control box is designed for the GB162, Buderus 600 and Logamax plus ranges.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Worcester Bosch control box uba3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/05/474105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Buderus_GB162_LB_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P408344,Worcester Bosch fan (80-100kw),Worcester Bosch,675.22,"A genuine spare part, this fan is intended for use in Worcester Bosch's GB162 boiler. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Worcester Bosch fan (80-100kw),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/44/408344_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Worcester_Bosch_GB162_LB_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
