,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Pack Quantity,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 6,Attachment 7,Dry Weight (kg),Colour,Max High Level Flue Length (metres),Seasonal Space Heating Energy Efficiency %,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Attachment 8,Attachment 9,Max Vertical Level Flue Length (metres),Rated Heat Output (Prated or Psup),Seasonal Space Heating Energy Efficiency Class,Flue Type,Flue Diameter,Flue Length,Flue Size,Part Gas Council number,By Model Number
92,P333864,Intergas HRE OV 30 compact heat only boiler,Intergas,938.0,"The wall-mounted Intergas Compact HRE 30 OV gas-fired boiler is designed to effectively transfer heat to a central heating system's water circuit for reliable home warmth at an ErP A rating. Suitable for use with a storage cylinder, this modulating boiler can also supply reliable hot water and, with next to no standby losses, no air pressure switch and hassle-free installation and maintenance, it is a cost effective addition to the family home.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Intergas HRE OV 30 compact heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/e_/ov/Intergas_HRE_OV_wm.jpg,,,,,,,Natural Gas,HRE OV,7 Years,36 kg,A,N,,30 kW,240,333864,93,Wall Hung,333864 PK,Condensing Open Vent Boiler,N,Suitable for use in open vent systems with a heating system feed tank,Fitted with a modulating control to adjust power in line with heat requirements,No air pressure switch,Easy to service and maintain,Almost no standby losses,7 year warranty,,,,,,,,,,,White/Gloss,,A,,,,,,,,,,,,,,,,,,
93,P112954,Worcester Bosch Greenstar i Compact 30i NG system ErP boiler,Worcester Bosch,1398.7,"The Worcester Bosch Greenstar 30i ErP NG system boiler is an ultra-modern compact and lightweight boiler designed to maximise available space in homes of just about any size. Highly reliable and extremely durable, this ErP A-rated boiler incorporates a low energy pump for reduced electrical requirements and a simple, clear display and controls for error-free operation. Compatible with a range of Worcester controls and the brand's Greenskies solar panels, the Greenstar is suitable for use as part of an advanced eco-friendly heating system.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Worcester Bosch Greenstar i Compact 30i NG system ErP boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/55/112952_112955_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Gas_Consumer_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/112954_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_27-30i_System_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/112954_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar27-30iSystm_Instruction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,P333844,Worcester Bosch Greenstar Ri ERP+ 24Ri NG heat only boiler,Worcester Bosch,1000.0,"An ideal selection for small and medium sized homes, including those with low water pressure, the Worcester Bosch Greenstar 24Ri ErP+ NG regular boiler is compact and simple to install, even as a replacement for an existing unit. ErP A-rated, this compact and efficient frost-protected boiler is compatible with Greenskies solar panels as well as Greenstore cylinders for a full Worcester Bosch system with built-in cost savings and eco-credentials.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Worcester Bosch Greenstar Ri ERP+ 24Ri NG heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hr/_n/GS_Ri_face-HR_N_wm.jpg,,,,,,,Natural Gas,Greenstar Ri ERP+,7 Years,226 Kg,A,N,,24 kW,270,333844,92,Wall Hung,333844 PK,Condensing Regular Boiler,N,Compact footprint,Standard kitchen cupboard fit,Replacement installation is often straightforward keeping costs and disruption to a minimum,Simple boiler control knob,Suitable for homes with a hot water storage cylinder,Frost protection inbuilt,Over 90% efficient,Compatible with high efficiency Greenstore cylinders,,Suitable for use with Greenskies solar panels,7 year warranty,,,,,,White/Gloss,,A,,,,,,,,,,,,,,,,,,
95,P153790,Baxi Combi 2 424 NG boiler 24kW,Baxi,513.09,"Suitable for natural gas and ready to run on 20% hydrogen, the wall-mounted Baxi 400 Series 2 24kW boiler is a highly efficient option for any home. Neat and compact, this combi is suitable for installation inside a cupboard and weighs less than 30kg, making installation easier for the engineer. The Series 2 is supplied with a hanging bracket, meaning that fitting won't require extra parts or create unnecessary mess.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Baxi Combi 2 424 NG boiler 24kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/90/153790_wm.jpg,,,,,,9.8L/Min @ 35 Deg C Rise,Natural Gas,Combi 2,5 Year,28kg,A,N,A,24 kW,285,,93,Wall Mounted,7790614,Combi Boiler,N,Brass hydraulics,Compact cupboard fit,Stainless steel heat exchanger,Easy wiring for simpler installation,20% hydrogen/gas mix ready,With rigid filling tank,A-rated efficiency,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,P125244,Ideal Heating Logic 228402 logic max heat 2 H18,Ideal Heating,1039.44,"Part of the award-winning Logic range, the Ideal Logic Heat2 H18 boiler has been designed for complete compatibility with Halo smart thermostats, making running your home heating simple, even when you're on the go. Easy to install into most kitchen or utility room cupboards, this neatly designed 18kW heat only boiler is commissioned and operated vis a high resolution colour screen. A-rated for its high levels of efficiency, the Logic Heat2 is the perfect choice for homes where running costs and carbon footprints are of real concern.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Ideal Heating Logic 228402 logic max heat 2 H18,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/46/125242_125246_wm.jpg,,,,,,,Natural Gas,Logic,10 Years,25.1 kg,A,N,A,18 kW,310,No,89.4,Wall Mounted,228402,Boiler,N,"For wall mounted installation<multisep/>Compact fit for in-cupboard installation<multisep/>Built in the UK<multisep/>Operated using large, high res colour screen<multisep/>Compatible with Halo smart programmable thermostat range<multisep/>High quality brass system filter protects system<multisep/>ErP A rated for efficiency<multisep/>10 year parts and labour warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,P107133,Worcester Bosch Greenstar 1000 combi boiler 24kW pack,Worcester Bosch,568.0,"Suitable for installation in apartments and small to medium sized homes, the lightweight Worcester Bosch Greenstar 1000 GR1000W 24 C NG is able to deliver hot water for one bath and one shower at the same time. Compact enough to fit into a standard kitchen cupboard, this reliable 24kW boiler is highly reliable and, with its water-saving functionality, promises ErP A-rated efficiency for lower heating bills and less waste, making it an ideal choice for the eco-aware homeowner.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Worcester Bosch Greenstar 1000 combi boiler 24kW pack,,Hardware pack;hanging bracket;isolation valves;gas pipe tail,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/24/113024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/10/00/107131_107133_Wocester Greenstar 1000.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,P333843,Worcester Bosch Greenstar Ri ERP+ 21Ri NG heat only boiler,Worcester Bosch,970.0,"An ideal selection for small and medium sized homes, including those with low water pressure, the Worcester Bosch Greenstar 21Ri ErP+ NG regular boiler is compact and simple to install, even as a replacement for an existing unit. ErP A-rated, this compact and efficient frost-protected boiler is compatible with Greenskies solar panels as well as Greenstore cylinders for a full Worcester Bosch system with built-in cost savings and eco-credentials.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Worcester Bosch Greenstar Ri ERP+ 21Ri NG heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hr/_n/GS_Ri_face-HR_N_wm.jpg,,,,,,,Natural Gas,Greenstar Ri ERP+,7 Years,226 Kg,A,N,,21 kW,270,333843,92,Wall Hung,333843 PK,Condensing Regular Boiler,N,Compact footprint,Standard kitchen cupboard fit,Replacement installation is often straightforward keeping costs and disruption to a minimum,Simple boiler control knob,Suitable for homes with a hot water storage cylinder,Frost protection inbuilt,Over 90% efficient,Compatible with high efficiency Greenstore cylinders,,Suitable for use with Greenskies solar panels,7 year warranty,,,,,,White/Gloss,,A,,,,,,,,,,,,,,,,,,
99,P151018,Baxi 800 Heat 830 natural gas heat only boiler,Baxi,1253.96,"A great choice for busy family homes with multiple bathrooms, the Baxi 830 Heat heat only boiler, which is suitable for fully pumped open vent or sealed systems, can be installed alongside the Megaflo Eco cylinder for an generous hot water supply. This 30kW ErP A-rated boiler unit is supplied with an Adey Magnaclean Micro2 magnetic system filter for added protection, keeping the system clean and efficient, contributing to lower fuel bills and reduced emissions. Compact in design, the Baxi 830 has a rear flueing option, piping neatly stowed behind the boiler and front servicing access as well as an easy-fit mounting bracket for hassle-free installation.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Baxi 800 Heat 830 natural gas heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/18/151016_151018_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_800_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_800_Heat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_800_Heat_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_800_Heat_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,P333111,Alpha E-Tec Nx 20kW System Boiler,Alpha,738.0,"Fitted with a reliable stainless steel heat exchanger, the Alpha E-Tec NXS system boiler offers excellent energy efficiency for a high SAP rating of 89.5%. Suitable for wall mounting, this 20kW boiler offers ease of operation via an up-to-date, easy to read backlit display and works quietly thanks to its clever double casing design.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Alpha E-Tec Nx 20kW System Boiler,,Boiler with fittings pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_9/04/195895_904_wm.jpg,,,,,,,Natural Gas,,7 Years,30.6kg,A,N,,26.1 kW,255,,89.5,Wall Mounted,333111 PK,System,N,Lightweight stainless steel main heat exchanger,Double casing design ensures quiet operation,Clear backlit display,Revised control panel interface,Removable push-fit flue connection,Fully range output adjustable,Delta T variable speed pump,For wall mounted installation,,7 year warranty,,,,,,30.6,,,,,,,,,,,,,,,,,,,,,
101,P123323,Ideal Mexico HE HE30 high efficiency floor standing natural gas boiler excluding flue,Ideal,2638.69,"The compact, floor-standing Ideal Mexico HE30 condensing boiler is designed for room-sealed operation. Offering high levels of energy efficiency, this Energy Saving Trust endorsed 30kW output unit has an ErP A rating, meaning less waste and lower energy bills. With its clear status display, the Mexico makes control and fault diagnostics simple while the option to add a remote user kit provides homeowners with an additional level of control.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Ideal Mexico HE HE30 high efficiency floor standing natural gas boiler excluding flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/24/123320_123324_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Mexico_HE_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/123323_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic_Gas_Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Mexico_HE_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Mexico_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,P112914,Worcester Bosch Greenstar CDi Compact 28CDi NG compact ErP combi boiler,Worcester Bosch,1104.19,"A great option for busy households, the Worcester Bosch Greenstar 28CDi Compact condensing boiler is well-suited to medium sized homes with up to three bedrooms and two bathrooms. Fitting into a standard kitchen cupboard with ease this 28kW output boiler makes fitting easy through the use of a lift weight optimised split jig design. Producing hot water on demand, the low energy consumption Greenstar has an energy efficiency ErP rating of A or up to A+ when connected to the Bosch EasyControl smart thermostat. A clear diagnostic and operation display and intelligent controls, pre-heat and eco modes and innovative WB7 heat exchanger make sure that this boiler is affordable to run, easy to use and requires minimal maintenance.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Worcester Bosch Greenstar CDi Compact 28CDi NG compact ErP combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/19/112914_112919_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Bosch_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_CDi_Compact_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_CDi_Compact_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/W_B_Greenstar_28CDi_Compact_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/W_B_Greenstar_28CDi_Compact_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,P333765,Vaillant ecoTEC plus 435 heat only boiler,Vaillant,1673.0,"The Vaillant ecoTEC plus 435 high efficiency boiler is an ideal choice for those homes where low water pressure problems demand an open vent system with hot water storage. Compact and lighter in weight than your average boiler, this 35kW output unit is hassle-free to fit, even inside a kitchen cupboard, and features a range of premium components to reduce the need for ongoing maintenance. Compatible with a wide range of add-ons, including solar panels and smart controls, the ErP A-rated ecoTEC plus can help homeowners to create a more eco-friendly home.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Vaillant ecoTEC plus 435 heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/on/ly/Ecotec_Plus_Heat_Only_wm.jpg,,,,,,,Natural Gas,ecoTEC plus,5 Years,23 kg,A,N,A,35 kW,320,333765,94,Wall Hung,333765 PK,Regular Heat Only Boiler,N,High performance build,Compact cupboard fit,Lightweight,For use in an open vent system with storage cylinder,Ideal for use where water pressure is low,Compatible with a full range of heating control options including simple analogue timers and vSMART smartphone app,Can be used with solar water heating or heat pump systems for a lower carbon footprint,5 year warranty,,,,,,,,,White/Gloss,10,A,,,,,,,,,,,,,,,,,,
104,P333953,Glow-worm Energy 25C combi boiler,Glow-worm,775.0,"Over 80 years of commitment to top quality, reliability and exceptional durability have made Glow-worm one of the UK’s leading heating manufacturers. We have built our reputation on delivering products which are straightforward, dependable and designed with you in mind.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Glow-worm Energy 25C combi boiler,,Combi boiler;Heat generator;Unit mounting bracket;Flexible condensate discharge pipe;6x 3/4 seals;4x 1/2 seals;Service valve;Gas stopcock;Filling device;2x connection pipe (heating flow ;return);Cold water connection pipe;Domestic hot water connection,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/im/er/opticom basic UK notimer_wm.jpg,,,,,,12.1 L/min @ 30K 10.4 L/min @ 35K,Natural Gas,Energy,7 Year,32 kg,A,N,A,25 kW,280,,93,Wall,333953 PK,Combi Boiler,N,Easy to Install,Energy Saving,,,,,,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,
105,P151017,Baxi 800 Heat 825 natural gas heat only boiler,Baxi,1197.56,"Forming part of a generous hot water system when installed with a Megaflo Eco cylinder, the Baxi 825 Heat heat only boiler is an ideal addition to the busy family home, suitable for use in fully pumped open vent or sealed systems. This compact, carefully designed 25kW unit has an easy-fit mounting bracket, the option to rear flue and handy front service access, making installation and maintenance simple. Supplied with the Adey Magnaclean Micro2 magnetic system filter to keep the system clean and efficient for longer, the Baxi 825 is ErP A-rated for efficiency, helping to keep fuel bills and waste down.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Baxi 800 Heat 825 natural gas heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/18/151016_151018_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_800_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_800_Heat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_800_Heat_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_800_Heat_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,P333617,Ideal Logic+ Combi C30 boiler only,Ideal,913.0,"Compact, lightweight and fully modulating down to as low as 4.8kW, the Energy Saving Trust recommended Ideal Logic+ Combi C30 boiler provides high levels of energy efficiency, earning an ErP A rating. Containing the lowest possible number of components, a range of additional flueing options, preformed copper tails and a built-in filling loop, this 30kW output combi makes installation and servicing easy and reduces the need for expensive maintenance call outs. It also features an easy to read display for fuss-free operation. Ideal for fitting inside a kitchen or utility cupboard the slimline Combi C30 suits the family home where storage space is highly prized.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Ideal Logic+ Combi C30 boiler only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/cl/ip/Logic+ Combi C24_clip_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic+Combi_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Logic+_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Logic+_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Logic_Plus_Warranty.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,P333767,Vaillant ecoFIT pure System 615 boiler,Vaillant,1051.0,"Featuring a reliable and efficient aluminium heat exchanger, the Vaillant ecoFIT pure 615 system boiler offers powerful operation along with an ErP A rating. Easy to install, this compact 15kW boiler is lightweight for ease of handling and will fit effortlessly into a standard kitchen cupboard. Operating quietly wherever it's located, the ecoFIT pure is compatible with a wide variety of heating controls for convenient and intuitive use as part of a smart home system.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Vaillant ecoFIT pure System 615 boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/st/em/Ecofit_Pure_System_wm.jpg,,,,,,,Natural Gas,ecoFIT pure System,2 Year,31 kg,A,N,,15 kW,295,,89.8,Wall Hung,333767 PK,System Boiler Pack,N,Compact cupboard-fit,Lightweight,Rear flue option available,"Quiet Mark approved, one of the quietest products in its category",High performance build,Smart controls,Aluminium heat exchanger offers low energy consumption,"Compatible with a full range of heating control options, from simple analogue timers to vSMART smartphone app",,2 year warranty,,,,,,31,White/Gloss,10,89.1,,,,,,,,,,,,,,,,,,
108,P195895,Alpha E-Tec NX 28kW Combi Boiler,Alpha,721.53,"Lightweight, compact and quiet for ease of installation and siting, the Alpha E-Tec 28NX system boiler is fitted with an up-to-the-minute stainless steel heat exchanger for the highest levels of efficiency and reliability. Easy to commission and to operate, this modern 28kW system boiler is fitted with a newly designed clear, backlit display and control panel meaning that everyday tasks like setting times and temperatures are simpler than ever.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Alpha E-Tec NX 28kW Combi Boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/95/195895_wm.jpg,,,,,,12.1,Natural Gas,,7 Years,3.8,A,N,A,28 kW,255,,89.4,Wall Hung,3.033112,System Boiler,N,For wall mounted installation,Lightweight thermoplastic moulded stainless steel main heat exchanger,Revised double casing design for quieter operation,Backlit display for ease of operation,"Simple, modern control panel interface",With removable push-fit flue connection,Range output is fully adjustable,Fitted with Delta T variable speed pump,,ErP A rating for improved efficiency,7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
109,P333110,Alpha E-Tec Nx 33kW Combi Boiler,Alpha,605.0,"Lightweight, compact and quiet for ease of installation and siting, the Alpha E-Tec 33NX system boiler is fitted with an up-to-the-minute stainless steel heat exchanger for the highest levels of efficiency and reliability. Easy to commission and to operate, this modern 33kW system boiler is fitted with a newly designed clear, backlit display and control panel meaning that everyday tasks like setting times and temperatures are simpler than ever.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Alpha E-Tec Nx 33kW Combi Boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_9/04/195895_904_wm.jpg,,,,,,14.1,Natural Gas,,7 Years,40,A,N,A,3.3 kW,255,,89.4,Wall Hung,333110 PK,System Boiler,N,For wall mounted installation,Lightweight thermoplastic moulded stainless steel main heat exchanger,Revised double casing design for quieter operation,Backlit display for ease of operation,"Simple, modern control panel interface",With removable push-fit flue connection,Range output is fully adjustable,Fitted with Delta T variable speed pump,,ErP A rating for improved efficiency,7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
110,P109206,Baxi 600 Heat 619 heat only boiler,Baxi,1020.46,"The ErP A-rated Baxi 619 Heat heat only boiler is simple to install, whether on the wall or inside a kitchen or utility cupboard space. With top and rear flueing options and an easy-fit wall mounting bracket, suitability for fully pumped open vent or sealed systems and quiet operation, the 19kW output Heat offers flexibility of siting ideal for homes where space is at a premium. With front and side access to internal components and no pump overrun required, servicing and maintenance is fast and easy.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Baxi 600 Heat 619 heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/08/109204_109208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_600_Heat_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_600_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_600_Heat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_600_Heat_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
