,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,By Model Number,Attachment 1,Attachment 2,Feature 1,Feature 2,Fuel Type
10,P797364,Potterton pilot assembly,Potterton,166.91,"A pilot assembly for use in Potterton's Derwent boiler.  The pilot flame ignites gas entering the boiler's main burner via the gas valve when the system is switched on. The pilot flame operates alongside the printed circuit board (PCB) and the rest of the pilot assembly for safe and efficient ignition.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton pilot assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/64/797364_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Potterton_DerwentCompactPlus_Install.pdf,,,,
11,P793417,Potterton kit expansion vessel assembly 7 ltr,Potterton,146.19,"A genuine Potterton part, this expansion vessel assembly can be used in boilers in the brand's own 600, 800 and Assure ranges as well as in the Main Eco Compact.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton kit expansion vessel assembly 7 ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/17/793417_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Assure_Combi_Installation.pdf,,,,
12,P410238,Potterton kit fan,Potterton,275.66,"This fan and gasket kit is designed for use in Potterton's Main HE, Performa SL and Suprima boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton kit fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/38/410238_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Suprima_HE_Installation.pdf,,,,
13,P452740,Potterton 8909000 fan assembly,Potterton,225.33,"This fan and motor assembly kit is for use in Potterton's British Gas, Celsia, Prima F and Profile Prima boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 8909000 fan assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/40/452740_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Prima_F_30-100_Installation.pdf,,,,
14,P793483,Potterton dhw turbine cart assy 12ltr,Potterton,71.75,"This Potterton 12L DHW turbine cartridge assembly is compatible with Duo-tec Compact, Assure combi, Platinum Compact combi, Baxi 600 combi, 800 and Main Eco Compact boilers.  Part of the diverter valve, the flow turbine is used in a combi boiler system to direct water to the system’s radiators or to domestic hot water.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton dhw turbine cart assy 12ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/83/793483_wm.jpg,N,,N/A,N/A,n/a,7663535,Domestic Boiler Parts,N,,,,,,
15,P451255,Potterton 8402550 gas valve,Potterton,170.19,"This Potterton gas valve is a spare part for the Suprima boiler range. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance). As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 8402550 gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/55/451255_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Suprima_30-100L_Installation.pdf,,,,
16,P797558,Potterton printed circuit board,Potterton,175.9,"This printed circuit board is suitable for use in Potterton Main Eco Elite ErP appliances.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/58/797558_wm.jpg,N,"Main Eco Elite Combi ErP 30, Main Eco Elite Combi ErP 25",Control Panel,Main Eco Elite ErP,743386,7679746,Printed Circuit Board,N,,,,,,
17,P451639,Potterton 8409568 fan assembly,Potterton,308.39,"A fan assembly for the Potterton Netaheat and Netaheat Mk2 boiler ranges.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 8409568 fan assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/39/451639_wm.jpg,N,"16/22E, 6/10E, 10/16 Mk2, 10/16 Mk2F(Pcb) Bf, 10/16E (Serial 1000 +), 16/22 Mk1, 16/22 Mk2, 16/22 Mk2F(Pcb) Bf, 10/16 Mk1",Fan Combustion Chamber,"Netaheat, Netaheat Mk2",381853,409568,Fan Assembly,N,,,,,,
18,P410177,Potterton PCB assembly,Potterton,338.09,"This Potterton printed circuit board is suitable for use in Main HE, Performa SL and Suprima appliances.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton PCB assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/77/410177_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Suprima_HE_Installation.pdf,,,,
19,P424903,Potterton fan assembly 40ltr,Potterton,309.72,"This fan and gasket assembly is designed for use in Potterton's Suprima boiler. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton fan assembly 40ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/03/424903_wm.jpg,N,"100L, 30L, 40L, 50L, 60L, 70L, 80L",Fan Combustion Chamber,Suprima,E78459,5105945,Fan & Gasket Assembly,N,"40L,50L,60L,70L,80L,100L,30L",,,,,
20,P451648,Potterton 8409583 fan assembly siphon,Potterton,199.12,"This fan assembly is a replacement part for Potterton's FF, Profile and Superior boiler ranges. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly. As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 8409583 fan assembly siphon,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/48/451648_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_30_40_50_60_80e_Installation.pdf,,,,
21,P793487,Potterton kit diverter valve assembly,Potterton,134.47,"Suitable for boilers in the 600 and 800 ranges as well as Assure and Main Eco Compact boilers, this Potterton diverter valve assembly is a genuine branded part.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton kit diverter valve assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/87/793487_wm.jpg,N,Combi 630Combi 30Combi 830Combi 624Combi 25Combi 836Combi 825Combi 636Combi 36Combi 630 LPGCombi 624 LPGCombi 636 LPGCombi 30 LPGCombi 25 LPGCombi 36 LPG,Diverter Valve,600 RangeAssure Range800 RangeMain Eco Compact,J48716,7683969,Diverter Valve Assembly,N,,,,,,
22,P778549,Potterton ignition / ionisation unit,Potterton,51.1,"This Potterton ignition and ionisation unit is designed for use in Main Eco, Main Eco Elite, Main Eco Elite ErP and Apollo boilers and is fitted near to the electrode. An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame. As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton ignition / ionisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/49/778549_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Apollo_Installation.pdf,,,,
