,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Warranty,Hazardous,Design Type,Material,Shape,Fittings Included,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Type,Pack Quantity,Feature 5,Feature 6
10,PC03130,Ideal Standard Concept back to wall close coupled horizontal outlet isolated access pan White,Ideal Standard,257.54,"The Ideal Standard Concept close coupled, back to wall toilet pan with horizontal outlet has a contemporary elongated design and features the brand's cutting-edge water-saving Aquablade flush technology for higher performance, improved hygiene and easier cleaning.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Ideal Standard Concept back to wall close coupled horizontal outlet isolated access pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/30/NW-C03130_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E801101_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,
11,PB61666,* NAB VECTOR II BTW HORIZ OUTLET PAN,Nabis,143.64,"The Nabis Vector 2 back to wall square toilet pan combines high performance and stylish design. Wall hung, the Vector has a modern finish ideal for installation in luxury bathrooms.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> * NAB VECTOR II BTW HORIZ OUTLET PAN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/66/NW-B61666_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,,,,,,,,,,,,,
12,PB11920,Ideal Standard Studio Echo back to wall bowl White,Ideal Standard,171.99,The Ideal Standard Studio Echo back to wall rectangular toilet pan with horizontal outlet is easy to install and incorporates up-to-the-minute water saving technology along with a shorter projection ideal for use in smaller bathrooms.,Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Ideal Standard Studio Echo back to wall bowl White,,Toilet pan;Concealed brackets,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/20/B11920_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_T282701_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,
13,PC21352,Ideal Standard New Studio back to wall horizontal outlet pan White,Ideal Standard,334.63,The Ideal Standard New Studio back to wall round toilet pan with washdown bowl and box flushing rim is designed to fit with the popular Ideal Standard Studio bathroom range.,Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Ideal Standard New Studio back to wall horizontal outlet pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/52/NW-C21352_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E801601_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,
14,PT74820,RAK Ceramics Resort maxi close coupled full access open back wc pan (1),RAK Ceramics,231.66,"A practical yet stylish product, the RAK Resort Maxi close-coupled WC pan is ideal for modern family bathrooms. Extremely hygienic and easy to maintain, this full access open back toilet pan is manufactured in an extremely hardwearing ceramic with a neat, clean white gloss finish.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> RAK Ceramics Resort maxi close coupled full access open back wc pan (1),,WC Pan,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/20/T74820_wm.jpg,,,,White,Resort,25 Years,N,D Shaped,Ceramic,D Shaped,No,RSTPAN-MX,N,Modern design,D-shaped,Durable ceramic construction,White colour,,1,Full access for ease of maintenance,25 year warranty
15,PD00761,ROCA THE GAP BTW PAN WHITE,Roca,251.67,"Designed by Antonio Bullo, Roca's The Gap back to wall square toilet pan with dual outlet delivers on style and functionality. This compact design makes the most of a modern bathroom space, bringing a touch of designer style to even the smallest room.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> ROCA THE GAP BTW PAN WHITE,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/61/NW-D00761_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A347477000_Technical.pdf,,,,,,,,,,,,,,,,,,,,
16,PD58817,Roca The Gap back to wall toilet pan White,Roca,302.51,"Designed by Antonio Bullo, Roca's The Gap back to wall toilet pan with horizontal outlet delivers on style and functionality. Comfort height for taller users or those with back and joint problems, this compact, closed rim toilet design makes the most of a modern bathroom space, bringing a touch of designer style to even the smallest room.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Roca The Gap back to wall toilet pan White,,WC pan;Elbow;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/17/NW-D58817_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A34747C00U_Technical.pdf,,,,,,,,,,,,,,,,,,,,
17,PD45057,Roca Debba back to wall pan,Roca,316.73,"A simple, crowd-pleasing design, the square, rimmed Roca Debba back to wall toilet pan with dual outlet is part of a range suited to any bathroom design.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Roca Debba back to wall pan,,WC pan;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/57/NW-D45057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A347996000_Technical.pdf,,,,,,,,,,,,,,,,,,,,
18,PP07590,Geberit Selnova back to wall WV horizontal outlet,Geberit,184.73,"A classic design, the Geberit Selnova floor standing WC pan is a simple, understated toilet that will suit any bathroom. With its high-quality build and versatility, this round WC pan is made of robust vitreous china with a white finish. The back-to-wall design helps to generate the feeling of space without creating any hard to clean nooks and crannies.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Geberit Selnova back to wall WV horizontal outlet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/90/NW-P07590_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_501043006_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,,,,,,,,,,,,
19,PC21347,Ideal Standard Concept back to wall horizontal outlet pan White,Ideal Standard,317.46,"The Ideal Standard Concept back-to-wall toilet pan has a contemporary curved design and features the brand's cutting-edge water-saving flush technology for higher performance, improved hygiene and easier cleaning.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Ideal Standard Concept back to wall horizontal outlet pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/47/NW-C21347_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E791601_Pan_HO_Tech.pdf,,,,,,,,,,,,,,,,,,,,
20,PA67378,Ideal Standard Connect Air e143201 btw bwl ho ab White,Ideal Standard,344.31,"The Ideal Standard Concept Air back-to-wall toilet pan incorporates Ideal Standard's cutting-edge Aquablade flushing technology. Offering improved hygiene, easier cleaning and a sleek modern look, the Concept Air has a sleekly tapered toilet bowl and matches with a wide range of Ideal Standard bathroom fittings for a cohesive design.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Ideal Standard Connect Air e143201 btw bwl ho ab White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/78/NW-A67378_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E143201_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,
21,PJ23521,Ideal Standard Contour 21 Splash back to wall pan 305mm White,Ideal Standard,225.51,"Designed for use by young children in schools and nursery up to age 7, this Ideal Standard Contour 21 back-to-wall rimless toilet bowl is ergonomically designed for small users with a low seat, so it's easy to hop on and off. Safe and hygienic with water-saving features built-in, products in this range are available in a variety of colours to encourage positive first toilet experiences.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Ideal Standard Contour 21 Splash back to wall pan 305mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/21/NW-J23521_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AS_Contour_21_4504_1_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Armitage_Shanks_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,,,,,,,,,,,,,,,,,,
22,PC26302,Ideal Standard Concept Freedom back to wall raised height pan White,Ideal Standard,341.52,"The Ideal Standard Concept Freedom raised height, back-to-wall curved toilet pan brings accessibility and style together. This pan is part of the wider Freedom range of bathroom products, suitable for both domestic and commercial installation, which has been designed for functional accessible use while maintaining a compact footprint and contemporary look well-suited to modern bathroom decor.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Ideal Standard Concept Freedom back to wall raised height pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/02/NW-C26302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E608801_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,
23,PC24477,Ideal Standard Concept back to wall toilet pan with AquaBlade technology White,Ideal Standard,254.6,"The Ideal Standard Concept back-to-wall toilet pan has a contemporary curved design and features the brand's cutting-edge water-saving flush technology for higher performance, improved hygiene and easier cleaning.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Ideal Standard Concept back to wall toilet pan with AquaBlade technology White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/77/NW-C24477_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E050901_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,
24,PE17874,Atlanta Faro back to wall toilet,Atlanta,258.48,An Atlanta Fitted Faro back-to-wall white toilet pan.,Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Atlanta Faro back to wall toilet,,WC pan;Soft close toilet seat,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/74/NW-E17874_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Atlanta_Bath_Furniture_Brochure_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Atlanta_Mod_Bathroom_Furniture_Brchr.pdf,,,,,,,,,,,,,,,,,,,
25,PD00644,Roca Nexo back to wall toilet White,Roca,254.02,The contemporary Roca Nexo back to wall round toilet pan with dual outlet is well-proportioned with a modern design suited to most bathroom styles.,Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Roca Nexo back to wall toilet White,,WC pan;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/44/NW-D00644_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A347615000_Technical.pdf,,,,,,,,,,,,,,,,,,,,
