,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Fuel Type,Pack Quantity,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Colour,Max High Level Flue Length (metres),Seasonal Space Heating Energy Efficiency %,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Attachment 6,Seasonal Space Heating Energy Efficiency Class,Attachment 7,Flue Type,Flue Diameter,Flue Length,Flue Size,Part Gas Council number,By Model Number,Dry Weight (kg)
36,P333845,Worcester Bosch Greenstar Ri Compact ErP 27Ri NG heat only boiler,Worcester Bosch,1100.0,"A compact, wall-mounted boiler ideal for small and medium homes, the Worcester Bosch Greenstar 27Ri ErP NG regular boiler is straightforward to install and user-friendly, controlled by a intuitive display and simple knob system. Featuring a groundbreaking new heat exchanger, this ErP A-rated boiler promises greater than ever efficiency, improved reliability and enhanced durability. The Greenstar is compatible with a wide range of controls as well as Greenskies solar panels and high efficiency Greenstore water cylinders, giving homeowners the option to build the system that best suits their needs.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Worcester Bosch Greenstar Ri Compact ErP 27Ri NG heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/Greenstar_RiCompact_front_onwhite_wm.jpg,Natural Gas,,Greenstar Ri Compact ErP,7 Years,22.7 kg,A,N,,27 kW,270,333845,92,Wall Hung,333845 PK,Condensing Regular Boiler,N,Fits in a standard kitchen cupboard,White/Gloss,,A/92%,Simple boiler control knob,User-friendly display for easy operation,Innovative new heat exchanger for greater efficiency,Compatible with a choice of Worcester controls,Suitable for use with Greenskies solar panels for energy and cost savings,Compatible with Greenstore cylinders for a complete system,7 years,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P333864,Intergas HRE OV 30 compact heat only boiler,Intergas,938.0,"The wall-mounted Intergas Compact HRE 30 OV gas-fired boiler is designed to effectively transfer heat to a central heating system's water circuit for reliable home warmth at an ErP A rating. Suitable for use with a storage cylinder, this modulating boiler can also supply reliable hot water and, with next to no standby losses, no air pressure switch and hassle-free installation and maintenance, it is a cost effective addition to the family home.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Intergas HRE OV 30 compact heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/e_/ov/Intergas_HRE_OV_wm.jpg,Natural Gas,,HRE OV,7 Years,36 kg,A,N,,30 kW,240,333864,93,Wall Hung,333864 PK,Condensing Open Vent Boiler,N,Suitable for use in open vent systems with a heating system feed tank,White/Gloss,,A,Fitted with a modulating control to adjust power in line with heat requirements,No air pressure switch,Easy to service and maintain,Almost no standby losses,7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P333843,Worcester Bosch Greenstar Ri ERP+ 21Ri NG heat only boiler,Worcester Bosch,970.0,"An ideal selection for small and medium sized homes, including those with low water pressure, the Worcester Bosch Greenstar 21Ri ErP+ NG regular boiler is compact and simple to install, even as a replacement for an existing unit. ErP A-rated, this compact and efficient frost-protected boiler is compatible with Greenskies solar panels as well as Greenstore cylinders for a full Worcester Bosch system with built-in cost savings and eco-credentials.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Worcester Bosch Greenstar Ri ERP+ 21Ri NG heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hr/_n/GS_Ri_face-HR_N_wm.jpg,Natural Gas,,Greenstar Ri ERP+,7 Years,226 Kg,A,N,,21 kW,270,333843,92,Wall Hung,333843 PK,Condensing Regular Boiler,N,Compact footprint,White/Gloss,,A,Standard kitchen cupboard fit,Replacement installation is often straightforward keeping costs and disruption to a minimum,Simple boiler control knob,Suitable for homes with a hot water storage cylinder,Frost protection inbuilt,Over 90% efficient,Compatible with high efficiency Greenstore cylinders,Suitable for use with Greenskies solar panels,7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,
39,P125244,Ideal Heating Logic 228402 logic max heat 2 H18,Ideal Heating,1039.44,"Part of the award-winning Logic range, the Ideal Logic Heat2 H18 boiler has been designed for complete compatibility with Halo smart thermostats, making running your home heating simple, even when you're on the go. Easy to install into most kitchen or utility room cupboards, this neatly designed 18kW heat only boiler is commissioned and operated vis a high resolution colour screen. A-rated for its high levels of efficiency, the Logic Heat2 is the perfect choice for homes where running costs and carbon footprints are of real concern.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Ideal Heating Logic 228402 logic max heat 2 H18,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/46/125242_125246_wm.jpg,Natural Gas,,Logic,10 Years,25.1 kg,A,N,A,18 kW,310,No,89.4,Wall Mounted,228402,Boiler,N,"For wall mounted installation<multisep/>Compact fit for in-cupboard installation<multisep/>Built in the UK<multisep/>Operated using large, high res colour screen<multisep/>Compatible with Halo smart programmable thermostat range<multisep/>High quality brass system filter protects system<multisep/>ErP A rated for efficiency<multisep/>10 year parts and labour warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,P151018,Baxi 800 Heat 830 natural gas heat only boiler,Baxi,1253.96,"A great choice for busy family homes with multiple bathrooms, the Baxi 830 Heat heat only boiler, which is suitable for fully pumped open vent or sealed systems, can be installed alongside the Megaflo Eco cylinder for an generous hot water supply. This 30kW ErP A-rated boiler unit is supplied with an Adey Magnaclean Micro2 magnetic system filter for added protection, keeping the system clean and efficient, contributing to lower fuel bills and reduced emissions. Compact in design, the Baxi 830 has a rear flueing option, piping neatly stowed behind the boiler and front servicing access as well as an easy-fit mounting bracket for hassle-free installation.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Baxi 800 Heat 830 natural gas heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/18/151016_151018_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_800_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_800_Heat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_800_Heat_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_800_Heat_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,
41,P123323,Ideal Mexico HE HE30 high efficiency floor standing natural gas boiler excluding flue,Ideal,2638.69,"The compact, floor-standing Ideal Mexico HE30 condensing boiler is designed for room-sealed operation. Offering high levels of energy efficiency, this Energy Saving Trust endorsed 30kW output unit has an ErP A rating, meaning less waste and lower energy bills. With its clear status display, the Mexico makes control and fault diagnostics simple while the option to add a remote user kit provides homeowners with an additional level of control.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Ideal Mexico HE HE30 high efficiency floor standing natural gas boiler excluding flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/24/123320_123324_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Mexico_HE_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/123323_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic_Gas_Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Mexico_HE_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Mexico_HE_Installation.pdf,,,,,,,,,,,,,,,,
42,P333765,Vaillant ecoTEC plus 435 heat only boiler,Vaillant,1673.0,"The Vaillant ecoTEC plus 435 high efficiency boiler is an ideal choice for those homes where low water pressure problems demand an open vent system with hot water storage. Compact and lighter in weight than your average boiler, this 35kW output unit is hassle-free to fit, even inside a kitchen cupboard, and features a range of premium components to reduce the need for ongoing maintenance. Compatible with a wide range of add-ons, including solar panels and smart controls, the ErP A-rated ecoTEC plus can help homeowners to create a more eco-friendly home.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Vaillant ecoTEC plus 435 heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/on/ly/Ecotec_Plus_Heat_Only_wm.jpg,Natural Gas,,ecoTEC plus,5 Years,23 kg,A,N,A,35 kW,320,333765,94,Wall Hung,333765 PK,Regular Heat Only Boiler,N,High performance build,White/Gloss,10,A,Compact cupboard fit,Lightweight,For use in an open vent system with storage cylinder,Ideal for use where water pressure is low,Compatible with a full range of heating control options including simple analogue timers and vSMART smartphone app,Can be used with solar water heating or heat pump systems for a lower carbon footprint,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P151017,Baxi 800 Heat 825 natural gas heat only boiler,Baxi,1197.56,"Forming part of a generous hot water system when installed with a Megaflo Eco cylinder, the Baxi 825 Heat heat only boiler is an ideal addition to the busy family home, suitable for use in fully pumped open vent or sealed systems. This compact, carefully designed 25kW unit has an easy-fit mounting bracket, the option to rear flue and handy front service access, making installation and maintenance simple. Supplied with the Adey Magnaclean Micro2 magnetic system filter to keep the system clean and efficient for longer, the Baxi 825 is ErP A-rated for efficiency, helping to keep fuel bills and waste down.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Baxi 800 Heat 825 natural gas heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/18/151016_151018_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_800_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_800_Heat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_800_Heat_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_800_Heat_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,
44,P109206,Baxi 600 Heat 619 heat only boiler,Baxi,1020.46,"The ErP A-rated Baxi 619 Heat heat only boiler is simple to install, whether on the wall or inside a kitchen or utility cupboard space. With top and rear flueing options and an easy-fit wall mounting bracket, suitability for fully pumped open vent or sealed systems and quiet operation, the 19kW output Heat offers flexibility of siting ideal for homes where space is at a premium. With front and side access to internal components and no pump overrun required, servicing and maintenance is fast and easy.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Baxi 600 Heat 619 heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/08/109204_109208_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_600_Heat_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_600_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_600_Heat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_600_Heat_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,
45,P125232,Ideal Heating Logic 228397 logic plus heat 2 H18,Ideal Heating,964.32,The Ideal Logic Heat2 boiler is the next evolution of our award-winning Logic range.,Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Ideal Heating Logic 228397 logic plus heat 2 H18,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/34/125230_125234_wm.jpg,Natural Gas,,Logic,7 Years,25.1 kg,A,N,A,18 kW,310,No,89.4,Wall Mounted,228397,Boiler,N,For wall mounting<multisep/>Compact size for cupboard fit<multisep/>UK built<multisep/>With concealed connections under boiler<multisep/>Fully compatible with easy-fit Halo controls<multisep/>Operated via large high resolution colour screen<multisep/>A-rated for efficiency<multisep/>7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,P112405,Worcester Bosch Greenstar Ri ERP+ 21Ri NG regular ErP+ boiler,Worcester Bosch,1090.4,"An ideal selection for small and medium sized homes, including those with low water pressure, the Worcester Bosch Greenstar 21Ri ErP+ NG regular boiler is compact and simple to install, even as a replacement for an existing unit. ErP A-rated, this compact and efficient frost-protected boiler is compatible with Greenskies solar panels as well as Greenstore cylinders for a full Worcester Bosch system with built-in cost savings and eco-credentials.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Worcester Bosch Greenstar Ri ERP+ 21Ri NG regular ErP+ boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/06/112395_112406_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Gas_Consumer_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_9-24Ri_Regular_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/112405_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/112405_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/WB_Greenstar_Ri_ErP+_Instructions.pdf,,,,,,,,,,,,,,,,
47,P333764,Vaillant ecoTEC plus 430 heat only boiler,Vaillant,1157.0,"The Vaillant ecoTEC plus 430 high efficiency boiler is an ideal choice for those homes where low water pressure problems demand an open vent system with hot water storage. Compact and lighter in weight than your average boiler, this 30kW output unit is hassle-free to fit, even inside a kitchen cupboard, and features a range of premium components to reduce the need for ongoing maintenance. Compatible with a wide range of add-ons, including solar panels and smart controls, the ErP A-rated ecoTEC plus can help homeowners to create a more eco-friendly home.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Vaillant ecoTEC plus 430 heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/on/ly/Ecotec_Plus_Heat_Only_wm.jpg,Natural Gas,,ecoTEC plus,5 Years,23 kg,A,N,A,30 kW,320,333764,94,Wall Hung,333764 PK,Regular Heat Only Boiler,N,High performance build,White/Gloss,10,A,Compact cupboard fit,Lightweight,For use in an open vent system with storage cylinder,Ideal for use where water pressure is low,Compatible with a full range of heating control options including simple analogue timers and vSMART smartphone app,Can be used with solar water heating or heat pump systems for a lower carbon footprint,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
48,P334001,Worcester Bosch Greenstar 8000 Life GR8300iW 35 R NG regular boiler pack 35kW White,Worcester Bosch,1582.0,"For your biggest customers and their busiest family homes. The new Greenstar 8000+ can handle anything your customers throw at it, without giving you a hard time with a complex installation.  With rear piping, pre-plumbing jig, and condensate drain-off and siphon ? this is a heavyweight boiler with lightweight maintenance.  The 8000+ is available in every boiler type, comes with our longest guarantee of 12 years*, and compatible with many Worcester controls.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 35 R NG regular boiler pack 35kW White,,Fixing jig and hardware pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/15/114615_wm.jpg,Natural Gas,,Greenstar 8000 Life,8 years,46,94%,N,N/A,35 kW,365,N/A,TBC,Wall,334001 PK,Regular,N,SimpleSwitch - With the CDi Classic for simpler installation Innovative and long-text colour display - Full colour display with backlit touch buttons Easy installation - Pre-piping jig offering rear piping supplied as standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P333013,Baxi 800 Heat 816 heat only boiler 16kW,Baxi,1003.0,"Part of an extensive range suitable for all homes, the Baxi 800 Heat 816 central heating boiler pack includes a compact Adey Magnaclean Micro2 magnetic system filter for full system protection. Compact and easy to install, with a top or rear flue option, no requirement for a pump overrun or permanent live and a reduced lift weight, this 16kW heat only boiler is suitable for installation on open-vented or sealed systems, ideal for family homes requiring plentiful hot water. Highly efficient, the Heat 816 has an ErP A rating.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Baxi 800 Heat 816 heat only boiler 16kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/15/NW-333013_333015_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_800_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_816_825_830_Heat_EU_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_816_825_830_Heat_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Baxi_800_Heat_Product_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Baxi_Range_Guide_2020.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_800_Heat_ErP.pdf,,,,,,,,,
50,P333846,Worcester Bosch Greenstar Ri Compact ErP 30Ri NG heat only boiler,Worcester Bosch,1180.0,"A compact, wall-mounted boiler ideal for small and medium homes, the Worcester Bosch Greenstar 30Ri ErP NG regular boiler is straightforward to install and user-friendly, controlled by a intuitive display and simple knob system. Featuring a groundbreaking new heat exchanger, this ErP A-rated boiler promises greater than ever efficiency, improved reliability and enhanced durability. The Greenstar is compatible with a wide range of controls as well as Greenskies solar panels and high efficiency Greenstore water cylinders, giving homeowners the option to build the system that best suits their needs.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Worcester Bosch Greenstar Ri Compact ErP 30Ri NG heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/Greenstar_RiCompact_front_onwhite_wm.jpg,Natural Gas,,Greenstar Ri Compact ErP,7 Years,22.7 kg,A,N,,30 kW,270,333846,93,Wall Hung,333846 PK,Condensing Regular Boiler,N,Fits in a standard kitchen cupboard,White/Gloss,,A/93%,Simple boiler control knob,User-friendly display for easy operation,Innovative new heat exchanger for greater efficiency,Compatible with a choice of Worcester controls,Suitable for use with Greenskies solar panels for energy and cost savings,Compatible with Greenstore cylinders for a complete system,7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
51,P333014,Baxi 800 Heat 825 heat only boiler 25kW,Baxi,1125.0,"Part of an extensive range suitable for all homes, the Baxi 800 Heat 825 central heating boiler pack includes a compact Adey Magnaclean Micro2 magnetic system filter for full system protection. Compact and easy to install, with a top or rear flue option, no requirement for a pump overrun or permanent live and a reduced lift weight, this 25kW heat only boiler is suitable for installation on open-vented or sealed systems, ideal for family homes requiring plentiful hot water. Highly efficient, the Heat 825 has an ErP A rating.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Baxi 800 Heat 825 heat only boiler 25kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/15/NW-333013_333015_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_800_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_816_825_830_Heat_EU_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_816_825_830_Heat_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Baxi_800_Heat_Product_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Baxi_Range_Guide_2020.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_800_Heat_ErP.pdf,,,,,,,,,
52,P333015,Baxi 800 Heat 830 heat only boiler 30kW,Baxi,1218.0,"Part of an extensive range suitable for all homes, the Baxi 800 Heat 830 central heating boiler pack includes a compact Adey Magnaclean Micro2 magnetic system filter for full system protection. Compact and easy to install, with a top or rear flue option, no requirement for a pump overrun or permanent live and a reduced lift weight, this 30kW heat only boiler is suitable for installation on open-vented or sealed systems, ideal for family homes requiring plentiful hot water. Highly efficient, the Heat 830 has an ErP A rating.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Baxi 800 Heat 830 heat only boiler 30kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/15/NW-333013_333015_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_800_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_816_825_830_Heat_EU_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_816_825_830_Heat_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Baxi_800_Heat_Product_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Baxi_Range_Guide_2020.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_800_Heat_ErP.pdf,,,,,,,,,
