,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Pack Size,Pack Type,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Pack Quantity,Attachment 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Colour,Feature 16,Weight
10,P555916,"Center CB rubble sack 21 x 34"" Grey",Center CB,0.71,"Center CB rubble sack is heavy duty, tear resistant sacks useful for carrying sharp or heavy items.","Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Center CB rubble sack 21 x 34"" Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/16/NW-555916_wm.jpg,,N,,,533.4 x 863.6 mm,7767,Rubble Sack,N,Ideal for building and landscaping waste,Offer excellent tear resistance for carrying sharp and heavy materials,Reusable,,,,,,,,,,,,,,,,,,,,,
11,P689015,Advanced Engineering EnviroCoil evaporator/condenser cleaner 5ltr,Advanced Engineering,62.98,"With a mild formulation for use in both indoors and outdoors maintenance, Advanced Engineering EnviroCoil universal coil cleaner is a detergent-based cleaner for air conditioning coils. EnviroCoil is environmentally friendly, containing no acids, phosphates or solvents, no sodium hydroxide or potassium hydroxide, and with completely biodegradable surfactants.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Advanced Engineering EnviroCoil evaporator/condenser cleaner 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/15/NW-689015_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/689015_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_VerteX_EnviroCoil_EasyClean_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_EnviroCoil_SDS.pdf,,,,,,,,,,,,,,,
12,P689158,Advanced Engineering SuperClean heavy duty condenser cleaner 5 ltr,Advanced Engineering,71.77,"Uniquely strong, this Advanced Engineering SuperClean heavy-duty condenser cleaner offers all of the benefits of a heavy duty acid cleaner but is much safer. Highly concentrated, this effective cleaner safely removes all of the contaminants commonly found in condensers with no damage to the coil, which is left visibly brighter and cleaner.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Advanced Engineering SuperClean heavy duty condenser cleaner 5 ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/58/NW-689158_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_SuperClean_HydroFoam2.0_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_SuperClean_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/689158_Technical.pdf,,,,,,,,,,,,,,,
13,P613138,Advanced Engineering OdourGuard hvac odour eliminator 1l rtu,Advanced Engineering,22.42,"Offering 360° protection from the unpleasant smells associated with HVAC filters, the Advanced Engineering OdourGuard odour eliminator makes an air conditioning unit easier to live with. Eliminating the nasty smells that can be the result of microbial activity or damp as well as the smoke, mould, mildew, cat litter and pet aromas that are often circulated up by an AC system, OdourGuard's odour absorbing formula is also able to deal with the noxious odours created by organic acids and aldehydes, nitrogen and sulphur-based substances, including ammonia and hydrogen sulphide.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Advanced Engineering OdourGuard hvac odour eliminator 1l rtu,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/38/613138_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_OdourGuard_Technical.pdf,,,,,,,,,,,,,,,,,,
14,P689173,Advanced Engineering TieTite cleaning cover size 2 1100mm (pack of 5),Advanced Engineering,82.3,"Aiding the cleaning of wall-mounted indoor evaporators, this Advanced Engineering TieTite protective cleaning cover reduces the splashing of cleaning product during maintenance, keeping furnishings and wall coverings safe and providing the user with a level of protection.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Advanced Engineering TieTite cleaning cover size 2 1100mm (pack of 5),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/73/NW-689173_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_HookTite_TieTite_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,
15,P689245,Advanced Engineering EasyFoam aerosol 600ml,Advanced Engineering,16.72,"Advanced Engineering EasyFoam foaming condenser cleaner is a heavy duty, ready mixed solution for use on air conditioning condenser coils. With a foaming formulation and powerful aerosol jet EasyFoam is ideal for removing stubborn dirt from deep inside problem coils.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Advanced Engineering EasyFoam aerosol 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/45/NW-689245_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_EasyFoam_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_EasyFoam_GreaseGobbler_RTUCC_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_EasyFoam_SDS.pdf,,,,,,,,,,,,,,,
16,PC02069,Center multi purpose wipes 100 pack,Center,6.66,"Center multipurpose wipes degrease and clean effectively, removing everything from solvents to paints, silicones, foams and general grime with a quick swipe. A heavy duty 20GSM design manufactured from 100% SMS polypropylene, these wipes are designed with tradespeople in mind, going tough on dirt while protecting the skin with an alcohol-free formulation imbued with lavender and peppermint oils. These strong, all-purpose wipes are suitable for use on hard surfaces, hands, tools and more, making them a tool bag and workshop must-have.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Center multi purpose wipes 100 pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/69/C02069_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/00/pk/C02069_CENTER_WIPES_DS_100PK.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ip/es/CB_SDS MULTI PURPOSE WIPES.pdf,,,,,,,,,,,,,,,,,
17,P690064,Pump House DiversiTech acid test kit for POE oil,Pump House,28.67,"Providing a fast, reliable detection of acid in a system, Pump House DiversiTech acid test kit for POE oil is an easy one step process with no chemicals to mix. Evaluation of the results is simple, the colour intensity indicating the amount of acid present in the sample.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Pump House DiversiTech acid test kit for POE oil,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/64/NW-690064_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Test_Kit_SDS.pdf,,,,,,,,,,,,,,,,,
18,P689166,Advanced Engineering DrainKleen one shot condensate drain cleaner,Advanced Engineering,7.76,"Formulated to clear organic blockages in air conditioning and refrigeration units, Advanced Engineering DrainKleen one shot condensate drain cleaner is a powerful and effective liquid drain cleaner delivered in a perfect size for treating a single condensate drain. DrainKleen's swan neck spout makes application easy, even in hard to reach drains.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Advanced Engineering DrainKleen one shot condensate drain cleaner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/66/NW-689166_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_DrainKleen_&_One_Shot_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_DrainKleen_One_Shot_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_DrainKleen_One_Shot_SDS.pdf,,,,,,,,,,,,,,,
19,P689102,Advanced Engineering QwikCheck acid test kit,Advanced Engineering,18.61,"A fast system offering reliable results, the Advanced Engineering QwikCheck acid test kit checks for acid in air conditioning and refrigeration circuits, a problem that can cause your system to burn-out. Providing a clear yellow-to-red colour change indication in just five seconds, QwikCheck isn't just quick and easy to use, it's also clean and safe for use in most refrigeration systems.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Advanced Engineering QwikCheck acid test kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/02/NW-689102_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_QwikCheck_Shot_Injector_Technical.pdf,,,,,,,,,,,,,,,,,
20,PH02404,Wiseman Everclear organic drain cleaner 1ltr,Wiseman,17.55,"An eco-friendly drain cleaner, it's unique formulation rapidly breaks down the material causing most common blockages such as organic and soap powder residue.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Wiseman Everclear organic drain cleaner 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/04/NW-H02404_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Wiseman_Everclear_SDS.pdf,,,,,,,,,,,,,,,,,,
21,P555324,Center Cleaning 1102 3 plyable perforated wipes pack (multi-buy x 6),Center,16.56,"Supplied in an easy-tear roll, these Center CB perforated wipes are made of a good quality three-ply tissue, ideal to keep in the van or workshop for quick wiping down and mopping up spillages.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Center Cleaning 1102 3 plyable perforated wipes pack (multi-buy x 6),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/46/581046_wm.jpg,Cleaning,N,1,Roll,470 x 377 x 512,555324 PK,Perforated Wipes,N,Blue colour,Strong 3-ply,Multi-purpose use,Excellent cleaning ability,Offer value for money,,,,,multi-buy x 6,,,,,,,,,,,,,,
22,P689026,Advanced Engineering RTU CC (ready mixed) condenser cleaner 1ltr,Advanced Engineering,22.42,"Ideal for use as part of your routine maintenance, Advanced Engineering RTU CC condenser cleaner effectively removes all common types of dirt and debris. This cleaner has a safe, biodegradable formula that is quick and easy to use.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Advanced Engineering RTU CC (ready mixed) condenser cleaner 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/26/NW-689026_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_RTU_CC_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_EasyFoam_GreaseGobbler_RTUCC_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_RTU_CC_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,
