,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Diameter,Pack Quantity,Range,Shank Type,Feature 5,Dimensions (L x W x D),Attachment 2,Cut Type / Speed,Teeth Per Inch,Feature 6
10,PT02746,Rothenberger HSS bi-metal hole cut saw 38mm x 1.1/2in,Rothenberger,7.35,"Compatible with most leading brands, the Rothenberger HSS 38mm x 1 1/2"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger HSS bi-metal hole cut saw 38mm x 1.1/2in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/46/T02746_wm.jpg,N,Steel,38 mm,1500004847,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,,,,,
11,PT02744,Rothenberger HSS bi-metal hole cut saw 29mm x 1.1/8in,Rothenberger,5.68,"Compatible with most leading brands, the Rothenberger HSS 29mm x 1 1/8"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger HSS bi-metal hole cut saw 29mm x 1.1/8in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/44/T02744_wm.jpg,N,Steel,29 mm,1500004820,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,,,,,
12,PT02773,Rothenberger HEX 1/2in BSP adaptor pack,Rothenberger,24.19,The Rothenberger HEX 13mm three-jaw standard chuck adapter is a replacement part compatible with the brand's diamond core drill set.,Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger HEX 1/2in BSP adaptor pack,,1x Chuck Adaptor,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/73/T02773_wm.jpg,N,,,89012,3 Jaw Chuck,N,,Highly reliable over long term,High quality manufacture,Compatible with diamond core drill set,,,,,,,,252 x 25 x 25 mm,,,,
13,PT02772,Rothenberger dry diamond core drill bit 127 x 150mm,Rothenberger,54.83,"The Rothenberger 127 x 150mm dry diamond core drill bit offers compatibility with any standard or rotary SDS drill. Fitted with a 1/2"" BSP female thread, this bit features a full 7mm height diamond segment.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger dry diamond core drill bit 127 x 150mm,,1x Dry Core Drill,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/72/T02772_wm.jpg,N,Steel,,89009,Dry Core Drill Bit,N,Hole cutter can be used with SDS electric drill.,Suitable for use with SDS electric drills,With high quality diamond segment,Reliable design,,,127 mm,,,,,,,,,
14,PT01977,Marcrist 850 5007.0115.22-10 inox cutting disc 115mm (10),Marcrist,12.88,"Fast, safe and offering extended use, these Marris 850 115mm cutting discs provide an excellent finish on metals including stainless steel, steel, high tensile steel and steel alloys.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Marcrist 850 5007.0115.22-10 inox cutting disc 115mm (10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/77/NW-T01977_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Marcrist_Abrasives_Brochure_2019.pdf,,,,,,,,,,
15,PT02750,Rothenberger HSS bi-metal hole cut saw 57mm x 2.1/4in,Rothenberger,15.41,"Compatible with most leading brands, the Rothenberger HSS 57mm x 2 1/4"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger HSS bi-metal hole cut saw 57mm x 2.1/4in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/50/T02750_wm.jpg,N,Steel,57 mm,1500004822,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,,,,,
16,PT02753,Rothenberger HSS bi-metal hole cut saw 127mm,Rothenberger,23.97,"Compatible with most leading brands, the Rothenberger HSS 127mm bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger HSS bi-metal hole cut saw 127mm,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/53/T02753_wm.jpg,N,Steel,127 mm,1500004866,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,,,,,
17,PT02774,Rothenberger SDS plus 1/2in BSP adaptor pack,Rothenberger,15.3,"The Rothenberger SDS+ 1/2"" BSP chuck adapter for 32 to 158mm cores is a replacement part suitable for the brand's diamond core drill set.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS plus 1/2in BSP adaptor pack,,"1x SDS, 1x Adaptor Core",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/74/T02774_wm.jpg,N,,,89014,SDS+ Chuck,N,,Highly reliable over long term,High quality manufacture,Compatible with diamond core drill set,,,,,,,,115 x 23 x 23 mm,,,,
18,PT02775,Rothenberger BAR200MM universal extension,Rothenberger,14.62,"The Rothenberger universal extension is capable of extending the drilling depth of dry diamond cores by 250mm. Manufactured in premium steel and plated for additional strength, this extension is suitable for hexagonal and SDS+ dry diamond core adapters.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger BAR200MM universal extension,,1x Extension Rod,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/75/T02775_wm.jpg,N,,,1500004741,Drilling Rod,N,,Steel construction,For use with diamond core drills,,,,,,,,,250 x 25 x 25 mm,,,,
19,PT81720,Rothenberger Sawing & Drilling 88829 Flat wood bit 22MM (1),Rothenberger,4.29,"Suitable for use with high speed electric drills, this Rothenberger 22mm steel flat wood bit offers quick and clean cutting.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger Sawing & Drilling 88829 Flat wood bit 22MM (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/20/T81720_wm.jpg,N,Steel,,88829,Wood Bit,N,For use with high speed electric drills,Ranges from 10mm to 25mm,"Fast, clean cutting high speed flat wood bits",Suitable for use with high speed electric drills,,,22 mm,1,Sawing & Drilling,N/A,,,,,,
20,PT81722,Rothenberger Sawing & Drilling 88858 SDS Drill bit 6.0MM X 160MM (1),Rothenberger,5.74,"Fully tempered and hardened, this Rothenberger 6 x 160mm SDS+ drill bit features a long-life carbide tip.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger Sawing & Drilling 88858 SDS Drill bit 6.0MM X 160MM (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/22/T81722_wm.jpg,N,Steel,,88858,Drill Bit,N,For use with high speed electric drills,Long-life carbide tips,Fully tempered and hardened,Ranges from 6 × 160mm to 24 × 466mm,,,6x160mm,1,Sawing & Drilling,N/A,,,,,,
21,PT02776,Rothenberger SDS cross tip drill bit 12 x 450mm,Rothenberger,8.5,"The Rothenberger 12 x 450mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 12 x 450mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/76/T02776_wm.jpg,N,Steel,,1500004840,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,12 mm,,,,Fully tempered and hardened,,,,,
22,PV95855,Lenox Gold LEN818GR Metal Cutting Reciprocating Saw Blades 8IN 18 TP (5 Pack),Lenox,34.21,"Gold® Metal Cutting Reciprocating Saw Blades have an aggressive blade design that optimises the blade's cutting angle for faster cutting in a wide variety of materials. The POWER ARC™ curved blade delivers up to 2x longer life vs traditional straight LENOX® Reciprocating Saw Blades.Patented T2™ Technology reduces cutting forces on each tooth and optimises chip removal to allow efficient cutting in the widest range of materials. The teeth feature a titanium coating making them more wear-resistant, keeping them sharper for longer. Ideal for cutting a variety of metals.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Lenox Gold LEN818GR Metal Cutting Reciprocating Saw Blades 8IN 18 TP (5 Pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/55/NW-V95855_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Lenox_Product_Catalogue.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Lenox_Saw_Blades_MSDS.pdf,,,
23,PT02749,Rothenberger HSS bi-metal hole cut saw 51mm x 2in,Rothenberger,9.86,"Compatible with most leading brands, the Rothenberger HSS 51mm x 2"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger HSS bi-metal hole cut saw 51mm x 2in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/49/T02749_wm.jpg,N,Steel,51 mm,1500004849,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,,,,,
24,PT81723,Rothenberger Sawing & Drilling 88859 SDS Drill bit 7.0MM X 160MM (1),Rothenberger,6.8,"Fully tempered and hardened, this Rothenberger 7 x 160mm SDS+ drill bit features a long-life carbide tip.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger Sawing & Drilling 88859 SDS Drill bit 7.0MM X 160MM (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/23/T81723_wm.jpg,N,Steel,,88859,Drill Bit,N,For use with high speed electric drills,Long-life carbide tips,Fully tempered and hardened,Ranges from 6 × 160mm to 24 × 466mm,,,7x160mm,1,Sawing & Drilling,N/A,,,,,,
25,PT01189,Milwaukee drill bit 7 x 160mm,Milwaukee,3.66,"With three offset aggressive power breakers, this Milwaukee SDS Plus 7mm two-cut drill bit creates a demolition effect, producing micro-cracks in the drilled material. Up to 25x faster, this bit has a centring tip for immediate and highly accurate spot drilling with no risk of skidding on smooth surfaces. The bit's enlarged rebar chamfers prevents side tip damage when hitting rebar, reducing the the risk of jamming while a tapered shoulder design reduces friction, ideal for cordless hammers. The bit's reinforced flute with high volume flute geometry effectively removes dust and transfers full power to the tip for reduced vibration and less breakages.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Milwaukee drill bit 7 x 160mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/90/NW-T01184_T01190_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Milwaukee_Accessories_Catalogue_2019.pdf,,,,,,,,,,
26,PT02745,Rothenberger HSS bi-metal hole cut saw 35mm x 1.3/8in,Rothenberger,6.74,"Compatible with most leading brands, the Rothenberger HSS 35mm x 1 3/8"" bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger HSS bi-metal hole cut saw 35mm x 1.3/8in,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/45/T02745_wm.jpg,N,Steel,35 mm,1500004865,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,,,,,
27,PT02779,Rothenberger SDS cross tip drill bit 25 x 450mm,Rothenberger,27.71,"The Rothenberger 25 x 450mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 25 x 450mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/79/T02779_wm.jpg,N,Steel,,1500004843,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,25 mm,,,,Fully tempered and hardened,,,,,
28,PT02754,Rothenberger HSS bi-metal hole cut saw 152mm,Rothenberger,28.43,"Compatible with most leading brands, the Rothenberger HSS 152mm bi-metal hole cut saw has a useful universal design. It has variable toothing for reliable cutting of iron, cast iron, copper, aluminium, bronze and steel, as well as plastics and wood.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger HSS bi-metal hole cut saw 152mm,,1x Hole Cut Saw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/54/T02754_wm.jpg,N,Steel,152 mm,1500004737,Hole Cut Saw,N,"Cutting wood, metal and plastics",Variable toothing for smoother cuts,Less force required for materials that chip easily,"Suitable for wood, plastic and metal",Steel construction,,,,,,,,,,,
29,PT02741,Rothenberger SDS cross tip drill bit 14 x 210mm,Rothenberger,9.52,"The Rothenberger 14 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 14 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/41/T02741_wm.jpg,N,Steel,,1500004816,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,14 mm,,,,Fully tempered and hardened,,,,,
30,PT02760,Rothenberger 7x67mm Selfcooling Diamond Drillbit,Rothenberger,26.63,"Filled with a lubricating wax that melts during operation, the Rothenberger 7 x 67mm vacuum brazed diamond tile drill bit is self-cooling, meaning there's no need for a separate coolant such as water to be used.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger 7x67mm Selfcooling Diamond Drillbit,,1x Tile Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/60/T02760_wm.jpg,N,Steel,25 mm,89097,Self Cooling Diamond Drill Bit,N,Corded and cordless drills,Steel construction,Compatible with corded and cordless drills,Drills at speeds between 800 and 200 RPM,"Filled with lubricating wax, eliminating need for coolant",,,,,,,,,,,
31,PT02735,Rothenberger SDS cross tip drill bit 6 x 210mm,Rothenberger,3.98,"The Rothenberger 6 x 210mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 6 x 210mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/35/T02735_wm.jpg,N,Steel,,1500004810,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,6 mm,,,,Fully tempered and hardened,,,,,
32,PT02733,Rothenberger SDS cross tip drill bit 8 x 160mm,Rothenberger,3.44,"The Rothenberger 8 x 160mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 8 x 160mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/33/T02733_wm.jpg,N,Steel,,1500004808,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,8 mm,,,,Fully tempered and hardened,,,,,
