,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 1,Attachment 2,Dimensions mm (H x W x D),Application,Diameter,Part Gas Council number,Max Set Pressure,Pack Quantity,By Model Number,Colour,Flow Rate,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,For Use With,Connection,Exhaust Port Size,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Attachment 3,Model For Use With,Boiler Section,Boiler Range
10,P455181,Powrmatic Brahma control box (DNM32),Powrmatic,349.09,This Powrmatic Brahma control box is suitable for use in a range of NV commercial and industrial boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Powrmatic Brahma control box (DNM32),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/81/NW-455181_wm.jpg,,Brahma,,,,N,,,,,,145030844,Control Box,N,Reliable,Easy to Install,,,,,,,,,,,x  x,CommercialIndustrial,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P117645,"Vaillant low loss plate heat exchanger bsp 1.25 """,Vaillant,407.88,"Separating system water from the boiler, this Vaillant plate heat exchanger is ideal for use where system cleanliness and water quality can't be guaranteed. A mandatory requirement plate heat exchanger on all systems greater than 70kW, a plate heat exchanger protects the boiler for a longer working life.","Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Vaillant low loss plate heat exchanger bsp 1.25 """,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/45/NW-117645_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ge/Vaillant_Commercial_Product_Range.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P481357,Broag Quinta fan (65-85),Broag,605.38,"A Broag replacement fan for Remeha commercial boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Broag Quinta fan (65-85),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/57/NW-481357_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Gas110Eco_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P487112,A O Smith 0310075(S) flame sensor,A O Smith,41.79,"This A O Smith flame probe is compatible with A O Smith BFC 18 - 120kW commercial boilers.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> A O Smith 0310075(S) flame sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/12/487112_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/es/A_O_Smith_Maintenance_Accessories.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P175617,Parts Universal ideal flue support bracket kit 100mm White,Parts,11.21,"This Parts Universal 100 x 240mm white steel support bracket kit is suitable for Keston, Ideal and Zanussi boilers.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Parts Universal ideal flue support bracket kit 100mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/17/NW-175617_wm.jpg,,Universal,,,,N,,,,,,WOLS175617,Support Bracket Kit,N,Universal boiler part,,,,,,,,,,,,25 x 140 x,,100,H78204,,,,,,,,,,,,,,,,,,,,,,,,,
15,P412804,Ideal Spares ionisation electrode kit,Ideal,83.27,An Ideal Electrode kit for past production Derwent commercial and industrial boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Ideal Spares ionisation electrode kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/04/NW-412804_wm.jpg,,Spares,,,,N,,,,,,176260,Ionisation Electrode Kit,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,9.9L X 9.7W X 1.8H,Commercial,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,
16,P497646,Powrmatic thermostat fan,Powrmatic,126.92,This Powrmatic fan command module is suitable for commercial and industrial boilers in the NV and PGUH ranges.,Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Powrmatic thermostat fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/46/NW-497646_wm.jpg,,,,,,N,,,,,,142403605,Fan Command Module,N,Reliable,Easy to Install,,,,,,,,,,,x  x,CommercialIndustrial,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P474277,Biasi magnetic flow switch filter,Biasi,72.98,"This flow switch and filter is a genuine Biasi spare for the Activ A, Activ A Plus, Advance, Advance Plus, Inovia, Riva Advance and Riva Plus HE boilers. The flow switch has an inbuilt sensor that sits inside heating or hot water system pipework as an important safety mechanism. Designed to sense water flow, the switch feeds information to the boiler's printed circuit board (PCB) to ensure that the burner is not activated when the system is low on water or dry. To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Biasi magnetic flow switch filter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/77/474277_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Biasi_M110B_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P411543,Vaillant pressure relief valve 6 bar,Vaillant,62.0,"Offering a pressure rating of 6 bar, this Vaillant pressure relief valve is compatible with VU OE 806/5-5 R2, VU OE 806/5-5 R3, VU OE 806/5-5 R4, VU OE 1006/5-5 R2, VU OE 1206/5-5 R2, VU OE 1006/5-5 R3, VU OE 1206/5-5 R3, VU OE 1006/5-5 R4 and VU OE 1206/5-5 R4.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Vaillant pressure relief valve 6 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/43/411543_wm.jpg,,,,,,N,,,,,,20174846,Pressure Relief Valve,N,,,,,,,,,,,,,,,,,6 bar,,,,,,,,,,,,,,,,,,,,,,,,
19,P481344,Broag temperature sensor,Broag,56.76,"This Broag brand temperature sensor, or thermistor, is suitable for use in Remeha Commercial (Baxi and Broag) boilers. The thermistor decreases circuit resistance in line with temperature increases. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Broag temperature sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/44/NW-481344_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Remeha_Quinta115Eco_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P411565,Vaillant air inlet duct,Vaillant,21.09,"This Vaillant replacement air inlet duct is designed for use in ecoTEC Plus VU boilers.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Vaillant air inlet duct,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/65/411565_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vaillant_ecoTECplus_Spares_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P175619,Parts vaillant flue support bracket kit 125mm White (Pack of 5),Parts,40.6,This Vaillant 125mm flue support bracket kit in white provides secure fixing of a boiler's flue during installation.,Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Parts vaillant flue support bracket kit 125mm White (Pack of 5),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/19/175619_wm.jpg,,,,,,N,,,,,,WOL175619,Flue Support Bracket Kit,N,Pack of 5,Compatible with Worcester Greenstar condensing boilers,White finish,,,,,,,,,,125mm,,,,,Pack of 5,,,,,,,,,,,,,,,,,,,,,,,
22,P481329,Broag electrode probe with lead,Broag,105.11,A Broag electrode probe for Remeha commercial boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Broag electrode probe with lead,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/29/NW-481329_wm.jpg,,,1 year,,,N,,,,,,S100604,Electrode Probe,N,,,,,,,,,,,,,x  x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P449318,"Ambirad flexi-hose 1/2"" x 0.65mm",Ambirad,73.63,"This Ambirad 0.65M gas flexible hose with 1/2"" BSP connection is made of plastic-coated stainless steel with a union to BS6501 Part 1 1991 class C. It is compatible with Vision boilers.","Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Ambirad flexi-hose 1/2"" x 0.65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/18/NW-449318_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ambirad_FlexibleGas_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P117974,Vaillant VR32/3 EBUS COUPLER electronic bus coupler,Vaillant,87.85,"The Vaillant VR 32 is a BUS coupler used for cascade installations, allowing controllers including the VRC 700 range and sensoCOMFORT range to identify the boilers connected to it.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Vaillant VR32/3 EBUS COUPLER electronic bus coupler,,VR32 ebus coupler,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/74/117974_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Wall_Hung_Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/79/74/117974.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P411548,Vaillant seal kit 80kW,Vaillant,113.17,This Vaillant 80kW seal kit is a handy range of spares suitable for the repair and servicing of commercial boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Vaillant seal kit 80kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/48/411548_wm.jpg,,,,,,N,,,,,,0020272054,Genuine Vaillant Spare Part,N,Genuine Vaillant spare,Suitable for commercial Vaillant boilers,,,,,,,,,,,35 x 350 x 360,Commercial Boilers,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,
26,P101360,Intergas flue extension 60/100mm x 1mtr,Intergas,56.28,"This Intergas 60/100mm x 1M flue extension extends the length of a flue by 1M, giving a neat finish to installation jobs. Suitable for a wide variety of fluing applications, this extension is compatible with ECO RF and HRE boilers as well as Robot Coupe R2A and Kemper SP Eco 75.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Intergas flue extension 60/100mm x 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/60/NW-101360_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Intergas_HRE_CombiCompact_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P175618,Vokera vokera flue support bracket kit 100mm White (Pack of 5),Vokera,29.69,"This Vokera flue support bracket is designed for neat, secure flue fixing.",Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Vokera vokera flue support bracket kit 100mm White (Pack of 5),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/18/175618_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vokera_Pocket_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P709311,Reznor 201284 ignition electrode,Reznor,59.29,This Reznor ignitor/electrode assembly is for use in select Reznor brand heaters.,Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Reznor 201284 ignition electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/11/709311_wm.jpg,,,,,,N,,,,,,201284,IGNITION ELECTRODE,N,For commercial use,"Compatible with Cobra, Inthermo, Tornado and Vision heaters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P323114,Oh Products air differential pressure switch 0.5-5.0mb,Oh Products,15.37,An Oh Products air differential pressure switch.,Parts and Spares/Commercial and Industrial Boiler Parts/Other Brands Commercial Boiler Parts/Other Brands Commercial Boiler Parts.csv -> Oh Products air differential pressure switch 0.5-5.0mb,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/14/NW-323114_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Watts_Electro_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
