,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Range,Warranty,Depth (mm),Model For Use With,Dimensions (L x W x D),Connection Size,Connection Type,Operating Temperature,Sector
10,P581507,JG Underfloor JGTIME4W hot water timer White,JG Underfloor,59.47,"A simple control for hot water systems, the JG Underfloor 240v wired hot water timer in white offers a range of useful functions for convenience, comfort and protection. Stylishly designed to look good on any wall, this easy to install timer has a back plate designed for pre-fitting and a front plate that can remain uninstalled until all work is done, while standard pattress box sizing is ideal for renovation and new build projects. With an intuitive interface, this timer communicates with the hot water valve wired directly to the JG Underfloor wiring centre, making setting times and temperatures simple. App-compatible, this smart thermostat can be controlled remotely using your smartphone or digital home assistant.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> JG Underfloor JGTIME4W hot water timer White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/07/581507_wm.jpg,,,,,,,N,JGTIME4W,Wired Hot Water Timer,N,Mains-wired,Easy to install and set up,7-day programme with 15-minute increments,4x on/off periods,Key lock function protects against unwanted programme changes,Hot Water Boost function boosts heat for 1 - 9 hours in low temperatures,Smartphone app compatible,Compatible with Alexa or Google Home voice control,,,,,,,,,,,,,,,,,,
11,P262977,Myson Floortec TOUCH2 wifi thermostat and hub pack,Myson,418.67,"Control your heating from anywhere using the second generation, app-enabled Myson Touch 2 Wi-Fi thermostat and Touch 2 hub. Easy to set up, this thermostat connects your home system with a smartphone or tablet via the Myson Touch 2 app for on-the-go control. Available on its own as a programmable room thermostat or as part of a combined solution along with the Touch 2 Hub, this thermostat can help to meet Boiler Plus requirements.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> Myson Floortec TOUCH2 wifi thermostat and hub pack,,Programmable thermostat;Hub,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/77/NW-262976_262977_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Myson_E_Controls_Thermostat_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_Touch2WiFi_HUB_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_Underfloor_Heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_Touch2WiFi_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P262976,Myson Floortec TOUCH2 wifi thermostat,Myson,145.4,"Control your heating from anywhere using the second generation, app-enabled Myson Touch 2 Wi-Fi thermostat. Easy to set up, this thermostat connects your home system with a smartphone or tablet via the Myson Touch 2 app for on-the-go control. Available on its own as a programmable room thermostat or as part of a combined solution along with the Touch 2 Hub, this thermostat can help to meet Boiler Plus requirements.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> Myson Floortec TOUCH2 wifi thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/77/NW-262976_262977_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Myson_E_Controls_Thermostat_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_Touch2WiFi_HUB_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_Underfloor_Heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_Touch2WiFi_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P581509,JG Underfloor JGSTAT4W wired programmable stat 240V White,JG Underfloor,59.47,"A simple control for wet underfloor heating systems, the JG Underfloor 240v wired programmable thermostat in white offers a range of useful functions for convenience, comfort and protection. Stylishly designed to look good on any wall, this easy to install thermostat has a back plate designed for pre-fitting and a front plate that can remain uninstalled until all work is done, while standard pattress box sizing is ideal for renovation and new build projects. With an intuitive interface, this thermostat signals the JG Underfloor wiring centre, making setting times and temperatures simple. App-compatible, this smart thermostat can be controlled remotely using your smartphone or digital home assistant.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> JG Underfloor JGSTAT4W wired programmable stat 240V White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/09/581509_wm.jpg,,,,,,,N,JGSTAT4W,Wired programmable room thermostat for underfloor heating,N,Mains-wired,Easy to install and set up,7-day programme with 15-minute increments,6x on/off periods,Ambient temperature sensor,Optional connection for external probe to protect against excessive heat,Open Window function detects sudden temperature drops,Adaptive function predicts heat-up times and adjusts to eliminate temperature spikes,Freeze Protection reduces waste in unused rooms,Freeze Protection adjustable from 5 - 17°C,Holiday function maintains low-level heating when unoccupied,Heating Boost boosts for 1 - 9 hours in low temperatures,Anti-seize function protects pump from seizing in low-usage,Smartphone app compatible,Compatible with Alexa or Google Home voice control,Meets Boiler Plus requirements,,,,,,,,,,
14,P262975,Myson Floortec actuator head 24V,Myson,50.54,"This 24V Myson Floortec actuator head is designed to open and close manifold valves in underfloor heating systems. With an adaptor ring allowing for simple snap-on connection on to the underfloor heating manifolds with an M30 thread, this actuator head is easy to install.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> Myson Floortec actuator head 24V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ea/d1/Actuator_Head1_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Myson_Floortec_Wiring-C_Stats_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P581511,JG Underfloor JGSTATRF4W wired RF programmable stat 240V White,JG Underfloor,82.01,"A simple control for wet underfloor heating systems, the JG Underfloor 240v wired RF programmable thermostat in white offers a range of useful functions for convenience, comfort and protection. Stylishly designed to look good on any wall, this easy to install thermostat has a back plate designed for pre-fitting and a front plate that can remain uninstalled until all work is done, while standard pattress box sizing is ideal for renovation and new build projects. With an intuitive interface, this thermostat signals the JG Underfloor wiring centre via radio signal, making setting times and temperatures simple and with no need for additional wiring. App-compatible, this smart thermostat can be controlled remotely using your smartphone or digital home assistant.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> JG Underfloor JGSTATRF4W wired RF programmable stat 240V White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/11/581511_wm.jpg,,,,,,,N,JGSTATRF4W,Wired and RF programmable thermostats,N,Mains-wired,Easy to install and set up,7-day programme with 15-minute increments,6x on/off periods,Radio signalling to RF wiring centre saves on cabling and eliminates damage and disruption,Ambient temperature sensor,Optional connection for external probe to protect against excessive heat,Open Window function detects sudden temperature drops,Adaptive function predicts heat-up times and adjusts to eliminate temperature spikes,Freeze Protection reduces waste in unused rooms,Freeze Protection adjustable from 5 - 17°C,Holiday function maintains low-level heating when unoccupied,Heating Boost boosts for 1 - 9 hours in low temperatures,Anti-seize function protects pump from seizing in low-usage,Smartphone app compatible,Compatible with Alexa or Google Home voice control,Meets Boiler Plus requirements,,,,,,,,,
16,P261987,Myson Floortec 24V wiring centre 24v,Myson,180.24,This Myson Floortec wiring centre with inbuilt transformer is designed to connect and control thermostats and actuators in a low voltage 24V power supply.,Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> Myson Floortec 24V wiring centre 24v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/87/261987_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_24VWiring_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UFH_Wiring_Centre_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_25085Underfloor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Myson_Floortec_Wiring-C_Stats_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_25085Underfloor_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P581501,JG Underfloor Speedfit 12BLKCON-25C black conduit 12mm - 25mtr coil,JG Underfloor,29.61,"This John Guest Speedfit 12mm conduit pipe, supplied in a 25M coil, provides a cover and blanket for Speedfit PEX or polybutylene pipe. This ensures installers meet Water Regulations, which require pipes to be removable when installed in concrete or masonry.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> JG Underfloor Speedfit 12BLKCON-25C black conduit 12mm - 25mtr coil,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/01/NW-581501_wm.jpg,,,,,,,N,12BLKCON-25C,Conduit Pipe,N,For use with PEX and polybutylene pipes,Hardwearing corrugated design,Colour-coded for easy identification,Dimensions of 12mm x 25M,,,,,,,,,,,,,,Speedfit,,,,,,,,
18,P567680,Wavin Sentio Thermostat Wired,Wavin,110.77,"This Wavin Sentio wired thermostat offers smart control and regulation of underfloor heating, cooling and ventilation systems.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> Wavin Sentio Thermostat Wired,,Thermostat,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/80/567680_wm.jpg,,,,,,,N,35CS400,Thermostat,N,For radiant heating and cooling,Also compatible with mechanical ventilation,Wired,,,,,,,,,,,,,,,,1 year,33,UFH systems,123 x 94 x 33,,,,
19,P581442,JG Underfloor JG Aura 230v thermostat and hot water timer 230v White,JG Underfloor,69.06,"This JG Underfloor Aura 4-in-1 thermostat provides fully combined control of underfloor heating along with individual radiators for a straightforward multi-zone energy saving system. Each thermostat operates as a programmable room thermostat, group control thermostat, group thermostat and hot water timer for simple and convenient all-in-one control.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> JG Underfloor JG Aura 230v thermostat and hot water timer 230v White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/42/581442_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JGSpeedfit_Aura_Wiring_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JGSpeedfit_JGSTAT2B_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Underfloor_UFH_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JG_Underfloor_230V-Stat-installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PP92448,Uponor Eurocone PEX eurocone compression adaptor 16mm,Uponor,7.79,"Made of plated brass, this Uponor compression adapter has a 3/4"" FT Eurocone thread for connection of PEX pipe to 3/4"" MT outlets.",Heating/Underfloor Heating/Underfloor Heating Thermostats and Controls/Underfloor Heating Thermostats and Controls.csv -> Uponor Eurocone PEX eurocone compression adaptor 16mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/48/P92448_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor_Plumbing&Heating_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
