,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Depth (mm),Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Attachment 2,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 3,Attachment 4
10,P420084,Titan EcoSafe ES1225 bottom outlet plastic oil tank 1225ltr,Titan,1345.47,"The double skinned, bottom outlet Kingspan Titan EcoSafe ES1225 Slimline plastic bunded domestic oil tank provides effective environmental protection and removes the risk of contamination. An excellent choice for domestic, commercial or agricultural heating requirements, the EcoSafe includes a WatchMan Sonic Advanced backed by reliable customer service for complete peace of mind.",Heating/Oil Tanks/Oil Tanks.csv -> Titan EcoSafe ES1225 bottom outlet plastic oil tank 1225ltr,,Tank;Watchman Sonic Advanced Level Monitor;PTFE tape;Gate valve ;filter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/84/420084_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Kingspan_EcoSafeTITANTank_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Titan_OilStorage_Installation.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_TitanEcosafe_Tank_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Titan_OilStorage_Brochure.pdf
11,P420120,Kingspan Titan Tiger Loop tigerloop oil de-aerator,Kingspan,60.84,"Fitted to the outside wall of a property, between a tank and pressure jet burner, this Kingspan Titan Tiger Loop oil de-aerator removes air from heating oil, allowing the tank to be installed lower than the burner and reducing on maintenance and wasted fuel. The Tiger Loop can draw fuel from up to 30 m away with a 10 mm fuel line. Suitable for oil and kerosene.",Heating/Oil Tanks/Oil Tanks.csv -> Kingspan Titan Tiger Loop tigerloop oil de-aerator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/20/420120_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_Titan_Oil_Storage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Titan_OilStorage_Installation.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kingspan_Titan_Oil_Storage_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Titan_OilStorage_Brochure.pdf
12,P420082,Titan Ecosafe ES2500 Bottom Outlet Plastic Bunded Oil Tank 2500 Litre,Titan,2008.97,"The double skinned, bottom outlet Kingspan Titan EcoSafe ES2500 horizontal plastic bunded domestic oil tank provides effective environmental protection and removes the risk of contamination. An excellent choice for domestic, commercial or agricultural heating requirements, the EcoSafe includes a WatchMan Sonic Advanced backed by reliable customer service for complete peace of mind.",Heating/Oil Tanks/Oil Tanks.csv -> Titan Ecosafe ES2500 Bottom Outlet Plastic Bunded Oil Tank 2500 Litre,,Tank;Watchman Sonic Advanced Level Monitor;PTFE tape;Gate valve ;filter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/82/420082_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Kingspan_EcoSafeTITANTank_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Titan_OilStorage_Installation.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_TitanEcosafe_Tank_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Titan_OilStorage_Brochure.pdf
13,P420005,Kingspan Titan EcoSafe LP1200 low profile plastic oil storage tank 1200ltr,Kingspan,609.15,"Ideal for domestic applications where bunding is not legally required, the plastic, bottom outlet Kingspan Titan EcoSafe LP1200 single skin horizontal oil tank is suitable for the safe storage of fuels including kerosene (C1/C2), fuel oil (A2) and gas oil/diesel (D).",Heating/Oil Tanks/Oil Tanks.csv -> Kingspan Titan EcoSafe LP1200 low profile plastic oil storage tank 1200ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/05/420005_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_TitanEcoSafe_Tank_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Titan_OilStorage_Installation.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_TitanEcosafe_Tank_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Titan_OilStorage_Brochure.pdf
14,P420055,Kingspan Titan EcoSafe R1225 rectangular talking plastic oil tank 1225ltr,Kingspan,1019.69,"Ideal for domestic applications where bunding is not legally required, the plastic, top outlet Kingspan Titan EcoSafe R1225 single skin horizontal oil tank is suitable for the safe storage of fuels including kerosene (C1/C2), fuel oil (A2) and gas oil/diesel (D). This tank is supplied with a WatchMan sonic alarm to reduce the chances of unexpectedly running out of fuel.",Heating/Oil Tanks/Oil Tanks.csv -> Kingspan Titan EcoSafe R1225 rectangular talking plastic oil tank 1225ltr,,Tank;Watchman sonic transmitter;Watchman sonic receiver;PTFE tape;Heldite;Heldite applicator;Gate valve ;filter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/55/420055_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_TitanEcoSafe_Tank_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Titan_OilStorage_Installation.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_TitanEcosafe_Tank_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Titan_OilStorage_Brochure.pdf
15,P421693,"JET Range FVC thermostatic fire valve 95C 1/2"" x 6mtr",JET Range,144.01,"This JET Range FVC thermoplastic fire valve is suitable for use with Class C and D fuels including heating oil, kerosene and gas oil or diesel. It offers automatic shut-off in case of overheating issues in a fuel burning appliance and fail safe shut-off in case of capillary or sensor failure.","Heating/Oil Tanks/Oil Tanks.csv -> JET Range FVC thermostatic fire valve 95C 1/2"" x 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/93/NW-421691_421693_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_TFV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,
16,P420010,Kingspan Titan EcoSafe R1225 rectangular plastic oil storage tank 1225ltr,Kingspan,866.75,"Ideal for domestic applications where bunding is not legally required, the plastic, bottom outlet Kingspan Titan EcoSafe R1225 single skin horizontal oil tank is suitable for the safe storage of fuels including kerosene (C1/C2), fuel oil (A2) and gas oil/diesel (D).",Heating/Oil Tanks/Oil Tanks.csv -> Kingspan Titan EcoSafe R1225 rectangular plastic oil storage tank 1225ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/10/420010_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_TitanEcoSafe_Tank_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Titan_OilStorage_Installation.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_TitanEcosafe_Tank_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Titan_OilStorage_Brochure.pdf
17,P420237,Kinley Titan EcoSafe ESSL2000 Slimline Oil Tank 2000 Litre,Kinley,1939.92,"Easy to manoeuvre and fit into tight spaces, the small footprint Kingspan Titan EcoSafe Slimline ESSL2000 2000 Litre quality bunded, bottom outlet oil tank provides responsibly safe and secure heating oil storage with the added convenience of a supplied WatchMan alarm kit.",Heating/Oil Tanks/Oil Tanks.csv -> Kinley Titan EcoSafe ESSL2000 Slimline Oil Tank 2000 Litre,,Tank;WatchMan alarm transmitter;WatchMan alarm receiver;PTFE tape;Gate valve ;filter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/37/420236_420237_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Kingspan_EcoSafeTITANTank_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_TitanEcosafe_Tank_Install.pdf,,,,,,,
18,P420086,Titan EcoSafe ES1800 bottom outlet plastic oil tank 1800ltr,Titan,1827.2,"The double skinned, bottom outlet Kingspan Titan EcoSafe ES1800 horizontal plastic bunded domestic oil tank provides effective environmental protection and removes the risk of contamination. An excellent choice for domestic, commercial or agricultural heating requirements, the EcoSafe includes a WatchMan Sonic Advanced backed by reliable customer service for complete peace of mind.",Heating/Oil Tanks/Oil Tanks.csv -> Titan EcoSafe ES1800 bottom outlet plastic oil tank 1800ltr,,Tank;Watchman Sonic Advanced Level Monitor;PTFE tape;Gate valve ;filter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/86/420086_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Kingspan_EcoSafeTITANTank_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Titan_OilStorage_Installation.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_TitanEcosafe_Tank_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Titan_OilStorage_Brochure.pdf
19,P420054,Kingspan Titan EcoSafe LP1200 low profile talking plastic oil tank 1200ltr,Kingspan,756.71,"Ideal for domestic applications where bunding is not legally required, the plastic, top outlet Kingspan Titan EcoSafe LP1200 single skin horizontal oil tank is suitable for the safe storage of fuels including kerosene (C1/C2), fuel oil (A2) and gas oil/diesel (D). This tank is supplied with a WatchMan sonic alarm to reduce the chances of unexpectedly running out of fuel.",Heating/Oil Tanks/Oil Tanks.csv -> Kingspan Titan EcoSafe LP1200 low profile talking plastic oil tank 1200ltr,,Tank;Watchman sonic transmitter;Watchman sonic receiver;PTFE tape;Heldite;Heldite applicator;Gate valve ;filter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/54/420054_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_TitanEcoSafe_Tank_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Titan_OilStorage_Installation.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_TitanEcosafe_Tank_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Titan_OilStorage_Brochure.pdf
20,P420096,Kingspan Titan EcoSafe ESV1300 bottom outlet plastic oil tank 1300ltr,Kingspan,1288.41,"The double skinned, bottom outlet Kingspan Titan EcoSafe ESV1300 vertical plastic bunded domestic oil tank provides effective environmental protection and removes the risk of contamination. An excellent choice for domestic, commercial or agricultural heating requirements, the EcoSafe includes a WatchMan alarm backed by reliable customer service for complete peace of mind.",Heating/Oil Tanks/Oil Tanks.csv -> Kingspan Titan EcoSafe ESV1300 bottom outlet plastic oil tank 1300ltr,,Tank;WatchMan alarm transmitter;WatchMan alarm receiver;PTFE tape;Gate valve and filter,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/96/420095_420096_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Kingspan_EcoSafeTITANTank_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Titan_OilStorage_Installation.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Kingspan_TitanEcosafe_Tank_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Titan_OilStorage_Brochure.pdf
