,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Connection Size,Connection Type,Range,Thickness,Refrigerant Suitability,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Diameter,Pack Quantity,Size,Connection Type 1,Feature 3,Feature 4,Gender,Connection Type 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Attachment 10,Feature 5,Feature 6,Dimensions (L x W x D),Refrigerant,Max Pressure,Sight Glass,Number of Valves,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Voltage (V),Operating Pressure,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Connection,Flow Rate,Warranty,Motor Speed,Horse Power,Depth (mm),Absolute Vacuum,Stages,Oil Capacity
10,P605710,"Aspen Pumps Xtra braided PVC hose 1/4"" x 30mtr Clear",Aspen Pumps,34.88,This 6mm Aspen Pumps Xtra reinforced braided tube is made of black vinyl with a transparent fabric insert.,"Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Aspen Pumps Xtra braided PVC hose 1/4"" x 30mtr Clear",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/10/NW-605710_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AP_Xtra_Vinyl_Tubing_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/uk/AP_Xtra_BigFoot_Catalogue_UK.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P688878,Javac EL84372 2-valve manifold kit,Javac,244.12,"Built to EN 973 T3, this Javac two valve manifold with continental hoses is hardwearing and easy to use with 80mm gauge heads and all manifolds either dual seal piston valves or quarter-turn mechanical valves. Manufactured with long life Teflon seals and a larger capacity bore, this manifold withstands maximum levels of flow and works with R-22, R-134A, R-404A and R-407C refrigerants.",Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Javac EL84372 2-valve manifold kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/78/NW-688878_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Manifold-X5_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Javac_4-Valve_Instruction_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P688510,"Javac Refco heavy duty hose 72 x 3/8"" Yellow",Javac,35.22,"A Javac Refco HCL6-72-Y 72"" heavy-duty vacuum hose in yellow colour.","Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Javac Refco heavy duty hose 72 x 3/8"" Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/10/NW-688510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P419957,"Testo 557s smart set with wireless temperature probes, wireless vacuum probe",Testo,760.52,"This Testo 557s smart vacuum kit includes a smart digital manifold with four-way valve block as well as wireless vacuum and clamp temperature probes. Making carrying out measurements on refrigeration, air conditioning systems and heat pumps simple and quick, this kit has a large graphical display along with stored programs to guide the user and enable automatic determination of vital parameters, including superheat, pressure drop test and evacuation. Easily connected, Bluetooth probes for temperature, pressure and humidity provide additional flexibility of use while compatibility with the Testo app allows the engineer to take care of digital documentation on-site. Highly durable, this kit works reliably in even tough conditions.","Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Testo 557s smart set with wireless temperature probes, wireless vacuum probe",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/57/NW-419957_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Testo_115i_Clamp_Thermometer_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Testo_552i_Vacuum_Probe_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Testo_557s_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Testo_557s_UK_Declrtn_of_Conformity.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Testo_552i_UK_Declrtn_of_Conformity.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_550s_557s_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_f/aq/Testo_Smart_Probes_FAQ.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Testo_A2L_Compatible_Products_List.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_SmartProbes_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Testo_115i_UK_Declrtn_of_Conformity.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P688604,Javac Digital Thermometers RT-905 digital thermometer -55/+150c,Javac,48.12,"Offering a broad measuring range in both Celsius and Fahrenheit, this Javac RT-905 digital thermometer incorporates temperature memory and a date hold function for practical reliability. In addition, this useful thermometer with stainless steel probe offers a high/low temperature alarm setting and audible operation confirmation. A handy foldaway stand is included for ease of use.",Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Javac Digital Thermometers RT-905 digital thermometer -55/+150c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/04/NW-688604_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Javac_RT-905_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P419956,Testo 550s smart set with cable temperature probes + set of 3 x hoses,Testo,727.81,"Suitable for use in the commissioning, servicing and maintainance of refrigeration and air conditioning systems, this all-in-one Testo 550s digital manifold kit is built around the the Bluetooth-ready Testo 550s smart digital manifold. Supplied with a two-way valve block, Bluetooth and NTC Testo 115i wireless clamp thermometers and three filling hoses, this kit provides easy to understand results on a simple, large-size graphical display.",Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Testo 550s smart set with cable temperature probes + set of 3 x hoses,,"testo 550s digital 2-way manifold including batteries (4 x AA) ;calibration protocol, 2 x testo 115i wireless Bluetooth clamp thermometers, Hose set with 3 hoses, Transport case",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/56/NW-419956_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Testo_550s_UK_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_550s-557s_Instruction_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Testo_550s_Digital_Manifold_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P688122,Javac CC CC-31-A2L vacuum pump uk a2l,Javac,336.34,"Suitable for low duty applications, this Javac CC 1.4 CFM vacuum pump is perfect for automotive or commercial air conditioning use. With an ultimate vacuum of 15 microns, this two-stage oil sealed vacuum pump incorporates an oil de-mister, reducing risky oil spillage. The pump is supplied with a tri-connector suitable for 1/4 SAE, 3/8 SAE and 1/2 ACME.",Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Javac CC CC-31-A2L vacuum pump uk a2l,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/22/NW-688122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_CC_A2L_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_UK_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P600803,Javac Hose gaskets gasket for hose set Rubber (Pack of 10),Javac,4.48,"Suitable for connection 1/4"" hose for refrigerant charging use, this Javac gasket is made of black rubber.",Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Javac Hose gaskets gasket for hose set Rubber (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/03/NW-600803_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P671348,"Parker 42F 42F-10 male flanged union double 5/8 x 5/8"" (Pack of 5)",Parker,13.11,"Made of brass, this Parker 42F 5/8 x 5/8"" union with 7/8-14 thread size is an economical choice for a metal-to-metal seal in high pressure service. It is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Parker 42F 42F-10 male flanged union double 5/8 x 5/8"" (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/49/NW-671345_671349_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P671052,"Refcomm LGL NS4-10 short flared nut 5/8""",Refcomm,6.62,"This Refcom LGL 5/8"" short flare nut is made of brass","Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Refcomm LGL NS4-10 short flared nut 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/54/NW-671050_671054_wm.jpg,,,,,,LGL,,,N,Brass,NS4-10,Short Flared Nut,N,,Made of Brass,"Sizes in 5/8""",5/8,,5/8,Flare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P671050,"Refcomm LGL NS4-6 short flared nut 3/8""",Refcomm,3.25,"This Refcom LGL 3/8"" short flare nut is made of brass","Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Refcomm LGL NS4-6 short flared nut 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/54/NW-671050_671054_wm.jpg,,,,,,LGL,,,N,Brass,NS4-6,Short Flared Nut,N,,Made of Brass,"Sizes in 3/8""",3/8,,3/8,Flare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P671347,"Parker 42F 42F-8 male flanged union double 1/2 x 1/2"" (Pack of 10)",Parker,8.54,"Made of brass, this Parker 42F 1/2 x 1/2"" union with 5/8-18 thread size is an economical choice for a metal-to-metal seal in high pressure service. It is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Parker 42F 42F-8 male flanged union double 1/2 x 1/2"" (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/49/NW-671345_671349_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P671346,"Parker 42F 42F-6 male flanged union double 3/8 x 3/8"" (Pack of 10)",Parker,6.49,"Made of brass, this Parker 42F 3/8 x 3/8"" union with 5/8-18 thread size is an economical choice for a metal-to-metal seal in high pressure service. It is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Parts and Spares/Cooling Parts/Air Conditioning Parts/HVAC Service Equipment/HVAC Service Equipment.csv -> Parker 42F 42F-6 male flanged union double 3/8 x 3/8"" (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/49/NW-671345_671349_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
