,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Attachment 10,Attachment 11
10,P683633,Maneurop MT MT80HP4AVE 3 phase reciprocating compressor,Maneurop,2515.21,"Manufactured using high quality components, the Maneurop MT 6.7HP, three phase hermetic reciprocating compressor is suitable for applications with a wide range of operating conditions and offers a long product life. Designed for medium and high evaporating temperature applications, the MT benefits from internal motor protection, a high efficiency circular valve design and high torque motors.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Maneurop MT MT80HP4AVE 3 phase reciprocating compressor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/34/NW-683633_683634_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Danfoss_MT_MTZ_NTZ_VTZ_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Maneurop_MT_MTZ_Application_Guide.pdf,,,,,,,,,
11,P683650,Maneurop MTZ MTZ72HN4AVE 3 phase reciprocating compressor,Maneurop,1586.52,"Manufactured using high quality components, the Maneurop MTZ 6HP, three phase hermetic reciprocating compressor is suitable for applications with a wide range of operating conditions and offers a long product life. Designed for medium and high evaporating temperature applications, the MT benefits from internal motor protection, a high efficiency circular valve design and high torque motors.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Maneurop MTZ MTZ72HN4AVE 3 phase reciprocating compressor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/51/NW-683650_683651_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Danfoss_MT_MTZ_NTZ_VTZ_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Maneurop_MT_MTZ_Application_Guide.pdf,,,,,,,,,
12,P683657,Maneurop NTZ NTZ096A4LR1B 3 phase reciprocating compressor,Maneurop,799.07,"This Maneurop NTZ 3.5HP, three phase commercial hermetic reciprocating compressor is designed for use in low evaporating temperature applications. Replacing the LTZ range, the NTZ series is engineered as a true low temperature compressor, optimised with R404A at -35°C with an extended evaporating temperature range from -45 to -10°C with no need for a liquid injection system. Operable at a return gas temperature (suction gas temperature) of 20°C, even at low evaporating temperatures, NTZ components are precision engineered for a long product life while a large internal free volume helps to reduce the risk of liquid hammering. The NTZ's electrical motor is fully suction gas cooled so no additional body cooling is required, allowing insulation with an acoustic hood.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Maneurop NTZ NTZ096A4LR1B 3 phase reciprocating compressor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/58/NW-683657_683658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_MD_8555016_K_MFR_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_CmrclCompressorParts_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_MD_8555014_O_MFR_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/lr/tn/Danfoss_Cmrcl_Compressors_AS_Dclrtn.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Maneurop_Huile_Ester_175PZ_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_683657_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Danfoss_MT_MTZ_NTZ_VTZ_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ri/al/Maneurop_MTMTZNTZ_Promotion_Material.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/id/es/Maneurop_NTZ_Compressors_Appl_Guides.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_MD_8555032_D_MFR_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_MD_8555030_F_MFR_Declaration.pdf
13,P615964,Tecumseh FH 4524Z-XC 230v 1ph valved r452a/r404a,Tecumseh,975.34,"The Tecumseh FH4524Z-XC3A 220 to 240V reciprocating compressor uses pistons driven by a crankshaft, allowing for the high pressure delivery of refrigerant from low side to high side of your refrigeration system.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Tecumseh FH 4524Z-XC 230v 1ph valved r452a/r404a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/64/NW-615964_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tecumseh_FH4524Z-XC3A_Technical.pdf,,,,,,,,,,
14,P683654,Maneurop MTZ MTZ125HU4VE 3 phase reciprocating compressor,Maneurop,2979.56,"Manufactured using high quality components, the Maneurop MTZ 10.4HP, three phase hermetic reciprocating compressor is suitable for applications with a wide range of operating conditions and offers a long product life. Designed for medium and high evaporating temperature applications, the MT benefits from internal motor protection, a high efficiency circular valve design and high torque motors.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Maneurop MTZ MTZ125HU4VE 3 phase reciprocating compressor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/54/NW-683653_683654_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Danfoss_MT_MTZ_NTZ_VTZ_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Maneurop_MT_MTZ_Application_Guide.pdf,,,,,,,,,
15,P686367,Whirlpool Embraco Aspera NEK6210GK compressor,Whirlpool,214.94,"Supplied with a capillary tube or expansion valve device, the Whirlpool Embraco Aspera 1/2HP, single phase hermetic reciprocating compressor is designed for refrigeration applications, offering quiet operation, reliable use and a compact design. This single phase model is supplied with the necessary electrical components.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Whirlpool Embraco Aspera NEK6210GK compressor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/67/NW-686367_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Embraco_Compressors_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Embraco_686367_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Whirlpool_HVACR_C_Spares_Catalogue.pdf,,,,,,,,
16,P683642,Maneurop MTZ MTZ32JF5AVE 1 phase reciprocating compressor,Maneurop,820.35,"Manufactured using high quality components, the Maneurop MTZ 2.7HP, single phase hermetic reciprocating compressor is suitable for applications with a wide range of operating conditions and offers a long product life. Designed for medium and high evaporating temperature applications, the MT benefits from internal motor protection, a high efficiency circular valve design and high torque motors.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Maneurop MTZ MTZ32JF5AVE 1 phase reciprocating compressor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/46/NW-683636_683646_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Danfoss_MT_MTZ_NTZ_VTZ_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Maneurop_MT_MTZ_Application_Guide.pdf,,,,,,,,,
17,P686388,Whirlpool Embraco Aspera T6215Z HBP hermetic compressor (R134A),Whirlpool,286.06,"Supplied with a capillary tube or expansion valve device, the Whirlpool Embraco Aspera 1/2HP, single phase hermetic reciprocating compressor is designed for refrigeration applications, offering quiet operation, reliable use and a compact design. This single phase model is supplied with the necessary electrical components.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Whirlpool Embraco Aspera T6215Z HBP hermetic compressor (R134A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/88/NW-686388_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Embraco_Compressors_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Embraco_686388_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Whirlpool_HVACR_C_Spares_Catalogue.pdf,,,,,,,,
18,P686859,Whirlpool Embraco Aspera NEK6217GK compressor,Whirlpool,230.26,"Supplied with a capillary tube or expansion valve device, the Whirlpool Embraco Aspera 3/4HP, single phase hermetic reciprocating compressor is designed for refrigeration applications, offering quiet operation, reliable use and a compact design. This single phase model is supplied with the necessary electrical components.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Whirlpool Embraco Aspera NEK6217GK compressor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/59/NW-686859_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Embraco_686859_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Embraco_Compressors_Catalogue_2017.pdf,,,,,,,,,
19,P683637,Maneurop MTZ MTZ22JC4BVE 3 phase reciprocating compressor,Maneurop,715.87,"Manufactured using high quality components, the Maneurop MTZ 1.8HP, three phase hermetic reciprocating compressor is suitable for applications with a wide range of operating conditions and offers a long product life. Designed for medium and high evaporating temperature applications, the MT benefits from internal motor protection, a high efficiency circular valve design and high torque motors.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Maneurop MTZ MTZ22JC4BVE 3 phase reciprocating compressor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/46/NW-683636_683646_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Danfoss_MT_MTZ_NTZ_VTZ_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Maneurop_MT_MTZ_Application_Guide.pdf,,,,,,,,,
20,P683640,Maneurop MTZ MTZ28JE5AVE 1 phase reciprocating compressor,Maneurop,764.63,"Manufactured using high quality components, the Maneurop MTZ 2.3HP, single phase hermetic reciprocating compressor is suitable for applications with a wide range of operating conditions and offers a long product life. Designed for medium and high evaporating temperature applications, the MT benefits from internal motor protection, a high efficiency circular valve design and high torque motors.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Maneurop MTZ MTZ28JE5AVE 1 phase reciprocating compressor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/46/NW-683636_683646_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Danfoss_MT_MTZ_NTZ_VTZ_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Maneurop_MT_MTZ_Application_Guide.pdf,,,,,,,,,
21,P686372,Whirlpool Embraco Aspera NJ9226GK MBP hermetic compressor (R404A),Whirlpool,342.6,"Supplied with a capillary tube or expansion valve device, the Whirlpool Embraco Aspera 1HP, single phase hermetic reciprocating compressor is designed for refrigeration applications, offering quiet operation, reliable use and a compact design. This single phase model is supplied with the necessary electrical components.",Refrigeration/Compressors/Hermetic Reciprocating Compressors/Hermetic Reciprocating Compressors.csv -> Whirlpool Embraco Aspera NJ9226GK MBP hermetic compressor (R404A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/72/NW-686372_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Embraco_Compressors_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Embraco_686372_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Whirlpool_HVACR_C_Spares_Catalogue.pdf,,,,,,,,
