,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,By Model Number,Feature 1,Attachment 2,For Use With,Attachment 3,Feature 2,Feature 3,Range,Pack Quantity,Dimensions mm (H x W x D),Application
10,P412930,Ideal sump and cover replacement kit,Ideal,88.0,"An Ideal sump and cover replacement kit for Logic and Logic+ boilers.  Supplied with O-ring and screw, this kit replaces parts that isolate the mildly acidic discharge that can build up in a primary system.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal sump and cover replacement kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/30/412930_wm.jpg,,N,"Max Heat H 30, + Heat 15, + Heat 12, Heat H 12, Heat 18, Heat H 15, Heat H 18, Heat H 30, Max Heat H 12, + Heat 30, + Heat H 12, + Heat H 24, + Heat H 30, Heat 12, Heat 15, Heat H 24, Max Heat H 15, + Heat 18, + Heat 24, Max Heat H 18, Max Heat H 24, Hea",Fan Combustion Chamber,LogicLogic+,J16235,177358,Sump and Cover Replacement Kit,N,"Heat H 12,Heat H 24,Heat H 15,Heat H 18,Max Heat H 30,Heat 30,Max Heat H 24,Max Heat H 12,Max Heat H 18,+ Heat H 30,Heat 18,Heat 15,Max Heat H 15,Heat 24,Heat 12,+ Heat H",,,,,,,,,,
11,P468493,Ideal electrode detection,Ideal,18.99,"An Ideal spare, this detection electrode is compatible with Independent, Logic, Exclusive, Instinct, Logic+, Morco, Keston System, Procombi, Keston Combi, iCombi, I-mini, Esprit, Classic and Keston C units.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal electrode detection,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/93/468493_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Logic+_Combi_24-30-35_Install.pdf,,,,,,,,,,,,,,,,,,,
12,P468480,Ideal flue manifold,Ideal,56.41,"An Ideal manifold for the flue section of I-mini, Independent, Logic, Logic+, Keston Combi and Keston System boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal flue manifold,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/80/468480_wm.jpg,,N,"I-mini C 24, 0, Combi 24, ES 35, ESP1 30, ESP1 35, System 24 IE, System 30, I-mini 24, I-mini C 30, C30, System 30, System S 18, System S 24, System S 30, 35, ESP 35, Max Combi C 35, Max System S 15, System 18, System 30 IE, System S 18, + System S 18, +",Flue,"I-mini, Independent, Logic, Logic+, Keston Combi, Keston System",H78165,175576,Manifold,N,"ESP1 30,System S 24,C30,C 24,Combi C 35,E 35,24,35,System S 15,C35,Combi C 30,System 18,ES 35,I-mini 30,System 15,System 24 IE,I-mini 24,System 24,System 30,System 15 IE,System S 30,ESP1 35,30,ES 30",Genuine Ideal Spare Part,,,,,,,,,
13,P729639,Ideal diverter valve head,Ideal,33.68,"This Ideal diverter valve head is compatible with Esprit, I-mini, Isar, Logic, Vogue, Keston C, Esprit 2, Evo, Independent, Logic+ and Keston Combi boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal diverter valve head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/39/729639_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Esprit_HE24_HE30_HE35_Install.pdf,,,,,,,,,,,,,,,,,,,
14,P703131,Ideal heat flue manifold,Ideal,55.95,"An Ideal heat manifold for the flue section of Atlantic, Classic, Esprit, Exclusive, Logic, Logic+, Procombi, iCombi, Instinct and Morco boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal heat flue manifold,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/31/703131_wm.jpg,,N,"Atlantic 24, Combi 30, Eco 30, Exclusive 2 30, Exclusive 24, Heat 24, + Heat 15, Exclusive 24, Exclusive 35, i2 24, Heat 18, Heat H 30, Max Heat H 12, Combi 2 30, Heat 30, + Heat 18, Atlantic 30, Combi 2 24, Eco 2 24, Eco 2 35, Exclusive 35, i2 35, 24, H",Flue,"Atlantic, Classic, Esprit, Exclusive, Logic, Logic+, Procombi, iCombi, Instinct, Morco",H84060,175981,Manifold,N,"Heat H 12,24,35,Combi 30,Heat H 24,Heat H 15,i30,Eco 30,i35,i24,Heat 30,Max Heat H 24,Combi 24,Exclusive 35,Exclusive 24,Max Heat H 18,Heat 18,Heat,Heat 15,Exclusive 30,Heat 24,Eco 24,Heat 12,30",Genuine Ideal Spare Part,,,,,,,,,
15,P412935,Ideal 177544 gas valve kit,Ideal,164.6,"An official Ideal part, this gas valve kit is suitable for Classic, I-mini, Independent, Logic, Instinct, Logic+, Morco, Procombi, Keston System, Exclusive, iCombi, Esprit and Keston Combi boilers.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 177544 gas valve kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/35/412935_wm.jpg,,N,"Combi 30, I-mini 30, System 18, System 30, Code Combi 26, ES 35, System 24, C30, System 15, 30, 35, Code Combi ES 26, E 35, ESP 35, Heat 30, System 15, 35, GB 24, Combi 24, I-mini 24, 30, ESP 24, Heat 18, System 18, System 30 IE, + Heat 24, Exclusive 24,",Gas Assembly,"Classic, I-mini, Independent, Logic, Instinct, Logic+, Morco, Procombi, Keston System, Exclusive, iCombi, Esprit, Keston Combi",n/a,177544,Gas Valve Kit,N,"24,E 35,GB 30,i30,i35,Heat 30,Combi,System 24,Code Combi 33,Heat 15,System 18 IE,ESP 35,Heat 12,30,GB 24,35,C35,System 18,System 15,Combi 24,Exclusive 24,ESP 30,System 30,System 15 IE,Heat 24,Eco 24,Code Combi ES 26",,,,,,,,,,
16,P462198,Ideal primary control printed circuit board V9,Ideal,267.1,"An Ideal spare, this control kit is designed for Mexico, Icos, Esprit, Esprit 2, Evo, Isar, Istor and Elise appliances.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal primary control printed circuit board V9,,PCB Only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/98/462198_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Icos_HE12HE15HE18HE24_Install.pdf,,,,,,,,,,,,,,,,,,,
17,P468479,Ideal 175572 burner gasket,Ideal,21.76,"An Ideal gasket for use in the gas assembly of Esprit, Exclusive, Independent, Logic, Logic+, Keston Combi, Classic, iCombi, Instinct, I-mini, Procombi, Atlantic, Keston C, Morco and Keston System boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 175572 burner gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/79/468479_wm.jpg,,N,"Eco 30, Exclusive 2 24, Exclusive 2 30, 0, + Combi 24, Code Combi ESP1 38, ES 24, ES 30, ESP 30, ESP1 24, Heat H 24, Max Combi C 30, 24, + C 30, + Heat 12, Combi 35, Combi 2 24, Eco 24, i2 24, i35, 0, System S 15, 2 24, 30, C 24, Code Combi 33, Code Comb",Gas Assembly,"Esprit, Exclusive, Independent, Logic, Logic+, Keston Combi, Classic, iCombi, Instinct, I-mini, Procombi, Atlantic, Keston C, Morco, Keston System",H78163,175572,Gasket,N,"System S 24,E 35,Heat H 24,Code Combi ESP1 38,Max,ES 24,Eco 30,Code Combi ESP1 33,ESP1 24,Heat H 12,35,E 24,System S 18,C35,Heat H 15,ES 35,Heat H 18,Code Combi 26,System 15,Combi 24,I-mini 24,Max Heat H 12,Exclusive 24,ESP 30,Exclusive 30,Heat 24,ES 30",,,,,,,,,,
18,P703129,Ideal sump clean out cover,Ideal,15.49,"This Ideal sump clean out cover is supplied with screws and is suitable for use in the condensing heat exchanger in the brand's Classic, Esprit, Exclusive, Independent, Logic, Logic+, Procombi, Atlantic, I-mini, Instinct, iCombi, Keston Combi, Keston System and Keston C boilers.  A condensing heat exchanger extracts heat from flue products for improved efficiency.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal sump clean out cover,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/29/703129_wm.jpg,,N,"Combi 30, Eco 2 24, Eco 30, Exclusive 24, System 18, System S 18, 24, Code Combi ES 33, ESP1 24, Max Combi C 35, Max Heat H 12, System 18, + C 35, + Heat 15, + Heat 30, + Heat H 18, Exclusive 24, Exclusive 35, Atlantic 24, Atlantic 30, Combi 2 35, Exclus",Heat Exchanger,CombiExclusiveSystemCode CombiCode Combi ES,n/a,175954,Clean Out Cover,N,"System S 24,24,Combi 30,ES 24,i30,E 30,Code Combi ESP1 33,Eco 30,i35,Exclusive 35,ESP 35,Code Combi ES 33,ESP1 24,C30,C 24,35,E 24,System S 15,System S 18,C35,System 18,ES,ESP 30,Exclusive 24,System 30,ESP 24,Exclusive 30,Eco 24,Code Combi ES 26",,,,,,,,,,
19,P463546,Ideal fan assembly (WFFB0221-039),Ideal,196.46,"This replacement Ideal fan assembly is compatible with British/Scottish Gas, Classic, Optia and Henrad units.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal fan assembly (WFFB0221-039),,Fan Assembly,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/46/463546_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_BritishScottishGasRD1_Install.pdf,,,,,,,,,,,,,,,,,,,
20,P468448,Ideal pressure relief valve kit,Ideal,17.49,"A genuine Ideal pressure relief valve kit for fitting in Esprit 2, I-mini, Independent, Logic, Vogue, Isar, Keston Combi, Evo, Logic+, Keston C and Keston System boilers.  The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal pressure relief valve kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/48/468448_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Logic+_Combi_24-30-35_Install.pdf,,,,,,,,,,,,,,,,,,,
