,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Range,Weight,Resistance Features,Feature 6,Feature 7,Thickness,Material
10,PH01044,Sika Everbuild Jetcem rapid set cement 3kg,Sika Everbuild,4.09,"Specially formulated, this Sika Everbuild Jetcem rapid setting cement is a cement-based patching and repair compound suitable for a whole host of applications. Once mixed with water, this cement sets in around 30 minutes.",Trade Essentials/Building Supplies/Building Supplies.csv -> Sika Everbuild Jetcem rapid set cement 3kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/44/NW-H01044_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sika_Everbuild_Jetcem_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Sika_Everbuild_Jetcem_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Sika_Everbuild_Jetcem_Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,
11,PIS9925,GRS Bagging limestone chippings 20mm 19kg bag,GRS Bagging,9.96,"These GRS Bagging 20mm limestone chippings, supplied in a 25kg bag, are suitable for landscaping and building projects. They're an ideal finishing touch for driveways, water features, ponds, borders, rockeries and footpaths.",Trade Essentials/Building Supplies/Building Supplies.csv -> GRS Bagging limestone chippings 20mm 19kg bag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/25/IS9925_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/GRS-Bagging_Brochure_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
12,PN43564,Tarmac Blue Circle mortar mix tub 5kg,Tarmac,9.47,"A blend of selected sands, lime, cement and admixtures, Tarmac Blue Circle quality assured mortar mix is a pre-mixed general-purpose mortar offering a quality-assured weatherproof and durable finish in most brick and block applications. Highly workable and reliably cohesive, this mix offers a long board life and is pre-bagged ready for use, requiring just the simple addition of clean water.",Trade Essentials/Building Supplies/Building Supplies.csv -> Tarmac Blue Circle mortar mix tub 5kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/64/NW-N43564_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Tarmac_Mortar_Mix_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tarmac_Mortar-Mix_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
13,P651124,Arctic Hayes Access Pannel 300 x 300 mm,Arctic Hayes,23.28,"A simple, low cost solution, this Arctic Hayes 300 x 300mm (360 x 360mm external) access panel creates a protected openings in ceilings and walls for access to engineering services. Lightweight and slimline, this panel is made of injection-moulded ABS and offers easy installation into any wall or ceiling.",Trade Essentials/Building Supplies/Building Supplies.csv -> Arctic Hayes Access Pannel 300 x 300 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/26/NW-651121_651126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
14,PN02248,Bostik Cementone fire cement 2kg,Bostik,6.94,"Ready-mixed, this Bostik Cementone fire cement is made up of an asbestos-free blend of inorganic fillers and water-based thermo-setting resins. Drying into a cement when exposed to heat, this fire cement is suitable for joint and gap filling, producing smoke-tight joints, and can withstand a maximum temperature of +1250°C.",Trade Essentials/Building Supplies/Building Supplies.csv -> Bostik Cementone fire cement 2kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/48/NW-N02247_N02248_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Cementone_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Cementone_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bostik_Cementone_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
15,P830291,Regin REGM20 gas and water jointing compound 250g (1),Regin,15.82,"A soft setting, non-petroleum based thread sealant, Regin REGM20 gas and water jointing compound is suitable for use with both potable water and mains gas. It can therefore be used on gas installation pipework as a class A, Arp and class B thread sealant.",Trade Essentials/Building Supplies/Building Supplies.csv -> Regin REGM20 gas and water jointing compound 250g (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/91/NW-830291_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Regin_SDS54_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Regin_Eleccon_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ds/54/Regin_SDS54.pdf,,,,,,,,,,,,,,,,,,,,,,,
16,P172919,Manthorpe Access Panel access panel 150 x 200mm White,Manthorpe,11.18,"A cost-effective solution for access to hidden services, this Manthorpe 243 x 193mm access panel keeps vital valves, electrics and other fittings set into a ceiling or wall in easy reach. Suitable for domestic use, this panel is manufactured from lightweight high-impact polystyrene (HIPS) with a smooth textured finish suitable for painting onto. Easy to install, the panel doors are fully detachable and can be removed if required.",Trade Essentials/Building Supplies/Building Supplies.csv -> Manthorpe Access Panel access panel 150 x 200mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/20/NW-172919_172920_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Manthorpe_GL100_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
17,P651122,Arctic Hayes Access Pannel 150 x 230 mm,Arctic Hayes,12.44,"A simple, low cost solution, this Arctic Hayes 150 x 230mm (190 x 270mm external) access panel creates a protected openings in ceilings and walls for access to engineering services. Lightweight and slimline, this panel is made of injection-moulded ABS and offers easy installation into any wall or ceiling.",Trade Essentials/Building Supplies/Building Supplies.csv -> Arctic Hayes Access Pannel 150 x 230 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/26/NW-651121_651126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
18,P455161,Sika Everbuild PCKOSBKFIRE1 fire cement tub 1kg Black (12),Sika,4.17,"Ready-mixed, Sika Everbuild PCKOSBKFIRE1 is a blend of thermosetting resins and inorganic fillers. Curing when exposed to heat, it creates a mortar resistant to temperatures up to a blazing 1250C. Suitable for domestic and commercial use, Everbuild is compatible with fire bricks, fire grates, flue pipes, flue bricks and boilers. Asbestos-free, Everbuild offers reliable adhesion to fire bricks, blockwork, stone and clayware.",Trade Essentials/Building Supplies/Building Supplies.csv -> Sika Everbuild PCKOSBKFIRE1 fire cement tub 1kg Black (12),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/61/NW-455161_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/455161_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Everbuild_Fire Compounds_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sika_Everbuild_Kos_Fire_Cement_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,
19,PF68404,Polypipe GFC100 gap fill cement 140g,Polypipe,19.34,"Polypipe GFC100 gap filling cement in natural colour fills small gaps for a reliable, neat finish.",Trade Essentials/Building Supplies/Building Supplies.csv -> Polypipe GFC100 gap fill cement 140g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/04/NW-F68404_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Polypipe_GFC100_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
20,PN57793,Gyproc ready mixed easifiller 1ltr,Gyproc,13.44,"Designed for making repairs to plaster and plasterboard, Gyproc EasiFiller, supplied in a 1L tub, is a ready-mixed paste for use on walls or ceilings. Easy to use straight from the tub, this filler effectively fills holes and small cracks, sanding back easily for a smooth, like-new surface.",Trade Essentials/Building Supplies/Building Supplies.csv -> Gyproc ready mixed easifiller 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/93/NW-N57793_wm.jpg,,,,,,White,1 Ltr,N,Tub,Paste,5200854788,Ready Mixed Easifiller,N,PlasterboardPlaster,"Quick and simple to use, apply straight from tub","Ideal for most indoor surfaces, including plaster, plasterboard and concrete","Fine, ultra-smooth finish",Easy to sand smooth,Ideal for painted surfaces,,,,,,,
21,P172916,Manthorpe 1-hour fire rated access panel 300 x 300mm,Manthorpe,129.14,"This Manthorpe fire rated access panel creates fire-resistant openings in ceilings and walls to allow for maintenance of concealed engineering services and utility controls. Finished in a white powder coating, the metal panel is easy to clean and can be painted to match the surrounding decor. This panel is fitted with a catch lock opened via a T key, however a lockable version is also available, offering more substantial key lock for extra security.",Trade Essentials/Building Supplies/Building Supplies.csv -> Manthorpe 1-hour fire rated access panel 300 x 300mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/16/NW-172916_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Manthorpe_GL150F_130_450_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
22,PH03238,Hippowaste HIPPOBAG MIDI refuse bag,Hippowaste,10.61,"More affordable than skip hire and more convenient than multiple time consuming trips to the tip, this Hippowaste Midibag refuse bag is suitable for the disposal of household, DIY, trade and garden waste.",Trade Essentials/Building Supplies/Building Supplies.csv -> Hippowaste HIPPOBAG MIDI refuse bag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/38/NW-H03238_wm.jpg,,,,,,,,N,Plastic,,MIDI,Refuse Bag,N,HouseholdGarden and General Building Waste,1kg bag,Yellow colour,Made of exceptionally strong polypropylene,Can hold up to 1 ton,Opens out to 90 x 90 x 90cm,HIPPOBAG,0.09 kg,n/a,"Ideal for household, garden and general building waste",Recycles over 95% of all rubbish collected,,
23,PN02161,Bostik Cementone fire cement 5kg,Bostik,17.39,"Ready-mixed, this Bostik Cementone fire cement is made up of an asbestos-free blend of inorganic fillers and water-based thermo-setting resins. Drying into a cement when exposed to heat, this fire cement is suitable for joint and gap filling, producing smoke-tight joints, and can withstand a maximum temperature of +1250°C.",Trade Essentials/Building Supplies/Building Supplies.csv -> Bostik Cementone fire cement 5kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/61/NW-N02161_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Cementone_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bostik_Cementone_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
24,PN57033,Artex Blue Hawk quick set cement 2.5kg,Artex,4.82,"Pre-mixed, this Artex Blue Hawk quick-set cement is simply mixed with clean water before use and sets in around 30 minutes with no shrinkage. It is suitable for use in a wide variety of building projects and even sets underwater for repairs to grates.",Trade Essentials/Building Supplies/Building Supplies.csv -> Artex Blue Hawk quick set cement 2.5kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/33/NW-N57033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Artex_Blue-Hawk_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Blue_Hawk_CementConcreteRoofing_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Artex_Blue-Hawk_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,
25,PE10100,Homelux tiletrim 1.83mtr x 6mm White,Homelux,2.5,"Suitable for 6mm thick tiles, this Homelux white PVC tile trim, supplied in a 1.83M length, protects and finishes tiles while creating a smart finished edge.",Trade Essentials/Building Supplies/Building Supplies.csv -> Homelux tiletrim 1.83mtr x 6mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/00/NW-E10100_wm.jpg,,,,,,White,,N,,,TTS WH 6,Tile Trim,N,,Hardwearing PVC tile trim,"Neat, protective edging for tiles",Easy to cut and work with,,,,,,,,6mm,PVC
26,P651125,Arctic Hayes access panel 350 x 350mm,Arctic Hayes,27.92,"A simple, low cost solution, this Arctic Hayes 350 x 350mm (410 x 410mm external) access panel creates a protected openings in ceilings and walls for access to engineering services. Lightweight and slimline, this panel is made of injection-moulded ABS and offers easy installation into any wall or ceiling.",Trade Essentials/Building Supplies/Building Supplies.csv -> Arctic Hayes access panel 350 x 350mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/26/NW-651121_651126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
