,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Range,Hazardous,Output,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Fuel Type,Operating Temperature,Voltage (V),Warranty,Depth (mm),Top Design,Overheat Protection,Programmable,Fan Speeds,Controls,Material,Mounting Type,BTU h,Type,Control Device,Fire Frontage,Feature 8,Feature 9,Feature 10
10,P135271,Valor Firelite Radiant 347 electronic fire Black,Valor,384.85,"Offering an impressive 4kW heat output, the Valor Firelite 4 electronic radiant gas fire ensures reliable comfort alongside high levels of efficiency. A cost-effective heating solution, the Firelite is finished in a neat black and is suitable for hearth or wall mounting and compatible with a variety of flues to suit any home.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Firelite Radiant 347 electronic fire Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/71/135270_135271_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_347_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Valor_347_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Valor_FireliteRadiant_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P124063,Robinson Willey Firecharm RS room sealed natural gas fire Bronze,Robinson Willey,823.54,"Ideal for homes without chimneys, the bronze Robinson Willey Firecharm RS gas fire combines impressive efficiency with a powerful 3.57kW heat output. Glass-fronted and with a living flame effect, the Firecharm RS is easy to operate via a top-mounted electronic control with disabled-friendly option ideal for elderly users.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Robinson Willey Firecharm RS room sealed natural gas fire Bronze,,2x Medium flue assembly;2x sealing tape;Gasket pack comprising flue;Air duct gaskets;Sealing gasket;Flue sealing plate;4x wall fixing screws (2 inch wood);4x wall plugs;3x M4 x 10 taptite screws (air duct);2x No. 6 S/T x 10 posi pan;Foam seal pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/63/124063_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/RWilley_FirecharmRS_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWilley_FCRSF9876164_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWilley_Retail_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWilley_Complete_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWilley_FirecharmRS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWiley_FCRSF9876164_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P235643,Drugasar Art Series G20 flue gas heater,Drugasar,854.9,"A flexible choice for use in a wide range of locations, the quiet Drugasar ART5 G20 5.4kW balanced flue gas heater is popularly used for heating churches, schools and offices as well as for comfortable heat in domestic spaces. Suitable for remote control, this practical modulating heater draws air in from outside the building for use in combustion for economical and efficient A-rated heating using natural convection. Designed for floor standing, the 16,378 BTU/h ART5 offers quick and simple installation.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Drugasar Art Series G20 flue gas heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/43/235643_wm.jpg,,,,,,,Beige,Art Series,N,5.4 kW,43097,N,Closed combustion system,Suspended model,Natural gas and propane,A-rated energy efficiency,,,,Natural Gas / LPG,Unknown,230,"2 years parts warranty on full heater; 5 years parts warranty on heat exchanger, with sliding scale of paying on further 5 years where charge for heat exchanger increases 20% each year until 100% of normal cost price is payable.",260,No,No,No,n/a,Manual ControlRemote Control,Steel,Floor Standing,G20 Input 20472.852 btu/h. Maximum output 16378.28,Balanced Flue Gas Heater,,,,,
13,P136976,Flavel Calibre Flavel Calibre balanced flue brass,Flavel,1151.24,"Highly efficient, the 3.9kW output Flavel Calibre balanced flue gas fire features a full depth coal fuel effect for the ideal combination of cosy comfort and cost savings. This attractive glass-fronted, brass-finish fire with large viewing area is supplied with all parts required for a straightforward installation job.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Flavel Calibre Flavel Calibre balanced flue brass,,1x fire box and foam seal/burner assembly;1x Boxed ceramic 5 piece fuel bed set;1x Flue terminal/pipe unit;1x Flue terminal guard;1x Loose Items pack including cable fixing kit;1x Installation/user manual (combined);3x AA batteries (RC models only);1x ru,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/76/136976_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Flavel_Calibre_RC_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Flavel_GasFires_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flavel_Calibre_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P124060,Robinson Willey Firecharm LFE living flame effect natural gas fire Black,Robinson Willey,614.49,"The black-finish Robinson Willey Firecharm LFE gas fire incorporates living flame technology for a winning combination of cosiness and convenience. With disabled-friendly controls designed with elderly users in mind, plus an electronic ignition, the efficient, glass-fronted Firecharm offers an impressive heat output of up to 4.4kW at the simple twist of a knob.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Robinson Willey Firecharm LFE living flame effect natural gas fire Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/60/124060_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWilley_FirecharmLFE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/RWilley_FirecharmLFE_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWilley_FCLFF9876184_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWilley_Retail_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWilley_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P135270,Valor Firelite Radiant 347 oxysafe fire Black,Valor,348.03,"Offering an impressive 4kW heat output, the Valor Firelite 4 oxysafe radiant gas fire ensures reliable comfort alongside high levels of efficiency. A cost-effective heating solution, the Firelite is finished in a neat black and is suitable for hearth or wall mounting and compatible with a variety of flues to suit any home.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Firelite Radiant 347 oxysafe fire Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/71/135270_135271_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_347_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Valor_347_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Valor_FireliteRadiant_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Complete_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_FireliteOxysafe_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P135857,Valor Dream Full Depth Homeflame 961 high efficiency natural gas fire Black,Valor,635.83,"Traditionally styled with a black finish and a glass frontage, the Valor Homeflame Dream gas fire is a full depth unit designed to look good in any interior. Offering a heat output of up to 3.85kW and featuring a realistic coal bed fire effect, the Dream is easy to operate thanks to Valor's Fireslide control.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Dream Full Depth Homeflame 961 high efficiency natural gas fire Black,,Burner ;convection box unit;Burner tray trim;Outlet baffle for the convected air outlet;2x tapping screws for outlet baffle;Nut ;olive for 8mm inlet pipe;T connector ;pressure test point;Flue restrictor;3x tapping screws (for flue restrictor);2x small 'U,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/57/135857_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_HomeflameDream_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_961_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Valor_961_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P135347,Valor Dream Slimline 953 convector fire Black,Valor,535.43,"Ideal for newer homes with shallow flues, the Valor Dream Slimline Convector gas fire is a compact take on the classic Dream fireplace. Combining radiant and active heat through convection by drawing cold air in and through a heat exchanger before releasing warmed up air back into the room, this efficient black-finished heater offers up to 3.3kW of heat adjusted using Valor's intuitive Fireslide control.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Dream Slimline 953 convector fire Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/47/135347_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Valor_953_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Dream_Slimline_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_DreamSlimline_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P135346,Valor Dream Slimline 953 convector fire Chrome,Valor,535.43,"Ideal for newer homes with shallow flues, the Valor Dream Slimline Convector gas fire is a compact take on the classic Dream fireplace. Combining radiant and active heat through convection by drawing cold air in and through a heat exchanger before releasing warmed up air back into the room, this efficient chrome-finished heater offers up to 3.3kW of heat adjusted using Valor's intuitive Fireslide control.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Dream Slimline 953 convector fire Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/46/135346_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Valor_953_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Dream_Slimline_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_DreamSlimline_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P136878,Valor Valentia 474 inset gas fire with balanced flue,Valor,870.08,"The classic black and chrome design of the Valor Valentia balanced flue inset gas fire with its glass frontage and living flame effect, brings a touch of cosiness to any living room. Featuring reliable heat exchanger technology, this effective and efficient fire delivers up to 3.57kW of heat with a choice of four settings which can be controlled by a disability-friendly handle designed for safe use by elderly homeowners.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Valentia 474 inset gas fire with balanced flue,,Medium flue assembly ;sealing tape (two pieces);Gasket pack comprising flue ;air duct gaskets ;sealing gasket;Flue sealing plate;4x Wall fixing screws (2in wood);4x Wall plugs;3x M4 x 10 Taptite screws (air duct);2x No. 6 S/T x 10 posi pan;Foam seal pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/78/136878_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Valor_474_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_474_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P124277,Katell Regent electric fire brass,Katell,185.98,"Providing all the style of a modern open fire alongside the convenience of electric, the Katell Regent electric fire has a contemporary open-fronted design and realistic LED flame technology for the ultimate in cosiness. Suitable for fitting into a 16"" opening, this brass finish fireplace has simple manual controls for variable heat outputs of up to 2kW.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Katell Regent electric fire brass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/77/124277_wm.jpg,,,,,,,,Regent,N,2 kW,REG105L,N,Steel construction,Brass finish,With LED flame technology,Offers 1kW and 2kW heat output options,Thermostatically controlled,With fixed coal effect fuel bed,5 year warranty,,,,,,,,,,,,,,,,,,,
21,P130375,Valor Black Beauty Slimline 341 LFE natural gas fire,Valor,682.67,"Highly efficient and economical, the Valor Black Beauty Slimline gas fire offers a high heat output of up to 4kW and realistic flame effect in a compact package. Finished in black with brass detailing, with a pagoda-style canopy, the Black Beauty promises low running costs and simple operation via a side-mounted control.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Black Beauty Slimline 341 LFE natural gas fire,,Fire assembly;Ceramic fuel effect (In packaging inside firebox);Closure plate;Smoke match tube;Olive ;olive nut for gas line connection;Literature pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/75/130375_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Valor_341_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_BBSlimline_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_BBeauty_341_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Valor_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P136643,Valor Balmoral BAL20CH ecolite fire Chrome,Valor,252.01,"Exuding efficiency and charm, Balmoral forms part of Valor’s new Ecolite range of contemporary inset electric fires that is designed to offer the ultimate in electric heating. Complete with a top side switch control, Balmoral is easy to operate and a one piece moulded coalbed and kettle connection also aids installation. For the ultimate in heat and comfort, a concealed 2.0kW fan heater provides a choice of two heat settings and for full visual effect, the flame can be enjoyed independently of the heat. Whilst boasting 100% efficiency, running costs are minimised courtesy of integral ‘Ecolite’ energy efficieny LED lights. To suit everyone’s tastes, Balmoral is available in black, brass and contemporary chrome.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Balmoral BAL20CH ecolite fire Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/43/136643_wm.jpg,,,,,,,Chrome,Balmoral,N,2 kW,X-047502,N,Acontemporary flame effect fire designed for wall mounting,Chassis can also be inset so that only the frame protrudes,Remote control for armchair selection of on/off,Heat and flame effect light levels,Choice of two heat settings,Optiflame‚ effect with optiglo‚ glowing log bed,Black finish,Electric,,,1 year,185,,,,,,Metal,,,,Manual Control,n/a,Concealed fan heater gives output of 2kw,Flame effect can be used independently of heat,Beab approval
23,P124061,Robinson Willey Firecharm LFE living flame effect natural gas fire Bronze,Robinson Willey,614.49,"The bronze-finish Robinson Willey Firecharm LFE gas fire incorporates living flame technology for a winning combination of cosiness and convenience. With disabled-friendly controls designed with elderly users in mind, plus an electronic ignition, the efficient, glass-fronted Firecharm offers an impressive heat output of up to 4.4kW at the simple twist of a knob.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Robinson Willey Firecharm LFE living flame effect natural gas fire Bronze,,Fire assembly;Spigot;Spigot restrictor;Control knob adaptor;Coal bed,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/61/124061_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWilley_FirecharmLFE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/RWilley_FirecharmLFE_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWilley_FCLFF9876184_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWilley_Retail_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWilley_Complete_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P136646,Valor Savena SAV20CH ecolite fire Brushed Chrome,Valor,237.82,"Designed with energy efficiency and cost-savings in mind, Savena forms part of Valor’s new Ecolite range of contemporary inset electric fires. Named after the fires’ integral energy efficient LED lights that serve to keep running costs low, Savena boasts 100% efficiency and a concealed 2.0kW fan heater that provides a choice of two heat settings. Not only that, for full visual effect, the flame can be enjoyed independently of the heat. Installation is a breeze thanks to a one piece moulded fuelbed and kettle connection, and a top side switch control means operation of the fire couldn’t be easier. Available in black, brass and contemporary brushed chrome, this model offers something for everyone.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Savena SAV20CH ecolite fire Brushed Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/46/136646_wm.jpg,,,,,,,Chrome,Savena,N,2 kW,X-047519,N,Acontemporary flame effect fire designed for wall mounting,Chassis can also be inset so that only the frame protrudes,Remote control for armchair selection of on/off,Heat and flame effect light levels,Choice of two heat settings,Optiflameç effect with optigloç glowing log bed,Black finish,Electric,,,1 year,146,,,,,,Metal,,,,Manual Control,n/a,Concealed fan heater gives output of 2kw,Flame effect can be used independently of heat,Beab approval
25,P136642,Valor Balmoral BAL20BR  ecolite fire Brass,Valor,252.01,"Exuding efficiency and charm, Balmoral forms part of Valor’s new Ecolite range of contemporary inset electric fires that is designed to offer the ultimate in electric heating. Complete with a top side switch control, Balmoral is easy to operate and a one piece moulded coalbed and kettle connection also aids installation. For the ultimate in heat and comfort, a concealed 2.0kW fan heater provides a choice of two heat settings and for full visual effect, the flame can be enjoyed independently of the heat. Whilst boasting 100% efficiency, running costs are minimised courtesy of integral ‘Ecolite’ energy efficieny LED lights. To suit everyone’s tastes, Balmoral is available in black, brass and contemporary chrome.",Heating/Fires and Surrounds/Fires and Surrounds.csv -> Valor Balmoral BAL20BR  ecolite fire Brass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/42/136642_wm.jpg,,,,,,,Brass,Balmoral,N,2 kW,X-047496,N,Acontemporary flame effect fire designed for wall mounting,Chassis can also be inset so that only the frame protrudes,Remote control for armchair selection of on/off,Heat and flame effect light levels,Choice of two heat settings,Optiflame‚ effect with optiglo‚ glowing log bed,Black finish,Electric,,,1 year,185,,,,,,Metal,,,,Manual Control,n/a,Concealed fan heater gives output of 2kw,Flame effect can be used independently of heat,Beab approval
