,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Connection Type,Range,Hazardous,Min Outlet Pressure,Max Outlet Pressure,Connection Gender,Material,Seal Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Connection,Thread Standard,Max Set Pressure,Thread Size,Maximum Operating Temperature,Application,Grade,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Pack Quantity,Attachment 3,Attachment 4,Attachment 5,Weight,Size,Colour,Operating Temperature,Warranty,Connection Size (mm),Actuator Type,Ball Material,Handle Material,Handle Type,Number of Ports,Operator Type,Seat Material,Bio Fuels,Oil Supply Pipe Connection,Temperature Rating,Nominal Fuel Flow Rate Diesel,Nominal Fuel Flow Rate Kerosine,Manual Reset,Body Material,Manual,Material Type,Thickness,Diameter,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Boiler Section,Boiler Range,Part Gas Council number,Voltage Rating,Dimensions mm (H x W x D),Protection Time,Drainage Product Type,Resistance Features
10,P531581,Intatec 22mm Lever Handle Ball Valves,Intatec,10.82,"Manufactured in tough brass, the WRAS compliant Intatec 22mm lever-operated ball valve is supplied with coloured sleeves for easy identification of hot or cold water use. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Intatec 22mm Lever Handle Ball Valves",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/81/531581_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/82/Technical 531577_531582.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PK73476,Honeywell Home resi ba295s-1/2agb rpz bsp 1/2,Honeywell Home,294.04,"The BA295S reduced pressure zone (RPZ) backflow preventer valve is designed to protect drinking water from back pressure, backflow and back siphonage. Suitable for residential, industrial and commercial use, the BA295S is suitable for fluids up to and including Fluid Category 4 to EN 1717. This compact valve, supplied with 1/2"" BSP male connections, has all internal components located in easy reach with both check valve and discharge valve in a single replaceable cartridge for ease of maintenance. Optimised to prevent stagnation, this valve has a triple security system, with two check valves and a discharge valve separated into three individualised pressure zones.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Honeywell Home resi ba295s-1/2agb rpz bsp 1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/77/NW-K73476_K73477_wm.jpg,,,,,,N,,,,,,BS EN 1717BS EN 12729WRASDVGWNFKIWABELGAQUAVR,BA295S-1/2AGB,Backflow Preventer Valve,N,Made of DZR brass,Compact construction,Threaded connectors,Integrated inlet strainer,Inlet check valve and discharge valve in one cartridge,Cartridge insert and valve insert are completely replaceable,Optimised design prevents water stagnation in normal operation,Easy access to all internal components,Low pressure loss and high flow rate,Approved according to EN 12729,All materials are ACS approved,,,,,,,,All materials are KTW approved,"Approved by TÜV LGA for low noise, Group 1 without limitation",Meets BS EN 1717,WRAS approved,DVGW approved,NF approved,KIWA approved,BELGAQUA approved,VR approved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P208643,Myson Powerextra Valves MPE222 2 port motorised valve 22mm and 3/4 (1),Myson,72.1,"Offering low contact resistance switching, the Myson Powerextra MPE222 22mm 3/4"" two-port motorised valve is compatible with the low voltage/low current switching commonly found on British and European boilers. Highly reliable, this robust brass-built motorised valve is a suitable replacement for all leading makes for ease of specification.  Motorised valves are used to control water flow between heating and hot water zones in fully pumped domestic central heating systems.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Myson Powerextra Valves MPE222 2 port motorised valve 22mm and 3/4 (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/43/208643_wm.jpg,,,22mm & 3/4,,Powerextra Valves,N,,,,Brass,,,MPE222,DVC Valves,N,High grade Class F insulation,Neon valve position indicators,Gold-plated microswitch contacts,Mica filled PTFE shoes,Manual override with spring return,2-port valves to control either central heating or hot water,3-port mid position valves control central heating and hot water circuits simultaneouslySuitable replacement for all leading makes,ISO 9002 Quality Assurance,,,,Compression,BSP,,22mm & 3/4,120 deg C,Central Heating,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PK65586,JET Range BBV24 lever operated (copper x copper) ball valve WRAS 35mm,JET Range,168.9,"This JET Range BBV24 manual lever operated ball valve with brass body and PTFE seat includes 35mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV24 lever operated (copper x copper) ball valve WRAS 35mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/88/K65583_K65588_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PK86308,JET Range 624 (WJ)PN16DJLME EPDM lever operated lugged butterfly valve 65mm,JET Range,418.02,"Suitable for use in a wide range of operations, this JET Range 621 fully-lugged wafer butterfly valve can be used with low temperature hot water, domestic hot water, potable water and chilled water. This lever-operated valve has a 65mm connection size, 16 bar pressure rating and EPDM lining.  A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open, and closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range 624 (WJ)PN16DJLME EPDM lever operated lugged butterfly valve 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/13/NW-K86307_K86313_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P208646,Myson Powerextra Valves MPE322 3 port motorised valve 22mm and 3/4 (1),Myson,91.71,"Offering low contact resistance switching, the Myson Powerextra MPE322 22mm 3/4"" three-port motorised valve is compatible with the low voltage/low current switching commonly found on British and European boilers. Highly reliable, this robust brass-built motorised valve is a suitable replacement for all leading makes for ease of specification.  Motorised valves are used to control water flow between heating and hot water zones in fully pumped domestic central heating systems.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Myson Powerextra Valves MPE322 3 port motorised valve 22mm and 3/4 (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/46/208646_wm.jpg,,,22mm & 3/4,,Powerextra Valves,N,,,,Brass,,,MPE322,DVC Valves,N,High grade Class F insulation,Neon valve position indicators,Gold-plated microswitch contacts,Mica filled PTFE shoes,Manual override with spring return,2-port valves to control either central heating or hot water,3-port mid position valves control central heating and hot water circuits simultaneouslySuitable replacement for all leading makes,ISO 9002 Quality Assurance,,,,Compression,BSP,,22mm & 3/4,120 deg C,Central Heating,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PK29623,Pegler Proflow 1200SF double regulating valve 15mm (BSPP),Pegler,46.13,"The Pegler Proflow 1200SF DZR double regulating valve (also known as a DRV) ISO 228 controls water flow across chilled water air conditioning equipment. Incorporating 15mm BSP parallel connections, the valve is fitted to equipment's return line, controlling and balancing flow via adjustment of the valve spindle.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Pegler Proflow 1200SF double regulating valve 15mm (BSPP)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/28/NW-K29623_K29628_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Pegler_Precise_Balancing_Commi_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Pegler_1200_Regul_Valve_WRAS_Certi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Pegler_Fig1200_1260_FODRV_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PK65634,JET Range BBV24R copper x copper lever ball valve 35mm Red,JET Range,168.97,"This JET Range BBV24R lever manual ball valve with brass body and PTFE seat includes 35mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV24R copper x copper lever ball valve 35mm Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/36/NW-K65631_K65636_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PK65668,JET Range BBV21 lever operated ball valve (BSPP) WRAS 50mm,JET Range,169.67,"This JET Range BBV21 lever operated ball valve includes 50mm BSPP end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV21 lever operated ball valve (BSPP) WRAS 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/71/NW-K65661_K65671_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_BBV21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PK73628,Honeywell Home D04FM resi pressure red valve d04fm-zc 22,Honeywell Home,37.49,"Protecting household appliances and pipework against excessive pressure, the D04FM pressure reducing valve (PRV) has a compact design that promises to maintain a constant water pressure even where supply pressure is much higher. Reducing noise and saving on waste, this PRV is supplied with 3/4"" female x female compression connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Honeywell Home D04FM resi pressure red valve d04fm-zc 22",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/28/NW-K73628_wm.jpg,,,3/4,Compression,D04FM,N,1.5,6,Female x Female,"Brass, Dezincification Resistant",EPDM,WRASEN1567,D04FM-3/4ZC,Pressure Reducing Valve,N,Spring-loaded balanced seat for constant outlet pressure even where inlet pressure fluctuates,Lightweight design,Compact construction,Available with pressure gauge,16 bar inlet pressure,1.5 - 6 bar outlet pressure,Maximum operating temperature 40°C,Reducing pressure reduces consumption,27L per day can be saved by reducing pressure from 6 to 4 bar,Meets EN 1567,WRAS approved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PK65588,JET Range BBV24 lever operated (copper x copper) ball valve WRAS 54mm,JET Range,343.25,"This JET Range BBV24 manual lever operated ball valve with brass body and PTFE seat includes 54mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV24 lever operated (copper x copper) ball valve WRAS 54mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/88/K65583_K65588_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
