,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Operating Temperature,Range,Warranty,Hazardous,Depth (mm),Mains Connection Size and Type,System Connection Size and Type,Display Type,Drain Connection,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 6,Voltage (V),Output,Max Fill Pressure,Full Load Current A,Application,Feature 15,Feature 16,Feature 17,Approvals
10,P871098,Mikrofill 3 Pressurisation Unit Packaged with 140 Litre Expansion Vessel,Mikrofill,1563.9,"This packaged kit includes the Mirkrofill 3 and a 140L expansion vessel. The Mikrofill 3 is the most advanced “direct type” pressurisation unit available, suitable for LPHW/CHW applications of any size. Unlike “pump type” pressurisation units the Mikrofill 3 is designed to be connected directly to a buildings incoming mains/boosted water supply and fill a heating or chilled water system without the use of a pump. The Mikrofill 3 is the most energy efficient unit of its kind consuming as little as 10 watts/hr on standby and 30 watts/hr fully operational.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Mikrofill 3 Pressurisation Unit Packaged with 140 Litre Expansion Vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/fi/ll/871093_871103_MIKROFILL_wm.jpg,,,,,,Blue,,,2 years,N,112,15 mm compression,15 mm compression,LCD Matrix Display,3/4in BSP (via tundish),100140,Pressurisation Unit,N,Offers integral fluid risk category 4 backflow prevention,Requires no RPZ valve,For filling any LPHW/CHW system from empty,Connects directly to mains/boosted water supply,Wall mounted installation,Compact design of 270 mm high x 250 mm wide,Consumes just 10W per hour on standby,Consumes 30W per hour while fully operational,Offers 97% better efficiency compared to some pump-type units,Fill volume indicator for water treatment calculation,Large colour screen display for ease of operation,2 year warranty,,,,,,,,,,,,
11,PS05245,JET Range Midi Digifiller Digifiller 2.0 midi preset pressure set 125ltr 2bar,JET Range,1280.37,"Designed to provide a minimum system pressure requirement for sealed systems, the JET Range Midi Digifiller 2.0 compact pressurisation unit is suitable for installation in commercial, industrial and residential properties. With an intuitive password-protected microprocessor including features such as low water/flood protection, VFCs for common faults and pump and pressure failures, this pressurised unit is simple to operate and provides users with a wealth of useful information via its LED display.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> JET Range Midi Digifiller Digifiller 2.0 midi preset pressure set 125ltr 2bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/47/S05245_S05247_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Digifiller Pressurisation Unit TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/0b/ar/Jet_Digifiller_2.0Bar.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/v8/_1/JET Pressurisation Manual - V8.1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P105533,Grundfos PHT A F PHT A F150 pressurisation unit F150,Grundfos,2242.24,"The floor-standing Grundfos PHT A F-series is a top-up pressurisation unit with a 17.5L break tank. It is suitable for use in medium-sized commercial systems and offers low and high water level sensors, a security coded interface and communications via Grundfos CIM.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Grundfos PHT A F PHT A F150 pressurisation unit F150,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/33/NW-105533_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Grundfos_Pressurisation_Range_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P609980,Adey Mini 130 digital pressurisation unit,Adey,711.49,"This Adey Mini 130 digital pressurisation unit is designed to maintain pressure in large domestic and small commercial sealed heating systems, chilled water systems, refrigeration units and industrial cooling systems up to 3 bar pressure and 6,000L capacity. Compact and easy to install, even for engineers working solo, this unit has a dry weight of just 3.6 or 4.2kg and requires a space envelope of only 0.017m. Containing minimal parts and zero wiring, the Adey Mini has a tough yet eay to remove cover, making servicing simple.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Adey Mini 130 digital pressurisation unit,,Digital pressurisation unit;APU;Front cover;Flexible hose;M6 screw;Wall mounting plate;Fill valve flow restrictor;Rubber hose sealing washer;Cable tie;Instruction book,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/81/NW-609980_609981_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Adey_Pressurisation_Unit_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Adey_Pressurisation_Unit_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PS05240,JET Range Maxi Digital Plus MD131 maxi digital plus pressurisation unit,JET Range,1626.37,"Designed to provide a minimum system pressure requirement for sealed systems, the JET Range Maxi MD131 Digital Plus pressurisation unit is suitable for installation in commercial, industrial and residential properties. With an intuitive password-protected microprocessor including features such as low water/flood protection, VFCs for common faults and pump and pressure failures, this pressurised unit is simple to operate and provides users with a wealth of useful information via its LED display.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> JET Range Maxi Digital Plus MD131 maxi digital plus pressurisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/40/S05240_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/im/S05240_Jet_IM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Midi_Digital_Plus_Oprtg_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/ig/S05240_Jet_IG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Maxi Pressurisation Unit TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/v8/_1/JET Pressurisation Manual - V8.1.pdf,,,,,,,,,
15,P871102,Mikrofill 3 packaged unit with expansion vessel 400L,Mikrofill,2012.4,"This packaged kit includes the Mirkrofill 3 and a 400L expansion vessel. The Mikrofill 3 is the most advanced “direct type” pressurisation unit available, suitable for LPHW/CHW applications of any size. Unlike “pump type” pressurisation units the Mikrofill 3 is designed to be connected directly to a buildings incoming mains/boosted water supply and fill a heating or chilled water system without the use of a pump. The Mikrofill 3 is the most energy efficient unit of its kind consuming as little as 10 watts/hr on standby and 30 watts/hr fully operational.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Mikrofill 3 packaged unit with expansion vessel 400L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/fi/ll/871093_871103_MIKROFILL_wm.jpg,,,,,,Blue,,,2 years,N,112,15 mm compression,15 mm compression,LCD Matrix Display,3/4in BSP (via tundish),100400,Pressurisation Unit,N,Offers integral fluid risk category 4 backflow prevention,Requires no RPZ valve,For filling any LPHW/CHW system from empty,Connects directly to mains/boosted water supply,Wall mounted installation,Compact design of 270 mm high x 250 mm wide,Consumes just 10W per hour on standby,Consumes 30W per hour while fully operational,Offers 97% better efficiency compared to some pump-type units,Fill volume indicator for water treatment calculation,Large colour screen display for ease of operation,2 year warranty,,,,,,,,,,,,
16,P871094,Mikrofill Mikropro 35 Pressurisation set with 35litre vessel and service valve,Mikrofill,1389.38,"The Mikrofill 35 pressurisation set, supplied with 35L vessel and service valve, is a compact sealed system package built around the Mikrofill 3 advanced direct-type pressurisation unit. Capable of cold fill pressurisation up to 4.7 bar, this expansion vessel with 3/4"" quick-fit service valve meets the requirements of a variety of LPHW and CHW applications.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Mikrofill Mikropro 35 Pressurisation set with 35litre vessel and service valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/94/871094_wm.jpg,,,,,,Blue/Grey,4-40 degrees,,4 Years,N,Control Unit - 112expansion vessel 376,15 mm compression,cold water inlet 15mm compressioncold water outlet 15mm compressionexpansion vessel connection 3/4inch M,LCD colour matrix display,Via tundish3/4 BSP,100035,Pressurisation system,N,Duty and duty standby options,With 35L vessel,Service valve included,Robust construction,Digital control system with graphic display,4 year warranty,,,,,,,,,,,,,,,,,,
17,P893265,Flamco Flexfiller direct G4 pressurisation unit,Flamco,1966.5,"The Flexfiller Direct G4 is the latest in pumpless digital pressurisation technology for light commercial and residential buildings. It’s a slim, wall-mounted pumpless top-up pressurisation unit, with a top-up flow rate of up to 14 l/min depending on the mains or boosted mains, water pressure. It is designed to be connected directly to a building’s incoming water supply using the included flexible hose. It is there to fill and maintain the pressure of a heating or chilled water system without the need for a pump. The unit comes with a user-friendly controller that displays all operating and error conditions comprehensibly and conveniently. It features extensive data storage for online and offline analysis, microprocessor control, and self-learning algorithms with a graphical display. It comes with MODBUS RTU and BACnet communication protocols as standard and has its key operating parameters password protected.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Flamco Flexfiller direct G4 pressurisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/65/893265_wm.jpg,,,,,,,,Flexfiller,,N,141,15 mm compression,15 mm compression,,,20100,Pressurisation Units,N,Without pump,Operates silently,Fills system from empty,"For system volumes up to 50,000L",With 12 month on-screen service reminder,RAL7016 grey and RAL3002 red colour,Password protected,Pressure setting via 0.1 bar increments,Runtime limiter and excessive activation logging for flood protection,Volt free contact common alarm (N/C or N/O),Alarm is fully programmable via control unit,Data storage allows for online or offline analysis,"Advanced technology for lower power consumption, longer service life and simpler maintenance",Self-learning microprocessor control,,110230,0.019 kW,6,0.3 A,Light commercial and residential systems,With graphical display,Maximum flow rate 14LPM,Connects directly to boosted water mains via included 400mm flexible hose,
18,P891010,Flamco Flexfiller Mini 130D mini pressure set,Flamco,1551.41,"Suitable for residential or small-scale commercial premises, the Flamco Flexfiller Mini 130D digital single pump pressurisation unit provides a minimum system pressure requirement to sealed heating systems with a 300L maximum expansion vessel or chilled systems with a 50L maximum expansion vessel. A compact, wall-mounted low flow rate top-up unit with 2L break tank, the Flexfiller Mini features an electronic pressure transducer and straightforward, easy to use, password-protected microprocessor that displays a whole range of useful information.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Flamco Flexfiller Mini 130D mini pressure set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/10/891010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Flamco_Product_Overview_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flamco_Flexfiller_Mini_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flamco_Flexfiller_Mini_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Flamco_Flexfiller_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P179719,Grundfos PHD C PHD C160 combined pressure vacuum,Grundfos,11056.5,"Suitable for floor or wall-mounting, the Grundfos PHD C-Series vacuum degasser and top-up pressurisation system makes use of a multifunctional digital controller with intuitive interface. An advanced product, PHD C combines the pressure step principle with a side stream configuration to minimise impact on the main thermal system. With a real-time display, users can check the status of equipment, monitor system pressure and keep an eye on component health.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Grundfos PHD C PHD C160 combined pressure vacuum,,Vacuum degasser;Top-up pressurisation system,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/19/NW-179719_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Grundfos_Pressurisation_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P892858,FLAMCO PRO PDG 261 VACDEGAS PRESS UNIT,Flamco,9892.53,"Compact and completely enclosed, this Flamco Pro PDG combined digital pressurisation unit with vacuum degasser is suitable for use on sealed systems, providing a minimum system pressure requirement and effective dissolved gas removal.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> FLAMCO PRO PDG 261 VACDEGAS PRESS UNIT,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/58/NW-892858_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Flamco_Catl_Export_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flamco_Flexfiller_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flamco_PDS_Pro_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P892767,Flamco Flexfiller pressurisation unit,Flamco,2506.44,"Floor-mounted, this Flamco Flexfiller pressurisation unit is a flow rate (up to 18LPM) top-up unit with 18L internal break tank. Ideal for industrial, commercial or large domestic applications, it is available in single or twin pump configurations.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Flamco Flexfiller pressurisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/94/578994_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Flamco_Catl_Export_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flamco_Flexfiller_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Flamco_Flexfiller_Midi_Mini_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Flamco_Kiwa_K13471_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P163859,Wilo Comfort WM wall mounted digital pressure set,Wilo,1614.58,"Wall-mounted, this Wilo Comfort single pump pressurisation units is suitable for heating or chilled water systems up to and including 3.0 bar cold fill pressures and with a maximum expansion of 300L. The unit is fitted with a 4L stainless steel break tank, C/W-type AB air gap, a WRAS approved equilibrium ball float valve, C/W strainer and a low water float for pump protection. The pump has an integral non-return valve and quick release couplings for ease of maintenance while a pressure transducer monitors system pressure, feeding a 0 - 10V signal to the controller.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Wilo Comfort WM wall mounted digital pressure set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/59/NW-163859_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wilo_Pressurisation_Units_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P871100,Mikrofill 3 Pressurisation Unit Packaged with 250L Expansion Vessel,Mikrofill,1729.65,"An advanced direct-type pressurisation unit, the Mirkrofill 3 is supplied with a 250L expansion vessel offering suitability for use in any LPHW/CHW application. Connecting directly to the incoming mains/boosted water supply, unlike less efficient pump-type pressurisation units, Mikrofill 3 fills heating or chilled water systems without the aid of a pump. Consuming as little as 10W/hr on standby and 30W/hr when fully operational, this unit is highly efficient and offers reliable ease of use via a simple LCD display.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Mikrofill 3 Pressurisation Unit Packaged with 250L Expansion Vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/fi/ll/871093_871103_MIKROFILL_wm.jpg,,,,,,Blue,,,2 years,N,112,15 mm compression,15 mm compression,LCD Matrix Display,3/4in BSP (via tundish),100250,Pressurisation Unit,N,Integral fluid risk category 4 backflow prevention,No RPZ valve required,Fills any LPHW/CHW system from empty,Connects directly to mains/boosted water supply,Wall mounted installation,Compact design for smaller plantrooms,97% more efficient than some pump-type units,Fill volume indicator aids water treatment calculation,Large colour LCD display for ease of operation,2 year warranty,,,,,,,,,,,,,,
24,P871196,Mikrofill MAX120024 Maxi Plus 2 pump pressurisation unit,Mikrofill,2127.45,"An improved design manufactured to meet the needs of both specifier and installer, the Mikrofill Maxi Plus microprocessor controlled twin pump pressurisation unit features up-to-the-minute microprocessor technology alongside the high quality components users of the original Maxi range know they can rely on. Updates include improved structural stability and protection, better than ever steadiness on uneven surfaces thanks to the Maxi's new feet and an updated door catch for reliable closing.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Mikrofill MAX120024 Maxi Plus 2 pump pressurisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/fi/ll/871172_871196_MIKROFILL_wm.jpg,,,,,,Blue,,,2 year parts and labour warranty,N,440,,,LCD graphic display,20mm,120024,Pressurisation Unit,N,Back panel offers additional structure,Feet improve stability,Includes improved door catch,With LCD graphic display,Up to date microprocessor technology,2 year warranty,,,,,,,,,,,,,,,,,,
25,P891011,Flamco Flexfiller Midi 125D midi pressure set,Flamco,1866.54,"A compact unit for industrial, commercial or residential installation, the Flamco Flexfiller Midi 125D digital pressurisation unit is designed to supply a minimum system pressure requirement in a sealed system. Fully enclosed, the Flexfiller Midi has a 4L internal break tank and an electronic pressure transducer while the password-protected microprocessor offers an easy to understand LED display. This user-friendly read-out can supply a range of helpful data, providing event and fault logging as well as offering an optional service reminder.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Flamco Flexfiller Midi 125D midi pressure set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/11/891011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Flamco_Product_Overview_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flamco_Flexfiller_Midi_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Flamco_Flexfiller_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PS05237,JET Range Midi Digital Plus MD161 midi digital plus pressure unit 150ltr,JET Range,1381.35,"Designed to provide a minimum system pressure requirement for sealed systems, the JET Range Midi MD161 Digital Plus compact pressurisation unit is suitable for installation in commercial, industrial and residential properties. With an intuitive password-protected microprocessor including features such as low water/flood protection, VFCs for common faults and pump and pressure failures, this pressurised unit is simple to operate and provides users with a wealth of useful information via its LED display.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> JET Range Midi Digital Plus MD161 midi digital plus pressure unit 150ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/37/S05235_S05237_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/im/S05237_Jet_IM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Midi Pressurisation Unit TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/S05237_Jet_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/ig/S05237_Jet_IG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P892769,Flamco Flexfiller Midi 150D pressurisation unit,Flamco,2108.82,"Wall-mounted, this Flamco Flexfiller Midi pressurisation unit is a flow rate (up to 12LPM) top-up unit with 4L internal break tank. Ideal for industrial, commercial or large domestic applications, it is available in single or twin pump configurations.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> Flamco Flexfiller Midi 150D pressurisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/70/NW-892769_892770_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flamco_Flexfiller_Midi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Flamco_Catl_Export_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flamco_Flexfiller_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Flamco_Flexfiller_Midi_Mini_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Flamco_Kiwa_K13471_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PS05241,JET Range Maxi Digital Plus MD231 maxi digital plus pressurisation unit,JET Range,1997.01,"Designed to provide a minimum system pressure requirement for sealed systems, the JET Range Maxi MD231 Digital Plus pressurisation unit is suitable for installation in commercial, industrial and residential properties. With an intuitive password-protected microprocessor including features such as low water/flood protection, VFCs for common faults and pump and pressure failures, this pressurised unit is simple to operate and provides users with a wealth of useful information via its LED display.",Heating/Sealed Heating Systems/Pressurisation Units/Pressurisation Units.csv -> JET Range Maxi Digital Plus MD231 maxi digital plus pressurisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/42/S05241_S05242_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/ig/S05241_Jet_IG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/im/S05241_Jet_IM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Maxi Pressurisation Unit TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
