,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Connection Type,Range,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Handle Type,Dimensions (L x W x D),Feature 7,Feature 8,Feature 9,Feature 10
10,P231556,Rothenberger Wide Jaw Wrench 70459 Adjustable Wide Jaw Wrench 6'',Rothenberger,15.0,"Suitable for use in small, confined spaces, this Rothenberger 152.4mm adjustable wide jaw wrench is designed with a narrow profile and precision thumb turn adjustment.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger Wide Jaw Wrench 70459 Adjustable Wide Jaw Wrench 6'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/47/NW-T86445_T86447_wm.jpg,,,,,,,,,231556 PK,,,,Opens to 34mm,Narrow jaw profile,Precise thumbturn adjustment,Calibrated jaws for accurate sizing,Comfortable soft-grip handle,Jaw protectors protect polished surfaces,,,,,,
11,PN13747,"Nerrad mini adjustable wrench 4""",Nerrad,10.99,"Ideal for working in tight, awkward spaces, this Nerrad 18mm adjustable mini wrench has the largest jaw width in its class. Made of CRV steel, this compact yet powerful wrench is suitable for use on drain valves and internal boiler fittings.","Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Nerrad mini adjustable wrench 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/47/NW-N13747_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/0_/21/Nerrad_Product_Catalogue_2020_21.pdf,,,,,,,,,,,,,,,,,,,,,,,
12,PT85720,"Rothenberger Heavy Duty 70155 heavy duty pipe wrench 24""",Rothenberger,178.27,"Screwing, loosening and securing steel pipes up to 89mm in diameter, this Rothenberger 600mm length pipe wrench is suitable for use in a wide range of applications. Withstanding rough site conditions, this wrench has durable forged jaws which, along with its hooks, are easy to replace when worn out, saving on the cost of a whole new wrench.","Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger Heavy Duty 70155 heavy duty pipe wrench 24""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/20/NW-T85720_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
13,PN39444,Rothenberger machined groove plier 12mm,Rothenberger,34.99,"Made of steel with a plastic handle, these Rothenberger 300mm grooved water pump pliers incorporate a hard-toothed jaw designed to open up to 60mm.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger machined groove plier 12mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/44/NW-N39444_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
14,P689001,Rothenberger SPK plier set 3 piece,Rothenberger,66.63,"Ideal for twisting pipes or nuts in confined locations, this Rothenberger SPK water pump pliers set includes 175, 250 and 300mm tools. Long and narrow, these pliers are equipped with self-clamping jaws and are non-slip, even on smooth tube surfaces.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger SPK plier set 3 piece,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/01/NW-689001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Hand Tools_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
15,PT85921,"Rothenberger Stillson 70355 pipe wrench 24""",Rothenberger,146.71,"Screwing, loosening and securing pipes with diameters of up to 73mm, this Rothenberger Stillson 600mm one-handed pipe wrench offers optimised double suspension for safer self-clamping. It includes a hardened adjusting nut, helping to prevent unintentional adjustment.","Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger Stillson 70355 pipe wrench 24""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/21/NW-T85919_T85921_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
16,P231557,Rothenberger Adjustable Wide Jaw Wrench 8'',Rothenberger,19.0,"Ideal for use in confined spots, this Rothenberger 210mm adjustable wide jaw wrench has a narrow profile and precision thumbturn adjustment. The wrench's jaw opens to 38mm.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger Adjustable Wide Jaw Wrench 8'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/47/NW-T86445_T86447_wm.jpg,,,,,,,,,231557 PK,,,,Maximum jaw width 38mm,Narrow jaw profile,Precise thumbturn adjustment,Calibrated jaws for accurate sizing,Comfortable soft-grip handle,Jaw protectors won't damage polished surfaces,,,,,,
17,PT85722,"Rothenberger aluminium pipe wrench 14""",Rothenberger,120.13,"Designed for up to 2"" pipes, this Rothenberger 355.6mm pipe wrench is made of a lightweight aluminium alloy.","Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger aluminium pipe wrench 14""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/22/NW-T85722_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
18,PT02782,Rothenberger electrical side cutter 160mm,Rothenberger,28.71,"Titanium-coated to protect against corrosion, the Rothenberger 160mm electrical side cutter promises a long life of reliable use. This wave profile bladed cutter, tested to 1000V and suitable for up to 6mm soft wires, are manufactured in an oil hardened tool steel with forged steel jaws while two-colour soft grip, non-slip insulated handles support comfortable, fatigue-free working, even in confined spaces. This plier features inbuilt lanyard hooks.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger electrical side cutter 160mm,,1x Electrical Plier,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/82/T02782_wm.jpg,,,,,,N,,,1500003164,Hand Tools,N,,Protected up to 1000V,"Tested up to 10,000V according to DIN EN/IEC 60900",Cutting range includes Ø6mm soft wires,Wave profile blades prevent slipping,Ergonomic handles with 3x different grip zones,Optimum grip for fatigue-free working,,173 x 28 x 55 mm,Induction-hardened cutting edge,Completely forged steel jaws,Durable design,Titanium surface protects against corrosion
19,PT85830,"Rothenberger Heavy Duty 70154 heavy duty pipe wrench 18""",Rothenberger,96.27,"Screwing, loosening and securing steel pipes up to 73mm in diameter, this Rothenberger 99 x 55mm, 450mm length pipe wrench is suitable for use in a wide range of applications. Withstanding rough site conditions, this wrench has durable forged jaws which, along with its hooks, are easy to replace when worn out, saving on the cost of a whole new wrench.","Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger Heavy Duty 70154 heavy duty pipe wrench 18""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/30/NW-T85830_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
20,PT85831,"Rothenberger aluminium pipe wrench 18""",Rothenberger,149.52,"Traditionally designed, this Rothenberger 450mm pipe wrench is made of aluminium and has its wrench head opening located parallel to the handle. This wrench turns threaded pipe and pipe fittings for easy installation or removal.","Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger aluminium pipe wrench 18""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/32/NW-T85831_T85832_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
21,PT02781,Rothenberger electrical long nose plier 200mm,Rothenberger,31.27,"Titanium-coated to protect against corrosion, the Rothenberger 200mm electrical long nose plier promises a long life of reliable use. These precision pliers, tested to 1000V and suitable for cutting up to 2.5mm wires, are manufactured in an oil hardened tool steel with forged steel jaws while two-colour soft grip, non-slip insulated handles support comfortable, fatigue-free working, even in confined spaces. This plier features inbuilt lanyard hooks.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger electrical long nose plier 200mm,,1x Electrical Plier,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/81/T02781_wm.jpg,,,,,,N,,,1500003168,Hand Tools,N,,Protected up to 1000Vper DIN EN/IEC 60900,"Tested up to 10,000V according to DIN EN/IEC 60900",Cutting range includes 2.5mm wires,Ideal for use in confined spaces,Ergonomic handles with 3x different grip zones,Optimum grip for fatigue-free working,,205 x 28 x 54 mm,Induction-hardened cutting edge,Completely forged steel jaws,Durable design,Titanium surface protects against corrosion
22,PT85832,"Rothenberger aluminium pipe wrench 24""",Rothenberger,237.78,"Traditionally designed, this Rothenberger 600mm pipe wrench is made of aluminium and has its wrench head opening located parallel to the handle. This wrench turns threaded pipe and pipe fittings for easy installation or removal.","Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger aluminium pipe wrench 24""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/32/NW-T85831_T85832_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,
23,PT02780,Rothenberger electrical combination plier 180mm,Rothenberger,28.71,"Titanium-coated to protect against corrosion, the Rothenberger 180mm electrical combination plier with integrated 8/10mm ring spanner promises a long life of reliable use. These precision pliers, tested to 1000V and featuring a notched jaw for wire stripping, are manufactured in an oil hardened tool steel with forged steel jaws while two-colour soft grip, non-slip insulated handles support comfortable, fatigue-free working, even in confined spaces. This plier features inbuilt lanyard hooks.",Trade Essentials/Hand Tools/Wrenches and Pliers/Wrenches and Pliers.csv -> Rothenberger electrical combination plier 180mm,,1x Electrical Plier,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/80/T02780_wm.jpg,,,,,,N,,,1500003163,Hand Tools,N,,Protected up to 1000V,"Tested up to 10,000V according to DIN EN/IEC 60900",Ergonomic handles with 3x different grip zones,Optimum grip for fatigue-free working,Induction-hardened cutting edge,Completely forged steel jaws,,188 x 28 x 55 mm,Durable design,Titanium surface protects against corrosion,Integrated 8-10mm ring spanner,With notched jaw for wire stripping
