,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Connection Type,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection B size,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 2,Attachment 3,Attachment 4,Attachment 5
10,PP96636,"TP RB0.GYL 45deg abs elbow 2""",TP,34.05,"This TP RB0.GYL 2 x 2"" 45° elbow is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> TP RB0.GYL 45deg abs elbow 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/39/NW-P96631_P96639_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PP98552,GFP 160MMX90D ELBOW EF SDR11,Georg Fischer,135.12,"This Georg Fischer ELGEF Plus SDR11 160 x 160mm 90° elbow is made of polyethylene and offers suitability for use in transport lines, distribution lines, house connections, industrial pressure, distribution lines and water and gas distribution applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> GFP 160MMX90D ELBOW EF SDR11",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/52/NW-P98552_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_ELGEF_Plus_Piping_System_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/GF_ELGEF_Plus_PE_D75_250mm_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_ELGEF_Plus_Sun_Protection_Flyer.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GF_ELGEF_Plus_10_16bar_Elbow_Tech.pdf,
12,PP50726,GFP 110MMX45D ELBOW EF SDR11,Georg Fischer,44.85,"Made of polyethylene, this Georg Fischer ELGEF Plus SDR11 110 x 100mm 45° elbow is suitable for use in transport lines, distribution lines, industrial pressure, distribution lines, house connections and water and gas distribution.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> GFP 110MMX45D ELBOW EF SDR11",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/27/NW-P50726_P50727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GF_ELGEF_Plus_45Deg_PE100_Elbow_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_ELGEF_Plus_Piping_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/GF_ELGEF_Plus_PE_D75_250mm_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_ELGEF_Plus_Sun_Protection_Flyer.pdf,
13,PP02132,"Durapipe SuperFLO 90deg ABS elbow 2.1/2""",Durapipe,68.94,"This Durapipe SuperFlo 75 x 75mm 90° elbow with plain end connections is toughly corrosion-resistant and cost-efficient. Suitable for low temperature fluid transportation, SuperFlo provides a wide temperature range and the full system remains extremely ductile right down to -40°C. Lighter in weight and easier to handle on-site than traditional materials, this ABS system provides time and cost savings at installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> Durapipe SuperFLO 90deg ABS elbow 2.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/33/NW-P02131_P02133_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Durapipe_SuperFLO_ABS_Technical_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PP96036,"TP RV0.GYL 45deg upvc elbow (bsp) 2""",TP,14.04,"This TP 2 x 2"" 45° elbow is made of PVC-U with solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> TP RV0.GYL 45deg upvc elbow (bsp) 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/36/NW-P96031_P96036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PM32326,Geberit FlowFit 620.072.00.1 Bend 90° 25mm,Geberit,9.72,"Part of a comprehensive system, this Geberit FlowFit 25mm 90° bend is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical building systems, i","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> Geberit FlowFit 620.072.00.1 Bend 90° 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32326_Primary_Image_wm.jpg,,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21965,Equal,25 mm,25 mm,PPSU Polyphenylsulfone,90° 25mm,620.072.00.1,Bend,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,
16,PP96038,"TP RV0.GYL 45deg upvc elbow (bsp) 3""",TP,33.05,"This TP 3 x 3"" 45° elbow is made of PVC-U with solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> TP RV0.GYL 45deg upvc elbow (bsp) 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/39/NW-P96038_P96039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PP96623,"TP RB0.GOL 90deg abs elbow 1""",TP,9.11,"This TP RB0.GOL 1 x 1"" 90° elbow is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> TP RB0.GOL 90deg abs elbow 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/30/NW-P96621_P96630_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PP96626,"TP RB0.GOL 90deg abs elbow 2""",TP,30.72,"This TP RB0.GOL 2 x 2"" 90° elbow is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> TP RB0.GOL 90deg abs elbow 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/30/NW-P96621_P96630_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PP12024,Durapipe HTA 90deg CPVC elbow 25mm,Durapipe,2.76,"This Durapipe HTA 25 x 25mm 90° elbow is made of C-PVC and brass. HTA is quick and easy to securely install, providing a complete C-PVC pipework system suitable for domestic hot and cold water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> Durapipe HTA 90deg CPVC elbow 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/24/NW-P12023_P12024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PP96621,"TP RB0.GOL 90deg abs elbow 1/2""",TP,5.63,"This TP RB0.GOL 1/2 x 1/2"" 90° elbow is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> TP RB0.GOL 90deg abs elbow 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/30/NW-P96621_P96630_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PP60029,Georg Fischer ELGEF Plus 90deg electrofusion elbow PE100 110mm,Georg Fischer,44.85,"This Georg Fischer ELGEF Plus SDR11 110 x 110mm 90° elbow is made of polyethylene and offers suitability for use in transport lines, distribution lines, house connections, industrial pressure, distribution lines and water and gas distribution applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> Georg Fischer ELGEF Plus 90deg electrofusion elbow PE100 110mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/29/NW-P60029_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_ELGEF_Plus_Piping_System_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/GF_ELGEF_Plus_PE_D75_250mm_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GF_ELGEF_Plus_10_16bar_Elbow_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_ELGEF_Plus_Sun_Protection_Flyer.pdf,
22,PP10131,Durapipe SuperFLO 90deg ABS elbow 63mm,Durapipe,36.03,"This Durapipe SuperFlo 63 x 63mm 90° elbow with plain end connections is toughly corrosion-resistant and cost-efficient. Suitable for low temperature fluid transportation, SuperFlo provides a wide temperature range and the full system remains extremely ductile right down to -40°C. Lighter in weight and easier to handle on-site than traditional materials, this ABS system provides time and cost savings at installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> Durapipe SuperFLO 90deg ABS elbow 63mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/31/NW-P10131_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Durapipe_SuperFLO_ABS_Technical_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PP96624,"TP RB0.GOL 90deg abs elbow 1.1/4""",TP,15.72,"This TP RB0.GOL 1 1/4 x 1 1/4"" 90° elbow is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Bends and Elbows/Bends and Elbows.csv -> TP RB0.GOL 90deg abs elbow 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/30/NW-P96621_P96630_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
